date,open,high,low,close,volume
2024-03-28,94.54,94.77,94.48,94.66,7531945
2024-03-27,94.5,94.79,94.49,94.75,4838589
2024-03-26,94.22,94.41,94.11,94.39,5477636
2024-03-25,94.41,94.41,94.19,94.25,4488900
2024-03-22,94.56,94.56,94.41,94.5,6119779
2024-03-21,94.21,94.28,93.96,94.04,8271232
2024-03-20,93.91,94.35,93.7,94.03,10190766
2024-03-19,93.73,93.94,93.67,93.81,5470272
2024-03-18,93.62,93.7,93.45,93.54,5319684
2024-03-15,93.74,93.82,93.63,93.65,6591431
2024-03-14,94.16,94.17,93.79,93.81,10055931
2024-03-13,94.58,94.65,94.47,94.51,9708416
2024-03-12,94.84,94.87,94.61,94.72,6556452
2024-03-11,95.26,95.29,95.02,95.11,5568211
2024-03-08,95.32,95.39,95.15,95.23,8103627
2024-03-07,95.19,95.22,94.92,95.16,8420940
2024-03-06,94.94,95.19,94.89,95.0,9499167
2024-03-05,94.67,94.94,94.56,94.77,7673106
2024-03-04,94.08,94.29,94.07,94.19,6641557
2024-03-01,93.85,94.46,93.62,94.4,11857244
2024-02-29,94.1,94.33,94.08,94.22,11919151
2024-02-28,93.8,94.03,93.74,94.03,5293604
2024-02-27,93.76,93.92,93.63,93.69,7540612
2024-02-26,94.05,94.06,93.68,93.9,6417187
2024-02-23,93.64,94.11,93.64,94.04,6426659
2024-02-22,93.57,93.79,93.44,93.61,8688496
2024-02-21,93.97,94.02,93.54,93.6,6448768
2024-02-20,93.93,94.12,93.89,93.9,8286331
2024-02-16,93.6,93.79,93.55,93.74,7147413
2024-02-15,94.3,94.4,94.03,94.15,6788279
2024-02-14,93.64,94.06,93.64,93.89,8979561
2024-02-13,93.88,93.97,93.52,93.54,11978410
2024-02-12,94.57,94.69,94.4,94.58,7023605
2024-02-09,94.43,94.57,94.4,94.49,8492535
2024-02-08,94.76,94.84,94.57,94.66,7808042
2024-02-07,94.97,95.35,94.94,94.97,8619805
2024-02-06,94.74,95.23,94.71,95.14,9327124
2024-02-05,94.9,94.99,94.53,94.63,12147893
2024-02-02,95.74,95.9,95.38,95.56,13809169
2024-02-01,96.6,97.11,96.34,96.82,33372968
2024-01-31,96.09,96.48,95.99,96.46,15778341
2024-01-30,95.69,95.74,95.15,95.66,7265771
2024-01-29,95.25,95.62,95.18,95.53,6947475
2024-01-26,95.05,95.05,94.84,94.96,9134648
2024-01-25,95.05,95.16,94.9,95.13,11588120
2024-01-24,95.34,95.37,94.66,94.72,9718207
2024-01-23,95.0,95.02,94.87,94.99,6428563
2024-01-22,95.28,95.39,95.15,95.23,9831545
2024-01-19,94.78,94.96,94.54,94.94,17711102
2024-01-18,95.1,95.17,94.83,94.93,8910077
2024-01-17,95.17,95.23,94.95,95.14,9170738
2024-01-16,95.84,95.96,95.32,95.45,9847101
2024-01-12,96.23,96.48,96.02,96.23,8469577
2024-01-11,95.6,96.04,95.48,95.97,10305461
2024-01-10,95.79,95.86,95.44,95.46,9212705
2024-01-09,95.52,95.75,95.52,95.61,7360798
2024-01-08,95.39,95.96,95.36,95.65,7044680
2024-01-05,95.33,96.02,95.26,95.33,10001016
2024-01-04,95.69,95.83,95.58,95.68,7354776
2024-01-03,95.61,96.34,95.53,96.26,11040475
2024-01-02,95.94,96.15,95.92,96.03,9443974
2023-12-29,96.35,96.64,96.29,96.39,7820460
2023-12-28,96.8,96.96,96.53,96.63,4858494
2023-12-27,96.66,97.04,96.59,97.0,7362435
2023-12-26,96.15,96.34,96.13,96.25,3342500
2023-12-22,96.46,96.48,96.05,96.19,4956413
2023-12-21,96.64,96.7,96.15,96.28,8939694
2023-12-20,96.18,96.49,95.98,96.43,12659133
2023-12-19,95.94,96.14,95.89,95.96,9047071
2023-12-18,95.81,95.82,95.63,95.78,8634148
2023-12-15,95.89,96.15,95.84,95.99,9407065
2023-12-14,95.77,96.27,95.72,96.07,32373192
2023-12-13,94.44,95.68,94.37,95.56,16155209
2023-12-12,93.95,94.22,93.86,94.16,7247977
2023-12-11,93.75,94.0,93.56,93.96,10484727
2023-12-08,94.03,94.15,93.73,93.95,13825359
2023-12-07,94.5,94.86,94.46,94.56,13730101
2023-12-06,94.52,94.79,94.41,94.7,14023439
2023-12-05,94.05,94.41,93.99,94.31,25452146
2023-12-04,93.68,93.89,93.45,93.65,16402188
2023-12-01,93.14,94.09,93.11,94.04,21393200
2023-11-30,93.52,93.55,93.22,93.41,18446700
2023-11-29,93.72,93.97,93.59,93.87,19075400
2023-11-28,92.86,93.41,92.81,93.38,13563300
2023-11-27,92.55,92.98,92.49,92.97,9539800
2023-11-24,92.35,92.42,92.26,92.27,4125800
2023-11-22,92.92,92.99,92.52,92.75,7255100
2023-11-21,92.77,92.91,92.54,92.78,9153300
2023-11-20,92.34,92.72,92.31,92.66,7481200
2023-11-17,92.58,92.63,92.35,92.53,8462000
2023-11-16,92.32,92.61,92.31,92.47,10375600
2023-11-15,92.05,92.06,91.7,91.78,12969400
2023-11-14,92.43,92.57,92.28,92.5,14313600
2023-11-13,90.83,91.16,90.69,91.13,8930200
2023-11-10,91.46,91.48,91.08,91.18,10674700
2023-11-09,91.83,91.84,91.03,91.08,17067900
2023-11-08,91.64,92.08,91.63,91.99,11117600
2023-11-07,91.39,91.82,91.39,91.62,13189400
2023-11-06,91.29,91.32,91.0,91.1,11246700
2023-11-03,92.04,92.24,91.62,91.63,23133400
2023-11-02,91.06,91.22,90.73,90.93,14046200
2023-11-01,89.6,90.42,89.56,90.37,22448900
2023-10-31,89.83,90.02,89.57,89.59,11574700
2023-10-30,89.64,89.93,89.48,89.78,11022500
2023-10-27,89.87,90.09,89.71,90.08,11628200
2023-10-26,89.35,89.98,89.33,89.94,15901300
2023-10-25,89.58,89.61,89.15,89.26,15170200
2023-10-24,89.82,90.06,89.61,90.05,10906000
2023-10-23,89.15,90.0,89.01,89.89,12365000
2023-10-20,89.27,89.6,89.25,89.47,12586800
2023-10-19,89.14,89.5,88.86,88.95,27116700
2023-10-18,89.56,89.69,89.24,89.39,13794200
2023-10-17,89.9,90.04,89.65,89.81,11191600
2023-10-16,90.71,90.77,90.58,90.7,7248000
2023-10-13,91.32,91.36,91.06,91.24,9872500
2023-10-12,91.34,91.39,90.55,90.66,12855900
2023-10-11,91.4,91.6,91.2,91.54,14815800
2023-10-10,90.76,91.29,90.65,91.04,11508300
2023-10-09,90.75,91.22,90.61,91.22,5816700
2023-10-06,89.77,90.36,89.69,90.07,12257100
2023-10-05,90.64,90.66,90.41,90.6,11315900
2023-10-04,90.14,90.48,89.93,90.43,14054000
2023-10-03,90.42,90.59,89.81,89.86,21364700
2023-10-02,90.89,90.99,90.5,90.61,21010000
2023-09-29,91.95,92.04,91.45,91.59,13488300
2023-09-28,91.11,91.59,90.85,91.57,11654600
2023-09-27,91.97,92.01,91.08,91.32,10586100
2023-09-26,91.93,91.99,91.62,91.73,8281800
2023-09-25,91.85,92.02,91.72,91.76,11712000
2023-09-22,92.17,92.52,92.1,92.44,8637800
2023-09-21,92.13,92.22,92.02,92.08,8702500
2023-09-20,93.1,93.24,92.75,92.77,10751800
2023-09-19,92.97,93.14,92.8,92.84,7536800
2023-09-18,92.97,93.25,92.97,93.18,4622200
2023-09-15,93.23,93.29,93.02,93.09,9367700
2023-09-14,93.66,93.74,93.32,93.38,6421000
2023-09-13,93.34,93.72,93.32,93.59,6675400
2023-09-12,93.38,93.5,93.27,93.48,4998400
2023-09-11,93.31,93.44,93.24,93.35,4321700
2023-09-08,93.72,93.86,93.47,93.51,4648500
2023-09-07,93.39,93.53,93.29,93.49,7137500
2023-09-06,93.57,93.59,93.12,93.17,7344100
2023-09-05,93.71,93.72,93.37,93.41,4993400
2023-09-01,94.57,94.58,93.86,93.98,7746600
2023-08-31,94.72,94.94,94.63,94.8,6167300
2023-08-30,94.74,94.79,94.55,94.61,6346700
2023-08-29,93.73,94.66,93.71,94.62,7064200
2023-08-28,93.91,93.98,93.71,93.95,3301700
2023-08-25,93.59,93.93,93.34,93.69,7895700
2023-08-24,93.78,94.05,93.69,93.72,5735800
2023-08-23,93.63,94.07,93.6,94.07,8550500
2023-08-22,92.94,93.16,92.85,93.06,6331000
2023-08-21,93.16,93.2,92.91,93.02,10864000
2023-08-18,93.49,93.81,93.44,93.6,7228300
2023-08-17,93.41,93.47,93.06,93.32,9858300
2023-08-16,93.78,94.0,93.37,93.44,7199600
2023-08-15,93.88,94.18,93.75,93.8,9602600
2023-08-14,93.98,94.26,93.78,93.98,6218400
2023-08-11,94.24,94.56,94.09,94.13,5866900
2023-08-10,95.36,95.54,94.62,94.63,8462100
2023-08-09,95.3,95.52,95.26,95.36,5317200
2023-08-08,95.31,95.54,95.19,95.3,5401400
2023-08-07,94.93,94.98,94.71,94.82,4007400
2023-08-04,94.4,95.13,94.4,95.05,10189900
2023-08-03,94.11,94.25,93.96,94.05,11057900
2023-08-02,94.66,94.79,94.36,94.75,8009200
2023-08-01,95.04,95.18,94.78,94.94,7714000
2023-07-31,95.58,95.91,95.57,95.74,6347000
2023-07-28,95.53,95.74,95.44,95.62,5794100
2023-07-27,95.99,96.1,95.18,95.31,8522800
2023-07-26,96.25,96.41,95.97,96.36,4880100
2023-07-25,95.83,96.09,95.82,96.03,4079300
2023-07-24,96.61,96.71,96.17,96.21,7451100
2023-07-21,96.57,96.66,96.41,96.44,4560100
2023-07-20,96.63,96.67,96.19,96.36,9486600
2023-07-19,96.98,97.19,96.79,97.13,5059300
2023-07-18,97.0,97.12,96.74,96.8,3626500
2023-07-17,96.6,96.78,96.48,96.69,3182400
2023-07-14,96.8,96.92,96.49,96.53,7489600
2023-07-13,96.68,97.07,96.58,97.01,9742600
2023-07-12,95.91,96.34,95.77,96.21,8255100
2023-07-11,95.26,95.42,95.13,95.28,6327100
2023-07-10,94.74,95.22,94.73,95.08,6622700
2023-07-07,94.58,94.95,94.54,94.59,6577600
2023-07-06,94.76,94.86,94.36,94.71,9285100
2023-07-05,95.95,96.0,95.37,95.49,10181200
