date,open,high,low,close,volume
2024-03-28,115.81,115.92,115.77,115.81,2924582
2024-03-27,115.88,116.05,115.85,115.98,1101647
2024-03-26,115.61,115.77,115.55,115.74,1010050
2024-03-25,115.77,115.77,115.61,115.66,1198945
2024-03-22,115.85,115.86,115.78,115.81,1123435
2024-03-21,115.63,115.69,115.46,115.5,1433278
2024-03-20,115.28,115.67,115.24,115.49,1732033
2024-03-19,115.17,115.28,115.13,115.22,1304150
2024-03-18,115.03,115.08,114.91,114.97,1149612
2024-03-15,115.12,115.18,115.05,115.06,1278627
2024-03-14,115.45,115.46,115.22,115.23,2370039
2024-03-13,115.8,115.84,115.69,115.7,1254565
2024-03-12,116.02,116.02,115.81,115.87,1136712
2024-03-11,116.31,116.31,116.14,116.19,953210
2024-03-08,116.45,116.49,116.29,116.35,1927341
2024-03-07,116.19,116.25,116.06,116.23,1686032
2024-03-06,116.04,116.22,115.97,116.01,1576904
2024-03-05,115.85,116.04,115.74,115.9,1710070
2024-03-04,115.51,115.65,115.48,115.54,911270
2024-03-01,115.29,115.8,115.12,115.73,2116624
2024-02-29,115.5,115.69,115.48,115.59,2112521
2024-02-28,115.28,115.45,115.25,115.45,1671672
2024-02-27,115.21,115.33,115.11,115.17,1067831
2024-02-26,115.36,115.37,115.11,115.26,4903459
2024-02-23,115.14,115.44,115.14,115.37,1602165
2024-02-22,115.15,115.32,115.04,115.15,3009955
2024-02-21,115.52,115.55,115.18,115.21,1618235
2024-02-20,115.53,115.62,115.45,115.47,1652123
2024-02-16,115.14,115.3,115.11,115.26,1967310
2024-02-15,115.74,115.8,115.51,115.61,1582976
2024-02-14,115.21,115.52,115.2,115.41,1718219
2024-02-13,115.37,115.43,115.06,115.06,2027711
2024-02-12,115.98,116.06,115.86,115.98,1501071
2024-02-09,115.82,115.93,115.81,115.89,1287891
2024-02-08,116.09,116.16,115.97,116.01,1575606
2024-02-07,116.24,116.55,116.21,116.22,2423513
2024-02-06,116.03,116.41,116.0,116.35,2886754
2024-02-05,116.14,116.2,115.86,115.93,2237720
2024-02-02,116.68,116.82,116.42,116.58,2514992
2024-02-01,117.47,117.79,117.26,117.54,1875128
2024-01-31,117.21,117.53,117.12,117.49,3125268
2024-01-30,116.95,116.98,116.6,116.78,1472925
2024-01-29,116.68,116.9,116.63,116.87,1323714
2024-01-26,116.55,116.55,116.39,116.49,1823813
2024-01-25,116.53,116.66,116.46,116.64,3347204
2024-01-24,116.75,116.76,116.24,116.26,2246194
2024-01-23,116.46,116.49,116.37,116.45,1102878
2024-01-22,116.58,116.67,116.52,116.58,1503748
2024-01-19,116.28,116.38,116.12,116.38,3221766
2024-01-18,116.53,116.59,116.38,116.44,1688783
2024-01-17,116.56,116.61,116.38,116.5,2680213
2024-01-16,117.15,117.28,116.77,116.9,2755525
2024-01-12,117.44,117.6,117.26,117.4,1637391
2024-01-11,116.73,117.13,116.68,117.1,2228146
2024-01-10,116.81,116.85,116.56,116.58,2476748
2024-01-09,116.57,116.73,116.57,116.65,2932577
2024-01-08,116.46,116.89,116.44,116.62,1230502
2024-01-05,116.36,116.87,116.27,116.38,2467870
2024-01-04,116.58,116.69,116.51,116.58,1457949
2024-01-03,116.53,117.0,116.47,116.95,2441857
2024-01-02,116.75,116.91,116.74,116.79,2013768
2023-12-29,116.98,117.26,116.97,117.13,1452622
2023-12-28,117.25,117.34,117.08,117.16,1309140
2023-12-27,117.09,117.39,117.05,117.37,1547926
2023-12-26,116.79,116.95,116.78,116.86,1990134
2023-12-22,117.03,117.04,116.77,116.89,995892
2023-12-21,117.14,117.21,116.81,116.9,1995422
2023-12-20,116.74,116.95,116.59,116.9,1459227
2023-12-19,116.48,116.65,116.46,116.51,1889902
2023-12-18,116.53,116.53,116.38,116.41,1754646
2023-12-15,116.54,116.71,116.46,116.55,2486495
2023-12-14,116.56,116.9,116.54,116.7,3414144
2023-12-13,115.44,116.57,115.37,116.48,5190361
2023-12-12,115.11,115.29,115.04,115.25,1330731
2023-12-11,114.95,115.12,114.83,115.1,1571304
2023-12-08,115.19,115.29,114.96,115.09,2740824
2023-12-07,115.62,115.85,115.59,115.66,1920538
2023-12-06,115.63,115.73,115.49,115.66,2399516
2023-12-05,115.3,115.61,115.26,115.52,2897545
2023-12-04,115.14,115.31,114.96,115.09,3644764
2023-12-01,114.73,115.52,114.71,115.45,5682500
2023-11-30,115.09,115.11,114.88,115.04,2753600
2023-11-29,115.23,115.44,115.13,115.28,2589600
2023-11-28,114.41,114.96,114.38,114.9,2532600
2023-11-27,114.17,114.45,114.13,114.44,3384200
2023-11-24,114.02,114.07,113.95,113.98,853900
2023-11-22,114.4,114.44,114.11,114.26,3290400
2023-11-21,114.32,114.44,114.19,114.33,1810600
2023-11-20,114.04,114.23,113.98,114.18,1725000
2023-11-17,114.17,114.21,114.0,114.11,1254700
2023-11-16,114.11,114.29,114.09,114.2,4035600
2023-11-15,113.83,113.85,113.6,113.66,2403600
2023-11-14,114.09,114.25,113.98,114.18,6165700
2023-11-13,112.78,113.08,112.72,113.07,3085800
2023-11-10,113.32,113.33,112.97,113.02,2367400
2023-11-09,113.58,113.58,113.01,113.02,3045800
2023-11-08,113.47,113.72,113.47,113.64,2296300
2023-11-07,113.35,113.67,113.34,113.51,2202700
2023-11-06,113.38,113.4,113.16,113.21,2772800
2023-11-03,113.85,114.0,113.52,113.66,3859400
2023-11-02,113.2,113.28,112.9,112.96,3462800
2023-11-01,112.14,112.85,112.11,112.77,4317100
2023-10-31,112.35,112.49,112.26,112.29,4128400
2023-10-30,112.28,112.48,112.24,112.4,3429900
2023-10-27,112.47,112.63,112.37,112.62,2455100
2023-10-26,112.04,112.45,112.03,112.43,2812700
2023-10-25,112.11,112.12,111.81,111.88,2547300
2023-10-24,112.27,112.4,112.09,112.34,3152400
2023-10-23,111.89,112.4,111.83,112.35,2410600
