date,open,high,low,close,volume
2024-03-28,51.5,51.71,51.5,51.6,7862344
2024-03-27,51.32,51.41,51.19,51.4,7669823
2024-03-26,51.47,51.47,51.27,51.27,7391459
2024-03-25,51.28,51.45,51.28,51.39,4992168
2024-03-22,51.37,51.45,51.25,51.33,13370757
2024-03-21,51.95,51.97,51.65,51.65,9544588
2024-03-20,51.12,51.62,51.05,51.6,11951268
2024-03-19,50.95,51.12,50.77,51.04,7861394
2024-03-18,51.49,51.55,51.22,51.25,6236929
2024-03-15,51.27,51.34,51.13,51.15,16674845
2024-03-14,51.76,51.81,51.3,51.44,30012795
2024-03-13,51.68,51.82,51.64,51.72,6671856
2024-03-12,51.82,51.98,51.62,51.96,9365709
2024-03-11,51.42,51.61,51.38,51.45,6884568
2024-03-08,51.54,51.69,51.28,51.34,9469053
2024-03-07,51.19,51.45,51.08,51.43,6972450
2024-03-06,51.09,51.27,51.02,51.12,12637151
2024-03-05,50.59,50.72,50.31,50.41,10064811
2024-03-04,51.01,51.03,50.76,50.8,10763720
2024-03-01,50.69,51.05,50.6,50.97,9603528
2024-02-29,50.56,50.58,50.28,50.34,14518507
2024-02-28,50.48,50.51,50.22,50.28,9011623
2024-02-27,50.98,51.02,50.88,50.94,7480849
2024-02-26,50.82,50.94,50.79,50.85,15207386
2024-02-23,51.04,51.11,50.88,51.05,8650257
2024-02-22,51.04,51.12,50.88,51.08,11377141
2024-02-21,50.6,50.74,50.45,50.6,8487623
2024-02-20,50.67,50.76,50.41,50.53,7192632
2024-02-16,50.41,50.59,50.34,50.44,9723758
2024-02-15,50.01,50.24,49.99,50.23,11586266
2024-02-14,49.82,50.0,49.76,49.97,10644200
2024-02-13,49.57,49.72,49.05,49.23,13084189
2024-02-12,49.86,50.42,49.86,50.18,9342420
2024-02-09,49.74,49.91,49.45,49.84,7028008
2024-02-08,49.75,49.81,49.54,49.63,9848034
2024-02-07,49.8,50.0,49.75,49.94,9328897
2024-02-06,49.56,49.9,49.46,49.89,7976199
2024-02-05,48.62,48.94,48.56,48.82,8774259
2024-02-02,48.7,48.8,48.53,48.74,12570980
2024-02-01,48.72,48.92,48.63,48.91,10461723
2024-01-31,48.53,48.87,48.31,48.45,18057204
2024-01-30,48.56,48.68,48.44,48.67,7986553
2024-01-29,49.08,49.11,48.77,49.02,10907502
2024-01-26,48.86,49.09,48.84,48.97,10095742
2024-01-25,49.05,49.1,48.76,48.9,18633103
2024-01-24,49.19,49.23,48.83,48.86,13861357
2024-01-23,48.14,48.41,48.12,48.38,8542396
2024-01-22,47.89,48.15,47.87,48.02,11580422
2024-01-19,48.03,48.43,47.86,48.4,10290277
2024-01-18,47.92,47.98,47.73,47.91,14894028
2024-01-17,47.38,47.6,47.34,47.6,20825379
2024-01-16,48.63,48.63,48.22,48.26,16207156
2024-01-12,49.59,49.76,49.39,49.45,14378292
2024-01-11,49.29,49.38,48.91,49.26,14206808
2024-01-10,49.09,49.12,48.94,49.02,9561888
2024-01-09,49.14,49.23,49.04,49.13,10729238
2024-01-08,49.34,49.83,49.29,49.82,9115876
2024-01-05,49.65,49.99,49.58,49.68,10187629
2024-01-04,49.57,49.81,49.54,49.57,8399787
2024-01-03,49.5,49.84,49.47,49.71,10155661
2024-01-02,50.09,50.21,49.85,49.95,9409152
2023-12-29,50.49,50.76,50.46,50.58,9046902
2023-12-28,50.6,50.78,50.49,50.53,10092232
2023-12-27,50.06,50.21,50.05,50.2,10642406
2023-12-26,49.81,49.95,49.71,49.87,6974205
2023-12-22,49.35,49.58,49.32,49.49,13097369
2023-12-21,49.45,49.71,49.36,49.69,10760837
2023-12-20,49.35,49.41,48.71,48.75,17960218
2023-12-19,50.4,50.72,50.4,50.64,13851642
2023-12-18,50.21,50.28,50.04,50.24,9323564
2023-12-15,50.5,50.62,50.28,50.31,16195932
2023-12-14,50.15,50.66,50.15,50.6,17492086
2023-12-13,49.12,49.94,48.92,49.93,14719789
2023-12-12,49.22,49.43,49.02,49.42,9074328
2023-12-11,49.12,49.41,49.07,49.38,9897801
2023-12-08,49.02,49.28,48.93,49.15,8311135
2023-12-07,49.25,49.36,49.11,49.33,10039464
2023-12-06,49.46,49.47,49.07,49.07,15999205
2023-12-05,48.97,49.21,48.88,49.16,19424951
2023-12-04,49.53,49.66,49.28,49.37,12853864
2023-12-01,49.35,49.93,49.26,49.92,14325600
2023-11-30,49.63,49.71,49.32,49.65,16555700
2023-11-29,49.61,49.88,49.54,49.57,9164100
2023-11-28,49.65,49.93,49.58,49.86,9658100
2023-11-27,49.39,49.48,49.3,49.44,11054700
2023-11-24,49.34,49.62,49.33,49.58,4561700
2023-11-22,49.58,49.7,49.37,49.54,9126900
2023-11-21,49.81,49.91,49.56,49.64,10627200
2023-11-20,49.53,50.01,49.53,49.94,9894500
2023-11-17,49.26,49.41,49.2,49.33,16039500
2023-11-16,49.16,49.46,49.04,49.24,11129300
2023-11-15,49.64,49.89,49.52,49.66,16290500
2023-11-14,48.75,49.33,48.75,49.28,12038000
2023-11-13,47.87,48.19,47.77,48.04,7940400
2023-11-10,47.72,48.05,47.64,48.02,12001400
2023-11-09,48.15,48.28,47.65,47.69,11223100
2023-11-08,48.24,48.38,48.07,48.14,10413000
2023-11-07,48.26,48.51,48.06,48.47,9105400
2023-11-06,48.75,48.8,48.49,48.58,8983700
2023-11-03,47.81,48.25,47.79,48.14,13911300
2023-11-02,47.08,47.24,46.95,47.22,9414000
2023-11-01,45.92,46.41,45.89,46.4,13982800
2023-10-31,45.83,45.97,45.61,45.94,19623200
2023-10-30,46.46,46.53,46.08,46.24,14070100
2023-10-27,46.2,46.26,45.68,45.74,12342100
2023-10-26,45.72,45.9,45.6,45.78,12976600
2023-10-25,46.18,46.34,45.97,46.03,12006200
2023-10-24,46.24,46.7,46.23,46.63,10043200
2023-10-23,45.75,46.23,45.57,46.04,18392200
2023-10-20,46.26,46.4,46.06,46.07,17360400
2023-10-19,46.79,47.02,46.61,46.67,22534900
2023-10-18,47.19,47.24,46.83,46.89,8604400
2023-10-17,47.4,47.87,47.39,47.67,7551600
2023-10-16,47.44,47.86,47.38,47.78,7152200
2023-10-13,47.65,47.79,47.32,47.41,13019900
2023-10-12,48.2,48.23,47.47,47.61,15175200
2023-10-11,48.2,48.28,47.92,48.1,10888600
2023-10-10,47.47,47.92,47.45,47.86,8871100
2023-10-09,46.8,47.19,46.69,47.18,9078500
2023-10-06,46.76,47.54,46.69,47.44,9653800
2023-10-05,46.65,46.81,46.45,46.78,9722900
2023-10-04,46.68,46.76,46.47,46.6,11633000
2023-10-03,46.93,47.11,46.67,46.75,16703500
2023-10-02,47.51,47.58,47.22,47.35,10912100
2023-09-29,48.09,48.11,47.52,47.59,14679500
2023-09-28,47.27,47.63,47.17,47.58,11346900
2023-09-27,47.63,47.66,47.22,47.44,13872200
2023-09-26,47.57,47.72,47.33,47.36,17473200
2023-09-25,47.87,48.09,47.86,48.04,12538700
2023-09-22,48.47,48.54,48.21,48.23,22030300
2023-09-21,47.85,47.95,47.71,47.72,13492200
2023-09-20,48.87,49.05,48.56,48.57,7481400
2023-09-19,48.8,48.9,48.63,48.74,6816200
2023-09-18,48.92,49.07,48.82,49.02,7156300
2023-09-15,49.27,49.36,49.05,49.09,9433100
2023-09-14,49.24,49.41,49.1,49.29,10619300
2023-09-13,48.93,49.12,48.86,48.95,11737700
2023-09-12,48.8,49.12,48.76,49.01,8708200
2023-09-11,49.09,49.2,48.95,49.19,6633300
2023-09-08,48.63,48.75,48.53,48.62,8218600
2023-09-07,48.53,48.6,48.38,48.53,11931900
2023-09-06,49.17,49.41,48.93,49.01,6121900
2023-09-05,49.39,49.44,49.22,49.28,7561200
2023-09-01,49.72,49.87,49.51,49.62,11418100
2023-08-31,49.37,49.39,49.03,49.06,9109600
2023-08-30,49.56,49.8,49.56,49.65,7392600
2023-08-29,49.27,49.84,49.15,49.81,12448100
2023-08-28,49.04,49.2,48.96,49.17,8968600
2023-08-25,48.7,48.81,48.32,48.72,11717700
2023-08-24,48.98,49.07,48.64,48.66,11990800
2023-08-23,48.43,48.89,48.41,48.82,6752300
2023-08-22,48.34,48.4,48.01,48.09,10963000
2023-08-21,47.99,48.21,47.9,48.18,7334600
2023-08-18,47.87,48.11,47.8,48.03,12101900
2023-08-17,48.83,48.84,48.29,48.34,9248800
2023-08-16,48.38,48.6,48.2,48.21,10320300
2023-08-15,48.9,48.9,48.57,48.63,16831100
2023-08-14,48.91,49.21,48.73,49.11,10475100
2023-08-11,49.54,49.6,49.26,49.39,7524300
2023-08-10,50.34,50.72,49.97,50.07,8148500
2023-08-09,50.22,50.26,49.85,50.05,8227900
2023-08-08,49.76,49.92,49.53,49.89,7462900
2023-08-07,50.68,50.69,50.28,50.48,6768100
2023-08-04,50.75,51.02,50.5,50.58,12508000
2023-08-03,50.48,50.74,50.41,50.57,18049100
2023-08-02,50.75,50.76,50.28,50.38,10252000
2023-08-01,51.77,51.86,51.53,51.58,10669500
2023-07-31,52.01,52.3,51.95,52.23,13785600
2023-07-28,51.94,52.2,51.87,52.17,10222800
2023-07-27,51.61,51.64,50.9,50.97,10113400
2023-07-26,51.08,51.72,51.06,51.61,15129100
2023-07-25,51.51,51.54,51.31,51.35,12764000
2023-07-24,50.47,51.09,50.4,50.95,13072800
2023-07-21,50.42,50.51,50.23,50.28,11969900
2023-07-20,50.5,50.58,50.25,50.3,48184900
2023-07-19,50.84,51.04,50.63,50.7,11186100
2023-07-18,50.81,50.95,50.64,50.78,5778900
2023-07-17,50.82,51.11,50.62,51.09,5798900
2023-07-14,51.15,51.17,50.97,50.99,5838800
2023-07-13,50.94,51.32,50.94,51.27,11282700
2023-07-12,50.39,50.74,50.36,50.69,10743700
2023-07-11,49.46,49.71,49.28,49.68,8231700
2023-07-10,48.83,49.19,48.83,49.17,6320000
2023-07-07,48.76,49.38,48.76,49.16,7732400
2023-07-06,48.88,48.93,48.42,48.6,7034400
2023-07-05,49.65,49.67,49.48,49.56,6080400
2023-07-03,49.85,50.07,49.77,49.85,5102400
2023-06-30,49.25,49.45,49.15,49.29,10618500
2023-06-29,48.74,48.9,48.72,48.86,7981300
2023-06-28,49.01,49.14,48.9,49.09,11109400
2023-06-27,49.26,49.42,49.17,49.4,6720500
2023-06-26,48.95,49.12,48.87,48.93,12328500
2023-06-23,48.81,48.81,48.61,48.73,7524100
2023-06-22,49.33,49.49,49.23,49.44,6695100
2023-06-21,49.58,49.7,49.43,49.62,8805300
2023-06-20,50.06,50.11,49.68,49.8,11593000
2023-06-16,50.96,50.97,50.6,50.7,14495800
2023-06-15,50.64,50.91,50.57,50.88,11289600
2023-06-14,50.06,50.5,50.06,50.42,11744100
2023-06-13,50.12,50.26,49.96,50.08,9455300
2023-06-12,49.52,49.66,49.44,49.62,9809900
2023-06-09,49.46,49.71,49.45,49.49,12002000
2023-06-08,48.97,49.31,48.95,49.28,8439700
2023-06-07,49.15,49.37,48.88,48.93,10909800
2023-06-06,49.1,49.66,49.04,49.62,9113500
2023-06-05,49.05,49.22,48.95,49.15,12670400
2023-06-02,49.13,49.31,49.12,49.21,14181300
2023-06-01,47.65,48.42,47.64,48.4,11638400
2023-05-31,47.63,47.65,47.21,47.58,14902200
2023-05-30,48.39,48.41,47.85,47.97,11422200
2023-05-26,48.09,48.57,48.08,48.5,8902900
2023-05-25,47.92,47.94,47.62,47.72,12257800
2023-05-24,48.06,48.09,47.77,47.82,13745900
2023-05-23,48.44,48.54,48.09,48.1,10373600
2023-05-22,48.76,48.99,48.76,48.79,8248100
2023-05-19,48.45,48.52,48.3,48.41,8370700
2023-05-18,48.44,48.44,48.16,48.38,10465400
2023-05-17,48.4,48.66,48.3,48.61,9467600
2023-05-16,48.39,48.57,48.35,48.37,6764900
2023-05-15,48.34,48.76,48.2,48.7,9353700
2023-05-12,48.1,48.12,47.78,47.88,9068100
