date,open,high,low,close,volume
2024-03-28,61.97,62.18,61.9,61.9,219827
2024-03-27,61.64,61.91,61.52,61.9,87608
2024-03-26,60.97,61.17,60.85,61.08,114816
2024-03-25,61.07,61.12,60.78,60.83,90803
2024-03-22,61.03,61.24,60.89,60.94,82468
2024-03-21,61.1,61.28,61.0,61.03,104124
2024-03-20,61.19,61.19,60.79,61.17,105785
2024-03-19,60.89,61.32,60.77,61.28,99199
2024-03-18,61.11,61.2,60.83,60.89,122694
2024-03-15,60.74,61.0,60.7,60.84,190452
2024-03-14,61.47,61.47,60.79,61.16,124237
2024-03-13,61.77,61.89,61.18,61.42,370501
2024-03-12,61.33,61.76,61.21,61.61,209796
2024-03-11,61.3,61.44,60.94,61.3,128819
2024-03-08,61.52,61.74,61.4,61.41,115952
2024-03-07,61.43,61.68,61.33,61.54,87280
2024-03-06,60.93,61.42,60.93,61.23,339950
2024-03-05,61.31,61.31,60.61,60.79,107465
2024-03-04,61.44,61.44,61.14,61.29,138735
2024-03-01,60.75,61.38,60.66,61.32,279930
2024-02-29,61.29,61.29,60.66,60.66,262540
2024-02-28,61.4,61.4,60.99,61.22,111675
2024-02-27,61.57,61.72,61.47,61.54,95400
2024-02-26,62.02,62.07,61.66,61.72,145600
2024-02-23,61.96,62.14,61.79,61.96,2091755
2024-02-22,61.16,61.79,60.94,61.72,133000
2024-02-21,60.51,60.93,60.49,60.92,203780
2024-02-20,61.14,61.23,60.69,60.83,124850
2024-02-16,61.0,61.48,60.8,61.07,84675
2024-02-15,60.44,60.94,60.44,60.85,89775
2024-02-14,60.17,60.45,60.05,60.45,97600
2024-02-13,60.13,60.45,59.56,59.87,126575
2024-02-12,60.2,60.47,60.12,60.43,69860
2024-02-09,60.33,60.43,60.19,60.37,105735
2024-02-08,60.32,60.43,60.13,60.42,210805
2024-02-07,60.44,60.69,60.38,60.43,190855
2024-02-06,60.09,60.37,59.86,60.35,168315
2024-02-05,59.61,60.0,59.61,59.72,106855
2024-02-02,59.54,59.75,59.19,59.49,1447840
2024-02-01,58.85,59.53,58.63,59.53,254805
2024-01-31,59.21,59.28,58.79,58.79,195730
2024-01-30,58.9,59.0,58.64,58.93,110875
2024-01-29,58.43,58.87,58.43,58.84,288980
2024-01-26,58.47,58.55,58.34,58.43,225800
2024-01-25,58.0,58.11,57.61,58.11,235875
2024-01-24,58.88,58.99,58.16,58.18,179090
2024-01-23,58.66,58.72,58.31,58.68,210720
2024-01-22,58.64,58.88,58.49,58.73,161205
2024-01-19,58.41,58.61,58.19,58.49,145695
2024-01-18,57.96,58.44,57.72,58.41,211475
2024-01-17,58.34,58.63,58.22,58.38,381245
2024-01-16,58.7,58.8,58.46,58.54,184480
2024-01-12,58.84,59.16,58.74,58.93,138110
