date,open,high,low,close,volume
2024-03-28,89.65,90.13,89.54,89.86,5119660
2024-03-27,87.89,89.29,87.81,89.26,5766939
2024-03-26,87.64,87.73,87.02,87.07,3713205
2024-03-25,88.06,88.36,87.49,87.49,3989340
2024-03-22,88.99,89.21,87.83,87.89,4604545
2024-03-21,88.84,89.41,88.47,89.07,5545092
2024-03-20,87.55,89.02,87.33,88.79,6651356
2024-03-19,88.17,88.53,87.65,88.25,5295479
2024-03-18,88.39,88.71,88.06,88.17,4758524
2024-03-15,87.64,88.53,87.53,88.24,5868999
2024-03-14,89.38,89.56,87.62,88.34,8196007
2024-03-13,90.07,90.63,89.45,89.74,4356549
2024-03-12,90.24,90.54,89.43,90.2,5505118
2024-03-11,90.54,91.2,90.02,90.42,5528294
2024-03-08,90.25,91.07,90.15,90.85,6119446
2024-03-07,90.18,90.45,89.34,89.84,3898510
2024-03-06,89.9,90.09,89.26,89.65,10676293
2024-03-05,90.0,90.6,88.92,89.38,10980075
2024-03-04,89.3,90.48,88.68,90.43,12762528
2024-03-01,88.57,89.56,87.46,89.56,14064616
2024-02-29,88.49,88.99,88.13,88.6,8300438
2024-02-28,86.4,88.24,86.3,87.82,5674406
2024-02-27,87.28,87.64,86.64,86.95,5385569
2024-02-26,87.48,87.95,86.61,86.78,5589227
2024-02-23,87.93,88.2,87.47,87.77,5583924
2024-02-22,87.8,88.18,87.5,87.66,5262373
2024-02-21,87.35,87.64,86.89,87.6,5101040
2024-02-20,86.79,87.38,86.27,86.96,5858193
2024-02-16,86.94,87.64,86.45,87.1,7266721
2024-02-15,86.8,88.15,86.8,88.04,5352166
2024-02-14,85.79,86.56,85.41,86.1,7169705
2024-02-13,85.25,85.43,84.24,85.32,10341722
2024-02-12,87.36,87.81,86.93,87.09,3816063
2024-02-09,87.02,87.32,86.21,87.15,5128536
2024-02-08,86.22,87.3,86.22,87.1,4580573
2024-02-07,86.89,86.94,85.95,86.5,5407522
2024-02-06,85.48,86.72,85.22,86.52,10685620
2024-02-05,86.09,86.15,85.15,85.34,12253364
2024-02-02,87.37,87.78,85.78,87.11,15816820
2024-02-01,86.87,88.35,86.23,88.31,12125896
2024-01-31,87.95,88.47,86.54,86.75,9875199
2024-01-30,87.93,88.27,87.36,87.57,4935075
2024-01-29,87.85,88.51,87.52,88.42,4002554
2024-01-26,88.18,88.45,87.57,87.81,3705383
2024-01-25,88.14,88.49,87.61,88.09,5037657
2024-01-24,89.19,89.19,86.92,86.95,5461824
2024-01-23,89.08,89.36,87.9,88.24,4400854
2024-01-22,88.57,89.68,88.39,88.78,5674499
2024-01-19,87.55,88.64,86.92,88.32,7749012
2024-01-18,87.99,88.31,86.78,87.35,6415841
2024-01-17,88.35,89.42,86.99,87.94,8928088
2024-01-16,89.7,90.08,89.21,89.54,7090237
2024-01-12,90.54,90.74,89.69,90.17,5250868
2024-01-11,90.09,90.19,89.1,89.59,6250435
2024-01-10,90.52,90.82,90.09,90.39,5212249
2024-01-09,90.15,90.69,89.64,90.32,5348319
2024-01-08,89.5,90.98,89.38,90.95,4941871
2024-01-05,89.16,90.37,88.68,89.66,6890806
2024-01-04,90.07,90.44,89.47,89.86,6303693
2024-01-03,91.39,91.45,89.83,90.02,7145510
2024-01-02,91.0,92.32,90.71,92.22,4613840
2023-12-29,91.92,92.23,91.32,91.41,4854428
2023-12-28,91.74,92.47,91.68,92.46,4143736
2023-12-27,91.64,91.96,91.16,91.95,5523094
2023-12-26,90.84,91.68,90.66,91.47,3094079
2023-12-22,90.77,91.44,90.32,90.78,4737406
2023-12-21,90.41,90.65,89.45,90.48,6895306
2023-12-20,90.78,91.42,89.57,89.63,7895469
2023-12-19,91.31,91.79,91.13,91.58,6754363
2023-12-18,91.5,91.61,90.77,90.97,7094314
2023-12-15,92.15,92.15,90.36,91.11,12226784
2023-12-14,91.22,92.85,91.22,92.26,10613270
2023-12-13,86.6,90.05,86.38,89.78,11198880
2023-12-12,86.45,86.78,86.0,86.55,5163751
2023-12-11,85.99,86.65,85.82,86.49,4347293
2023-12-08,86.11,86.51,85.41,86.29,5477757
2023-12-07,86.24,86.72,85.88,86.47,8795057
2023-12-06,86.93,87.51,86.17,86.18,10876743
2023-12-05,86.66,86.78,86.11,86.56,13199558
2023-12-04,86.02,87.09,85.96,87.09,13459835
2023-12-01,84.53,86.57,84.28,86.57,17020668
2023-11-30,83.87,84.64,83.6,84.59,8109124
2023-11-29,83.95,84.69,83.85,83.95,6359542
2023-11-28,82.61,83.43,82.18,83.34,7386174
2023-11-27,82.6,83.26,82.19,82.85,6466412
2023-11-24,82.07,82.55,81.68,82.55,2314384
2023-11-22,82.48,82.85,81.89,82.25,4303818
2023-11-21,82.0,82.19,81.67,81.94,4730729
2023-11-20,81.6,82.37,81.02,82.34,6169862
