date,open,high,low,close,volume
2024-03-28,21.96,22.08,21.89,21.98,354730
2024-03-27,21.79,21.97,21.77,21.96,489625
2024-03-26,21.79,21.84,21.66,21.69,476637
2024-03-25,21.71,21.8,21.71,21.78,250094
2024-03-22,21.85,21.88,21.7,21.72,1157061
2024-03-21,21.78,21.91,21.76,21.85,402723
2024-03-20,21.66,21.95,21.64,21.9,758946
2024-03-19,21.69,21.75,21.65,21.7,422779
2024-03-18,21.67,21.84,21.6,21.73,746130
2024-03-15,21.71,21.8,21.61,21.62,537947
2024-03-14,22.04,22.04,21.66,21.77,642948
2024-03-13,22.05,22.2,22.02,22.07,264747
2024-03-12,22.2,22.2,21.95,22.07,380963
2024-03-11,21.84,22.19,21.84,22.15,396808
2024-03-08,21.87,21.99,21.83,21.91,632542
2024-03-07,21.97,21.98,21.78,21.81,425108
2024-03-06,22.04,22.16,21.95,22.03,979203
2024-03-05,21.95,22.13,21.9,22.04,1485290
2024-03-04,22.14,22.17,21.94,22.01,388424
2024-03-01,21.87,22.22,21.87,22.18,708615
2024-02-29,21.91,22.03,21.89,21.96,1376305
2024-02-28,21.83,21.91,21.78,21.8,265759
2024-02-27,21.84,21.91,21.76,21.89,594967
2024-02-26,21.83,22.02,21.8,21.82,2054597
2024-02-23,21.96,22.0,21.79,21.88,763893
2024-02-22,21.92,21.99,21.79,21.97,949108
2024-02-21,21.9,21.9,21.75,21.86,391115
2024-02-20,21.78,21.96,21.76,21.87,692625
2024-02-16,22.08,22.11,21.93,21.94,682168
2024-02-15,22.2,22.34,22.19,22.28,508006
2024-02-14,22.23,22.34,22.15,22.31,289126
2024-02-13,22.24,22.37,21.96,22.14,1454575
2024-02-12,22.45,22.76,22.45,22.65,1107049
2024-02-09,22.26,22.57,22.26,22.42,440106
2024-02-08,22.5,22.51,22.18,22.23,752624
2024-02-07,22.95,22.95,22.57,22.58,612533
2024-02-06,23.04,23.15,22.91,22.98,689032
2024-02-05,23.12,23.13,22.91,22.94,257707
2024-02-02,23.4,23.49,23.15,23.23,486255
2024-02-01,23.64,23.71,23.49,23.69,1059916
2024-01-31,23.75,23.81,23.49,23.49,233941
2024-01-30,23.91,23.94,23.81,23.87,619269
2024-01-29,23.71,23.93,23.63,23.92,229576
2024-01-26,23.66,23.87,23.61,23.77,246502
2024-01-25,23.42,23.65,23.37,23.64,324766
2024-01-24,23.66,23.66,23.22,23.23,208786
2024-01-23,23.44,23.58,23.37,23.53,194861
2024-01-22,23.19,23.31,23.12,23.26,248493
2024-01-19,22.82,23.03,22.73,23.02,255395
2024-01-18,22.57,22.76,22.54,22.74,376402
2024-01-17,22.59,22.69,22.42,22.55,212215
2024-01-16,22.64,22.83,22.56,22.81,279047
2024-01-12,22.8,22.95,22.72,22.73,229031
2024-01-11,22.98,22.98,22.66,22.73,305996
2024-01-10,22.89,23.03,22.77,22.96,521640
2024-01-09,22.9,22.91,22.76,22.89,700180
2024-01-08,22.61,22.95,22.55,22.93,244176
2024-01-05,22.49,22.75,22.49,22.63,1303354
2024-01-04,22.66,22.66,22.52,22.52,198422
2024-01-03,22.78,22.84,22.64,22.64,411994
2024-01-02,22.66,22.99,22.66,22.85,347182
2023-12-29,22.79,22.85,22.65,22.76,326597
2023-12-28,22.57,22.85,22.57,22.82,662045
2023-12-27,22.58,22.71,22.58,22.65,297283
2023-12-26,22.43,22.66,22.37,22.61,862168
2023-12-22,22.4,22.61,22.3,22.43,285760
2023-12-21,22.26,22.31,22.15,22.28,297827
2023-12-20,22.32,22.52,22.13,22.13,814500
2023-12-19,22.45,22.56,22.45,22.53,229026
2023-12-18,22.39,22.47,22.27,22.42,583437
2023-12-15,22.49,22.54,22.32,22.38,726780
2023-12-14,22.38,22.76,22.38,22.57,626651
2023-12-13,21.89,22.23,21.72,22.21,946469
2023-12-12,22.09,22.09,21.83,21.91,477770
2023-12-11,21.99,22.12,21.9,22.04,963954
2023-12-08,21.81,22.04,21.81,21.96,220930
2023-12-07,21.66,21.94,21.63,21.89,394162
2023-12-06,21.74,21.87,21.58,21.61,314461
2023-12-05,21.96,22.01,21.51,21.63,457819
2023-12-04,21.8,22.02,21.6,21.99,283550
2023-12-01,21.65,21.91,21.58,21.9,240295
2023-11-30,21.62,21.67,21.48,21.65,190761
2023-11-29,21.52,21.71,21.5,21.55,222855
2023-11-28,21.35,21.51,21.28,21.45,246404
2023-11-27,21.42,21.47,21.33,21.41,253692
2023-11-24,21.38,21.5,21.38,21.48,89143
2023-11-22,21.44,21.52,21.35,21.39,174479
2023-11-21,21.43,21.43,21.25,21.3,214364
2023-11-20,21.2,21.5,21.16,21.44,241516
2023-11-17,21.21,21.26,21.12,21.21,745765
2023-11-16,21.2,21.24,20.9,21.15,377563
2023-11-15,21.5,21.72,21.5,21.7,480717
2023-11-14,21.33,21.56,21.33,21.49,266541
2023-11-13,20.99,21.11,20.9,20.97,284481
2023-11-10,20.99,21.08,20.73,21.07,188871
2023-11-09,21.24,21.24,20.9,20.93,289858
2023-11-08,21.33,21.39,21.15,21.23,137573
2023-11-07,21.38,21.44,21.23,21.32,147598
2023-11-06,21.7,21.7,21.32,21.35,163208
2023-11-03,21.56,21.84,21.54,21.74,281066
2023-11-02,20.93,21.38,20.93,21.38,281180
2023-11-01,20.76,20.82,20.61,20.76,353406
2023-10-31,20.45,20.74,20.44,20.7,272681
2023-10-30,20.0,20.36,20.0,20.3,342023
2023-10-27,20.06,20.2,19.85,19.9,416014
2023-10-26,20.22,20.35,20.1,20.15,1074515
2023-10-25,20.94,20.94,20.52,20.54,766519
2023-10-24,20.7,20.98,20.7,20.95,245298
2023-10-23,20.61,20.72,20.47,20.49,409765
2023-10-20,20.88,21.03,20.73,20.75,219912
2023-10-19,21.23,21.26,20.9,20.92,334955
2023-10-18,21.33,21.33,21.09,21.12,180167
2023-10-17,21.12,21.36,21.12,21.36,221490
2023-10-16,21.01,21.33,21.01,21.26,262434
2023-10-13,20.99,21.13,20.86,20.92,251333
2023-10-12,21.24,21.24,20.84,20.97,220869
2023-10-11,21.24,21.28,21.02,21.11,205876
