date,open,high,low,close,volume
2024-03-28,158.2,159.14,158.11,158.19,5933877
2024-03-27,155.99,158.22,155.44,157.96,8461600
2024-03-26,155.61,156.23,154.76,155.77,6864099
2024-03-25,155.4,155.98,154.9,155.22,7498100
2024-03-22,155.69,156.36,155.11,155.23,7248622
2024-03-21,155.59,156.95,155.1,155.75,5915777
2024-03-20,155.7,156.44,155.21,155.76,5982304
2024-03-19,156.67,156.86,155.66,156.21,7840624
2024-03-18,158.57,158.69,156.5,156.76,6602255
2024-03-15,158.06,159.19,157.1,158.18,13165500
2024-03-14,160.94,161.54,158.69,159.21,6988264
2024-03-13,162.53,162.68,159.81,161.1,6260000
2024-03-12,161.58,163.11,161.13,162.74,8018736
2024-03-11,159.49,161.32,158.88,161.23,4620826
2024-03-08,158.87,160.39,158.43,159.52,5283951
2024-03-07,160.0,160.36,158.24,158.87,5188726
2024-03-06,159.46,160.93,159.22,159.34,5773683
2024-03-05,160.62,161.24,159.2,159.97,8298182
2024-03-04,161.32,161.61,158.27,159.84,8533083
2024-03-01,161.83,162.57,161.09,162.12,5670135
2024-02-29,162.0,162.19,160.94,161.38,9849270
2024-02-28,161.0,161.61,160.29,161.55,6071076
2024-02-27,160.34,161.04,159.64,160.98,5078650
2024-02-26,161.8,162.01,160.57,160.79,5465417
2024-02-23,160.88,162.25,160.16,161.84,6725963
2024-02-22,158.98,160.74,157.77,160.45,8065010
2024-02-21,158.02,158.69,157.13,158.68,7473300
2024-02-20,156.56,158.61,156.44,157.86,9501742
2024-02-16,156.6,157.26,155.67,156.55,8540961
2024-02-15,155.98,158.48,155.89,157.92,7462529
2024-02-14,156.35,156.46,154.84,155.74,9098805
2024-02-13,157.64,158.45,155.75,156.47,8621022
2024-02-12,156.58,158.41,156.35,157.85,6701508
2024-02-09,156.27,157.2,155.67,156.76,6529202
2024-02-08,157.34,157.34,155.31,156.4,9754960
2024-02-07,157.8,159.37,157.69,157.98,8690294
2024-02-06,155.83,158.73,155.6,158.06,9230611
2024-02-05,156.61,156.89,155.34,155.8,9121808
