date,open,high,low,close,volume
2024-03-28,199.49,200.72,198.54,200.3,8572821
2024-03-27,196.5,199.6,196.38,199.52,8725757
2024-03-26,194.59,196.66,194.06,195.73,5961484
2024-03-25,196.6,196.94,194.36,194.82,8620015
2024-03-22,199.01,200.48,196.54,196.62,8108840
2024-03-21,196.52,199.43,196.33,199.06,11203796
2024-03-20,194.19,196.56,193.61,196.33,9367043
2024-03-19,192.71,193.93,192.38,193.79,8478717
2024-03-18,190.63,192.7,189.89,192.66,9013843
2024-03-15,186.48,190.94,186.48,190.3,17214229
2024-03-14,191.03,191.63,187.1,187.97,10310948
2024-03-13,190.36,191.73,189.84,191.38,7795535
2024-03-12,188.95,190.16,187.91,189.84,5708384
2024-03-11,187.28,188.44,186.22,188.29,5762569
2024-03-08,188.44,190.46,187.92,188.22,6172199
2024-03-07,189.91,190.5,186.63,187.87,7618277
2024-03-06,189.25,190.07,187.63,189.53,7572891
2024-03-05,186.36,189.3,186.36,188.55,6617832
2024-03-04,184.71,187.59,184.27,186.68,7063605
2024-03-01,185.7,186.44,185.1,185.29,6311996
2024-02-29,185.66,186.43,183.85,186.06,9643012
2024-02-28,183.43,185.2,182.96,184.38,6131608
2024-02-27,183.31,183.54,182.24,183.45,5717065
2024-02-26,183.75,184.46,182.48,183.36,7145391
2024-02-23,183.81,185.2,183.19,183.99,7105833
2024-02-22,181.82,183.42,181.24,183.07,9296459
2024-02-21,179.95,180.99,178.52,180.9,7027857
2024-02-20,179.19,180.46,178.41,179.73,9667959
2024-02-16,179.61,179.98,178.16,179.03,8152647
2024-02-15,176.15,180.21,176.15,179.87,8723390
2024-02-14,175.07,176.1,174.42,176.03,7056664
2024-02-13,175.32,176.23,172.62,174.26,8397631
2024-02-12,174.78,176.81,173.7,175.79,8539316
2024-02-09,175.0,175.1,173.67,175.01,6296729
2024-02-08,175.0,175.31,173.57,174.8,6060285
2024-02-07,175.69,175.87,173.96,175.43,7225478
2024-02-06,174.61,175.87,173.76,175.1,6765684
2024-02-05,173.86,175.09,172.92,174.5,7820160
2024-02-02,173.3,175.82,173.26,174.73,8607839
2024-02-01,173.64,174.84,171.43,173.73,9354798
2024-01-31,176.2,178.3,174.34,174.36,11521820
2024-01-30,172.83,176.76,172.83,176.27,10822075
2024-01-29,172.24,172.84,171.3,172.73,6971192
2024-01-26,172.61,173.06,171.78,172.28,7442955
2024-01-25,172.31,172.99,170.91,172.94,8873481
2024-01-24,169.36,171.01,168.86,170.5,9967060
2024-01-23,169.67,169.75,168.44,168.99,8360829
2024-01-22,170.46,171.98,169.71,170.11,12837505
2024-01-19,167.55,170.57,167.08,170.31,13115664
2024-01-18,167.12,167.53,165.24,167.42,9382255
