date,open,high,low,close,volume
2024-03-28,58.68,59.05,58.68,59.05,7364
2024-03-27,57.83,58.86,57.83,58.86,10954
2024-03-26,58.14,58.14,57.51,57.51,2727
2024-03-25,57.86,58.01,57.86,57.92,2315
2024-03-22,57.96,58.07,57.83,57.83,7032
2024-03-21,57.96,58.2,57.62,57.62,6328
2024-03-20,57.66,58.0,57.66,57.87,5079
2024-03-19,57.2,57.54,57.2,57.53,6996
2024-03-18,57.08,57.48,57.08,57.24,5127
2024-03-15,57.17,57.34,57.08,57.23,3357
2024-03-14,57.63,57.63,57.06,57.07,9441
2024-03-13,57.58,57.72,57.49,57.49,6058
2024-03-12,57.53,57.53,57.04,57.14,1975
2024-03-11,57.52,57.65,57.44,57.65,4630
2024-03-08,57.57,57.74,57.57,57.59,7087
2024-03-07,57.49,57.62,57.49,57.49,4780
2024-03-06,56.93,57.23,56.82,56.91,4191
2024-03-05,56.46,57.0,56.17,56.3,9283
2024-03-04,55.33,56.14,55.33,56.14,4430
2024-03-01,55.7,55.7,55.21,55.62,5542
2024-02-29,55.96,56.1,55.56,55.84,27439
2024-02-28,55.61,55.73,55.6,55.66,3773
2024-02-27,55.14,55.67,55.09,55.66,11832
2024-02-26,55.68,55.68,54.88,54.91,18074
2024-02-23,55.67,56.13,55.67,55.92,2759
2024-02-22,55.86,55.86,55.53,55.72,3688
2024-02-21,55.68,56.06,55.68,56.02,3671
2024-02-20,55.48,55.84,55.48,55.54,8245
2024-02-16,55.11,55.54,55.11,55.36,8198
2024-02-15,54.91,55.52,54.91,55.52,3572
2024-02-14,54.57,54.65,54.4,54.65,3060
2024-02-13,54.86,54.86,54.0,54.34,5687
2024-02-12,54.77,55.21,54.75,55.17,3662
2024-02-09,54.4,54.68,54.4,54.67,7857
2024-02-08,54.97,54.97,54.33,54.59,18261
2024-02-07,55.3,55.33,55.09,55.16,5202
2024-02-06,55.0,55.34,55.0,55.27,6652
2024-02-05,55.71,55.71,55.32,55.32,17404
2024-02-02,56.14,56.52,55.89,56.19,10509
2024-02-01,56.22,57.14,56.22,57.14,3765
2024-01-31,56.74,56.89,56.18,56.38,3580
2024-01-30,56.32,56.47,56.08,56.39,4261
2024-01-29,56.04,56.47,55.83,56.37,9808
2024-01-26,56.1,56.21,56.05,56.08,3449
2024-01-25,55.95,56.12,55.69,56.12,6993
2024-01-24,56.46,56.51,55.54,55.57,14512
2024-01-23,56.03,56.03,55.82,55.95,7017
2024-01-22,56.35,56.62,56.03,56.13,9821
2024-01-19,56.39,56.44,56.0,56.39,8776
2024-01-18,56.67,56.67,56.16,56.32,6282
2024-01-17,57.04,57.22,56.48,56.82,11524
