date,open,high,low,close,volume
2024-03-28,36.65,36.98,36.65,36.9,6896437
2024-03-27,36.63,36.84,36.38,36.53,5229713
2024-03-26,36.28,36.65,36.21,36.37,10195579
2024-03-25,35.88,36.24,35.81,36.18,9047907
2024-03-22,35.7,35.95,35.57,35.85,8880379
2024-03-21,35.4,35.65,35.31,35.6,7424446
2024-03-20,35.31,35.69,35.03,35.35,9952119
2024-03-19,34.85,35.29,34.82,35.27,7909522
2024-03-18,34.37,35.03,34.28,34.92,8794132
2024-03-15,34.26,34.6,34.22,34.37,12259752
2024-03-14,34.5,34.6,34.09,34.32,9222596
2024-03-13,34.85,34.94,34.34,34.53,11161939
2024-03-12,34.85,34.91,34.57,34.6,6893407
2024-03-11,34.88,35.24,34.85,34.98,7694736
2024-03-08,34.39,34.93,34.31,34.84,5872796
2024-03-07,35.23,35.24,34.41,34.5,6584130
2024-03-06,35.17,35.44,35.15,35.35,7354968
2024-03-05,35.2,35.37,34.99,35.13,8928707
2024-03-04,35.05,35.28,34.81,35.04,8826290
2024-03-01,35.31,35.34,34.98,35.13,6032444
2024-02-29,35.61,35.69,35.11,35.28,15251038
2024-02-28,35.87,35.89,35.5,35.54,4922986
2024-02-27,36.03,36.1,35.58,35.8,4807487
2024-02-26,35.9,36.15,35.87,35.96,7033788
2024-02-23,36.44,36.59,36.03,36.05,6194355
2024-02-22,36.08,36.48,35.91,36.41,6661025
2024-02-21,35.83,36.41,35.74,36.39,9722599
2024-02-20,35.0,35.69,35.0,35.62,8710405
2024-02-16,34.91,35.15,34.78,34.81,6404021
2024-02-15,34.25,35.17,34.23,34.97,10689070
2024-02-14,34.99,35.51,33.67,34.16,20793772
2024-02-13,36.43,36.62,35.82,36.13,9869410
2024-02-12,35.97,36.4,35.75,36.36,9648201
2024-02-09,36.31,36.38,35.8,35.97,8189336
2024-02-08,36.44,36.68,36.23,36.47,10685491
2024-02-07,37.33,37.37,36.39,36.4,7750794
2024-02-06,37.25,37.35,37.05,37.21,6116063
2024-02-05,37.52,37.56,37.17,37.22,5800796
2024-02-02,37.75,37.91,37.44,37.65,5809553
2024-02-01,37.31,37.76,36.77,37.76,8337669
2024-01-31,37.35,37.61,37.03,37.13,6270797
2024-01-30,37.32,37.46,37.21,37.35,5029993
2024-01-29,37.13,37.4,36.97,37.31,7089439
2024-01-26,37.37,37.44,37.08,37.21,6726986
2024-01-25,36.98,37.43,36.92,37.26,5129929
2024-01-24,37.15,37.17,36.77,36.82,6210888
2024-01-23,36.74,37.2,36.4,37.15,24754312
2024-01-22,37.1,37.1,36.38,36.76,9334521
2024-01-19,37.0,37.3,36.59,37.08,8786781
2024-01-18,37.77,37.77,36.85,37.01,10693749
2024-01-17,37.46,37.99,37.43,37.79,7680887
2024-01-16,37.75,37.79,37.43,37.61,8373769
2024-01-12,37.74,37.82,37.52,37.68,4958803
2024-01-11,37.76,37.84,37.5,37.58,7661863
2024-01-10,38.47,38.47,37.74,37.89,7852082
2024-01-09,38.06,38.61,37.88,38.55,8108751
2024-01-08,37.86,38.32,37.82,38.25,7553761
2024-01-05,37.76,38.12,37.64,37.94,5630100
2024-01-04,37.97,38.15,37.7,37.78,7755447
2024-01-03,38.24,38.36,38.0,38.08,8913546
2024-01-02,37.03,38.32,36.98,38.12,11647889
2023-12-29,36.66,37.03,36.64,36.98,5537909
2023-12-28,36.52,36.86,36.51,36.74,5455875
2023-12-27,36.64,36.64,36.33,36.52,4385636
2023-12-26,36.35,36.55,36.18,36.5,4079636
2023-12-22,36.05,36.42,35.98,36.36,5806270
2023-12-21,35.74,36.07,35.69,35.96,6185060
2023-12-20,36.13,36.2,35.71,35.75,8456053
2023-12-19,36.56,36.56,36.17,36.49,7464522
2023-12-18,36.68,36.98,36.39,36.71,6447844
2023-12-15,37.0,37.14,36.41,36.59,14202929
