date,open,high,low,close,volume
2024-03-28,56.98,57.47,56.82,57.27,1825144
2024-03-27,56.12,56.72,56.02,56.65,3079477
2024-03-26,55.8,56.16,55.65,55.89,2415518
2024-03-25,55.75,55.91,55.41,55.65,2018465
2024-03-22,56.18,56.18,55.22,55.55,3614450
2024-03-21,55.07,56.36,54.7,56.11,3453259
2024-03-20,55.45,56.14,54.91,55.14,3398166
2024-03-19,54.92,55.41,54.47,55.2,4455268
2024-03-18,53.41,55.2,53.41,54.77,3785933
2024-03-15,52.59,53.64,52.53,53.56,22198351
2024-03-14,53.72,53.8,52.46,52.94,4276976
2024-03-13,54.22,54.35,53.78,54.0,3620570
2024-03-12,54.12,54.26,53.58,53.85,2913828
2024-03-11,53.67,54.48,53.33,54.15,2644777
2024-03-08,53.53,54.44,53.1,54.21,2560278
2024-03-07,53.94,54.03,53.1,53.6,2843254
2024-03-06,53.78,54.18,53.62,53.86,2721124
2024-03-05,53.86,53.99,53.32,53.42,3050967
2024-03-04,53.65,54.08,52.98,53.72,4933021
2024-03-01,55.32,55.45,54.43,54.83,2430325
2024-02-29,55.88,55.98,55.1,55.15,3826225
2024-02-28,55.71,56.13,55.46,56.11,2045063
2024-02-27,56.35,56.6,55.39,55.63,1746842
2024-02-26,56.44,56.87,56.13,56.44,2319905
2024-02-23,56.84,57.38,56.41,56.43,2612505
2024-02-22,55.93,57.39,55.48,56.98,4301562
2024-02-21,56.33,56.72,55.95,56.45,2646179
2024-02-20,55.62,56.89,55.31,56.13,3114242
2024-02-16,55.22,55.85,54.96,55.47,2836803
2024-02-15,54.3,55.47,54.23,55.39,3047211
2024-02-14,54.06,54.3,53.38,53.99,2575982
2024-02-13,54.68,55.13,53.6,54.21,2804134
2024-02-12,53.29,54.66,53.29,54.65,2762713
2024-02-09,54.73,54.75,53.12,53.49,3433364
2024-02-08,55.5,56.57,54.51,54.94,6521010
2024-02-07,54.59,54.72,53.66,53.69,3989185
2024-02-06,53.97,54.78,53.87,54.43,3243430
2024-02-05,54.75,54.99,54.11,54.12,2836356
2024-02-02,55.63,55.9,54.77,55.06,2250805
2024-02-01,54.69,55.63,53.89,55.62,2131023
2024-01-31,55.25,55.42,54.75,54.76,4600475
2024-01-30,54.74,55.3,54.5,55.29,1661875
2024-01-29,54.79,54.9,54.54,54.79,2193438
2024-01-26,54.79,55.09,54.66,54.74,2300307
2024-01-25,53.69,54.76,53.51,54.63,2369478
2024-01-24,54.36,54.4,53.42,53.47,4233217
2024-01-23,53.8,54.53,53.51,54.45,2798638
2024-01-22,53.64,54.0,53.31,53.61,2652505
2024-01-19,54.61,54.61,53.83,53.93,2019974
2024-01-18,54.25,54.59,53.96,54.56,1610568
2024-01-17,53.91,54.82,53.71,54.53,1971601
2024-01-16,55.26,55.31,54.01,54.14,3256946
2024-01-12,55.45,55.75,55.04,55.42,3129934
2024-01-11,55.68,55.73,55.14,55.25,3143193
2024-01-10,56.43,56.59,55.6,55.79,2808047
2024-01-09,56.24,56.46,55.89,56.39,2523428
2024-01-08,56.56,56.88,56.35,56.54,3357548
2024-01-05,56.84,57.02,56.22,56.66,2898332
2024-01-04,57.58,57.8,56.83,56.84,2489799
2024-01-03,57.93,58.23,57.29,57.48,2575406
2024-01-02,55.89,57.95,55.73,57.76,3187513
2023-12-29,55.59,55.98,55.43,55.91,1878259
2023-12-28,55.11,55.67,55.06,55.62,3206415
2023-12-27,54.91,55.21,54.71,55.17,2183658
2023-12-26,54.36,55.09,54.12,55.0,1650019
2023-12-22,54.0,54.65,53.88,54.48,2277615
2023-12-21,53.12,53.85,53.09,53.85,2716382
2023-12-20,52.95,53.67,52.67,53.03,2992668
2023-12-19,53.81,53.97,53.32,53.64,2579606
2023-12-18,54.03,54.29,53.64,53.93,2281944
2023-12-15,54.46,54.71,53.48,53.77,7962554
2023-12-14,55.49,55.57,54.68,54.83,3498955
2023-12-13,54.05,55.4,53.91,55.3,2541520
2023-12-12,54.33,54.42,53.85,54.04,2382042
2023-12-11,53.84,54.26,53.7,54.25,2918013
2023-12-08,54.15,54.21,53.44,53.7,1643221
2023-12-07,53.8,54.41,53.28,54.16,2206761
2023-12-06,53.33,54.45,53.29,53.71,2675259
2023-12-05,53.59,53.66,53.15,53.35,2238353
2023-12-04,52.71,53.8,52.68,53.65,2052929
2023-12-01,52.47,52.91,52.04,52.88,1958283
2023-11-30,51.29,52.58,51.02,52.54,4266809
2023-11-29,52.13,52.25,51.63,51.66,2291575
2023-11-28,52.31,52.44,52.08,52.28,2212540
2023-11-27,53.39,53.45,52.37,52.5,2244833
2023-11-24,53.0,53.52,53.0,53.47,913706
2023-11-22,52.83,53.38,52.75,52.98,2292404
2023-11-21,52.67,53.14,52.43,52.82,2983475
2023-11-20,52.62,53.03,52.5,52.52,3047070
2023-11-17,52.4,53.03,51.53,52.8,3188114
2023-11-16,52.26,52.68,52.05,52.2,2738669
2023-11-15,52.58,52.9,52.26,52.3,2641170
2023-11-14,52.39,52.86,52.21,52.58,3125780
2023-11-13,51.69,52.59,51.57,52.21,2564157
2023-11-10,52.09,52.26,51.55,51.82,2012357
2023-11-09,52.28,52.3,51.36,52.0,2455446
2023-11-08,52.62,54.0,51.45,51.99,4134895
2023-11-07,51.15,51.41,50.81,50.9,2614030
2023-11-06,51.88,52.05,51.32,51.34,1806939
2023-11-03,52.0,52.27,51.55,52.06,2988337
2023-11-02,50.83,51.88,50.83,51.73,2948839
2023-11-01,50.66,50.86,50.48,50.6,2689278
2023-10-31,50.49,50.7,50.14,50.47,2366989
2023-10-30,50.73,50.8,49.79,50.2,2394106
2023-10-27,50.64,51.14,50.33,50.4,1838599
2023-10-26,51.04,51.39,50.57,50.87,2201565
2023-10-25,50.3,51.04,50.13,50.96,2123634
2023-10-24,49.51,50.34,49.41,50.26,2092552
2023-10-23,49.75,50.13,49.28,49.37,3132164
2023-10-20,50.03,50.84,50.03,50.12,2920265
2023-10-19,50.12,50.47,49.6,49.89,3777406
2023-10-18,50.62,51.13,50.24,50.31,2542656
2023-10-17,50.04,50.85,50.04,50.62,2612682
2023-10-16,50.05,50.57,49.57,50.29,2773370
2023-10-13,48.71,50.02,48.46,49.86,3339874
2023-10-12,49.45,49.45,47.63,48.62,4499296
2023-10-11,50.81,50.93,49.3,49.53,2635904
2023-10-10,50.92,51.11,50.41,50.71,3377133
2023-10-09,50.36,50.76,49.4,50.5,3364275
2023-10-06,50.26,50.49,48.34,50.43,4975411
2023-10-05,52.65,52.74,50.62,50.64,3687782
2023-10-04,53.04,53.28,52.24,52.97,3822851
2023-10-03,52.37,53.46,52.06,52.99,5218555
2023-10-02,55.7,55.82,51.83,52.5,7357075
2023-09-29,55.78,55.98,55.52,55.84,3638156
2023-09-28,55.6,55.72,55.09,55.55,2411252
2023-09-27,55.45,55.66,54.83,55.47,2552822
2023-09-26,55.69,55.96,55.48,55.53,2458450
2023-09-25,56.23,56.6,55.64,55.82,3038917
2023-09-22,56.65,56.97,56.49,56.5,2519653
2023-09-21,56.98,57.32,56.57,56.73,2674196
2023-09-20,56.77,57.28,56.22,57.0,2072066
2023-09-19,56.42,56.89,56.23,56.57,2810793
2023-09-18,56.46,56.51,55.72,56.45,2311609
2023-09-15,56.12,56.65,56.07,56.26,6097167
2023-09-14,55.36,56.32,55.33,56.22,2794249
2023-09-13,56.12,56.28,55.19,55.29,3209094
2023-09-12,56.39,56.44,55.49,55.92,2994787
2023-09-11,55.91,56.26,55.63,56.16,2269018
