date,open,high,low,close,volume
2024-03-30,18.99194,19.168,18.792,19.037,379640559
2024-03-29,19.29,19.808,19.043,19.147,53693741
2024-03-28,19.281,19.805,19.03,19.144,389625376
2024-03-27,20.007,20.187,18.99194,19.284,482866400
2024-03-26,19.376,20.735,19.329,20.009,584522231
2024-03-25,18.52223,19.499,18.372,19.3813,441562578
2024-03-24,18.066,18.626,17.976,18.522,269868132
2024-03-23,18.367,18.477,17.89639,18.067,331799170
2024-03-22,18.438,18.5775,17.326,18.372,497883211
2024-03-21,18.416,18.913,17.88,18.447,552786830
2024-03-20,16.786,18.505,16.262,18.419,781775324
2024-03-19,18.298,18.46,16.5,16.804,935598926
2024-03-18,18.65165,19.491,18.046,18.299,728929956
2024-03-17,18.102,18.855,17.37221,18.65,546519270
2024-03-16,19.635,19.825,17.804,18.105,655756726
2024-03-15,20.879,20.992,18.48514,19.633,993744389
2024-03-14,20.762,21.989,19.85,20.876,1248029437
2024-03-13,20.705,20.969,20.18,20.767,571777047
2024-03-12,21.282,21.347,19.433,20.655,824857503
2024-03-11,21.713,22.876,20.724,21.277,1265727284
2024-03-10,20.017,21.994,19.427,21.713,696612444
2024-03-09,19.746,20.369,19.654,20.019,414335240
2024-03-08,20.129,20.417,19.2,19.746,590191572
2024-03-07,20.1,20.803,19.605,20.124,534632276
2024-03-06,19.002,20.166,18.405,20.098,709851913
2024-03-05,20.443,21.064,16.58,19.002,1277388781
2024-03-04,20.51989,20.905,19.805,20.448,722955368
2024-03-03,21.412,21.549,19.36,20.52,649140532
2024-03-02,20.066,21.71,19.96,21.416,882798169
2024-03-01,19.288,20.114,19.275,20.063,478178080
2024-02-29,19.45,20.462,18.822,19.284,832935352
2024-02-28,19.026,20.85,17.85,19.455,1212477258
2024-02-27,19.101,19.388,18.67166,19.032,477370753
2024-02-26,18.7155,19.279,18.135,19.103,452194269
2024-02-25,18.535,18.855,18.369,18.724,249814543
2024-02-24,17.933,18.6,17.75,18.53,274343168
2024-02-23,18.10398,18.29,17.585,17.934,438465711
2024-02-22,18.6,19.006,18.065,18.105,426909233
2024-02-21,19.288,19.292,17.9959,18.597,495965298
2024-02-20,19.832,19.886,18.403,19.296,568223480
2024-02-19,20.11558,20.25,19.652,19.836,454015884
2024-02-18,20.033,20.38,19.768,20.123,356118168
2024-02-17,19.573,20.279,19.23,20.038,427306998
2024-02-16,19.952,20.9,19.132,19.566,489684939
2024-02-15,20.262,20.569,19.65119,19.95242,544567670
2024-02-14,19.879,20.444,19.718,20.262,543487979
2024-02-13,20.489,20.612,19.47,19.879,613499013
2024-02-12,20.15479,20.852,19.74046,20.481,848502024
2024-02-11,19.086,20.693,18.862,20.153,862425647
2024-02-10,18.484,19.131,18.0,19.088,429015962
2024-02-09,18.216,18.62475,18.00395,18.481,565029386
2024-02-08,18.818,19.266,18.0,18.216,615473559
2024-02-07,18.287,19.08148,18.056,18.812,579755784
2024-02-06,19.14355,19.309,18.20001,18.287,675104330
2024-02-05,18.14778,19.90311,17.78335,19.139,1106380674
2024-02-04,17.656,18.75,17.528,18.148,702727905
2024-02-03,17.821,18.139,17.5,17.652,650741970
2024-02-02,17.18,18.89771,17.13,17.826,1568486381
2024-02-01,15.417,17.38051,15.132,17.184,1236597577
2024-01-31,15.481,16.05,15.075,15.419,741461692
2024-01-30,15.005,15.804,14.896,15.475,539457495
2024-01-29,14.48136,15.082,14.26,15.004,460964052
2024-01-28,14.344,14.697,14.2,14.479,330708266
2024-01-27,14.186,14.4189,14.09,14.345,227717439
2024-01-26,13.733,14.296,13.631,14.186,349862980
