date,open,high,low,close,volume
2024-03-28,456.8,457.11,453.95,454.87,1094059
2024-03-27,447.88,457.11,447.86,456.78,1277694
2024-03-26,446.5,448.62,445.86,445.99,766716
2024-03-25,447.86,448.55,444.81,446.31,775124
2024-03-22,444.5,446.25,443.67,445.88,1008295
2024-03-21,441.36,443.89,439.33,443.16,912244
2024-03-20,437.03,440.96,436.56,440.41,844995
2024-03-19,435.25,437.29,433.98,437.19,898856
2024-03-18,435.82,436.09,431.68,433.2,965427
2024-03-15,433.15,438.21,433.15,435.82,5151336
2024-03-14,436.36,437.61,433.3,435.77,1153598
2024-03-13,435.71,437.79,433.74,434.6,987112
2024-03-12,432.92,435.78,432.35,434.91,825086
2024-03-11,434.31,436.01,432.6,434.75,950995
2024-03-08,428.5,432.98,427.57,432.9,763168
2024-03-07,434.0,435.58,429.48,429.99,1086001
2024-03-06,431.98,433.81,430.92,433.48,775393
2024-03-05,433.74,436.01,429.76,431.98,1038169
2024-03-04,428.57,433.88,426.95,431.94,1271868
2024-03-01,427.9,428.91,424.0,426.46,1059046
2024-02-29,429.33,430.75,427.56,428.24,1503319
2024-02-28,431.88,435.02,430.84,432.48,1029529
2024-02-27,428.68,431.23,426.5,430.43,886991
2024-02-26,431.5,432.45,426.79,429.18,980642
2024-02-23,428.87,431.43,428.2,431.12,842229
2024-02-22,425.09,429.48,423.83,428.89,1236978
2024-02-21,426.21,428.22,424.37,427.55,970022
2024-02-20,425.19,428.29,423.77,424.27,1364125
2024-02-16,423.12,425.16,422.54,424.07,805983
2024-02-15,418.58,423.35,418.58,423.12,1136780
2024-02-14,427.68,428.5,413.92,418.19,2503797
2024-02-13,429.34,431.9,423.24,426.52,1089533
2024-02-12,426.75,430.55,426.0,428.07,1007277
2024-02-09,427.53,427.67,424.47,426.5,1038785
2024-02-08,429.36,429.75,425.73,427.0,972223
2024-02-07,426.54,430.29,426.54,430.1,980872
2024-02-06,421.98,429.02,420.36,426.95,1065843
2024-02-05,424.0,424.37,419.83,421.7,1379621
2024-02-02,428.14,428.9,424.38,425.97,973880
2024-02-01,430.23,431.77,426.7,429.77,1175196
2024-01-31,432.35,433.72,429.06,429.41,1120062
2024-01-30,431.27,431.85,427.78,431.68,1016375
2024-01-29,431.0,432.03,425.57,428.01,1903320
2024-01-26,431.97,433.42,426.71,429.91,1260544
2024-01-25,430.0,433.94,425.75,431.04,1813860
2024-01-24,439.52,443.2,431.55,431.65,1768872
2024-01-23,458.59,459.0,433.89,439.67,3613453
2024-01-22,457.59,460.83,455.44,458.76,1216791
2024-01-19,460.56,460.85,455.96,457.76,866575
2024-01-18,456.1,459.98,453.54,459.57,780470
2024-01-17,457.67,462.79,455.08,456.47,920830
2024-01-16,466.27,466.27,456.36,457.84,814920
2024-01-12,457.37,463.38,456.53,463.18,966475
2024-01-11,456.56,457.8,449.36,453.13,784784
2024-01-10,456.2,459.66,454.78,455.4,666085
2024-01-09,458.55,458.61,453.27,456.29,733045
2024-01-08,454.41,458.69,453.53,458.6,716216
2024-01-05,460.04,460.11,453.27,456.5,705324
2024-01-04,462.31,463.95,457.77,457.87,1087809
2024-01-03,458.79,464.1,457.81,459.12,1174302
2024-01-02,454.3,462.05,454.3,456.12,1206678
2023-12-29,452.0,453.5,451.15,453.24,832537
2023-12-28,448.97,451.83,448.46,451.23,741854
2023-12-27,448.55,451.02,448.41,448.97,699955
2023-12-26,448.15,451.44,447.82,450.18,516985
2023-12-22,450.0,451.74,448.11,448.22,623775
2023-12-21,444.24,448.1,444.22,448.02,637239
2023-12-20,448.04,448.55,442.57,442.6,1306864
2023-12-19,447.68,448.59,446.15,447.79,695031
2023-12-18,442.71,447.26,442.27,446.91,1197385
2023-12-15,441.0,444.55,438.71,441.81,3973469
2023-12-14,450.51,450.87,441.44,445.27,1891203
2023-12-13,452.95,454.19,450.5,451.44,1300265
2023-12-12,451.68,453.75,450.37,451.63,1008242
2023-12-11,451.88,453.26,449.51,451.26,1021581
2023-12-08,448.57,450.53,447.46,448.02,761176
2023-12-07,450.42,451.39,446.29,447.11,861191
2023-12-06,445.5,450.44,445.5,449.41,864227
2023-12-05,450.29,450.64,445.9,446.24,1055774
2023-12-04,447.37,450.96,446.11,450.69,1265775
2023-12-01,448.4,450.66,448.15,449.41,856928
2023-11-30,443.0,447.86,442.51,447.77,1514694
2023-11-29,449.54,449.54,443.91,445.01,1272912
2023-11-28,447.86,450.88,446.0,448.27,1124950
2023-11-27,451.86,452.83,445.43,445.49,1497004
2023-11-24,451.69,452.59,449.74,452.01,326644
2023-11-22,447.5,451.7,447.5,450.4,833765
2023-11-21,445.0,448.57,444.16,448.15,1177877
2023-11-20,444.03,445.59,440.76,443.81,982113
2023-11-17,446.64,447.23,444.22,444.68,898624
2023-11-16,445.8,447.67,443.55,445.59,912979
2023-11-15,443.47,448.01,443.47,445.14,1098462
2023-11-14,443.0,446.73,441.86,444.22,1336811
2023-11-13,445.0,448.57,443.29,445.03,1003947
2023-11-10,444.01,445.83,440.97,444.87,1525619
2023-11-09,445.41,445.61,439.68,442.46,1775623
2023-11-08,450.15,451.77,444.03,444.66,1386408
2023-11-07,453.16,453.16,449.69,450.15,1220143
2023-11-06,454.84,454.84,450.64,451.16,1440995
2023-11-03,455.11,457.76,451.13,453.34,1365625
2023-11-02,450.75,458.22,450.75,458.04,1242239
2023-11-01,456.33,456.7,451.46,452.38,1267032
2023-10-31,447.3,455.13,445.41,454.64,1418804
2023-10-30,444.42,446.86,442.8,445.84,948802
2023-10-27,443.42,447.66,440.24,443.39,1288649
2023-10-26,448.01,451.09,443.68,445.97,1432131
2023-10-25,444.34,449.38,443.68,447.69,1228868
2023-10-24,449.13,450.61,440.34,440.9,1367136
2023-10-23,444.21,452.06,443.49,446.16,1502365
2023-10-20,451.37,452.6,444.01,444.17,1715061
2023-10-19,443.66,449.67,442.19,449.18,2012401
2023-10-18,443.31,447.89,440.27,446.07,2024122
2023-10-17,436.56,452.79,435.13,441.13,3103947
2023-10-16,439.42,443.5,434.39,440.41,1931317
2023-10-13,438.53,443.12,434.67,441.06,1520907
2023-10-12,438.05,439.09,430.11,434.14,1122110
2023-10-11,434.72,438.8,433.3,436.65,1419534
2023-10-10,441.52,442.62,432.53,435.1,2626166
2023-10-09,428.72,436.6,423.39,436.53,5343747
2023-10-06,395.4,402.42,393.77,400.73,1135594
