date,open,high,low,close,volume
2024-03-30,109.22891,109.47,103.21,103.55,1873893248
2024-03-29,93.55,96.59,93.33,93.74,96118184
2024-03-28,93.51,96.55,93.326,93.85,696554944
2024-03-27,95.74,98.9,92.29,93.52,984598281
2024-03-26,90.52,97.0,87.61,95.81,964048565
2024-03-25,89.65,92.11,88.56,90.59,620722715
2024-03-24,85.25,90.9,85.25,89.62,614433135
2024-03-23,83.399,87.49,82.835,85.27,494227407
2024-03-22,85.71,86.33,80.57,83.44,473810620
2024-03-21,84.74,87.2,83.59,85.72,563676121
2024-03-20,78.41,85.37,76.96,84.67,727339448
2024-03-19,86.73,87.87,77.08,78.43,978488125
2024-03-18,85.95,88.08,80.75,86.76,563769105
2024-03-17,84.062,86.762,80.64,85.975,503681869
2024-03-16,89.78,90.71,82.21,84.04,622982146
2024-03-15,94.027,95.4,83.31,89.8,922321450
2024-03-14,97.26,98.27,89.5,94.07,835527149
2024-03-13,97.57,98.99,94.0,97.26,668550065
2024-03-12,103.87,104.27,91.487,97.57,1160292398
2024-03-11,87.51,105.71,83.12,103.82,1538166122
2024-03-10,90.559,91.0,85.25,87.52,482197828
2024-03-09,88.54,91.14,86.727,90.86,526302540
2024-03-08,88.16,89.67,83.924,88.54,704449860
2024-03-07,85.94,89.73,83.44,88.15,651436457
2024-03-06,82.09,87.438,79.809,85.95,742784629
2024-03-05,89.06,92.0,70.261,82.04,1367572503
2024-03-04,90.75,92.7,87.54,88.99,830931633
2024-03-03,94.62,94.88,83.5,90.76,707371775
2024-03-02,84.98,94.7,84.463,94.67,1040122066
2024-03-01,79.99,86.22,79.99,84.94,656274472
2024-02-29,74.474,84.99,73.95,79.97,1042945490
2024-02-28,74.04,78.0,70.0,74.58,768473291
2024-02-27,71.98,76.44,71.937,74.02,641863534
2024-02-26,70.17,73.13,69.07,71.97,389106739
2024-02-25,70.4,70.659,69.74,70.15,225632198
2024-02-24,68.78,70.731,68.62,70.41,241694583
2024-02-23,68.76,69.108,67.48,68.78,256867051
2024-02-22,68.92,69.81,67.9,68.75,311236598
2024-02-21,69.67,69.72,67.279,68.93,295704432
2024-02-20,71.32,71.5,67.31,69.66,391121481
2024-02-19,70.83,71.75,70.41,71.33,294953659
2024-02-18,70.0,71.36,69.817,70.81,250736447
2024-02-17,70.66,70.789,68.074,70.0,262442667
2024-02-16,69.84,71.0,68.67,70.64,313910640
2024-02-15,69.86,70.97,69.0,69.84,396502737
2024-02-14,69.0,70.81,68.47,69.89,437462934
2024-02-13,72.84,73.19,68.109,69.0,489477662
2024-02-12,71.59,73.45,70.3,72.85,301824432
2024-02-11,70.878,73.12,70.65,71.58,314543793
2024-02-10,70.67,71.23,69.97,70.82,229511617
2024-02-09,70.53,71.95,70.1,70.69,396248689
2024-02-08,68.61,70.68,68.33,70.55,271057492
2024-02-07,68.27,68.87,67.68,68.62,243889376
2024-02-06,67.63,68.8,67.48,68.26,215034847
2024-02-05,66.91,68.213,66.55,67.63,204854690
2024-02-04,68.842,68.886,66.46,66.92,207440125
2024-02-03,68.03,69.17,67.87,68.8,187461706
2024-02-02,67.537,68.38,67.29,68.02,203602294
2024-02-01,66.71,68.11,65.66,67.52,232108384
2024-01-31,67.48,70.0,66.1,66.73,348867643
2024-01-30,68.45,68.75,67.16,67.49,238389131
2024-01-29,68.36,68.82,66.8,68.41,276494459
2024-01-28,68.08,68.49,67.31,68.35,238275365
2024-01-27,67.04,68.34,66.326,68.07,211372666
2024-01-26,65.44,67.53,65.17,67.02,248070449
2024-01-25,66.19,66.224,64.54,65.48,234636079
2024-01-24,65.47,66.432,64.83,66.12,276316216
2024-01-23,67.29,68.433,63.13,65.45,408856695
2024-01-22,71.67,72.815,66.57,67.31,458158615
2024-01-21,71.31,72.447,70.45,71.67,231236531
2024-01-20,71.23,72.896,70.42,71.31,353477650
2024-01-19,68.01,71.64,66.88,71.26,403881358
2024-01-18,69.42,70.347,66.15,68.04,414154847
2024-01-17,69.4,70.0,68.28,69.39,287190583
2024-01-16,69.08,70.54,68.32,69.4,333674337
2024-01-15,69.76,71.591,68.72,69.08,303171541
2024-01-14,72.0,72.29,69.429,69.74,338194628
2024-01-13,72.97,73.6,71.0,72.0,405367417
2024-01-12,71.91,77.17,70.41,72.94,933230770
2024-01-11,70.13,74.66,69.54,71.88,680917400
2024-01-10,67.02,71.26,65.0,70.06,530257325
2024-01-09,67.8,67.87,64.21,67.01,474216123
2024-01-08,64.31,68.44,61.1,67.81,504603252
2024-01-07,65.68,66.469,63.72,64.28,259336849
2024-01-06,66.06,66.16,63.27,65.7,285283013
2024-01-05,66.49,66.81,63.28,66.06,417630277
2024-01-04,65.28,67.18,64.57,66.49,396941206
2024-01-03,72.99,73.715,56.354,65.29,759247166
2024-01-02,74.738,75.94,72.5,72.98,386648433
2024-01-01,72.81,74.83,72.05,74.75,255667692
