date,open,high,low,close,volume
2024-03-28,390.5,394.32,390.07,390.8,1395047
2024-03-27,387.08,394.46,386.47,389.46,2340531
2024-03-26,393.59,395.27,385.88,386.14,2881703
2024-03-25,405.09,405.09,387.05,388.9,5122872
2024-03-22,416.25,418.7,387.11,403.19,19680078
2024-03-21,472.0,480.94,469.0,478.84,4022027
2024-03-20,467.34,469.79,461.92,469.05,1627824
2024-03-19,457.69,467.86,454.23,467.27,1428923
2024-03-18,465.92,469.69,459.48,459.57,1261256
2024-03-15,467.12,470.67,463.16,464.94,1678133
2024-03-14,472.06,472.06,462.75,470.01,1316881
2024-03-13,467.93,471.72,465.37,465.55,799871
2024-03-12,459.48,467.86,458.56,465.28,841235
2024-03-11,461.53,461.53,453.67,457.76,729732
2024-03-08,461.27,465.42,457.29,460.39,755175
2024-03-07,449.03,461.0,449.03,457.28,1078429
2024-03-06,451.99,452.66,443.52,448.54,941273
2024-03-05,448.81,448.81,443.61,446.06,975657
2024-03-04,458.63,459.03,449.77,450.79,1254151
2024-03-01,461.44,464.57,457.63,458.5,1295260
2024-02-29,466.03,469.9,461.1,467.09,1431890
2024-02-28,466.5,474.17,463.34,464.14,913757
2024-02-27,471.09,471.5,463.95,467.84,919605
2024-02-26,461.06,472.96,459.26,468.25,1446990
2024-02-23,458.5,462.82,454.22,457.89,862276
2024-02-22,448.1,457.36,447.35,455.26,1104969
2024-02-21,447.28,448.41,440.26,443.46,808288
2024-02-20,445.77,449.6,441.01,444.6,1185268
2024-02-16,457.12,457.39,445.53,449.6,1340971
2024-02-15,461.32,463.24,454.5,458.98,915605
2024-02-14,460.44,461.99,456.7,460.71,697273
2024-02-13,457.56,461.95,454.0,456.23,1264280
2024-02-12,473.28,478.0,465.12,466.08,1174690
2024-02-09,466.61,471.26,458.78,470.24,1350033
2024-02-08,463.27,476.62,460.98,472.98,1510301
2024-02-07,459.04,463.25,456.2,457.75,1013491
2024-02-06,457.31,459.66,450.06,456.54,1531041
