date,open,high,low,close,volume
2024-03-28,282.25,283.38,281.25,281.95,3356513
2024-03-27,278.1,282.3,278.1,282.02,2604991
2024-03-26,279.22,279.45,277.17,278.62,2572061
2024-03-25,280.0,280.58,277.64,278.62,2985467
2024-03-22,283.88,284.39,282.12,282.63,2556320
2024-03-21,284.5,285.58,282.64,283.53,3653332
2024-03-20,283.5,284.6,281.37,284.45,2867302
2024-03-19,279.2,284.4,278.58,282.87,4055380
2024-03-18,279.47,280.3,278.07,278.58,3319435
2024-03-15,281.89,284.23,278.38,279.14,5071675
2024-03-14,282.42,282.52,277.83,281.73,4659308
2024-03-13,292.26,293.47,282.6,282.86,5441262
2024-03-12,295.68,296.36,293.54,294.31,2233076
2024-03-11,292.15,295.45,291.87,294.82,2893336
2024-03-08,290.04,293.48,288.83,292.55,2482336
2024-03-07,294.2,294.92,291.03,291.11,2237730
2024-03-06,293.33,295.14,292.15,292.93,2347965
2024-03-05,291.56,293.51,288.92,292.54,2969609
2024-03-04,289.37,291.24,288.5,290.94,2832011
2024-03-01,291.39,292.67,289.53,290.73,3028869
2024-02-29,294.2,294.75,291.71,292.28,3601848
2024-02-28,294.03,296.1,292.72,295.19,2507286
2024-02-27,296.8,296.8,293.32,293.76,2811237
2024-02-26,298.21,298.68,296.4,297.12,2595344
2024-02-23,296.0,298.74,295.07,297.75,2199138
2024-02-22,294.0,296.67,293.25,295.92,3146598
2024-02-21,293.09,295.2,292.25,293.91,2076811
2024-02-20,292.0,295.5,291.84,292.65,2263994
2024-02-16,290.79,293.7,289.26,292.02,2837573
2024-02-15,287.9,292.1,287.28,291.86,2401617
2024-02-14,287.32,288.32,286.59,288.17,2139326
2024-02-13,288.63,289.9,285.67,287.11,2756190
2024-02-12,289.0,291.19,288.76,289.44,2392314
2024-02-09,292.15,292.51,288.92,289.47,3323000
2024-02-08,286.2,293.15,284.2,291.93,4605245
2024-02-07,285.05,290.53,284.11,287.33,3954659
2024-02-06,282.97,284.68,281.54,284.65,5928192
2024-02-05,287.01,291.44,283.33,285.97,7581895
2024-02-02,296.07,298.17,293.35,297.05,3971607
2024-02-01,291.7,298.13,290.28,298.08,3380568
2024-01-31,295.9,297.44,291.65,292.72,3476264
2024-01-30,292.14,294.92,290.2,294.65,2524205
2024-01-29,291.64,292.76,288.31,292.31,3899706
2024-01-26,295.33,295.98,291.7,292.26,4210521
2024-01-25,300.74,301.31,296.09,297.21,3219625
2024-01-24,300.0,302.04,299.31,300.44,3209675
2024-01-23,297.44,300.21,297.13,300.05,1873976
2024-01-22,300.95,302.39,297.74,298.41,3250224
2024-01-19,298.0,301.08,296.52,300.53,4250885
2024-01-18,292.09,294.48,291.31,294.36,2221156
2024-01-17,290.14,292.34,290.13,291.16,2008289
2024-01-16,293.47,294.25,289.98,291.09,2859014
2024-01-12,295.46,295.75,292.84,293.47,1714818
2024-01-11,294.45,294.95,290.65,294.15,2047352
2024-01-10,291.0,294.39,290.87,294.09,2199689
2024-01-09,289.63,290.87,287.52,290.87,2176451
2024-01-08,288.51,292.0,287.52,291.9,3097218
2024-01-05,289.21,290.33,287.2,288.99,3407310
2024-01-04,295.32,297.27,290.92,291.74,4615370
2024-01-03,297.0,297.99,294.25,294.39,3114788
2024-01-02,295.05,297.28,295.05,297.04,4458519
2023-12-29,295.83,296.85,295.31,296.51,2227806
2023-12-28,294.47,296.47,294.0,295.84,1907271
2023-12-27,292.5,294.63,292.46,294.55,1892081
2023-12-26,291.22,293.05,290.89,292.86,1381655
2023-12-22,290.7,292.47,290.5,291.7,1700320
2023-12-21,290.57,291.53,289.29,291.39,2313127
2023-12-20,290.73,291.67,288.72,288.99,2398593
2023-12-19,290.67,291.72,289.59,290.73,2054430
2023-12-18,288.65,290.59,287.56,290.23,2490110
2023-12-15,290.41,291.75,285.72,287.27,6328510
2023-12-14,294.6,295.27,288.01,290.02,4626777
2023-12-13,291.69,295.97,291.55,295.93,3312275
2023-12-12,289.12,291.7,288.51,291.42,2252223
2023-12-11,285.56,289.31,285.56,289.15,3353037
2023-12-08,287.33,287.9,285.05,285.53,3623843
2023-12-07,287.49,288.15,285.64,286.79,3131914
2023-12-06,286.73,287.37,283.4,286.86,2765101
2023-12-05,286.55,288.76,285.21,286.54,3005333
2023-12-04,284.99,287.4,284.99,286.13,3522889
2023-12-01,283.25,286.86,283.0,285.96,4967526
2023-11-30,280.42,282.28,278.06,281.84,5030565
2023-11-29,282.21,282.47,279.5,280.38,2433432
2023-11-28,281.5,283.54,281.35,282.09,2199591
2023-11-27,282.66,283.9,281.09,281.84,3703855
2023-11-24,282.0,282.59,281.03,282.54,1217950
2023-11-22,281.25,282.41,281.2,281.93,2285961
