date,open,high,low,close,volume
2024-03-28,70.47,70.58,69.83,69.96,5702878
2024-03-27,70.05,70.35,69.83,70.1,7119577
2024-03-26,70.69,70.82,69.69,70.04,11413142
2024-03-25,72.64,72.66,70.84,70.85,6786778
2024-03-22,72.26,72.7,71.95,72.4,6006016
2024-03-21,72.0,72.36,71.51,72.21,5859193
2024-03-20,72.3,72.57,71.29,71.87,6714039
2024-03-19,71.66,72.44,71.56,72.25,9590891
2024-03-18,71.0,71.6,70.82,71.31,8754453
2024-03-15,71.0,71.06,70.14,70.75,16858275
2024-03-14,71.4,71.51,70.49,70.96,7898506
2024-03-13,72.06,72.24,71.41,71.49,6781121
2024-03-12,72.21,72.38,71.6,71.74,5862264
2024-03-11,71.9,72.59,71.89,72.4,5065303
2024-03-08,70.72,72.24,70.37,71.85,7227640
2024-03-07,71.81,71.99,70.93,71.0,8339462
2024-03-06,70.93,71.85,70.93,71.62,5228905
2024-03-05,71.23,71.81,70.67,70.84,8569521
2024-03-04,72.0,72.3,71.3,71.51,7258188
2024-03-01,72.86,72.97,72.16,72.37,5652846
2024-02-29,73.62,73.85,72.67,73.07,9569535
2024-02-28,73.25,73.55,72.93,73.19,4628051
2024-02-27,73.27,73.72,73.01,73.13,8864096
2024-02-26,73.9,74.04,73.14,73.29,7264060
2024-02-23,74.04,75.04,73.98,73.98,6732591
2024-02-22,73.13,74.35,73.0,74.13,7953425
2024-02-21,73.62,73.92,73.42,73.8,7316558
2024-02-20,72.51,73.38,72.25,73.19,7733430
2024-02-16,71.56,72.08,71.06,71.98,7077677
2024-02-15,71.5,71.98,71.44,71.61,5890408
2024-02-14,71.74,72.23,70.97,71.41,7769448
2024-02-13,73.62,73.87,71.58,71.98,8809331
2024-02-12,73.07,73.65,72.85,73.5,5776405
2024-02-09,74.45,74.48,72.83,73.17,7425053
2024-02-08,74.59,75.18,74.44,74.76,4848964
2024-02-07,75.56,75.78,74.56,74.62,6067973
2024-02-06,75.31,75.48,74.57,75.25,6191658
2024-02-05,76.46,76.69,75.22,75.33,8487918
2024-02-02,76.9,77.2,76.07,76.87,8314801
2024-02-01,74.8,76.59,74.06,76.54,9887193
2024-01-31,73.78,76.02,73.58,75.27,19236245
2024-01-30,75.62,76.51,75.35,76.34,10329216
2024-01-29,75.27,75.82,75.0,75.72,9822136
2024-01-26,74.6,75.4,74.28,75.14,9517298
2024-01-25,74.29,74.62,73.89,74.5,5003762
2024-01-24,74.18,74.4,73.82,73.95,6612775
2024-01-23,73.25,74.61,73.19,74.41,6295235
2024-01-22,72.79,73.47,72.65,73.12,5210224
2024-01-19,72.96,73.13,72.42,72.85,6427688
2024-01-18,73.36,73.36,72.65,72.91,5121720
2024-01-17,72.7,73.39,72.55,73.3,4650692
2024-01-16,73.0,73.24,72.55,72.85,6040927
2024-01-12,73.2,73.38,72.72,73.12,4494000
2024-01-11,72.85,73.06,72.28,72.78,5221541
2024-01-10,73.7,73.77,72.82,73.08,4675779
2024-01-09,73.09,73.77,72.64,73.74,5078769
2024-01-08,73.1,73.83,73.1,73.71,5596782
2024-01-05,73.06,73.44,72.6,73.09,3733215
2024-01-04,73.09,73.86,73.04,73.28,5218719
2024-01-03,74.36,74.43,73.2,73.28,5610014
2024-01-02,72.37,73.96,72.37,73.84,6321914
2023-12-29,72.14,72.65,72.11,72.43,4658650
2023-12-28,71.78,72.35,71.69,72.26,4095263
