date,open,high,low,close,volume
2024-03-28,87.1,87.73,86.93,87.13,4009246
2024-03-27,84.19,87.03,84.1,86.92,8220106
2024-03-26,83.5,83.87,83.05,83.7,4806870
2024-03-25,82.81,83.4,82.72,83.24,5481262
2024-03-22,83.7,83.86,82.93,83.08,5181488
2024-03-21,83.57,83.99,83.09,83.41,6233826
2024-03-20,83.75,84.18,83.54,84.04,4191688
2024-03-19,83.69,84.15,83.3,84.11,4903025
2024-03-18,83.8,84.06,83.34,83.66,4783947
2024-03-15,83.44,84.01,82.82,83.57,17082112
2024-03-14,84.52,84.71,83.99,84.39,7836207
2024-03-13,86.01,86.35,84.79,85.08,5908339
2024-03-12,85.15,86.09,84.9,85.74,4562160
2024-03-11,84.54,85.63,84.54,85.5,5539055
2024-03-08,85.48,86.27,84.92,85.13,6561312
2024-03-07,86.0,86.43,84.68,85.15,6177553
2024-03-06,84.73,85.8,84.6,85.55,6048456
2024-03-05,85.44,85.84,84.3,84.6,5073742
2024-03-04,83.6,85.11,83.24,85.06,5553111
2024-03-01,83.42,83.85,82.65,83.6,4266698
2024-02-29,83.53,83.77,82.79,83.36,8893093
2024-02-28,83.63,83.83,83.23,83.36,4755340
2024-02-27,83.46,84.18,83.14,83.84,4546366
2024-02-26,85.56,85.56,83.48,83.67,5974145
2024-02-23,85.33,85.95,84.86,85.67,4707655
2024-02-22,85.77,85.87,84.48,85.06,9824939
2024-02-21,86.53,86.53,84.84,85.9,6877145
2024-02-20,86.96,87.22,82.59,85.85,11771448
2024-02-16,84.49,85.74,84.11,84.42,10848637
2024-02-15,83.83,85.01,83.76,84.72,4867874
2024-02-14,83.67,84.35,83.24,83.68,4934627
2024-02-13,84.57,85.0,83.13,83.59,7579609
2024-02-12,84.63,85.33,84.38,85.07,5892373
2024-02-09,86.08,86.16,84.46,84.99,8843539
2024-02-08,86.55,86.76,85.39,86.18,5938152
2024-02-07,88.05,88.25,87.04,87.16,4740113
2024-02-06,87.08,87.84,86.87,87.74,4667164
2024-02-05,87.58,87.78,86.74,86.75,4083640
2024-02-02,87.46,88.14,87.06,87.63,5052031
2024-02-01,87.36,88.54,86.7,88.09,4319952
2024-01-31,88.29,89.18,87.52,87.54,10357900
2024-01-30,87.46,87.56,86.51,86.97,5760184
2024-01-29,86.3,87.48,86.13,87.44,7144745
2024-01-26,86.19,86.6,85.63,86.54,6784389
2024-01-25,85.26,85.83,84.6,85.79,5557802
2024-01-24,86.18,86.32,84.67,84.72,6035159
2024-01-23,86.86,87.36,85.61,86.34,5060433
2024-01-22,86.59,87.37,86.28,86.47,6015862
2024-01-19,86.26,86.71,85.72,86.49,4819293
2024-01-18,86.85,87.14,86.08,86.29,7203739
2024-01-17,86.2,86.82,85.67,86.05,6956156
2024-01-16,86.96,87.18,86.25,86.54,5398297
2024-01-12,87.6,88.73,87.26,87.42,5969191
2024-01-11,87.09,87.28,86.36,87.09,5099477
2024-01-10,86.5,87.53,86.36,87.08,4980830
2024-01-09,86.43,88.04,86.3,86.66,7223200
2024-01-08,84.8,86.72,84.31,86.57,7867239
2024-01-05,83.71,85.01,83.52,84.57,5107573
2024-01-04,83.15,84.22,82.98,83.93,5621962
2024-01-03,82.94,83.78,82.14,83.2,6182663
2024-01-02,82.11,83.79,81.97,82.84,5425992
2023-12-29,82.53,82.9,82.14,82.38,3847619
2023-12-28,82.28,83.04,82.22,82.73,3297037
2023-12-27,82.08,82.49,82.04,82.42,4041661
2023-12-26,81.96,82.52,81.64,82.3,2954845
2023-12-22,82.25,82.74,81.54,81.92,3426685
2023-12-21,80.87,82.1,80.81,81.96,7440627
2023-12-20,81.81,81.88,80.57,80.61,7257568
2023-12-19,82.17,82.78,81.78,82.07,5060919
2023-12-18,82.96,83.48,82.58,83.06,6447294
2023-12-15,83.08,83.29,82.3,82.61,12388931
2023-12-14,82.76,84.73,82.66,83.43,9680767
2023-12-13,79.72,81.92,79.5,81.9,6304717
2023-12-12,80.05,80.22,79.22,80.08,5263373
2023-12-11,79.33,80.07,79.33,79.72,5598881
2023-12-08,79.6,79.85,79.28,79.35,6241007
2023-12-07,79.21,79.72,78.74,79.55,5251028
2023-12-06,78.86,79.14,78.48,79.04,5319573
2023-12-05,79.55,79.63,78.66,78.82,4818911
2023-12-04,79.56,80.23,79.41,79.76,6206376
2023-12-01,79.09,80.08,78.76,79.99,5101999
2023-11-30,78.93,79.31,78.2,79.27,6219373
2023-11-29,78.75,79.77,78.61,78.86,4260440
2023-11-28,78.9,79.05,78.4,78.63,4972439
2023-11-27,78.77,79.31,78.24,79.0,7252935
2023-11-24,78.24,79.04,78.23,78.97,3310917
2023-11-22,78.9,79.34,78.01,78.37,6004868
2023-11-21,77.55,78.82,77.11,78.62,10745280
2023-11-20,75.31,75.64,74.66,75.16,8690878
2023-11-17,75.14,75.38,74.41,74.76,6264088
2023-11-16,74.3,75.15,74.2,74.88,9048630
2023-11-15,72.82,74.26,72.79,74.02,8385797
2023-11-14,72.37,73.34,72.08,72.59,6478163
2023-11-13,72.29,73.02,71.64,72.08,8452257
2023-11-10,70.43,70.83,69.32,70.68,7558330
2023-11-09,71.8,71.86,70.01,70.09,8320982
2023-11-08,72.79,72.96,71.14,71.71,6767084
2023-11-07,73.28,73.62,72.3,72.48,5653391
2023-11-06,72.65,73.53,72.54,73.42,5916518
2023-11-03,72.58,72.99,72.24,72.56,5198383
2023-11-02,70.98,72.15,70.95,72.09,6330206
2023-11-01,70.52,71.07,70.04,70.85,5380262
2023-10-31,69.91,70.95,69.91,70.56,10770193
2023-10-30,69.82,70.16,68.84,69.97,8934838
2023-10-27,71.08,71.42,69.04,69.43,10009106
2023-10-26,71.25,71.53,70.31,70.37,7894027
2023-10-25,71.75,72.44,70.95,71.4,7462722
2023-10-24,72.46,73.04,71.34,71.96,13129437
2023-10-23,72.68,73.78,72.11,72.39,7133516
2023-10-20,72.46,73.21,72.01,72.7,8399348
2023-10-19,72.64,72.86,71.7,72.35,7048594
2023-10-18,73.75,73.94,72.23,72.7,7900724
2023-10-17,71.5,73.24,71.33,72.81,7936366
2023-10-16,72.15,72.74,71.3,71.75,9083720
2023-10-13,71.26,72.32,70.97,71.96,8169002
2023-10-12,73.2,73.41,70.95,71.29,10503286
2023-10-11,75.69,75.89,72.41,72.89,8881174
2023-10-10,74.88,76.56,74.87,76.18,6319652
2023-10-09,75.66,75.87,74.35,75.13,7825497
2023-10-06,75.6,76.51,74.95,76.12,6762177
2023-10-05,76.38,76.78,75.5,76.15,7235932
2023-10-04,76.92,77.04,75.82,76.27,7115526
2023-10-03,77.28,77.39,76.0,76.54,5741007
2023-10-02,77.9,77.95,77.11,77.77,4517059
2023-09-29,79.18,80.31,77.84,78.36,6308865
