date,open,high,low,close,volume
2024-03-28,100.53,100.55,100.52,100.54,906096
2024-03-27,100.52,100.53,100.5,100.52,1015655
2024-03-26,100.47,100.48,100.47,100.48,537603
2024-03-25,100.45,100.47,100.44,100.47,503936
2024-03-22,100.42,100.44,100.41,100.43,510001
2024-03-21,100.4,100.42,100.38,100.39,816282
2024-03-20,100.38,100.39,100.36,100.38,727384
2024-03-19,100.35,100.37,100.35,100.35,548998
2024-03-18,100.34,100.37,100.34,100.34,736105
2024-03-15,100.32,100.33,100.3,100.32,432550
2024-03-14,100.28,100.31,100.26,100.31,850251
2024-03-13,100.26,100.26,100.23,100.23,604634
2024-03-12,100.2,100.22,100.2,100.21,672569
2024-03-11,100.18,100.2,100.18,100.18,742834
2024-03-08,100.18,100.19,100.17,100.17,689162
2024-03-07,100.13,100.16,100.13,100.16,892995
2024-03-06,100.12,100.13,100.11,100.12,767221
2024-03-05,100.11,100.11,100.1,100.1,765157
2024-03-04,100.07,100.1,100.07,100.09,2058061
2024-03-01,100.09,100.09,100.05,100.05,928103
2024-02-29,100.46,100.48,100.44,100.47,1180874
2024-02-28,100.43,100.44,100.41,100.42,2723899
2024-02-27,100.39,100.41,100.39,100.4,710719
2024-02-26,100.38,100.39,100.37,100.37,685827
2024-02-23,100.34,100.38,100.34,100.37,821913
2024-02-22,100.34,100.35,100.33,100.35,816853
2024-02-21,100.32,100.32,100.3,100.3,908298
2024-02-20,100.28,100.31,100.28,100.3,1118903
2024-02-16,100.25,100.27,100.25,100.27,585016
2024-02-15,100.22,100.25,100.22,100.22,592420
2024-02-14,100.18,100.2,100.17,100.18,821809
2024-02-13,100.15,100.17,100.15,100.17,761683
2024-02-12,100.13,100.16,100.13,100.13,951753
2024-02-09,100.13,100.14,100.12,100.14,973831
2024-02-08,100.12,100.13,100.1,100.13,732290
2024-02-07,100.06,100.08,100.06,100.06,708574
2024-02-06,100.06,100.06,100.02,100.02,769720
2024-02-05,100.05,100.06,100.02,100.03,1006915
2024-02-02,100.0,100.03,100.0,100.02,922866
2024-02-01,100.01,100.01,99.98,100.01,1343688
2024-01-31,100.4,100.4,100.37,100.38,1343554
2024-01-30,100.36,100.37,100.35,100.37,672637
2024-01-29,100.36,100.36,100.34,100.34,828497
2024-01-26,100.31,100.34,100.31,100.33,613278
2024-01-25,100.3,100.32,100.29,100.32,754867
2024-01-24,100.25,100.27,100.24,100.25,701271
2024-01-23,100.23,100.24,100.21,100.23,963837
2024-01-22,100.18,100.22,100.18,100.19,966961
2024-01-19,100.17,100.19,100.17,100.19,690162
2024-01-18,100.18,100.18,100.15,100.18,1011246
2024-01-17,100.09,100.13,100.09,100.12,820779
2024-01-16,100.06,100.1,100.06,100.09,1034348
2024-01-12,100.08,100.08,100.06,100.06,825456
2024-01-11,99.98,100.03,99.98,100.03,1195725
