date,open,high,low,close,volume
2024-03-28,11.58,11.7,11.58,11.69,292067
2024-03-27,11.37,11.57,11.37,11.57,256526
2024-03-26,11.55,11.55,11.3,11.3,288416
2024-03-25,11.47,11.57,11.47,11.49,404302
2024-03-22,11.55,11.58,11.41,11.42,201263
2024-03-21,11.45,11.58,11.43,11.53,139672
2024-03-20,11.18,11.47,11.13,11.4,303023
2024-03-19,11.16,11.25,11.14,11.2,129864
2024-03-18,11.24,11.27,11.13,11.2,175082
2024-03-15,11.06,11.23,11.01,11.2,244108
2024-03-14,11.38,11.38,11.05,11.1,213285
2024-03-13,11.4,11.46,11.38,11.4,289165
2024-03-12,11.33,11.39,11.25,11.37,173022
2024-03-11,11.26,11.38,11.22,11.34,196896
2024-03-08,11.31,11.43,11.21,11.27,261864
2024-03-07,11.22,11.29,11.17,11.23,1254060
2024-03-06,11.18,11.22,11.11,11.14,201173
2024-03-05,11.0,11.12,11.0,11.08,228949
2024-03-04,11.21,11.21,11.02,11.03,316678
2024-03-01,11.17,11.28,11.07,11.26,286940
2024-02-29,11.04,11.19,10.97,11.18,240685
2024-02-28,10.92,10.97,10.89,10.92,132189
2024-02-27,11.02,11.02,10.94,11.0,166065
2024-02-26,11.03,11.11,10.94,10.95,151506
2024-02-23,11.0,11.12,10.95,11.05,110810
2024-02-22,11.02,11.07,10.93,11.0,107439
2024-02-21,10.96,11.05,10.92,10.98,205547
2024-02-20,11.06,11.07,10.97,11.01,156886
2024-02-16,11.08,11.22,10.98,11.14,230050
2024-02-15,10.85,11.23,10.85,11.17,248053
2024-02-14,10.74,10.8,10.66,10.76,130857
2024-02-13,10.83,10.83,10.58,10.64,466475
2024-02-12,10.9,11.12,10.9,11.09,131039
2024-02-09,10.81,10.91,10.75,10.91,168935
2024-02-08,10.74,10.84,10.7,10.8,175317
2024-02-07,11.08,11.08,10.68,10.77,287700
2024-02-06,11.0,11.15,10.99,11.05,203640
2024-02-05,11.09,11.09,10.82,11.04,296887
2024-02-02,11.24,11.26,11.11,11.18,279582
2024-02-01,11.34,11.42,11.1,11.41,328743
2024-01-31,11.61,11.61,11.27,11.27,413277
2024-01-30,11.79,11.79,11.61,11.61,199975
2024-01-29,11.71,11.87,11.68,11.87,209058
2024-01-26,11.7,11.77,11.69,11.7,225753
2024-01-25,11.63,11.7,11.53,11.64,596749
2024-01-24,11.71,11.74,11.52,11.55,164111
2024-01-23,11.62,11.67,11.53,11.6,191163
2024-01-22,11.65,11.75,11.49,11.55,284958
2024-01-19,11.5,11.57,11.31,11.56,146415
2024-01-18,11.46,11.5,11.31,11.47,80275
2024-01-17,11.46,11.57,11.33,11.41,174062
2024-01-16,11.69,11.69,11.51,11.58,132314
2024-01-12,11.88,12.0,11.73,11.78,172596
2024-01-11,11.79,11.8,11.59,11.76,153830
2024-01-10,11.73,11.87,11.73,11.87,148068
2024-01-09,11.71,11.77,11.64,11.74,182684
2024-01-08,11.56,11.82,11.49,11.82,178577
2024-01-05,11.4,11.64,11.35,11.54,183393
2024-01-04,11.5,11.55,11.43,11.44,589799
2024-01-03,11.65,11.65,11.36,11.49,223968
2024-01-02,11.73,11.82,11.66,11.76,321703
2023-12-29,12.07,12.07,11.82,11.82,478766
2023-12-28,12.13,12.16,12.06,12.12,460096
2023-12-27,12.2,12.22,12.12,12.17,322752
2023-12-26,12.38,12.56,12.38,12.52,234708
2023-12-22,12.41,12.49,12.32,12.35,216389
2023-12-21,12.31,12.38,12.24,12.37,279970
2023-12-20,12.31,12.48,12.17,12.17,318146
2023-12-19,12.18,12.35,12.17,12.34,203864
2023-12-18,12.23,12.27,12.11,12.13,265210
2023-12-15,12.4,12.4,12.14,12.21,343474
2023-12-14,12.25,12.48,12.24,12.4,545926
2023-12-13,11.61,12.07,11.51,12.03,209596
2023-12-12,11.5,11.64,11.41,11.58,157222
2023-12-11,11.44,11.52,11.42,11.49,127303
2023-12-08,11.38,11.54,11.35,11.49,201244
2023-12-07,11.3,11.42,11.22,11.42,957006
2023-12-06,11.57,11.67,11.25,11.27,251946
2023-12-05,11.62,11.65,11.49,11.54,107764
2023-12-04,11.54,11.67,11.53,11.65,121964
2023-12-01,11.21,11.6,11.18,11.6,397738
2023-11-30,11.24,11.29,11.21,11.25,78348
2023-11-29,11.16,11.31,11.16,11.22,273875
2023-11-28,10.94,11.07,10.86,11.06,100400
2023-11-27,11.02,11.02,10.93,10.96,119900
2023-11-24,11.05,11.08,11.0,11.03,54900
2023-11-22,11.09,11.12,11.01,11.08,66900
2023-11-21,11.05,11.08,11.01,11.03,151600
2023-11-20,11.03,11.14,10.97,11.11,172800
2023-11-17,11.04,11.07,10.95,11.05,61300
2023-11-16,11.17,11.21,10.91,10.93,114500
2023-11-15,11.07,11.19,11.02,11.19,110000
2023-11-14,10.84,11.08,10.84,11.07,147700
2023-11-13,10.44,10.54,10.38,10.51,109200
2023-11-10,10.53,10.54,10.44,10.53,75400
2023-11-09,10.72,10.79,10.41,10.44,96100
2023-11-08,10.6,10.68,10.49,10.68,71300
2023-11-07,10.52,10.62,10.44,10.62,52500
2023-11-06,10.74,10.74,10.51,10.56,94600
2023-11-03,10.72,10.87,10.7,10.72,212200
2023-11-02,10.2,10.48,10.17,10.48,212000
2023-11-01,9.85,10.08,9.74,10.08,74500
2023-10-31,9.69,9.9,9.68,9.85,107100
2023-10-30,9.58,9.65,9.44,9.6,159500
2023-10-27,9.67,9.74,9.4,9.48,151500
2023-10-26,9.5,9.69,9.5,9.57,122900
2023-10-25,9.68,9.71,9.43,9.43,336900
2023-10-24,9.71,9.86,9.68,9.76,149600
2023-10-23,9.87,9.9,9.66,9.8,134400
2023-10-20,10.01,10.13,9.92,9.92,261900
2023-10-19,10.32,10.34,10.02,10.02,188100
2023-10-18,10.57,10.58,10.33,10.35,89200
2023-10-17,10.57,10.68,10.57,10.66,77100
2023-10-16,10.52,10.65,10.46,10.65,100300
2023-10-13,10.74,10.74,10.46,10.46,86900
2023-10-12,10.88,10.88,10.55,10.66,87100
2023-10-11,10.78,10.86,10.73,10.86,103000
2023-10-10,10.6,10.72,10.6,10.68,153300
2023-10-09,10.32,10.63,10.32,10.61,156600
2023-10-06,10.29,10.49,10.28,10.38,208000
2023-10-05,10.18,10.45,10.15,10.42,113400
2023-10-04,10.38,10.39,10.04,10.23,323100
2023-10-03,10.58,10.6,10.23,10.35,394200
2023-10-02,11.0,11.0,10.62,10.7,353400
2023-09-29,11.39,11.54,11.33,11.37,195900
2023-09-28,11.23,11.37,11.12,11.33,114000
2023-09-27,11.3,11.37,11.15,11.22,144300
2023-09-26,11.45,11.48,11.25,11.25,128100
2023-09-25,11.53,11.61,11.5,11.51,73800
2023-09-22,11.55,11.67,11.49,11.61,112000
2023-09-21,11.85,11.85,11.5,11.5,216900
