date,open,high,low,close,volume
2024-03-28,197.75,202.05,195.95,201.5,6062919
2024-03-27,196.66,198.1,195.35,196.99,1675007
2024-03-26,199.99,200.89,197.1,197.38,1673425
2024-03-25,201.0,203.02,199.52,199.83,2042221
2024-03-22,200.0,200.62,198.3,200.17,2281392
2024-03-21,198.09,199.89,196.33,199.21,1681534
2024-03-20,195.52,198.37,194.57,197.75,1957295
2024-03-19,193.55,196.75,193.0,196.57,2509655
2024-03-18,194.76,195.06,192.16,193.48,2073495
2024-03-15,189.23,195.12,189.23,193.84,9044654
2024-03-14,190.7,192.27,187.76,188.98,3005088
2024-03-13,183.28,189.82,183.23,188.89,3510301
2024-03-12,181.35,182.95,178.65,181.2,2744106
2024-03-11,178.41,181.63,177.15,181.41,2467307
2024-03-08,178.1,181.18,178.1,179.55,2513081
2024-03-07,176.5,180.23,175.65,178.97,2726890
2024-03-06,176.0,177.36,173.5,175.18,2483971
2024-03-05,173.25,177.99,172.94,175.17,2777750
2024-03-04,172.71,175.97,171.34,173.75,3154656
2024-03-01,170.35,174.33,170.35,173.21,2763064
2024-02-29,167.37,170.0,166.5,169.23,4548312
2024-02-28,170.74,171.57,166.37,167.16,2605248
2024-02-27,172.92,174.16,170.91,171.13,2046218
2024-02-26,169.63,175.29,169.03,172.44,2736033
2024-02-23,167.03,170.47,166.2,169.54,1929247
2024-02-22,165.12,167.98,163.66,167.75,2561453
2024-02-21,164.62,166.37,163.9,166.05,2544250
2024-02-20,168.66,168.81,163.62,164.29,2896213
2024-02-16,171.46,172.18,169.91,170.01,1964333
2024-02-15,169.11,172.5,168.82,171.31,2094962
2024-02-14,171.18,171.68,167.13,169.88,2510050
2024-02-13,168.5,170.9,166.84,169.88,2367017
2024-02-12,170.56,171.7,168.69,168.89,2772276
2024-02-09,169.81,170.69,168.73,169.97,2185905
2024-02-08,169.59,171.39,168.65,169.68,1789584
2024-02-07,167.34,169.92,167.11,169.59,1952417
2024-02-06,171.4,173.33,166.44,166.64,2782990
2024-02-05,165.51,171.57,164.37,171.12,3430280
2024-02-02,167.83,168.43,164.29,166.33,2301106
2024-02-01,166.44,169.23,163.5,167.53,3203733
2024-01-31,169.99,171.42,163.62,165.6,4260362
2024-01-30,162.25,170.18,158.57,169.89,5858732
2024-01-29,160.55,160.94,158.5,160.14,3124003
2024-01-26,157.19,160.83,156.29,160.52,3248630
2024-01-25,156.5,157.97,154.9,157.27,2912529
2024-01-24,154.97,155.54,154.0,155.1,1850979
2024-01-23,153.76,154.91,152.46,153.97,2601645
2024-01-22,153.18,154.52,151.61,154.44,2661292
2024-01-19,152.32,153.08,151.73,152.98,2492742
2024-01-18,151.55,152.35,148.89,151.8,2722134
2024-01-17,152.44,154.76,151.43,152.0,2691040
2024-01-16,158.41,160.01,154.0,154.12,3267961
2024-01-12,157.65,158.91,156.5,157.46,2473635
2024-01-11,153.42,156.0,153.42,155.39,2534121
2024-01-10,154.71,155.9,151.94,152.84,2327407
2024-01-09,155.98,156.13,153.89,154.31,2767893
2024-01-08,150.0,156.34,148.46,156.26,3108221
2024-01-05,154.75,155.98,151.56,152.5,3373870
2024-01-04,159.83,162.31,153.34,153.4,4495841
2024-01-03,152.5,159.99,152.38,157.89,4674164
2024-01-02,149.03,152.41,149.03,152.36,3187634
2023-12-29,147.91,149.72,147.6,148.36,2507120
2023-12-28,149.01,149.5,146.87,146.88,2372470
2023-12-27,151.48,151.92,149.55,149.88,1712705
2023-12-26,151.82,153.14,150.67,152.08,1525456
2023-12-22,153.85,154.18,150.78,150.87,2121418
2023-12-21,153.65,155.11,151.39,152.66,2064789
2023-12-20,154.33,156.28,153.42,153.63,3166098
2023-12-19,151.87,153.84,150.97,153.77,2584131
2023-12-18,150.93,153.07,150.39,151.81,3307287
2023-12-15,145.71,149.5,144.51,148.38,12266879
2023-12-14,149.06,150.89,147.32,150.89,3559776
2023-12-13,143.21,146.8,142.57,146.66,3457513
2023-12-12,142.53,143.97,141.45,143.37,2930267
2023-12-11,142.5,144.74,142.27,143.85,3017797
2023-12-08,142.61,144.15,142.07,143.02,3092155
2023-12-07,143.61,145.0,140.98,141.58,3606635
2023-12-06,147.76,147.76,143.09,143.18,4039855
2023-12-05,151.44,153.02,148.62,148.92,2761282
2023-12-04,150.0,151.98,148.47,151.39,3075239
2023-12-01,148.78,153.77,148.44,151.42,3124600
2023-11-30,148.42,151.63,147.26,149.19,5973500
2023-11-29,151.31,152.26,147.16,147.42,2935900
2023-11-28,151.0,152.57,149.83,149.99,2465000
2023-11-27,149.05,150.7,148.36,150.55,2178700
2023-11-24,149.79,151.51,149.36,149.5,1264300
2023-11-22,145.0,149.38,144.06,149.21,2422200
2023-11-21,147.91,148.21,146.1,147.63,1926800
2023-11-20,148.91,150.63,148.54,148.99,2387100
2023-11-17,146.25,150.27,145.9,147.9,3451500
2023-11-16,148.88,150.49,143.88,145.1,3494100
2023-11-15,149.73,152.81,149.3,150.33,3226600
2023-11-14,147.3,151.1,147.3,150.67,2986400
2023-11-13,145.07,147.35,144.48,146.76,2400900
2023-11-10,143.4,145.42,142.54,145.13,2377500
2023-11-09,144.0,145.0,141.42,141.8,2297300
2023-11-08,145.23,146.18,143.09,143.5,2949700
2023-11-07,148.3,148.58,144.74,146.16,2843300
2023-11-06,152.0,152.64,148.74,149.92,2427500
2023-11-03,155.45,155.49,149.9,150.78,3275600
2023-11-02,155.22,159.65,153.93,155.77,3828200
2023-11-01,152.43,157.64,151.25,155.21,4023200
2023-10-31,148.4,151.98,144.46,151.25,4139700
2023-10-30,146.88,148.53,144.51,146.86,2949000
2023-10-27,147.73,148.27,144.56,146.0,3524200
2023-10-26,146.55,148.42,144.11,148.06,2929200
2023-10-25,149.14,150.29,147.15,147.35,2479500
2023-10-24,149.7,151.39,148.35,148.63,1759100
2023-10-23,150.77,150.98,147.89,149.45,2422700
2023-10-20,152.68,153.77,150.81,150.86,2478900
2023-10-19,153.93,154.33,152.14,152.84,1906500
2023-10-18,151.42,154.33,151.35,153.99,2215700
2023-10-17,150.51,152.5,150.47,151.34,1991400
2023-10-16,149.42,151.71,149.03,150.75,2406900
2023-10-13,149.43,150.41,148.1,148.2,2568800
2023-10-12,149.35,149.66,146.26,147.59,2773900
2023-10-11,147.66,149.35,146.47,148.52,2825100
2023-10-10,145.62,149.43,145.62,148.91,2946300
2023-10-09,145.51,147.07,143.87,146.57,3354000
2023-10-06,142.85,145.54,141.7,143.18,3372000
2023-10-05,140.41,143.72,139.93,142.28,4003700
2023-10-04,144.85,144.94,139.32,141.89,5777700
2023-10-03,148.37,149.42,144.24,147.27,3734100
2023-10-02,151.06,151.6,148.4,150.02,3986700
2023-09-29,154.21,154.63,150.07,151.34,3330900
2023-09-28,151.89,156.18,151.86,154.43,2994700
2023-09-27,152.02,153.6,151.23,152.43,2709800
2023-09-26,152.88,153.0,150.32,151.02,3004800
2023-09-25,152.66,154.74,152.24,154.2,2123700
2023-09-22,155.72,157.68,153.19,153.46,2809100
