date,open,high,low,close,volume
2024-03-28,132.0,132.42,131.08,131.95,10135468
2024-03-27,132.87,133.1,130.11,131.75,16061581
2024-03-26,125.78,126.08,124.85,125.52,8864402
2024-03-25,124.08,125.58,123.77,125.31,7605755
2024-03-22,123.79,124.49,123.22,123.85,7022502
2024-03-21,123.69,124.19,123.06,123.62,8156305
2024-03-20,121.28,123.91,120.38,123.85,9793420
2024-03-19,121.44,122.26,120.43,122.2,11696824
2024-03-18,121.85,122.51,121.13,121.44,8311895
2024-03-15,119.84,121.94,119.23,121.52,46477417
2024-03-14,121.32,121.32,119.66,120.51,10132544
2024-03-13,123.16,123.21,120.8,122.16,9186104
2024-03-12,123.0,123.21,121.43,122.66,11621795
2024-03-11,124.65,124.65,121.84,122.77,7769251
2024-03-08,123.23,124.04,122.06,123.5,9822679
2024-03-07,123.36,124.53,122.82,123.99,8982273
2024-03-06,122.84,124.76,122.51,123.75,8251362
2024-03-05,124.68,125.04,122.39,122.83,8277870
2024-03-04,124.46,126.54,123.29,124.05,12706167
2024-03-01,126.87,127.85,126.42,126.96,6023528
2024-02-29,128.1,128.85,127.06,127.15,11246128
2024-02-28,129.34,129.4,127.7,128.19,5697212
2024-02-27,128.26,129.16,127.8,129.03,4780340
2024-02-26,129.38,129.7,128.47,128.84,5158398
2024-02-23,129.79,130.24,128.86,129.45,5177378
2024-02-22,128.15,129.72,127.65,129.26,6517381
2024-02-21,127.44,128.16,126.8,128.12,4849322
2024-02-20,128.13,129.29,127.21,127.37,6952764
2024-02-16,126.5,128.09,126.17,127.79,6266778
2024-02-15,125.97,127.23,125.95,126.54,5756747
2024-02-14,125.61,126.03,124.82,125.82,6622438
2024-02-13,125.98,126.86,124.48,125.43,7273434
2024-02-12,125.0,125.48,124.4,125.34,5257536
2024-02-09,126.22,126.69,125.04,125.45,7891392
2024-02-08,127.32,127.48,125.95,126.61,6308268
2024-02-07,126.9,128.06,126.5,127.47,6742760
2024-02-06,126.61,127.52,126.07,126.88,6152994
2024-02-05,126.98,127.8,125.7,126.18,8027717
2024-02-02,126.71,127.56,126.11,126.41,10175595
2024-02-01,123.65,126.43,122.77,126.38,11650731
2024-01-31,122.53,122.85,120.5,120.78,10779041
2024-01-30,121.28,121.76,120.18,121.66,7469479
2024-01-29,121.35,121.46,120.49,121.28,9138402
2024-01-26,120.51,121.02,120.08,120.82,8300304
2024-01-25,118.66,120.18,118.66,120.13,6689818
2024-01-24,119.7,119.95,118.44,118.88,5859881
2024-01-23,118.14,119.99,117.27,119.84,6501448
2024-01-22,119.04,119.97,118.86,119.43,8786168
2024-01-19,118.21,119.02,117.72,118.89,7605594
2024-01-18,117.65,118.62,116.62,118.54,10524719
2024-01-17,119.18,119.4,117.61,118.13,5591406
2024-01-16,118.49,119.34,117.94,118.49,6832442
2024-01-12,118.07,118.67,117.65,118.63,6823300
2024-01-11,118.8,118.9,117.08,118.43,5754423
2024-01-10,118.19,119.17,117.74,118.86,7129082
2024-01-09,117.51,119.94,117.21,118.43,8822254
2024-01-08,117.59,117.89,116.18,117.38,8193116
2024-01-05,117.1,117.45,116.64,117.22,6861542
2024-01-04,115.92,117.65,115.86,117.01,11492211
2024-01-03,114.27,115.9,114.16,114.77,10721923
2024-01-02,109.16,113.32,109.16,113.24,11920146
2023-12-29,108.99,109.24,108.79,109.02,5889238
2023-12-28,108.3,109.06,108.13,108.77,5530591
2023-12-27,107.31,108.07,107.01,107.98,5387031
2023-12-26,107.5,108.09,107.22,107.63,4727766
2023-12-22,107.15,108.06,106.84,107.7,6028695
2023-12-21,105.79,106.61,105.34,106.39,5919489
2023-12-20,107.14,107.14,105.24,105.36,8441602
2023-12-19,106.05,106.66,105.44,106.49,8043141
2023-12-18,106.16,107.21,105.63,106.04,12805561
2023-12-15,104.89,106.27,104.26,105.11,26393297
2023-12-14,106.68,107.21,105.14,105.88,10722970
2023-12-13,104.16,107.11,103.97,107.11,10994979
