date,open,high,low,close,volume
2024-03-28,93.75,94.73,93.45,94.16,6658044
2024-03-27,92.03,93.54,91.91,93.5,6394493
2024-03-26,91.42,91.91,90.94,91.28,4212047
2024-03-25,91.77,92.55,90.99,91.14,3670642
2024-03-22,93.52,93.86,91.74,91.95,5909255
2024-03-21,91.96,94.36,91.96,93.4,13659937
2024-03-20,88.05,91.48,87.91,91.35,10811723
2024-03-19,88.0,89.09,87.86,88.42,8546529
2024-03-18,88.36,88.7,87.7,87.96,5959969
2024-03-15,88.48,89.35,88.17,88.38,20363042
2024-03-14,89.0,89.4,88.26,89.1,9235361
2024-03-13,87.45,90.24,87.25,89.35,10345766
2024-03-12,87.24,87.76,86.6,87.05,5110923
2024-03-11,86.82,87.25,85.84,86.94,4737231
2024-03-08,86.62,88.32,86.42,87.04,9689299
2024-03-07,86.08,87.12,85.64,86.14,9145693
2024-03-06,86.77,87.95,84.43,85.66,25614607
2024-03-05,89.19,91.14,88.62,89.13,13883597
2024-03-04,87.88,91.24,87.55,90.04,19875986
2024-03-01,86.22,86.79,85.11,86.48,5523731
2024-02-29,86.49,86.64,85.35,86.04,7657147
2024-02-28,85.43,86.09,85.28,86.05,5617729
2024-02-27,85.97,86.45,85.12,85.49,8066655
2024-02-26,86.5,87.34,85.56,85.67,5608055
2024-02-23,86.07,87.25,85.96,86.55,5810069
2024-02-22,85.95,86.74,85.6,85.85,6782109
2024-02-21,85.01,85.48,84.53,85.46,6444877
2024-02-20,85.94,86.49,85.1,85.35,6626357
2024-02-16,85.52,86.79,85.07,86.5,9673918
2024-02-15,84.45,86.23,84.41,85.67,7993508
2024-02-14,84.54,84.96,83.69,84.0,5973690
2024-02-13,85.86,85.86,83.09,83.97,11339361
2024-02-12,85.86,87.64,85.64,86.87,7888017
2024-02-09,85.69,86.03,85.32,85.89,5664540
2024-02-08,85.68,86.23,85.16,85.65,6218415
2024-02-07,86.26,86.39,85.27,86.0,4952226
2024-02-06,85.62,86.55,85.62,86.1,7335535
2024-02-05,86.58,86.58,85.09,85.89,7788657
2024-02-02,86.47,87.67,86.0,87.27,7728782
2024-02-01,87.19,88.17,85.64,86.82,8365019
2024-01-31,87.71,88.75,87.23,87.24,8414853
2024-01-30,86.98,88.07,86.77,87.62,6569320
2024-01-29,87.4,87.95,85.72,87.62,7440287
2024-01-26,87.88,88.5,87.65,87.73,6384351
2024-01-25,88.14,88.42,87.33,88.02,8792414
2024-01-24,87.32,88.3,87.2,87.57,12480930
2024-01-23,85.67,86.85,85.19,86.74,8555665
2024-01-22,85.46,86.77,85.44,85.73,11626525
2024-01-19,83.91,85.59,83.2,85.34,14787428
2024-01-18,84.83,84.98,83.28,83.9,15016393
2024-01-17,84.85,85.14,83.9,84.41,17198502
2024-01-16,86.74,88.16,84.8,85.97,20369036
2024-01-12,91.28,91.9,89.43,89.7,8303137
2024-01-11,90.95,90.95,89.54,90.51,9400748
2024-01-10,91.53,91.97,91.29,91.48,6929232
2024-01-09,92.75,92.84,91.66,92.06,7594054
2024-01-08,93.21,93.83,92.28,93.51,6738378
2024-01-05,92.21,93.93,92.06,93.24,6027839
2024-01-04,92.15,93.14,91.66,92.15,8735828
2024-01-03,93.2,93.2,91.27,91.91,7487897
2024-01-02,92.66,94.15,92.27,93.9,6132168
