date,open,high,low,close,volume
2024-03-28,50.43,50.48,50.4,50.46,451258
2024-03-27,50.4,50.46,50.38,50.46,199157
2024-03-26,50.37,50.42,50.37,50.4,230539
2024-03-25,50.44,50.44,50.39,50.39,254606
2024-03-22,50.4,50.43,50.4,50.42,188364
2024-03-21,50.37,50.41,50.36,50.38,356398
2024-03-20,50.29,50.38,50.29,50.37,273970
2024-03-19,50.26,50.29,50.26,50.29,233849
2024-03-18,50.24,50.27,50.22,50.23,548215
2024-03-15,50.26,50.26,50.22,50.24,793542
2024-03-14,50.3,50.32,50.28,50.29,557518
2024-03-13,50.38,50.38,50.34,50.34,235478
2024-03-12,50.37,50.39,50.36,50.36,168146
2024-03-11,50.38,50.44,50.38,50.41,179491
2024-03-08,50.44,50.48,50.44,50.46,403780
2024-03-07,50.42,50.42,50.38,50.4,469052
2024-03-06,50.37,50.39,50.35,50.36,620670
2024-03-05,50.34,50.38,50.34,50.35,735895
2024-03-04,50.32,50.34,50.31,50.33,242022
2024-03-01,50.28,50.35,50.23,50.34,722116
2024-02-29,50.45,50.48,50.44,50.45,251229
2024-02-28,50.39,50.42,50.39,50.42,236418
2024-02-27,50.34,50.41,50.34,50.39,275475
2024-02-26,50.4,50.41,50.36,50.38,230724
2024-02-23,50.37,50.42,50.37,50.4,273627
2024-02-22,50.4,50.42,50.36,50.37,240369
2024-02-21,50.43,50.46,50.37,50.4,289455
2024-02-20,50.41,50.46,50.41,50.43,264406
2024-02-16,50.33,50.38,50.33,50.37,204250
2024-02-15,50.41,50.43,50.38,50.42,615069
2024-02-14,50.3,50.36,50.3,50.36,445119
2024-02-13,50.32,50.37,50.3,50.31,329919
2024-02-12,50.46,50.46,50.42,50.44,447638
2024-02-09,50.43,50.46,50.4,50.45,661695
2024-02-08,50.42,50.45,50.42,50.43,522620
2024-02-07,50.48,50.5,50.44,50.44,325321
2024-02-06,50.35,50.46,50.35,50.45,521778
2024-02-05,50.42,50.42,50.35,50.36,419623
2024-02-02,50.5,50.53,50.43,50.45,447269
2024-02-01,50.6,50.62,50.54,50.59,655859
2024-01-31,50.77,50.81,50.73,50.75,708312
2024-01-30,50.71,50.73,50.65,50.69,421654
2024-01-29,50.67,50.7,50.67,50.7,278327
2024-01-26,50.66,50.67,50.66,50.67,223400
2024-01-25,50.59,50.66,50.59,50.66,411978
2024-01-24,50.64,50.67,50.58,50.58,395333
2024-01-23,50.59,50.61,50.59,50.6,224993
2024-01-22,50.59,50.62,50.58,50.61,367500
2024-01-19,50.55,50.59,50.55,50.58,500613
2024-01-18,50.59,50.61,50.59,50.59,582525
2024-01-17,50.63,50.63,50.57,50.59,527708
2024-01-16,50.65,50.73,50.65,50.67,586275
2024-01-12,50.61,50.71,50.61,50.67,761577
2024-01-11,50.5,50.59,50.5,50.59,284665
2024-01-10,50.51,50.52,50.5,50.5,208247
2024-01-09,50.45,50.49,50.45,50.48,503136
2024-01-08,50.41,50.52,50.41,50.48,545338
2024-01-05,50.41,50.48,50.4,50.43,399096
2024-01-04,50.43,50.45,50.43,50.45,242438
2024-01-03,50.44,50.48,50.43,50.46,363537
2024-01-02,50.48,50.5,50.48,50.49,357912
2023-12-29,50.46,50.53,50.46,50.52,260503
2023-12-28,50.45,50.51,50.45,50.5,233627
2023-12-27,50.46,50.49,50.45,50.48,399565
2023-12-26,50.43,50.45,50.41,50.43,539028
2023-12-22,50.43,50.44,50.4,50.42,457970
2023-12-21,50.39,50.41,50.38,50.4,896348
2023-12-20,50.3,50.31,50.27,50.31,414716
2023-12-19,50.2,50.28,50.2,50.26,515538
2023-12-18,50.2,50.23,50.2,50.23,361532
2023-12-15,50.25,50.27,50.23,50.23,650766
2023-12-14,50.21,50.28,50.21,50.23,924759
2023-12-13,50.24,50.42,50.24,50.42,685816
2023-12-12,50.2,50.24,50.2,50.21,530355
2023-12-11,50.25,50.25,50.18,50.2,415590
2023-12-08,50.3,50.3,50.23,50.24,628690
2023-12-07,50.35,50.35,50.3,50.32,577123
2023-12-06,50.26,50.31,50.26,50.3,429486
2023-12-05,50.24,50.27,50.24,50.26,684552
2023-12-04,50.25,50.28,50.21,50.24,829785
2023-12-01,50.17,50.26,50.16,50.24,771300
2023-11-30,50.41,50.42,50.38,50.39,394900
2023-11-29,50.35,50.41,50.35,50.39,724700
2023-11-28,50.16,50.28,50.16,50.28,788400
2023-11-27,50.12,50.17,50.12,50.16,1093000
2023-11-24,50.09,50.13,50.09,50.13,192100
2023-11-22,50.1,50.16,50.1,50.12,318100
2023-11-21,50.12,50.13,50.1,50.1,434200
2023-11-20,50.06,50.1,50.06,50.09,490500
2023-11-17,50.05,50.08,50.05,50.07,435500
2023-11-16,50.05,50.08,50.05,50.05,713800
2023-11-15,50.0,50.03,49.97,49.99,786000
2023-11-14,50.02,50.08,50.02,50.06,656100
2023-11-13,49.84,49.85,49.8,49.85,343700
2023-11-10,49.85,49.89,49.8,49.8,312500
2023-11-09,49.9,49.92,49.84,49.84,521400
2023-11-08,49.93,49.93,49.9,49.9,210800
2023-11-07,49.93,49.95,49.89,49.91,357300
2023-11-06,49.89,49.92,49.87,49.87,880000
2023-11-03,49.91,49.99,49.91,49.95,666100
2023-11-02,49.84,49.87,49.83,49.83,796500
2023-11-01,49.72,49.8,49.72,49.8,706100
2023-10-31,49.9,49.93,49.9,49.92,466200
2023-10-30,49.9,49.92,49.9,49.9,798700
2023-10-27,49.89,49.91,49.89,49.91,241500
2023-10-26,49.87,49.9,49.87,49.9,228200
2023-10-25,49.87,49.88,49.87,49.87,344300
2023-10-24,49.87,49.88,49.86,49.87,713100
2023-10-23,49.84,49.86,49.84,49.85,278400
2023-10-20,49.83,49.86,49.83,49.85,210500
2023-10-19,49.82,49.84,49.81,49.83,301200
2023-10-18,49.82,49.82,49.8,49.81,471500
2023-10-17,49.8,49.81,49.79,49.79,638200
2023-10-16,49.8,49.82,49.8,49.81,693800
2023-10-13,49.79,49.81,49.79,49.81,228500
2023-10-12,49.78,49.8,49.78,49.8,304300
2023-10-11,49.77,49.79,49.77,49.79,215300
2023-10-10,49.79,49.79,49.77,49.77,393700
2023-10-09,49.75,49.79,49.75,49.79,342000
2023-10-06,49.76,49.76,49.74,49.75,2845900
2023-10-05,49.73,49.76,49.73,49.75,378800
2023-10-04,49.72,49.74,49.7,49.74,3234500
2023-10-03,49.7,49.71,49.69,49.71,375900
2023-10-02,49.68,49.71,49.68,49.7,686300
2023-09-29,49.88,49.9,49.88,49.89,875800
2023-09-28,49.86,49.88,49.86,49.88,879800
2023-09-27,49.86,49.88,49.86,49.87,257600
2023-09-26,49.85,49.88,49.85,49.86,933800
2023-09-25,49.84,49.85,49.84,49.85,506800
2023-09-22,49.85,49.86,49.83,49.85,385900
2023-09-21,49.82,49.82,49.81,49.82,669200
2023-09-20,49.82,49.83,49.8,49.81,431700
2023-09-19,49.8,49.83,49.8,49.81,335000
2023-09-18,49.8,49.81,49.8,49.8,406500
2023-09-15,49.8,49.8,49.78,49.79,472700
2023-09-14,49.78,49.79,49.77,49.79,456400
2023-09-13,49.77,49.8,49.76,49.77,633300
2023-09-12,49.75,49.77,49.75,49.75,362400
2023-09-11,49.75,49.76,49.75,49.76,333200
2023-09-08,49.76,49.76,49.74,49.75,497000
2023-09-07,49.73,49.75,49.72,49.74,366000
2023-09-06,49.71,49.73,49.71,49.71,423600
2023-09-05,49.71,49.73,49.7,49.7,257500
2023-09-01,49.71,49.72,49.7,49.72,449500
2023-08-31,49.88,49.9,49.88,49.89,491100
2023-08-30,49.86,49.87,49.86,49.87,628900
2023-08-29,49.83,49.87,49.83,49.86,1652100
2023-08-28,49.81,49.83,49.81,49.83,600200
2023-08-25,49.82,49.82,49.81,49.81,667900
2023-08-24,49.79,49.82,49.79,49.8,1161500
2023-08-23,49.8,49.82,49.79,49.8,2872700
2023-08-22,49.76,49.8,49.76,49.79,1001400
2023-08-21,49.76,49.78,49.76,49.76,3297800
2023-08-18,49.75,49.76,49.74,49.76,754900
2023-08-17,49.74,49.74,49.73,49.74,635000
2023-08-16,49.75,49.75,49.72,49.72,1047400
2023-08-15,49.72,49.73,49.72,49.73,410300
2023-08-14,49.71,49.72,49.71,49.72,593000
2023-08-11,49.72,49.72,49.7,49.72,584800
2023-08-10,49.72,49.72,49.7,49.71,517800
2023-08-09,49.7,49.71,49.69,49.69,822100
2023-08-08,49.68,49.7,49.68,49.69,619400
2023-08-07,49.7,49.7,49.68,49.68,753000
2023-08-04,49.66,49.68,49.65,49.67,562800
2023-08-03,49.64,49.65,49.64,49.65,638700
2023-08-02,49.65,49.65,49.64,49.64,634200
2023-08-01,49.66,49.66,49.62,49.63,547800
2023-07-31,49.8,49.81,49.8,49.81,531800
