date,open,high,low,close,volume
2024-03-28,63.67,64.26,63.39,63.91,12830842
2024-03-27,62.16,63.86,62.02,63.79,13409037
2024-03-26,62.62,62.91,61.3,61.43,13829574
2024-03-25,62.0,62.64,61.41,62.61,11423473
2024-03-22,62.22,62.49,61.72,61.78,10046337
2024-03-21,62.2,63.39,61.29,61.36,18090251
2024-03-20,61.45,62.41,61.36,62.2,14564496
2024-03-19,60.39,61.39,60.26,61.27,11433881
2024-03-18,60.08,61.14,59.44,60.17,17073650
2024-03-15,59.2,60.13,58.88,60.08,32424620
2024-03-14,59.2,60.24,59.11,59.54,16996067
2024-03-13,59.0,60.37,58.95,59.54,17495264
2024-03-12,57.67,58.0,56.55,57.15,9634415
2024-03-11,57.57,58.14,56.89,57.87,9681500
2024-03-08,56.72,58.16,56.31,57.81,12735605
2024-03-07,56.08,56.47,55.53,56.25,10227276
2024-03-06,55.98,56.91,55.26,55.53,11074908
2024-03-05,55.0,56.51,54.95,55.4,16026132
2024-03-04,54.78,55.07,53.95,54.97,11674600
2024-03-01,55.26,55.62,54.28,55.21,15398190
2024-02-29,55.49,55.86,54.96,55.19,19993610
2024-02-28,55.35,55.72,54.71,55.04,13240400
2024-02-27,55.44,55.99,54.79,55.56,12421768
2024-02-26,55.9,55.93,54.86,55.15,12753830
2024-02-23,56.8,57.46,56.51,56.78,10563931
2024-02-22,56.79,57.08,56.32,56.67,10425984
2024-02-21,57.02,57.34,56.64,57.1,9322699
2024-02-20,56.74,57.32,56.05,56.61,13014554
2024-02-16,56.86,57.42,56.33,57.03,9943508
2024-02-15,56.3,57.66,56.22,57.27,9880017
2024-02-14,55.39,56.07,55.09,56.01,8831274
2024-02-13,56.88,57.14,54.67,55.25,12759748
2024-02-12,56.59,57.63,56.5,57.55,9622014
2024-02-09,55.98,56.63,55.72,56.58,8003540
2024-02-08,56.42,56.42,55.39,56.29,8143193
2024-02-07,56.32,56.67,55.63,56.38,7761335
2024-02-06,56.0,56.58,55.51,56.23,10306853
2024-02-05,57.37,57.43,55.89,55.97,14293578
2024-02-02,58.89,59.03,57.98,58.15,14952859
2024-02-01,58.39,59.83,58.01,59.75,8687613
2024-01-31,59.7,59.98,58.43,58.63,11124878
