date,open,high,low,close,volume
2024-03-28,4.68,4.74,4.48,4.5,54659941
2024-03-27,4.63,4.73,4.45,4.67,85346537
2024-03-26,4.9,4.92,4.77,4.78,83744681
2024-03-25,4.92,5.09,4.89,4.91,56419441
2024-03-22,4.93,4.96,4.8,4.89,43658296
2024-03-21,5.06,5.1,4.96,5.0,46800086
2024-03-20,5.11,5.14,5.04,5.1,59385474
2024-03-19,5.49,5.49,5.13,5.19,77042860
2024-03-18,5.83,5.86,5.48,5.54,48581873
2024-03-15,5.71,5.76,5.57,5.58,33811132
2024-03-14,5.82,5.82,5.54,5.58,42679883
2024-03-13,6.08,6.27,5.91,5.92,42657898
2024-03-12,6.19,6.3,6.09,6.19,38392937
2024-03-11,5.92,6.23,5.88,6.1,64025253
2024-03-08,5.78,5.92,5.66,5.8,39080174
2024-03-07,5.67,5.79,5.47,5.77,46370273
2024-03-06,5.39,5.88,5.38,5.77,77698767
2024-03-05,5.17,5.62,4.78,5.48,94784649
2024-03-04,5.58,5.61,5.25,5.33,94275776
2024-03-01,5.73,5.84,5.68,5.78,39578617
2024-02-29,5.56,5.79,5.54,5.75,63187133
2024-02-28,5.6,5.61,5.39,5.43,58390485
2024-02-27,5.81,5.93,5.72,5.78,53722073
2024-02-26,5.54,5.77,5.5,5.65,60295263
2024-02-23,5.67,5.68,5.37,5.4,75135240
2024-02-22,5.97,5.97,5.71,5.85,49536286
2024-02-21,6.02,6.17,5.95,5.97,33907151
2024-02-20,5.93,6.03,5.79,5.96,39772240
2024-02-16,6.24,6.34,6.09,6.14,41550945
2024-02-15,6.05,6.29,6.04,6.09,54076743
2024-02-14,5.88,6.02,5.84,6.0,41176843
2024-02-13,5.86,5.88,5.65,5.7,52054380
2024-02-12,5.91,6.28,5.9,6.08,43673000
2024-02-09,5.84,5.93,5.75,5.93,25563476
2024-02-08,5.82,5.88,5.72,5.82,32055296
2024-02-07,5.81,6.0,5.73,5.86,42818439
2024-02-06,5.68,6.05,5.6,6.03,88353582
2024-02-05,5.48,5.48,5.3,5.38,45420763
2024-02-02,5.56,5.59,5.43,5.54,56919298
2024-02-01,5.73,5.92,5.54,5.71,51425374
2024-01-31,5.69,5.86,5.43,5.62,75799329
2024-01-30,6.01,6.04,5.79,5.79,66444755
2024-01-29,6.08,6.16,5.95,6.14,40118388
2024-01-26,6.0,6.15,5.97,6.14,39436864
2024-01-25,5.91,6.08,5.83,6.04,59221386
2024-01-24,6.5,6.59,6.01,6.07,76000956
2024-01-23,6.4,6.88,6.17,6.21,119010793
2024-01-22,5.83,6.17,5.8,5.98,74314672
2024-01-19,6.16,6.16,5.86,6.06,82433119
2024-01-18,6.5,6.54,6.1,6.28,71543532
2024-01-17,6.21,6.42,6.12,6.3,63011767
2024-01-16,7.04,7.05,6.45,6.55,121078877
2024-01-12,7.26,7.53,7.16,7.17,49034582
2024-01-11,7.57,7.67,7.33,7.4,52385008
2024-01-10,7.53,7.55,7.31,7.41,54569578
2024-01-09,7.8,7.84,7.52,7.56,70100947
2024-01-08,7.86,8.05,7.73,7.93,49933553
2024-01-05,8.16,8.25,8.03,8.06,40831670
2024-01-04,8.33,8.47,8.25,8.27,38412269
2024-01-03,8.12,8.56,8.1,8.5,58659343
2024-01-02,8.93,8.94,8.38,8.42,81640311
2023-12-29,9.43,9.53,8.95,9.07,74905085
2023-12-28,9.16,9.57,9.12,9.43,91988342
2023-12-27,9.26,9.33,8.89,9.1,99997199
2023-12-26,8.77,9.43,8.63,9.33,130928214
2023-12-22,8.1,8.59,8.08,8.42,56076019
2023-12-21,8.15,8.31,7.99,8.29,48972682
2023-12-20,8.63,8.7,7.92,7.92,105322270
2023-12-19,8.52,8.9,8.51,8.82,88664037
2023-12-18,8.59,8.64,8.23,8.35,131952971
2023-12-15,8.02,8.14,7.74,7.98,71384369
2023-12-14,7.47,8.02,7.46,7.86,94106081
2023-12-13,7.17,7.45,7.05,7.43,57470154
2023-12-12,7.59,7.6,7.17,7.27,59007242
2023-12-11,7.49,7.7,7.41,7.68,39418171
2023-12-08,7.37,7.57,7.3,7.38,42786187
2023-12-07,7.85,7.96,7.43,7.49,63206593
2023-12-06,7.65,8.28,7.59,7.75,118989350
2023-12-05,7.59,7.96,7.38,7.43,89837096
2023-12-04,7.14,7.38,7.03,7.32,53717890
2023-12-01,7.14,7.26,7.01,7.15,46728485
2023-11-30,7.25,7.34,7.13,7.27,45953446
2023-11-29,7.29,7.515,7.13,7.18,47706964
2023-11-28,7.2,7.26,7.02,7.21,47842465
2023-11-27,7.31,7.38,7.18,7.19,33857639
2023-11-24,7.4,7.48,7.28,7.4,22881083
2023-11-22,7.58,7.635,7.3641,7.47,22087947
2023-11-21,7.62,7.71,7.42,7.51,35697216
2023-11-20,7.68,8.0277,7.6469,7.8,62067268
2023-11-17,7.4,7.499,7.25,7.39,26852182
2023-11-16,7.58,7.5913,7.14,7.4,68800066
2023-11-15,7.64,8.2,7.63,7.94,55973995
2023-11-14,7.36,7.635,7.33,7.58,43383083
2023-11-13,7.27,7.43,7.11,7.22,34211248
2023-11-10,7.61,7.64,7.16,7.24,39953745
2023-11-09,7.82,7.96,7.46,7.47,36134834
2023-11-08,7.81,8.0,7.675,7.92,37957625
2023-11-07,7.88,7.9,7.7,7.89,25233503
2023-11-06,8.45,8.505,7.86,7.97,43859700
2023-11-03,8.01,8.3,7.87,8.23,56107384
2023-11-02,7.72,7.93,7.6905,7.79,43628446
2023-11-01,7.31,7.45,7.19,7.45,33335132
2023-10-31,7.34,7.4,7.18,7.3,29679173
2023-10-30,7.56,7.64,7.395,7.52,25727596
2023-10-27,7.78,7.81,7.385,7.44,33773480
2023-10-26,7.62,7.8,7.52,7.63,27283563
2023-10-25,7.82,7.85,7.6,7.6,28413837
2023-10-24,7.56,8.12,7.56,8.09,42841661
2023-10-23,7.49,7.7,7.31,7.59,33550405
2023-10-20,7.52,7.85,7.47,7.58,31787780
2023-10-19,7.76,7.88,7.585,7.69,39606103
2023-10-18,8.53,8.54,7.865,7.91,51395167
2023-10-17,8.33,8.65,8.29,8.53,18390153
2023-10-16,8.37,8.53,8.245,8.52,24550097
2023-10-13,8.4,8.55,8.27,8.47,28408518
2023-10-12,8.88,8.97,8.38,8.44,37144128
2023-10-11,8.95,9.19,8.9,8.97,34029928
2023-10-10,8.35,8.88,8.35,8.83,42385734
2023-10-09,8.51,8.535,8.11,8.34,39704416
2023-10-06,8.49,8.75,8.46,8.72,23335960
2023-10-05,8.67,8.71,8.51,8.66,21933488
2023-10-04,8.51,8.85,8.48,8.83,28056873
2023-10-03,8.55,8.76,8.54,8.61,27185726
2023-10-02,8.9,9.0,8.7,8.79,38390578
2023-09-29,9.11,9.22,8.8648,9.04,40994082
2023-09-28,8.37,8.99,8.36,8.91,55093424
2023-09-27,8.38,8.51,8.3,8.46,24089856
