date,open,high,low,close,volume
2024-03-28,94.37,94.81,93.43,93.98,11158972
2024-03-27,93.27,94.15,92.32,94.13,11095675
2024-03-26,93.74,93.86,92.41,92.58,10816947
2024-03-25,94.07,95.52,92.77,93.75,14548768
2024-03-22,93.85,95.17,91.72,93.86,41837410
2024-03-21,100.44,101.92,99.76,100.82,17176008
2024-03-20,99.45,100.44,99.03,100.27,7771693
2024-03-19,98.5,100.04,98.44,99.96,6168856
2024-03-18,98.98,99.66,98.52,98.74,7206957
2024-03-15,100.3,101.16,99.34,99.64,15208539
2024-03-14,102.2,102.49,100.09,100.26,8350939
2024-03-13,100.61,102.0,100.33,101.36,7326384
2024-03-12,100.79,101.37,99.65,100.18,7040889
2024-03-11,99.9,101.76,99.44,101.08,8537402
2024-03-08,98.49,99.32,98.02,99.16,9043458
2024-03-07,97.99,98.4,97.68,98.19,8133866
2024-03-06,100.0,100.1,97.06,97.63,10045284
2024-03-05,99.0,99.17,98.0,98.31,8670642
2024-03-04,101.65,101.77,99.01,99.54,11050914
2024-03-01,103.87,103.94,101.83,101.88,7349270
2024-02-29,104.98,105.57,103.68,103.93,10811634
2024-02-28,104.1,105.44,103.7,104.35,4219844
2024-02-27,104.83,105.25,103.99,105.15,5317417
2024-02-26,105.31,106.1,103.76,104.54,5831480
2024-02-23,105.26,106.62,105.19,105.63,6947285
2024-02-22,105.8,106.01,104.08,105.08,6705491
2024-02-21,103.35,105.52,102.93,105.27,8893514
2024-02-20,103.13,103.84,102.17,103.3,8759480
2024-02-16,104.63,104.7,101.65,103.51,14590128
2024-02-15,107.02,107.34,105.83,106.05,7201273
2024-02-14,104.82,106.42,104.46,106.33,5743277
2024-02-13,104.99,105.8,104.25,105.0,6180509
2024-02-12,104.74,107.43,104.65,107.18,7501946
2024-02-09,103.8,104.94,103.33,104.5,5449022
2024-02-08,104.43,104.96,103.05,103.77,6330409
2024-02-07,102.39,104.34,102.35,103.79,9447765
2024-02-06,99.5,102.63,99.13,102.61,11372407
2024-02-05,100.5,100.59,99.05,99.68,10097935
2024-02-02,100.88,101.41,99.43,100.71,8966927
2024-02-01,101.9,102.25,100.61,101.76,7666694
2024-01-31,104.09,104.3,101.12,101.53,11547638
2024-01-30,103.34,104.31,103.13,104.18,7542837
2024-01-29,102.88,104.01,101.34,103.88,8860834
2024-01-26,101.57,103.27,101.22,102.75,9735779
2024-01-25,101.53,101.74,100.09,100.77,10063746
2024-01-24,101.78,101.8,100.69,100.76,7879315
2024-01-23,101.63,102.14,101.23,101.9,8208026
2024-01-22,101.75,101.81,100.09,100.56,9897443
2024-01-19,101.02,102.18,99.67,101.78,8517208
2024-01-18,101.0,101.43,100.07,100.94,8852439
2024-01-17,101.05,101.31,100.24,100.82,8226243
2024-01-16,103.94,104.22,101.36,101.72,10547901
2024-01-12,106.0,106.32,104.72,105.06,6680858
2024-01-11,104.22,106.01,103.73,105.9,9537701
2024-01-10,102.69,103.83,102.37,103.77,6784662
2024-01-09,103.17,103.4,102.5,102.74,7759476
2024-01-08,102.08,103.69,101.73,103.62,9414218
2024-01-05,102.46,103.68,101.9,102.08,8044543
2024-01-04,102.46,103.62,102.3,102.3,10420581
2024-01-03,105.72,107.48,104.0,104.04,10573744
2024-01-02,107.61,107.85,106.45,106.55,9326616
2023-12-29,108.96,109.96,108.09,108.57,7667522
2023-12-28,107.21,109.4,106.81,108.82,9352902
2023-12-27,108.34,108.59,106.85,107.13,10157852
2023-12-26,108.3,108.69,107.48,108.02,12846721
2023-12-22,108.26,110.8,107.45,108.04,46666188
2023-12-21,122.3,123.3,121.3,122.53,16533347
2023-12-20,121.13,123.39,121.0,121.43,9176621
2023-12-19,121.74,123.34,121.64,122.64,7697272
2023-12-18,121.41,121.84,120.86,121.14,6874837
2023-12-15,120.93,122.06,120.6,121.55,13633278
2023-12-14,121.44,122.59,119.82,121.02,9590510
2023-12-13,119.35,121.44,119.2,121.17,8182887
2023-12-12,119.68,119.99,118.58,119.64,7378379
2023-12-11,117.79,119.42,117.43,118.61,7972751
