date,open,high,low,close,volume
2024-03-28,105.49,106.43,105.44,106.2,1079990
2024-03-27,105.78,106.13,105.62,106.02,369240
2024-03-26,105.77,105.82,105.3,105.32,538907
2024-03-25,105.33,105.71,105.04,105.04,479605
2024-03-22,105.92,105.98,104.78,104.82,549565
2024-03-21,106.08,106.41,105.38,105.66,324462
2024-03-20,105.93,106.62,105.81,106.42,521229
2024-03-19,106.19,106.26,105.26,105.26,517085
2024-03-18,107.38,107.44,106.29,106.39,388462
2024-03-15,108.03,108.21,107.57,107.88,253676
2024-03-14,108.33,108.38,107.38,107.57,685996
2024-03-13,108.38,108.94,108.25,108.75,298156
2024-03-12,107.19,107.55,106.88,107.38,360690
2024-03-11,107.25,107.5,106.94,107.27,405177
2024-03-08,107.4,107.4,106.94,107.11,1649502
2024-03-07,106.12,106.41,105.63,106.27,618110
2024-03-06,105.18,105.56,104.93,105.32,1698994
2024-03-05,103.3,104.72,103.1,104.52,2993626
2024-03-04,103.6,104.14,103.3,103.65,667230
2024-03-01,104.61,104.83,103.75,104.62,615508
2024-02-29,105.23,105.59,103.75,103.97,678601
2024-02-28,105.15,105.54,104.6,104.92,370634
2024-02-27,106.75,106.82,106.24,106.6,358349
2024-02-26,107.66,107.7,106.67,106.81,387197
2024-02-23,108.32,108.47,107.49,107.86,521812
2024-02-22,106.9,107.5,106.78,107.05,577801
2024-02-21,113.32,113.67,112.01,112.39,304665
2024-02-20,112.54,113.23,112.49,112.79,467438
2024-02-16,110.41,110.56,110.12,110.23,445018
2024-02-15,111.38,111.72,110.99,111.02,2405669
2024-02-14,108.71,109.62,108.34,109.45,2742727
2024-02-13,108.65,108.9,108.15,108.64,1837982
2024-02-12,110.24,110.77,110.15,110.6,1014640
2024-02-09,109.84,109.87,109.0,109.27,460296
2024-02-08,113.25,113.32,111.45,111.86,225032
2024-02-07,114.45,114.47,112.75,112.8,207070
2024-02-06,113.62,114.69,113.55,114.35,544672
2024-02-05,114.71,115.23,114.49,114.86,276598
2024-02-02,114.93,114.93,113.57,114.18,220217
2024-02-01,113.85,115.14,113.41,115.03,204283
2024-01-31,115.17,115.91,113.78,113.9,293827
2024-01-30,114.9,115.2,114.4,115.15,911310
2024-01-29,114.66,115.76,114.32,115.53,938590
2024-01-26,113.67,114.13,113.54,114.0,3483063
2024-01-25,110.15,111.33,109.95,111.26,1257295
2024-01-24,110.96,111.11,109.9,109.9,455053
2024-01-23,110.43,110.63,109.79,110.22,1188265
2024-01-22,112.09,112.5,111.79,111.98,616314
2024-01-19,112.24,112.49,111.87,112.25,261606
2024-01-18,112.27,112.82,112.15,112.77,293057
2024-01-17,112.96,113.39,112.49,113.21,313467
