date,open,high,low,close,volume
2024-03-28,26.98,28.23,26.61,27.51,1042944
2024-03-27,26.5,27.46,26.06,27.02,1200890
2024-03-26,27.19,27.55,26.21,26.26,978523
2024-03-25,26.95,27.34,26.74,26.83,733792
2024-03-22,27.62,27.62,26.83,26.91,813225
2024-03-21,28.37,28.54,27.2,27.65,1339622
2024-03-20,27.6,28.41,27.18,27.78,947607
2024-03-19,27.32,27.95,27.1,27.63,1076847
2024-03-18,28.05,28.05,27.05,27.37,1577069
2024-03-15,27.41,28.32,27.41,28.3,2031435
2024-03-14,28.08,28.48,27.0,27.52,2034745
2024-03-13,27.62,28.88,27.27,28.67,1523688
2024-03-12,29.6,29.7,27.76,27.78,1313184
2024-03-11,29.75,31.1,29.16,29.54,1229739
2024-03-08,30.72,32.0,29.61,29.97,977407
2024-03-07,30.1,30.63,29.41,30.02,1055175
2024-03-06,30.84,31.18,29.52,29.95,1698525
2024-03-05,31.99,32.42,29.89,30.25,1778718
2024-03-04,32.99,33.28,31.7,32.39,1571635
2024-03-01,32.42,34.01,32.31,32.66,1954154
2024-02-29,33.8,34.87,31.7,32.12,4110862
2024-02-28,30.43,33.24,30.28,32.8,3195771
2024-02-27,28.45,31.13,28.0,31.02,3291168
2024-02-26,25.75,27.69,25.69,27.66,1817254
2024-02-23,26.72,27.03,25.49,26.1,2105687
2024-02-22,26.5,27.88,25.33,27.18,1980930
2024-02-21,27.0,27.3,26.26,26.88,1688014
2024-02-20,27.41,27.7,26.8,27.15,1401581
2024-02-16,27.59,28.11,27.04,27.74,1634593
2024-02-15,27.95,29.39,27.01,28.47,2674927
2024-02-14,27.11,28.33,26.43,28.28,1550907
2024-02-13,27.89,28.02,26.07,26.45,2409139
2024-02-12,28.3,29.64,28.2,29.61,1429582
2024-02-09,27.89,28.89,27.47,28.23,1114659
2024-02-08,26.34,27.9,26.01,27.47,1219490
2024-02-07,26.56,26.58,25.71,26.07,1067891
2024-02-06,24.86,26.63,24.53,26.57,1323031
2024-02-05,24.81,25.06,24.23,24.84,1378620
2024-02-02,24.44,25.42,23.97,25.29,1876277
2024-02-01,24.03,25.98,23.63,25.26,2588258
2024-01-31,24.52,25.25,23.76,23.82,1570883
2024-01-30,25.81,25.91,24.58,24.59,3408970
2024-01-29,24.76,26.46,23.93,26.18,1353876
2024-01-26,25.48,26.09,24.62,24.68,1014524
2024-01-25,25.35,25.87,25.01,25.09,1336225
2024-01-24,26.12,26.38,24.92,25.06,1414376
2024-01-23,26.75,26.98,25.22,25.79,1001445
2024-01-22,25.78,26.98,25.7,26.13,1186597
2024-01-19,25.21,25.6,24.75,25.55,1302539
2024-01-18,25.94,26.0,24.82,25.24,1217974
