date,open,high,low,close,volume
2024-03-28,125.39,126.17,125.2,125.61,6485225
2024-03-27,127.33,127.82,124.47,125.27,8115884
2024-03-26,126.75,126.94,125.84,126.47,7063930
2024-03-25,127.67,127.67,126.05,126.08,7446068
2024-03-22,129.01,129.21,127.55,127.79,6659950
2024-03-21,130.52,132.77,128.95,129.01,17842357
2024-03-20,129.98,130.69,128.27,129.24,8373330
2024-03-19,127.75,129.21,126.49,129.19,10220950
2024-03-18,127.2,128.95,126.88,127.8,12231423
2024-03-15,124.04,126.01,123.56,125.54,17844884
2024-03-14,127.23,127.8,124.94,125.53,10965902
2024-03-13,128.0,128.8,124.83,125.52,15870346
2024-03-12,126.26,129.37,124.6,127.54,48536077
2024-03-11,111.61,114.75,111.18,114.13,20438335
2024-03-08,114.07,114.33,111.54,112.42,8312943
2024-03-07,113.94,114.8,112.29,114.54,7670135
2024-03-06,111.5,113.05,110.67,112.27,6706372
2024-03-05,112.82,113.2,110.37,110.94,8241978
2024-03-04,113.58,114.6,113.39,114.06,6588062
2024-03-01,111.68,113.94,111.52,113.78,7605145
2024-02-29,111.68,112.44,110.64,111.68,12193860
2024-02-28,111.26,112.02,111.1,111.68,5278179
2024-02-27,110.62,111.51,109.79,111.38,6593144
2024-02-26,112.0,112.54,110.93,110.97,6342943
2024-02-23,112.0,113.37,111.71,111.95,7504506
2024-02-22,111.49,111.89,109.66,111.01,8957789
2024-02-21,106.76,108.38,106.51,108.16,7867610
2024-02-20,110.54,110.77,107.68,108.45,10975638
2024-02-16,113.02,113.11,111.25,111.31,8936016
2024-02-15,114.25,114.31,112.57,112.78,8455623
2024-02-14,114.32,114.72,113.53,114.26,5946116
2024-02-13,113.79,114.21,113.0,113.68,8171722
2024-02-12,116.26,117.1,115.38,115.84,5439629
2024-02-09,117.06,117.34,115.73,116.64,5787142
2024-02-08,117.09,117.79,115.97,116.68,4472770
2024-02-07,115.8,117.59,115.3,117.27,7672882
2024-02-06,116.74,116.95,114.98,115.3,4639268
2024-02-05,115.53,116.72,114.77,116.39,8084508
2024-02-02,115.82,116.49,115.16,115.79,6499594
2024-02-01,112.91,115.78,112.55,115.53,7882168
2024-01-31,113.81,114.27,111.67,111.7,7386705
2024-01-30,113.36,114.4,112.63,114.16,8231882
2024-01-29,114.19,114.59,113.01,113.75,7014424
2024-01-26,114.64,115.48,114.27,114.64,5541900
2024-01-25,114.89,116.18,114.35,115.0,8877205
2024-01-24,113.42,115.42,113.33,114.31,11702698
2024-01-23,110.29,112.68,109.56,111.83,9185921
2024-01-22,110.06,110.69,109.27,110.1,7485307
2024-01-19,109.32,110.22,109.02,109.67,11163772
2024-01-18,106.99,108.88,106.62,108.7,10362279
2024-01-17,106.46,107.5,105.68,106.43,7771460
2024-01-16,106.41,106.66,105.42,106.57,7547241
2024-01-12,105.1,106.7,104.97,106.6,9703848
2024-01-11,104.35,104.84,103.54,104.77,6118998
2024-01-10,103.09,104.07,102.72,103.92,7270545
2024-01-09,103.85,104.48,103.29,103.63,6725200
2024-01-08,102.94,104.77,102.13,104.66,7038658
2024-01-05,102.53,103.72,102.29,102.73,6133770
2024-01-04,102.77,103.36,102.4,102.59,6822299
2024-01-03,103.3,103.38,101.74,102.46,9455569
2024-01-02,104.52,104.68,102.44,104.06,9597500
2023-12-29,106.6,106.92,104.78,105.43,6899695
2023-12-28,106.01,106.61,105.58,106.25,5689057
2023-12-27,106.32,106.33,105.56,105.94,5627364
2023-12-26,106.52,106.65,105.34,106.19,5767415
2023-12-22,105.7,106.49,105.46,106.2,5680031
2023-12-21,104.7,105.93,104.52,105.86,8168010
2023-12-20,105.95,106.09,104.05,104.15,9241956
2023-12-19,104.98,106.34,104.8,106.25,10108507
2023-12-18,103.41,106.16,102.91,105.0,13473124
2023-12-15,99.69,103.99,99.36,103.32,30212316
2023-12-14,101.87,102.25,99.87,100.31,22865164
2023-12-13,101.08,103.1,99.26,102.99,29392208
2023-12-12,102.7,104.95,100.69,100.81,57666473
2023-12-11,113.77,115.35,113.61,115.13,19544239
2023-12-08,112.01,113.64,111.59,113.61,7765999
2023-12-07,112.41,113.03,111.81,112.87,6772848
2023-12-06,114.94,114.99,111.93,112.03,7815722
2023-12-05,114.57,115.27,113.81,114.53,5913562
2023-12-04,116.27,116.68,114.55,115.78,5587538
2023-12-01,116.07,117.35,115.26,117.16,5738000
2023-11-30,116.86,117.23,115.18,116.21,11075600
2023-11-29,117.34,117.58,115.96,116.21,6127200
2023-11-28,116.0,116.8,115.87,116.24,4892600
2023-11-27,116.01,116.77,115.45,116.47,5165300
2023-11-24,116.49,116.59,115.34,116.25,2168200
2023-11-22,116.7,117.29,115.51,116.24,4343700
2023-11-21,117.21,117.67,115.68,116.08,5995300
2023-11-20,115.65,117.15,115.51,116.92,5728300
2023-11-17,114.61,115.64,114.16,115.36,4791300
2023-11-16,113.76,115.87,113.47,114.67,7476100
2023-11-15,116.15,116.31,113.93,114.06,7386200
2023-11-14,114.86,116.46,114.45,116.1,6733700
2023-11-13,113.07,114.49,112.78,114.15,5740500
2023-11-10,112.09,113.18,111.14,113.07,5233900
2023-11-09,112.4,113.31,111.61,112.18,6853900
2023-11-08,109.23,112.56,109.19,112.33,10994900
2023-11-07,109.99,110.38,108.58,108.99,7412600
2023-11-06,108.06,109.21,107.44,109.11,6062800
2023-11-03,107.17,109.07,106.62,108.05,7278500
2023-11-02,106.45,107.22,105.57,106.87,5918300
2023-11-01,103.8,106.2,103.8,105.75,8602400
2023-10-31,102.01,103.52,101.1,103.4,6258400
2023-10-30,101.14,102.41,100.82,101.65,5433700
2023-10-27,101.0,102.09,100.59,100.99,5207900
2023-10-26,101.69,102.39,99.87,100.4,7565600
2023-10-25,102.7,103.67,101.01,101.43,7081700
2023-10-24,103.95,104.46,102.5,103.2,6174000
2023-10-23,102.04,104.69,102.01,103.66,10722600
2023-10-20,106.99,107.04,100.66,101.85,21828800
2023-10-19,108.63,110.22,108.19,108.34,7989200
2023-10-18,108.4,109.73,107.86,108.25,5123900
2023-10-17,107.58,109.79,106.9,109.04,5261800
2023-10-16,108.95,109.59,108.31,108.71,5488000
2023-10-13,109.19,109.51,107.79,108.25,5879400
2023-10-12,109.95,110.92,108.88,109.11,6598500
2023-10-11,109.51,110.06,108.83,109.64,5641700
2023-10-10,110.21,111.06,109.62,109.71,6910400
2023-10-09,110.75,110.97,109.47,110.32,6012400
2023-10-06,107.93,110.53,107.58,109.96,8245600
2023-10-05,106.97,108.44,106.19,108.35,7651500
2023-10-04,104.96,107.3,104.5,107.08,8842700
2023-10-03,106.42,106.5,103.54,104.52,8783300
2023-10-02,105.81,106.73,105.29,106.71,5963500
2023-09-29,107.11,107.37,105.38,105.92,7296100
2023-09-28,104.03,106.6,103.27,106.15,7373600
2023-09-27,105.0,105.28,103.35,104.62,8916400
2023-09-26,107.14,107.4,104.31,104.88,13209000
2023-09-25,108.45,108.65,107.5,108.3,8410000
