date,open,high,low,close,volume
2024-03-28,93.11,94.0,93.0,93.73,37586
2024-03-27,89.48,91.15,88.66,91.12,46555
2024-03-26,93.08,93.08,91.27,91.59,20550
2024-03-25,92.75,94.4,92.33,92.65,35766
2024-03-22,92.07,92.57,90.82,90.87,36630
2024-03-21,93.91,94.69,91.75,93.55,73510
2024-03-20,91.39,94.38,91.16,94.16,53398
2024-03-19,92.2,92.44,89.57,91.73,87458
2024-03-18,97.5,97.89,93.98,95.02,76438
2024-03-15,101.12,101.12,99.01,99.2,74286
2024-03-14,100.23,100.8,97.03,98.31,62174
2024-03-13,98.31,98.97,97.01,97.35,72294
2024-03-12,93.85,96.1,92.71,95.69,76147
2024-03-11,95.2,95.5,93.82,94.83,44645
2024-03-08,96.2,96.2,92.46,93.96,40563
2024-03-07,95.84,96.78,94.35,95.04,77143
2024-03-06,93.24,97.7,93.24,95.53,197808
2024-03-05,87.0,87.6,85.74,87.27,25585
2024-03-04,87.25,89.0,86.81,88.49,39191
2024-03-01,86.5,88.5,85.87,87.56,72856
2024-02-29,86.63,87.18,85.76,86.89,11163
2024-02-28,84.21,85.9,84.18,85.29,26236
2024-02-27,88.63,89.27,86.41,86.62,31863
2024-02-26,87.93,88.46,87.0,87.99,32667
2024-02-23,89.32,91.64,89.32,89.7,53096
2024-02-22,87.25,89.73,87.25,88.91,47243
2024-02-21,89.55,89.55,85.42,87.74,45556
2024-02-20,89.6,91.0,88.18,90.0,80185
2024-02-16,87.4,89.25,86.82,87.43,29295
2024-02-15,87.34,89.65,86.81,87.83,76828
2024-02-14,84.29,86.31,84.29,86.05,92619
2024-02-13,80.75,80.82,78.5,79.76,70936
2024-02-12,81.85,82.87,80.51,82.4,61568
2024-02-09,80.73,81.57,79.2,79.61,87718
2024-02-08,81.0,83.25,80.06,81.88,65434
2024-02-07,85.16,85.73,82.35,82.51,113794
2024-02-06,87.18,88.35,86.84,87.34,11008
2024-02-05,86.66,88.04,86.66,87.44,17865
2024-02-02,87.19,87.9,85.69,87.2,53060
2024-02-01,88.15,89.9,87.65,88.75,36926
2024-01-31,90.19,91.62,89.75,90.28,52503
2024-01-30,90.7,90.7,89.34,89.94,48793
2024-01-29,89.18,90.89,89.17,90.85,91870
2024-01-26,87.11,88.87,87.03,88.42,47281
2024-01-25,88.21,88.21,85.88,86.76,46664
2024-01-24,89.43,89.83,88.01,89.12,65080
2024-01-23,86.68,88.51,86.51,87.41,32032
2024-01-22,85.25,86.98,85.0,86.43,33739
2024-01-19,86.5,87.49,85.69,87.42,32038
2024-01-18,86.0,87.02,85.71,86.86,42010
2024-01-17,84.84,85.4,83.3,84.7,99404
2024-01-16,86.88,87.24,85.72,86.23,131178
2024-01-12,91.75,92.5,89.33,90.19,99579
2024-01-11,92.73,92.89,90.38,91.39,36842
2024-01-10,91.52,92.54,90.25,92.2,56337
2024-01-09,91.6,91.66,89.5,90.15,93087
2024-01-08,92.5,93.07,91.44,92.11,62553
2024-01-05,95.32,96.64,94.69,94.82,30963
2024-01-04,97.06,97.6,95.23,95.67,47293
2024-01-03,98.73,99.04,97.25,98.82,32933
2024-01-02,100.56,100.95,98.81,99.79,37779
2023-12-29,102.64,103.0,101.09,101.09,44709
2023-12-28,104.87,105.73,103.5,104.19,33277
2023-12-27,107.64,109.16,105.63,106.49,38108
2023-12-26,110.12,110.29,107.68,107.92,43538
2023-12-22,114.14,114.71,110.61,110.85,25017
2023-12-21,111.55,112.25,108.75,111.95,27341
2023-12-20,112.41,112.78,109.58,109.95,33503
2023-12-19,110.88,114.7,110.88,113.27,59045
2023-12-18,109.25,111.54,108.26,109.0,41834
2023-12-15,104.21,109.95,103.8,108.27,134229
2023-12-14,96.55,102.79,96.55,101.96,174150
2023-12-13,90.29,92.68,88.23,92.68,41730
2023-12-12,89.3,90.63,88.78,90.53,97078
2023-12-11,87.58,89.24,86.77,88.64,35344
2023-12-08,88.86,89.17,86.95,87.04,45652
2023-12-07,90.05,90.9,88.95,89.78,41867
2023-12-06,89.16,89.85,87.01,87.68,39029
2023-12-05,88.67,88.91,85.25,86.43,93693
2023-12-04,90.0,90.5,88.7,89.94,50937
2023-12-01,92.53,93.14,91.4421,92.5,41769
2023-11-30,94.54,94.89,93.0161,93.52,39733
2023-11-29,94.63,95.35,93.784,94.86,35134
2023-11-28,97.07,98.05,95.92,97.15,35701
2023-11-27,97.8,99.41,97.0,98.69,40707
2023-11-24,96.83,99.42,96.83,99.42,10745
2023-11-22,97.0,97.7399,96.46,97.43,18163
2023-11-21,99.39,100.49,99.05,99.35,20899
2023-11-20,98.97,100.37,98.97,99.5,35504
2023-11-17,95.95,97.42,95.84,97.26,34855
2023-11-16,95.23,96.85,95.23,95.99,37648
2023-11-15,93.68,96.72,92.6201,95.38,54156
2023-11-14,93.58,95.23,93.1501,94.2,139021
2023-11-13,88.36,91.18,88.07,91.0,63991
2023-11-10,89.56,91.0224,88.8117,89.33,92686
2023-11-09,94.2,94.2,91.76,91.99,94927
2023-11-08,95.06,97.6,94.74,97.17,44150
2023-11-07,98.9,99.16,97.47,97.58,61008
2023-11-06,103.1,103.4156,101.23,102.38,19880
2023-11-03,103.21,103.69,101.847,103.2217,30988
2023-11-02,103.01,103.55,101.71,102.65,28821
2023-11-01,103.68,105.0,101.8,102.15,17959
2023-10-31,104.35,104.8401,102.96,103.46,20811
2023-10-30,105.64,106.1444,103.25,103.7322,53219
2023-10-27,105.34,105.47,102.43,103.32,19255
2023-10-26,103.42,105.08,102.57,104.14,17150
2023-10-25,103.91,105.303,102.85,103.42,31181
2023-10-24,102.98,104.0,102.11,103.7016,16452
2023-10-23,102.6,105.15,102.135,103.99,52564
2023-10-20,101.91,103.0299,101.6,101.76,36696
