date,open,high,low,close,volume
2024-03-28,27.82,28.12,27.72,27.75,39663493
2024-03-27,27.71,27.94,27.54,27.78,34247616
2024-03-26,27.45,27.63,27.31,27.59,38220263
2024-03-25,27.24,27.48,27.1,27.43,31110645
2024-03-22,27.47,27.84,27.34,27.36,28830115
2024-03-21,27.75,28.04,27.63,27.66,29633710
2024-03-20,27.48,27.74,27.21,27.7,34467959
2024-03-19,27.67,27.78,27.32,27.63,29026578
2024-03-18,28.01,28.03,27.61,27.72,36226501
2024-03-15,27.96,28.28,27.86,27.94,75727854
2024-03-14,28.25,28.28,27.77,28.13,36427957
2024-03-13,28.29,28.69,28.19,28.22,39272983
2024-03-12,28.31,28.34,27.76,28.01,48758226
2024-03-11,27.31,28.39,27.31,28.37,52600145
2024-03-08,26.88,27.3,26.85,27.22,45906630
2024-03-07,27.2,27.32,26.76,26.79,46423824
2024-03-06,26.9,27.3,26.79,27.19,84919456
2024-03-05,25.87,26.42,25.69,26.08,73646090
2024-03-04,26.3,26.46,25.61,25.89,86777724
2024-03-01,26.83,26.9,26.51,26.59,46392099
2024-02-29,27.07,27.19,26.55,26.56,54643160
2024-02-28,26.96,27.24,26.82,27.04,31010175
2024-02-27,27.12,27.2,26.81,26.89,38598363
2024-02-26,27.67,27.67,27.07,27.18,45685477
2024-02-23,27.75,28.09,27.69,27.76,33182554
2024-02-22,27.59,27.7,27.19,27.55,31957507
2024-02-21,27.6,27.68,27.36,27.67,27370649
2024-02-20,27.61,28.14,27.52,27.59,34232007
2024-02-16,27.55,27.89,27.21,27.62,35935327
2024-02-15,27.25,27.81,27.22,27.51,36111622
2024-02-14,27.01,27.17,26.91,27.11,25270224
2024-02-13,27.54,27.83,26.86,26.97,37927457
2024-02-12,27.54,28.02,27.52,27.66,30323717
2024-02-09,27.56,27.59,27.38,27.56,29062706
2024-02-08,27.56,27.69,27.41,27.57,29048353
2024-02-07,27.55,27.65,27.3,27.56,36843007
2024-02-06,26.66,27.73,26.57,27.5,56994489
2024-02-05,26.94,26.94,26.52,26.57,42633401
2024-02-02,27.18,27.2,26.69,26.93,51718525
2024-02-01,27.1,27.33,26.73,27.29,53882960
2024-01-31,27.17,27.51,26.78,27.08,81192099
2024-01-30,27.89,28.37,26.95,27.02,86072429
2024-01-29,27.52,27.63,27.31,27.48,67082715
