date,open,high,low,close,volume
2024-03-28,162.82,163.14,161.7,162.25,6781052
2024-03-27,161.36,162.74,161.34,162.61,6599711
2024-03-26,160.36,161.14,160.14,160.55,5842850
2024-03-25,161.17,161.66,159.73,160.19,7145692
2024-03-22,162.2,162.41,161.47,161.66,6393425
2024-03-21,162.09,162.46,161.12,161.86,5211676
2024-03-20,162.01,162.4,161.47,161.99,4870296
2024-03-19,161.8,162.17,161.17,161.83,6148240
2024-03-18,161.48,162.72,161.0,161.21,6086268
2024-03-15,160.7,161.5,160.3,161.38,10956888
2024-03-14,162.24,162.62,161.13,161.5,5848057
2024-03-13,162.38,162.73,161.33,162.3,5410679
2024-03-12,161.82,162.52,161.23,161.93,4229060
2024-03-11,161.34,162.62,160.82,161.55,5171060
2024-03-08,159.85,161.25,158.29,160.35,5080225
2024-03-07,159.95,160.91,159.47,160.62,4783943
2024-03-06,159.68,159.99,158.91,159.57,5405719
2024-03-05,159.46,159.99,158.78,159.32,4481715
2024-03-04,157.74,159.76,157.67,159.56,3841623
2024-03-01,158.05,159.03,157.61,158.85,4819929
2024-02-29,159.93,160.11,158.18,158.94,8348201
2024-02-28,159.07,160.12,158.64,160.05,3802915
2024-02-27,159.41,159.8,158.96,159.3,3868405
2024-02-26,161.03,161.17,160.07,160.22,4531936
2024-02-23,160.6,161.74,160.16,161.03,5486533
2024-02-22,159.46,161.09,158.63,160.56,6619639
2024-02-21,159.19,160.4,159.19,160.4,7121116
2024-02-20,158.7,159.79,158.13,158.51,6622058
2024-02-16,157.04,158.45,156.67,157.51,6617706
2024-02-15,156.3,157.42,156.15,157.01,6249241
2024-02-14,156.16,156.16,154.91,155.63,5727455
2024-02-13,157.75,158.97,155.48,156.27,6046869
2024-02-12,157.36,157.61,155.49,157.11,5482124
2024-02-09,158.26,158.34,156.96,157.42,5978181
2024-02-08,158.8,159.1,157.77,158.64,6121778
2024-02-07,159.1,159.83,158.74,159.12,7209276
2024-02-06,158.31,159.07,157.87,158.96,6185982
2024-02-05,158.17,159.0,157.56,158.21,6931933
2024-02-02,158.97,159.6,157.53,158.09,7937716
2024-02-01,156.77,159.3,156.62,159.18,7601144
2024-01-31,157.99,158.5,156.7,157.14,8870215
2024-01-30,156.34,157.92,155.82,157.49,7794730
2024-01-29,156.68,157.33,155.4,156.16,8987609
2024-01-26,155.81,156.16,155.34,156.14,8356819
2024-01-25,152.4,155.66,152.06,155.62,10352452
2024-01-24,153.93,154.23,152.09,152.12,11592672
2024-01-23,153.11,156.4,152.89,153.98,19101558
2024-01-22,146.97,148.21,146.28,147.86,11084134
2024-01-19,148.25,148.62,147.31,147.57,7848138
2024-01-18,148.23,148.4,146.92,148.14,6526221
2024-01-17,149.16,150.6,149.01,149.94,6541439
2024-01-16,150.15,151.5,148.88,149.79,8120101
2024-01-12,150.95,151.3,149.89,150.6,5684834
2024-01-11,150.05,150.8,149.29,150.51,6659447
2024-01-10,149.35,150.0,149.26,149.94,8591116
2024-01-09,148.57,149.4,148.05,149.3,9786934
2024-01-08,147.91,148.92,147.65,148.69,8255307
2024-01-05,148.72,148.87,146.55,147.42,5294358
2024-01-04,148.05,149.27,147.77,148.65,7067618
2024-01-03,148.34,149.2,147.18,147.84,7697534
2024-01-02,146.36,149.41,146.31,148.74,7238388
2023-12-29,146.0,146.96,145.73,146.54,5300991
2023-12-28,146.0,146.01,145.04,145.73,5023033
2023-12-27,145.65,146.31,145.36,146.06,4569442
2023-12-26,145.09,146.17,144.97,145.94,3634885
2023-12-22,144.5,145.63,144.29,145.28,4413842
2023-12-21,144.52,144.79,143.13,144.26,6104714
2023-12-20,145.57,146.07,143.84,143.91,7663841
2023-12-19,145.67,146.34,145.39,146.17,5233563
2023-12-18,144.17,147.49,144.15,146.17,8421950
2023-12-15,143.18,144.25,142.5,143.96,14549957
2023-12-14,148.46,148.55,144.38,144.66,10565171
2023-12-13,145.86,148.65,145.45,148.58,9055532
2023-12-12,145.86,146.23,145.08,145.94,6069202
2023-12-11,144.8,145.87,144.65,145.82,8471213
2023-12-08,145.92,146.24,144.52,145.15,6385269
2023-12-07,146.57,147.1,146.02,146.5,6119624
2023-12-06,147.01,147.16,145.64,146.65,7610079
2023-12-05,152.14,152.61,146.18,146.76,11895824
2023-12-04,151.77,152.53,151.66,152.06,6578318
2023-12-01,153.33,153.49,152.23,152.66,5684600
2023-11-30,150.9,153.63,150.08,153.52,9771300
2023-11-29,152.29,152.45,150.99,151.13,5342700
2023-11-28,151.15,152.77,151.15,152.29,6110400
2023-11-27,151.52,151.64,150.74,151.24,6021300
2023-11-24,151.18,151.74,151.03,151.38,2132500
2023-11-22,150.1,151.48,150.1,151.02,4372700
2023-11-21,149.85,150.01,148.83,149.61,7310400
2023-11-20,150.21,151.03,149.66,150.27,6856500
2023-11-17,152.72,152.84,150.89,151.07,8495600
2023-11-16,151.99,152.89,151.31,152.83,7590500
2023-11-15,152.06,152.39,150.38,151.42,7672600
2023-11-14,152.55,153.5,151.68,152.12,7982600
2023-11-13,151.45,152.9,151.45,152.46,6297500
2023-11-10,150.84,151.44,149.92,151.41,5387200
2023-11-09,149.74,150.35,149.12,150.35,6581500
2023-11-08,150.96,151.2,149.51,150.01,4832600
2023-11-07,150.92,151.25,150.12,150.59,6003800
2023-11-06,150.36,151.25,150.1,150.94,6480800
2023-11-03,151.79,152.29,149.62,150.07,6587700
2023-11-02,149.54,151.65,148.91,151.44,5859200
2023-11-01,150.68,150.68,149.21,149.61,5896900
2023-10-31,149.46,150.26,148.64,150.03,6762100
2023-10-30,147.9,149.55,147.54,149.26,5412800
2023-10-27,148.98,149.95,146.28,147.16,8131800
2023-10-26,151.05,151.38,149.74,149.8,7582100
2023-10-25,149.64,151.19,149.12,150.6,6172900
2023-10-24,148.12,150.07,148.07,149.9,6322000
2023-10-23,147.86,149.5,147.56,148.15,5981800
2023-10-20,149.05,149.88,147.92,148.05,7283900
2023-10-19,149.61,150.28,147.18,148.25,8146000
2023-10-18,150.06,151.3,148.77,150.03,10508500
2023-10-17,146.11,146.82,145.24,146.26,6160100
2023-10-16,145.86,147.06,145.46,146.07,6509800
2023-10-13,143.19,145.03,143.19,144.69,7078900
2023-10-12,142.79,143.93,141.66,143.32,5965600
2023-10-11,145.14,145.56,142.56,143.0,5469100
2023-10-10,143.98,145.22,143.72,144.78,5988900
2023-10-09,143.36,143.97,141.6,143.36,5062200
2023-10-06,143.6,144.56,141.45,144.09,7406300
2023-10-05,145.68,146.09,143.69,143.8,5205700
2023-10-04,145.59,146.31,144.93,145.97,4727800
2023-10-03,145.17,146.49,145.01,145.49,4670600
2023-10-02,144.78,145.6,143.9,145.19,5153800
2023-09-29,146.54,146.77,144.82,145.86,6675100
2023-09-28,147.82,147.98,145.68,146.34,6237100
2023-09-27,149.42,149.7,146.63,147.34,5403700
2023-09-26,149.98,150.36,148.79,149.32,6366500
2023-09-25,151.18,151.28,150.02,150.66,5527000
2023-09-22,152.44,153.34,151.38,151.58,6327000
2023-09-21,153.45,153.71,152.07,152.14,5096400
2023-09-20,153.77,154.78,153.36,153.47,5446400
2023-09-19,153.75,154.06,151.74,153.6,4704200
2023-09-18,154.45,154.48,153.51,154.05,3536500
2023-09-15,154.03,155.32,153.23,153.47,10255600
2023-09-14,153.85,154.92,153.37,154.77,4606800
2023-09-13,151.98,153.59,151.66,153.09,4040600
