date,open,high,low,close,volume
2024-03-28,20.79,20.89,20.79,20.83,7727
2024-03-27,20.77,20.82,20.72,20.81,14133
2024-03-26,20.68,20.73,20.56,20.68,10648
2024-03-25,20.78,20.83,20.69,20.83,7848
2024-03-22,20.78,20.78,20.67,20.67,12672
2024-03-21,20.85,20.89,20.75,20.8,28971
2024-03-20,20.61,20.85,20.51,20.85,44090
2024-03-19,20.42,20.65,20.42,20.58,23819
2024-03-18,20.66,20.67,20.52,20.53,8026
2024-03-15,20.52,20.61,20.38,20.42,19202
2024-03-14,20.7,20.7,20.52,20.52,16733
2024-03-13,20.64,20.78,20.61,20.78,6871
2024-03-12,20.67,20.71,20.59,20.64,15795
2024-03-11,20.62,20.62,20.51,20.59,13351
2024-03-08,20.66,20.68,20.53,20.53,21642
2024-03-07,20.79,20.9,20.75,20.85,28642
2024-03-06,20.77,20.84,20.75,20.75,30273
2024-03-05,20.49,20.56,20.3,20.5,7768
2024-03-04,20.45,20.5,20.34,20.42,22678
2024-03-01,20.34,20.46,20.23,20.46,20379
2024-02-29,20.24,20.25,20.14,20.24,18853
2024-02-28,20.07,20.08,19.83,20.03,22565
2024-02-27,20.32,20.35,20.22,20.24,27853
2024-02-26,20.23,20.31,20.23,20.25,27536
2024-02-23,20.23,20.32,20.18,20.29,20945
2024-02-22,20.23,20.29,20.18,20.27,12243
2024-02-21,20.21,20.21,19.84,20.16,11463
2024-02-20,20.15,20.2,20.09,20.19,21584
2024-02-16,20.05,20.18,19.95,20.1,33761
2024-02-15,20.03,20.22,19.94,20.07,62293
2024-02-14,19.76,19.98,19.76,19.98,23581
2024-02-13,19.93,19.93,19.48,19.48,23263
2024-02-12,20.03,20.29,20.03,20.15,180566
2024-02-09,20.11,20.17,20.01,20.06,20353
2024-02-08,20.0,20.13,19.97,20.0,108663
2024-02-07,19.96,20.14,19.96,20.08,19325
2024-02-06,19.83,20.02,19.8,20.02,35350
2024-02-05,19.65,19.74,19.53,19.65,30500
2024-02-02,19.71,19.71,19.57,19.65,28875
2024-02-01,19.77,19.84,19.69,19.81,49535
2024-01-31,19.69,19.89,19.61,19.61,45195
2024-01-30,19.6,19.88,19.6,19.87,15802
2024-01-29,19.7,19.72,19.57,19.68,10946
2024-01-26,19.53,19.67,19.53,19.65,22089
2024-01-25,19.51,19.54,19.4,19.54,27213
2024-01-24,19.49,19.51,19.38,19.41,34918
2024-01-23,19.14,19.31,19.13,19.3,24312
2024-01-22,19.15,19.44,19.14,19.18,34912
2024-01-19,18.93,19.13,18.9,19.11,20498
2024-01-18,18.93,18.93,18.84,18.92,30373
2024-01-17,18.84,18.91,18.82,18.89,6451
2024-01-16,19.24,19.24,19.08,19.09,17934
2024-01-12,19.54,19.57,19.46,19.49,49981
2024-01-11,19.38,19.42,19.3,19.42,28490
2024-01-10,19.31,19.33,19.24,19.31,16881
2024-01-09,19.3,19.31,19.24,19.24,46562
2024-01-08,19.43,19.58,19.43,19.55,19665
2024-01-05,19.29,19.43,19.29,19.39,14246
2024-01-04,19.16,19.24,19.14,19.19,18962
2024-01-03,19.28,19.32,19.19,19.22,61121
2024-01-02,19.54,19.54,19.35,19.37,553047
2023-12-29,19.67,19.76,19.64,19.69,20523
2023-12-28,19.61,19.66,19.57,19.6,18061
2023-12-27,19.58,19.59,19.54,19.56,17281
2023-12-26,19.55,19.55,19.47,19.53,13152
2023-12-22,19.42,19.45,19.35,19.42,19598
2023-12-21,19.3,19.36,19.26,19.36,31215
2023-12-20,19.26,19.29,19.04,19.04,27181
2023-12-19,19.26,19.32,19.26,19.27,37118
2023-12-18,19.27,19.27,19.17,19.24,17604
2023-12-15,19.45,19.53,19.41,19.41,300513
2023-12-14,19.39,19.64,19.39,19.61,56821
2023-12-13,18.98,19.3,18.8,19.28,53727
2023-12-12,19.02,19.09,18.96,19.09,20186
2023-12-11,19.02,19.09,18.98,19.06,27903
2023-12-08,18.95,19.03,18.93,19.03,12548
2023-12-07,18.92,19.03,18.92,19.03,18228
2023-12-06,18.98,18.99,18.81,18.81,32308
2023-12-05,18.82,18.88,18.77,18.86,15047
2023-12-04,19.07,19.07,18.91,18.94,31608
2023-12-01,18.98,19.22,18.98,19.2,62240
