date,open,high,low,close,volume
2024-03-28,8.77,8.84,8.77,8.84,35580
2024-03-27,8.68,8.75,8.66,8.74,41515
2024-03-26,8.82,8.82,8.76,8.78,13511
2024-03-25,8.8,8.84,8.77,8.78,38749
2024-03-22,8.76,8.77,8.68,8.7,44284
2024-03-21,8.88,8.9,8.82,8.82,37439
2024-03-20,8.68,8.83,8.68,8.83,49705
2024-03-19,8.69,8.72,8.68,8.7,46722
2024-03-18,8.95,8.95,8.89,8.91,20063
2024-03-15,9.21,9.23,9.11,9.12,36656
2024-03-14,9.07,9.07,9.0,9.02,21741
2024-03-13,9.05,9.14,9.03,9.14,35255
2024-03-12,8.93,8.97,8.85,8.97,24747
2024-03-11,9.02,9.12,9.01,9.11,84045
2024-03-08,8.91,8.91,8.82,8.85,12796
2024-03-07,8.94,8.96,8.89,8.94,36188
2024-03-06,8.7,8.84,8.7,8.81,51889
2024-03-05,8.62,8.63,8.56,8.57,34320
2024-03-04,8.64,8.76,8.64,8.73,83295
2024-03-01,8.5,8.61,8.47,8.6,38255
2024-02-29,8.61,8.64,8.53,8.57,41703
2024-02-28,8.59,8.59,8.53,8.56,29424
2024-02-27,8.64,8.69,8.63,8.65,38225
2024-02-26,8.57,8.58,8.52,8.57,131851
2024-02-23,8.76,8.78,8.71,8.76,33481
2024-02-22,8.71,8.77,8.67,8.75,49167
2024-02-21,8.71,8.71,8.57,8.62,44838
2024-02-20,8.86,8.86,8.8,8.8,39884
2024-02-16,8.7,8.81,8.69,8.8,13908
2024-02-15,8.71,8.77,8.7,8.73,29369
2024-02-14,8.67,8.7,8.63,8.64,14392
2024-02-13,8.59,8.59,8.46,8.49,39673
2024-02-12,8.54,8.68,8.52,8.66,55214
2024-02-09,8.55,8.55,8.47,8.51,55752
2024-02-08,8.52,8.65,8.51,8.63,43873
2024-02-07,8.62,8.66,8.56,8.59,79288
2024-02-06,8.78,8.81,8.74,8.81,16830
2024-02-05,8.76,8.77,8.68,8.77,59898
2024-02-02,8.77,8.79,8.68,8.7,56931
2024-02-01,8.87,8.91,8.85,8.89,23905
2024-01-31,9.02,9.09,8.92,8.92,17051
2024-01-30,9.02,9.02,8.91,9.0,18286
2024-01-29,8.96,9.06,8.95,9.05,29345
2024-01-26,8.8,8.92,8.79,8.89,44128
2024-01-25,8.73,8.74,8.62,8.69,99583
2024-01-24,8.87,8.87,8.77,8.77,12931
2024-01-23,8.75,8.78,8.73,8.77,23469
2024-01-22,8.72,8.79,8.7,8.7,33753
2024-01-19,8.82,8.82,8.7,8.76,27857
2024-01-18,8.75,8.85,8.71,8.85,30073
2024-01-17,8.65,8.67,8.55,8.62,53769
2024-01-16,8.78,8.82,8.73,8.74,27146
2024-01-12,9.06,9.1,8.82,8.84,30283
2024-01-11,9.0,9.0,8.86,8.94,29260
2024-01-10,9.01,9.01,8.93,8.97,35544
2024-01-09,9.14,9.14,9.06,9.07,18874
