date,open,high,low,close,volume
2024-03-28,24.17,24.28,22.94,23.01,62676463
2024-03-27,25.0,25.48,24.26,24.51,38600086
2024-03-26,24.76,25.47,24.47,24.89,43610464
2024-03-25,24.12,24.62,24.05,24.51,29255903
2024-03-22,24.2,24.48,24.02,24.18,25453029
2024-03-21,25.3,25.33,24.44,24.49,37099608
2024-03-20,23.77,24.65,23.67,24.57,40273774
2024-03-19,23.5,23.83,22.92,23.8,43247249
2024-03-18,23.77,24.18,23.32,24.0,44083043
2024-03-15,23.85,24.1,23.42,23.49,61420999
2024-03-14,24.83,24.97,24.14,24.43,49214784
2024-03-13,24.7,25.44,24.6,25.0,59712992
2024-03-12,25.57,25.64,24.35,24.7,75202613
2024-03-11,25.89,26.83,25.29,25.35,60829269
2024-03-08,27.19,27.28,25.81,26.04,84256124
2024-03-07,27.01,27.5,26.38,26.46,117519319
2024-03-06,25.75,26.75,24.53,26.16,207386942
2024-03-05,23.96,24.41,23.43,23.81,49542272
2024-03-04,24.4,24.58,23.53,24.04,64320031
2024-03-01,25.3,25.69,24.54,24.93,64794407
2024-02-29,24.81,25.29,24.36,25.08,62753300
2024-02-28,24.52,24.84,24.25,24.42,47313982
2024-02-27,23.76,24.62,23.72,24.53,64967421
2024-02-26,23.03,23.88,22.94,23.56,46499481
2024-02-23,23.53,24.07,22.82,22.97,48840765
2024-02-22,23.77,23.95,23.05,23.59,64458247
2024-02-21,22.3,22.93,22.29,22.74,60411461
2024-02-20,23.84,24.0,22.72,23.4,93374349
2024-02-16,24.96,25.5,24.39,24.44,65498227
2024-02-15,25.04,25.46,24.71,25.41,70544321
2024-02-14,24.15,25.5,23.76,25.19,97227926
2024-02-13,23.53,24.66,23.31,24.01,102293322
2024-02-12,23.91,25.53,23.82,25.05,108173046
2024-02-09,25.04,25.11,23.57,24.38,149061975
2024-02-08,23.96,25.06,23.32,24.51,212671149
2024-02-07,21.6,23.87,21.38,23.6,254911069
2024-02-06,20.3,22.18,19.76,21.87,421271485
2024-02-05,17.56,17.87,16.48,16.72,167698349
2024-02-02,16.34,17.02,16.15,17.02,57672675
2024-02-01,16.21,16.49,16.03,16.33,40454381
2024-01-31,16.41,16.76,16.07,16.09,43582546
2024-01-30,17.04,17.24,16.66,16.74,36388182
2024-01-29,16.45,17.11,16.43,17.09,35987779
2024-01-26,16.4,16.75,16.34,16.35,28612154
2024-01-25,16.92,17.0,16.31,16.46,44589040
2024-01-24,17.51,17.65,16.74,16.75,42710696
2024-01-23,17.64,17.73,17.2,17.33,37794300
2024-01-22,17.46,18.35,17.43,17.6,85573913
2024-01-19,16.57,16.78,16.15,16.78,40690625
2024-01-18,16.75,16.81,16.1,16.4,35239739
2024-01-17,16.26,16.41,16.05,16.39,30832775
2024-01-16,16.59,16.74,16.29,16.53,32659260
2024-01-12,16.68,17.06,16.62,16.76,33952550
2024-01-11,16.81,16.93,16.17,16.68,39552365
2024-01-10,16.5,17.03,16.4,16.79,41254398
2024-01-09,16.51,16.63,16.28,16.39,35794473
2024-01-08,16.22,16.89,16.14,16.67,49089953
2024-01-05,15.7,16.13,15.66,15.98,57700013
2024-01-04,16.05,16.58,15.95,16.25,39937698
2024-01-03,16.12,16.38,16.01,16.09,46865204
2024-01-02,16.95,16.95,16.5,16.58,41626684
2023-12-29,17.52,17.64,17.1,17.17,38943466
2023-12-28,17.46,17.84,17.42,17.56,38989961
2023-12-27,17.78,17.91,17.45,17.47,32918437
2023-12-26,17.44,17.75,17.33,17.68,31750737
2023-12-22,17.7,17.7,17.33,17.41,33693787
2023-12-21,17.53,17.74,17.42,17.59,30493554
2023-12-20,17.87,17.92,17.19,17.25,58666901
2023-12-19,17.98,18.19,17.84,17.95,43530312
2023-12-18,18.21,18.58,17.77,17.84,60188148
2023-12-15,18.67,19.15,18.04,18.2,93307116
2023-12-14,18.17,18.58,17.72,18.21,67462755
2023-12-13,17.65,17.9,17.22,17.87,52682624
2023-12-12,17.69,17.88,17.23,17.5,46231909
2023-12-11,17.97,18.28,17.7,17.77,50929623
2023-12-08,17.18,17.92,17.09,17.77,57542134
2023-12-07,17.22,17.48,17.08,17.22,56454997
2023-12-06,17.69,17.83,17.05,17.13,96110978
2023-12-05,18.25,18.55,17.96,18.3,54460845
2023-12-04,19.75,19.9,18.27,18.4,104948518
2023-12-01,19.93,20.29,19.55,20.27,61493670
2023-11-30,19.94,20.23,19.68,20.05,55500991
2023-11-29,19.945,20.31,19.78,19.84,62782105
2023-11-28,19.11,19.8,19.03,19.71,54170695
2023-11-27,19.13,19.5,18.62,19.08,58808177
2023-11-24,19.38,19.6,18.93,19.2,39800361
2023-11-22,20.26,20.44,19.33,19.69,68452455
2023-11-21,21.11,21.85,19.72,19.8,106643319
2023-11-20,20.65,21.6,20.56,21.34,90575566
2023-11-17,19.68,20.58,19.6587,20.49,69668728
2023-11-16,19.8,19.875,19.29,19.77,49942759
2023-11-15,19.9,20.37,19.611,19.95,75533454
2023-11-14,20.0,20.1,19.5,19.94,83230466
2023-11-13,19.59,19.88,19.3,19.71,74877458
2023-11-10,18.155,19.72,18.06,19.67,92955800
2023-11-09,18.66,18.87,18.16,18.27,48454200
2023-11-08,18.85,18.93,18.15,18.49,46063132
2023-11-07,18.86,19.17,18.53,18.8,56289102
2023-11-06,18.99,19.08,17.93,18.54,79952555
2023-11-03,18.02,19.0789,17.76,18.89,109302021
2023-11-02,17.48,18.3,17.2101,17.97,170406782
2023-11-01,14.8,14.96,14.48,14.92,54328932
2023-10-31,14.58,15.01,14.55,14.8,40195406
2023-10-30,15.27,15.29,14.56,14.69,46885854
2023-10-27,15.48,15.6,14.96,15.07,39913561
2023-10-26,15.6,15.91,15.05,15.29,49351804
2023-10-25,16.57,16.63,15.58,15.59,46706480
2023-10-24,16.38,16.93,16.3,16.64,39833762
2023-10-23,15.9,16.34,15.21,16.2,55967151
2023-10-20,16.85,16.94,15.81,16.11,63875487
2023-10-19,17.44,17.5799,16.97,17.06,46303217
2023-10-18,17.81,18.22,17.19,17.2,44208265
2023-10-17,17.0,18.03,16.91,17.84,54401289
2023-10-16,17.21,17.46,16.67,17.36,44987257
2023-10-13,18.06,18.16,17.27,17.36,54881953
2023-10-12,17.92,18.24,17.5508,17.94,57940929
