date,open,high,low,close,volume
2024-03-28,56.51,56.56,56.15,56.43,60758
2024-03-27,56.34,56.49,55.45,56.49,42422
2024-03-26,56.71,57.01,55.83,55.87,48832
2024-03-25,55.71,56.78,55.51,56.24,77317
2024-03-22,56.13,56.6,55.76,56.28,71507
2024-03-21,56.5,57.27,56.18,56.2,174689
2024-03-20,53.57,54.76,53.27,54.62,104082
2024-03-19,53.22,53.53,52.26,53.31,98107
2024-03-18,54.3,54.52,53.6,53.66,118123
2024-03-15,53.28,53.84,53.12,53.3,55181
2024-03-14,54.8,54.8,53.26,53.78,49541
2024-03-13,55.66,55.66,54.36,54.63,85816
2024-03-12,55.7,56.06,54.87,56.06,71292
2024-03-11,55.49,55.49,54.34,55.14,125211
2024-03-08,58.54,58.54,56.0,56.0,182149
2024-03-07,57.32,58.59,57.29,58.22,148722
2024-03-06,56.35,57.13,55.79,56.61,93615
2024-03-05,56.26,56.26,54.68,55.29,90550
2024-03-04,57.24,57.29,56.49,56.78,91848
2024-03-01,54.9,56.83,54.78,56.6,72844
2024-02-29,54.05,54.42,53.45,54.32,42850
2024-02-28,52.93,53.55,52.93,53.35,33564
2024-02-27,53.69,53.69,53.11,53.17,36296
2024-02-26,53.15,53.57,52.94,53.32,71701
2024-02-23,53.5,53.56,52.37,52.63,115696
2024-02-22,53.03,53.47,52.68,53.21,71355
2024-02-21,51.02,51.02,50.29,51.0,56264
2024-02-20,52.38,52.42,51.0,51.59,92311
2024-02-16,53.55,53.85,52.89,53.05,61722
2024-02-15,53.3,53.46,52.8,53.08,71125
2024-02-14,52.03,52.83,52.0,52.82,58758
2024-02-13,51.09,51.95,50.64,51.23,45626
2024-02-12,52.64,53.53,52.5,52.68,45184
2024-02-09,51.35,52.68,51.3,52.62,48758
2024-02-08,50.04,51.46,50.04,51.03,67233
2024-02-07,49.97,50.29,49.37,50.09,61109
2024-02-06,50.58,50.58,49.19,49.76,65303
2024-02-05,50.17,50.69,49.81,50.45,48143
2024-02-02,49.41,50.12,49.38,50.01,60118
2024-02-01,49.32,49.56,48.76,49.45,51092
2024-01-31,49.3,50.06,48.83,49.06,57049
2024-01-30,50.6,50.81,49.88,50.06,62599
2024-01-29,50.39,50.79,49.96,50.79,49792
2024-01-26,50.77,50.93,50.11,50.21,68478
2024-01-25,52.55,52.69,51.43,51.67,68545
2024-01-24,51.86,52.55,51.52,51.73,64664
2024-01-23,51.11,51.25,50.64,51.18,39864
2024-01-22,51.0,51.45,50.65,51.02,70404
2024-01-19,49.31,50.59,49.12,50.57,92822
2024-01-18,48.3,48.87,48.13,48.69,58831
2024-01-17,47.19,47.23,46.49,47.16,37038
2024-01-16,47.07,47.91,46.88,47.71,45496
2024-01-12,47.39,47.5,46.78,47.05,25406
2024-01-11,47.17,47.5,46.31,47.3,46112
2024-01-10,47.48,47.48,46.53,47.16,38797
2024-01-09,46.78,47.64,46.72,47.37,79871
2024-01-08,46.18,47.46,46.18,47.28,81220
2024-01-05,45.84,46.28,45.8,45.97,51341
2024-01-04,45.77,46.32,45.6,45.91,107415
2024-01-03,46.98,47.17,46.5,46.58,72239
2024-01-02,48.76,48.76,47.38,47.71,132832
2023-12-29,49.85,50.02,49.28,49.5,72921
2023-12-28,50.13,50.28,49.92,49.92,47120
2023-12-27,50.25,50.25,49.86,50.06,60930
2023-12-26,49.35,50.21,49.35,50.04,64727
2023-12-22,49.06,49.4,48.93,49.16,115618
2023-12-21,48.44,48.96,48.2,48.91,78289
2023-12-20,48.6,48.83,47.38,47.38,53764
2023-12-19,48.55,48.86,48.55,48.8,54788
2023-12-18,48.44,48.66,48.03,48.38,52634
2023-12-15,48.71,49.0,48.42,48.51,42610
2023-12-14,47.37,48.63,47.34,48.59,90811
2023-12-13,46.0,47.14,45.85,46.9,55590
2023-12-12,45.42,45.98,45.37,45.9,51010
2023-12-11,44.46,45.73,44.46,45.59,84067
2023-12-08,43.79,44.47,43.79,44.19,35402
2023-12-07,43.36,43.94,43.09,43.85,40039
2023-12-06,43.6,43.85,42.9,42.9,59008
2023-12-05,43.16,43.22,42.84,43.08,35725
2023-12-04,43.56,43.56,42.77,43.46,75400
2023-12-01,43.42,43.96,43.27,43.87,49400
2023-11-30,44.2,44.2,43.43,43.74,26800
2023-11-29,44.22,44.66,43.94,44.01,27300
2023-11-28,43.79,43.94,43.33,43.61,33800
2023-11-27,43.82,44.37,43.74,44.02,37200
2023-11-24,43.89,44.04,43.89,43.99,10700
2023-11-22,44.1,44.71,43.91,43.97,33000
2023-11-21,44.15,44.15,43.65,43.87,22700
2023-11-20,43.8,44.6,43.8,44.5,42800
2023-11-17,43.56,43.84,43.45,43.81,49500
2023-11-16,43.59,43.98,43.45,43.69,21400
2023-11-15,43.64,44.1,43.46,43.69,105500
2023-11-14,42.61,43.39,42.61,43.37,51500
2023-11-13,41.63,41.83,41.4,41.67,37700
2023-11-10,40.8,42.19,40.66,42.07,41300
2023-11-09,40.78,41.24,40.28,40.34,80400
