date,open,high,low,close,volume
2024-03-28,57.8,57.8,57.67,57.74,835
2024-03-27,57.45,57.59,57.45,57.59,487
2024-03-26,57.67,57.67,57.53,57.54,834
2024-03-25,57.75,57.75,57.65,57.65,1568
2024-03-22,57.79,57.86,57.69,57.76,1975
2024-03-21,58.15,58.15,58.09,58.09,584
2024-03-20,57.47,58.17,57.47,58.17,1207
2024-03-19,57.66,57.68,57.64,57.66,2514
2024-03-18,58.01,58.01,57.85,57.86,5934
2024-03-15,58.04,58.04,57.89,57.94,4650
2024-03-14,58.14,58.29,58.03,58.28,2409
2024-03-13,58.26,58.37,58.26,58.3,1411
2024-03-12,58.26,58.57,58.26,58.53,1324
2024-03-11,58.15,58.35,58.15,58.25,6077
2024-03-08,58.32,58.45,57.96,58.07,2270
2024-03-07,58.16,58.25,58.16,58.21,796
2024-03-06,58.08,58.08,57.78,57.96,3231
2024-03-05,57.42,57.63,57.32,57.32,1802
2024-03-04,57.76,57.78,57.57,57.65,4059
2024-03-01,57.65,58.08,57.65,57.86,2020
2024-02-29,57.36,57.36,57.36,57.36,94
2024-02-28,57.07,57.27,57.07,57.16,3616
2024-02-27,57.76,57.83,57.73,57.73,1119
2024-02-26,57.47,57.61,57.47,57.61,1130
2024-02-23,57.99,58.13,57.84,58.12,4070
2024-02-22,57.73,58.07,57.69,57.93,18722
2024-02-21,57.36,57.58,57.28,57.4,2105
2024-02-20,57.44,57.47,57.35,57.47,586
2024-02-16,57.33,57.33,57.11,57.13,1050
2024-02-15,56.68,56.9,56.68,56.89,1754
2024-02-14,56.67,56.67,56.22,56.53,1888
2024-02-13,56.08,56.6,55.27,55.82,3532
2024-02-12,56.46,57.06,56.46,56.75,3864
2024-02-09,56.06,56.21,55.94,56.06,92110
2024-02-08,56.35,56.42,56.16,56.42,29695
2024-02-07,56.44,56.81,56.44,56.81,1871
2024-02-06,56.66,56.77,56.61,56.77,2143
2024-02-05,55.45,55.7,55.37,55.58,1799
2024-02-02,55.78,55.78,55.6,55.6,1088
2024-02-01,55.56,55.79,55.41,55.79,863
2024-01-31,55.35,55.53,55.0,55.11,12450
2024-01-30,55.36,55.42,55.21,55.4,3325
2024-01-29,55.69,55.91,55.69,55.79,1216
2024-01-26,55.71,55.71,55.44,55.62,2479
2024-01-25,55.77,55.77,55.53,55.65,1114
2024-01-24,55.87,55.87,55.52,55.78,5185
2024-01-23,54.76,54.86,54.67,54.86,1557
2024-01-22,54.48,54.68,54.48,54.68,1028
2024-01-19,54.77,55.03,54.77,55.03,1531
2024-01-18,54.41,54.58,54.29,54.49,2537
2024-01-17,54.11,54.34,54.02,54.21,2335
2024-01-16,55.2,55.21,54.41,54.41,4492
2024-01-12,56.13,56.27,56.01,56.01,1497
2024-01-11,55.54,55.81,55.5,55.68,1635
2024-01-10,55.38,55.68,55.38,55.51,2642
2024-01-09,55.56,55.7,55.56,55.59,908
2024-01-08,56.22,56.22,55.97,56.18,848
2024-01-05,56.09,56.24,56.09,56.13,760
2024-01-04,56.1,56.14,55.94,55.94,2046
2024-01-03,55.82,56.07,55.82,56.03,1908
2024-01-02,56.51,56.61,56.31,56.41,2273
2023-12-29,57.06,57.3,57.06,57.16,2170
2023-12-28,56.99,57.29,56.99,57.06,5507
2023-12-27,56.4,56.82,56.4,56.6,15594
2023-12-26,56.41,56.41,56.25,56.32,2877
2023-12-22,56.0,56.12,55.77,55.85,8728
2023-12-21,55.64,55.89,55.64,55.89,1117
2023-12-20,55.4,55.57,55.01,55.01,2554
2023-12-19,55.62,55.97,55.62,55.83,1757
2023-12-18,55.65,55.65,55.33,55.47,4664
2023-12-15,55.37,55.59,55.02,55.48,2514
2023-12-14,56.68,57.16,56.68,57.16,1199
2023-12-13,55.78,56.6,55.78,56.46,1763
2023-12-12,55.87,56.05,55.8,56.03,5264
2023-12-11,55.75,56.05,55.75,55.99,2493
2023-12-08,55.64,55.85,55.56,55.85,1937
2023-12-07,55.73,55.95,55.73,55.95,1405
2023-12-06,56.02,56.02,55.68,55.68,3133
2023-12-05,55.63,55.72,55.57,55.72,2621
2023-12-04,56.11,56.11,55.66,55.9,3000
2023-12-01,56.06,56.44,56.06,56.44,800
2023-11-30,56.21,56.35,56.09,56.27,34600
2023-11-29,56.5,56.58,56.35,56.41,2100
2023-11-28,56.61,56.61,56.45,56.53,1700
2023-11-27,56.04,56.04,55.94,55.98,2000
2023-11-24,56.16,56.19,56.1,56.1,1100
2023-11-22,56.06,56.16,56.06,56.16,1300
2023-11-21,56.33,56.33,56.23,56.28,1300
2023-11-20,56.25,56.51,56.25,56.51,800
2023-11-17,55.9,56.07,55.81,56.07,14300
2023-11-16,55.59,55.81,55.59,55.73,1000
2023-11-15,56.0,56.34,55.95,56.07,7200
2023-11-14,55.41,55.81,55.29,55.76,1300
2023-11-13,54.53,54.78,54.53,54.63,1700
2023-11-10,54.19,54.48,54.19,54.48,1000
2023-11-09,54.37,54.54,54.17,54.22,1200
2023-11-08,54.66,54.76,54.58,54.68,800
2023-11-07,54.72,54.87,54.72,54.87,400
2023-11-06,55.0,55.15,54.94,54.94,1900
2023-11-03,54.36,54.82,54.36,54.7,1100
2023-11-02,53.76,53.88,53.62,53.88,1300
2023-11-01,52.84,53.13,52.84,53.13,700
2023-10-31,52.58,52.77,52.44,52.69,1900
2023-10-30,53.12,53.12,52.76,52.8,2500
2023-10-27,52.64,52.64,52.2,52.33,2000
2023-10-26,52.38,52.38,52.2,52.37,1800
2023-10-25,52.51,52.7,52.51,52.56,2600
2023-10-24,52.83,53.04,52.83,53.04,900
2023-10-23,52.46,52.69,52.36,52.56,1100
2023-10-20,52.84,52.84,52.71,52.71,1100
2023-10-19,53.31,53.35,53.26,53.26,1000
2023-10-18,53.55,53.55,53.46,53.46,600
2023-10-17,54.0,54.24,54.0,54.24,2800
2023-10-16,54.15,54.36,54.07,54.36,2600
2023-10-13,54.02,54.08,53.8,53.91,3400
2023-10-12,54.17,54.23,54.13,54.13,900
2023-10-11,54.69,54.69,54.47,54.49,900
2023-10-10,54.01,54.44,54.01,54.44,1000
2023-10-09,53.51,53.84,53.38,53.84,1700
2023-10-06,53.65,54.04,53.65,54.04,200
2023-10-05,53.33,53.44,53.28,53.44,800
2023-10-04,53.19,53.26,53.1,53.26,1000
2023-10-03,53.32,53.35,53.13,53.34,1200
2023-10-02,54.08,54.08,53.76,53.77,2800
2023-09-29,54.56,54.56,54.02,54.02,900
2023-09-28,53.72,54.04,53.72,54.04,700
2023-09-27,53.96,54.02,53.8,53.99,6300
2023-09-26,53.88,53.88,53.88,53.88,100
2023-09-25,54.38,54.59,54.32,54.56,900
2023-09-22,55.06,55.09,54.7,54.89,7500
2023-09-21,54.5,54.5,54.22,54.27,3000
2023-09-20,55.41,55.41,54.89,54.89,4000
2023-09-19,55.06,55.1,55.06,55.1,300
2023-09-18,55.46,55.46,55.25,55.38,1400
2023-09-15,55.68,55.78,55.56,55.65,1900
2023-09-14,55.6,55.63,55.6,55.63,200
2023-09-13,55.2,55.32,55.2,55.29,700
2023-09-12,55.36,55.36,55.15,55.24,1500
2023-09-11,55.2,55.36,55.07,55.36,2300
2023-09-08,54.84,54.84,54.74,54.74,400
2023-09-07,54.94,54.94,54.7,54.78,2500
2023-09-06,55.23,55.25,55.23,55.25,1200
2023-09-05,55.58,55.59,55.38,55.38,1900
2023-09-01,55.65,55.76,55.57,55.64,2000
2023-08-31,55.3,55.3,55.13,55.28,2600
2023-08-30,55.54,55.7,55.54,55.63,5800
2023-08-29,55.16,55.74,55.16,55.71,1600
2023-08-28,54.94,55.17,54.94,55.07,700
2023-08-25,54.63,54.67,54.3,54.67,5600
2023-08-24,54.97,54.97,54.58,54.59,4100
2023-08-23,54.82,54.85,54.65,54.76,2400
2023-08-22,54.1,54.14,54.02,54.13,700
2023-08-21,53.96,54.17,53.96,54.12,1700
2023-08-18,54.1,54.1,54.1,54.1,200
2023-08-17,54.42,54.43,54.3,54.32,1000
2023-08-16,54.71,54.71,54.35,54.35,1100
2023-08-15,54.67,54.67,54.46,54.55,1700
2023-08-14,55.0,55.02,54.99,54.99,3700
2023-08-11,55.22,55.35,55.03,55.05,1300
2023-08-10,55.95,56.02,55.82,55.82,1600
2023-08-09,55.78,55.95,55.6,55.85,2300
2023-08-08,55.59,55.63,55.59,55.63,400
2023-08-07,56.1,56.19,56.1,56.17,700
2023-08-04,56.51,56.77,56.35,56.35,800
2023-08-03,56.14,56.21,56.14,56.21,700
2023-08-02,56.2,56.2,56.01,56.07,700
2023-08-01,57.4,57.4,57.09,57.27,1700
2023-07-31,57.68,57.86,57.61,57.68,4700
2023-07-28,57.85,57.85,57.69,57.69,900
2023-07-27,57.12,57.12,56.79,56.87,700
2023-07-26,56.98,57.35,56.98,57.35,5100
2023-07-25,57.05,57.18,57.05,57.1,1700
2023-07-24,56.72,56.82,56.72,56.82,500
2023-07-21,56.35,56.4,56.26,56.29,3800
2023-07-20,56.24,56.31,56.23,56.29,1500
2023-07-19,56.83,56.83,56.52,56.52,2700
2023-07-18,56.95,56.95,56.72,56.82,2000
2023-07-17,56.68,57.04,56.68,56.96,2400
2023-07-14,56.99,56.99,56.92,56.95,2300
