date,open,high,low,close,volume
2024-03-28,23.03,23.25,22.96,23.22,305704
2024-03-27,22.69,23.03,22.65,23.03,507316
2024-03-26,22.97,22.97,22.49,22.53,233794
2024-03-25,22.78,23.05,22.78,22.87,161646
2024-03-22,23.0,23.06,22.72,22.72,248676
2024-03-21,22.78,23.09,22.75,22.97,366957
2024-03-20,22.4,22.98,22.31,22.85,594675
2024-03-19,22.42,22.57,22.31,22.45,182134
2024-03-18,22.55,22.6,22.36,22.45,235824
2024-03-15,22.29,22.55,22.1,22.5,238267
2024-03-14,22.81,22.81,22.19,22.28,357270
2024-03-13,22.79,22.95,22.78,22.85,348242
2024-03-12,22.69,22.8,22.54,22.75,278131
2024-03-11,22.6,22.78,22.49,22.69,296525
2024-03-08,22.59,22.88,22.45,22.55,318444
2024-03-07,22.41,22.62,22.4,22.5,263987
2024-03-06,22.37,22.46,22.22,22.31,270191
2024-03-05,22.01,22.26,21.94,22.2,289987
2024-03-04,22.49,22.49,22.06,22.08,235947
2024-03-01,22.31,22.55,22.18,22.54,166615
2024-02-29,21.96,22.39,21.96,22.34,457165
2024-02-28,21.85,21.93,21.73,21.82,134922
2024-02-27,22.01,22.11,21.87,22.0,222446
2024-02-26,22.05,22.23,21.89,21.94,211552
2024-02-23,22.02,22.21,21.9,22.08,121687
2024-02-22,22.03,22.11,21.9,22.0,211857
2024-02-21,21.82,22.01,21.76,21.94,221527
2024-02-20,22.04,22.05,21.82,21.91,242789
2024-02-16,22.05,22.32,21.81,22.1,226663
2024-02-15,21.6,22.36,21.6,22.24,360344
2024-02-14,21.48,21.52,21.29,21.48,225304
2024-02-13,21.57,21.63,21.13,21.23,431280
2024-02-12,21.77,22.16,21.72,22.09,196318
2024-02-09,21.68,21.79,21.49,21.77,276436
2024-02-08,21.53,21.71,21.42,21.59,247731
2024-02-07,22.19,22.19,21.38,21.55,429008
2024-02-06,22.13,22.37,22.07,22.19,284184
2024-02-05,22.25,22.27,21.74,22.15,713556
2024-02-02,22.7,22.7,22.3,22.43,417893
