date,open,high,low,close,volume
2024-03-28,71.63,72.28,71.63,72.07,38250
2024-03-27,70.02,71.42,70.02,71.42,32699
2024-03-26,69.9,69.91,69.41,69.41,27632
2024-03-25,70.27,70.65,69.67,69.67,24578
2024-03-22,71.04,71.3,70.2,70.31,26461
2024-03-21,70.84,71.43,70.47,71.16,35916
2024-03-20,70.25,71.03,70.02,70.87,38564
2024-03-19,69.9,70.44,69.85,70.34,128467
2024-03-18,70.34,70.52,70.04,70.04,19204
2024-03-15,70.07,70.44,69.89,70.26,32416
2024-03-14,71.63,71.63,69.69,70.3,29709
2024-03-13,71.59,72.11,71.51,71.64,28617
2024-03-12,71.77,71.94,71.07,71.64,21625
2024-03-11,72.0,72.44,71.7,71.91,45327
2024-03-08,71.67,72.15,71.6,72.1,30938
2024-03-07,71.28,71.28,70.77,71.16,40492
2024-03-06,70.81,70.99,70.37,70.79,62174
2024-03-05,71.18,71.31,70.1,70.42,36577
2024-03-04,70.06,71.36,69.67,71.34,37524
2024-03-01,69.69,70.27,68.84,70.27,22424
2024-02-29,69.53,69.97,69.25,69.61,101487
2024-02-28,68.35,69.64,68.33,69.03,18831
2024-02-27,68.93,69.49,68.88,68.99,42109
2024-02-26,69.49,69.72,68.51,68.51,435148
2024-02-23,69.88,69.88,69.52,69.58,22369
2024-02-22,70.34,70.34,69.69,69.75,49352
2024-02-21,69.58,70.41,69.58,70.23,30189
2024-02-20,69.22,69.72,69.04,69.39,37154
2024-02-16,69.44,69.99,69.17,69.6,30444
2024-02-15,69.28,70.14,69.28,70.14,35319
2024-02-14,68.15,69.33,68.11,68.87,33367
2024-02-13,67.46,67.66,66.85,67.66,30293
2024-02-12,68.79,69.2,68.73,68.85,26898
2024-02-09,68.68,68.85,68.31,68.83,22858
2024-02-08,68.25,68.85,68.2,68.77,25898
2024-02-07,68.66,68.74,67.86,68.31,27909
2024-02-06,67.83,68.57,67.68,68.41,44899
2024-02-05,68.47,68.47,67.68,67.7,52555
2024-02-02,69.66,69.68,68.37,69.33,36920
2024-02-01,68.91,70.23,68.54,70.23,99054
2024-01-31,69.8,70.48,68.99,69.2,50826
2024-01-30,70.17,70.24,69.54,69.64,27155
2024-01-29,70.1,70.51,69.77,70.31,35248
2024-01-26,70.38,70.51,69.83,70.1,40793
2024-01-25,70.6,70.9,69.89,70.18,26084
2024-01-24,71.64,71.64,69.88,69.97,69237
2024-01-23,71.87,71.9,70.57,70.93,29279
2024-01-22,71.46,72.06,71.37,71.64,38823
2024-01-19,70.8,71.66,70.41,71.36,26350
2024-01-18,71.13,71.2,70.09,70.49,36506
2024-01-17,71.77,72.42,70.32,71.18,33296
2024-01-16,72.64,72.78,72.18,72.42,35782
2024-01-12,72.71,73.2,72.49,72.91,24980
2024-01-11,72.25,72.5,71.87,72.12,42332
2024-01-10,72.79,72.97,72.38,72.77,32319
2024-01-09,72.65,72.71,72.0,72.55,52593
2024-01-08,72.0,73.0,71.76,72.92,61647
2024-01-05,72.09,72.68,71.57,72.07,57990
2024-01-04,72.42,73.01,72.2,72.45,48627
2024-01-03,73.82,73.82,72.51,72.58,48372
2024-01-02,73.27,74.45,73.22,74.45,56554
2023-12-29,74.26,74.26,73.52,73.52,25911
2023-12-28,73.82,74.46,73.75,74.46,70239
2023-12-27,73.5,73.88,73.23,73.79,28167
2023-12-26,72.98,73.51,72.64,73.33,32475
2023-12-22,72.61,73.26,72.47,72.68,30353
2023-12-21,72.15,72.45,71.6,72.38,63868
2023-12-20,72.81,73.15,71.65,71.66,83593
2023-12-19,73.4,73.67,73.22,73.53,36981
2023-12-18,73.35,73.35,72.96,73.07,52030
2023-12-15,74.24,74.24,72.59,73.16,54560
2023-12-14,73.09,74.75,73.09,74.41,55003
2023-12-13,69.42,72.44,69.27,72.11,60970
2023-12-12,69.26,69.67,68.87,69.36,64444
2023-12-11,69.02,69.37,68.77,69.34,63880
2023-12-08,68.74,69.28,68.55,69.27,55187
2023-12-07,68.65,69.2,68.48,69.04,69781
2023-12-06,69.43,69.69,68.74,68.76,39333
2023-12-05,69.5,69.5,68.82,69.25,74241
2023-12-04,69.1,69.68,68.93,69.68,314873
2023-12-01,67.76,69.35,67.73,69.35,56470
2023-11-30,67.13,67.67,66.85,67.64,42538
2023-11-29,67.75,68.14,67.04,67.09,67003
2023-11-28,66.79,67.32,66.37,67.06,27038
2023-11-27,66.76,67.22,66.5,66.93,56862
2023-11-24,66.45,66.9,66.15,66.89,15162
2023-11-22,66.96,66.96,66.29,66.53,29615
2023-11-21,66.66,66.66,66.2,66.41,42349
2023-11-20,66.36,66.89,65.64,66.8,39867
2023-11-17,67.09,67.09,65.99,66.26,34651
2023-11-16,66.69,67.04,66.46,66.46,44288
2023-11-15,66.66,67.34,66.58,66.63,25937
2023-11-14,65.15,67.31,65.15,66.8,55409
2023-11-13,63.76,63.8,63.27,63.54,57499
2023-11-10,63.71,64.27,63.49,64.17,71663
2023-11-09,64.82,64.88,63.45,63.5,32874
2023-11-08,64.19,64.8,64.18,64.62,34268
2023-11-07,64.23,64.26,63.64,63.71,51448
2023-11-06,65.36,65.36,64.18,64.48,34444
