date,open,high,low,close,volume
2024-03-28,25.01,25.42,24.94,25.29,110749
2024-03-27,24.13,24.77,24.13,24.76,41833
2024-03-26,24.35,24.35,23.93,23.97,97585
2024-03-25,24.0,24.4,23.97,23.97,48502
2024-03-22,23.96,24.15,23.77,23.78,89598
2024-03-21,24.52,24.76,24.18,24.19,200945
2024-03-20,23.25,24.48,23.24,24.25,99060
2024-03-19,23.7,23.7,23.32,23.38,116538
2024-03-18,24.07,24.07,23.77,23.87,106535
2024-03-15,23.91,24.16,23.88,24.04,69684
2024-03-14,24.04,24.11,23.9,24.03,64900
2024-03-13,23.8,24.38,23.75,24.19,59240
2024-03-12,23.74,23.74,23.4,23.71,88656
2024-03-11,23.6,24.39,23.58,24.22,696136
2024-03-08,23.84,23.89,23.54,23.61,102402
2024-03-07,23.63,23.8,23.49,23.65,81273
2024-03-06,23.24,23.62,23.15,23.35,69452
2024-03-05,23.12,23.27,22.84,22.94,113241
2024-03-04,21.91,22.67,21.86,22.63,108719
2024-03-01,21.1,21.7,20.9,21.64,77510
2024-02-29,20.79,21.12,20.79,20.88,47669
2024-02-28,20.47,20.5,20.32,20.37,180258
2024-02-27,20.76,20.78,20.59,20.59,358006
2024-02-26,20.81,20.81,20.55,20.73,74563
2024-02-23,20.79,21.16,20.59,21.09,113199
2024-02-22,20.95,21.15,20.59,20.63,73791
2024-02-21,21.36,21.36,20.92,21.28,57332
2024-02-20,21.34,21.44,21.17,21.28,96416
2024-02-16,20.92,21.37,20.92,21.2,77745
2024-02-15,20.67,21.23,20.67,21.06,109953
2024-02-14,20.48,20.48,20.21,20.45,46058
2024-02-13,21.0,21.0,20.18,20.34,134138
2024-02-12,21.15,21.57,21.13,21.5,70684
2024-02-09,21.5,21.5,21.1,21.24,42789
2024-02-08,21.56,21.61,21.43,21.47,36393
2024-02-07,21.87,21.87,21.55,21.64,76411
2024-02-06,21.84,21.9,21.61,21.87,35424
2024-02-05,21.66,21.8,21.55,21.65,92405
2024-02-02,22.31,22.33,21.89,22.16,96074
2024-02-01,22.26,23.02,22.26,22.92,86752
2024-01-31,22.29,22.64,22.02,22.12,100543
2024-01-30,22.42,22.45,22.03,22.16,86669
2024-01-29,22.3,22.32,21.94,22.3,97855
2024-01-26,22.12,22.27,22.05,22.11,40439
2024-01-25,22.12,22.23,21.99,22.12,38235
2024-01-24,22.7,22.7,21.75,21.84,71880
2024-01-23,21.92,22.26,21.86,22.26,34993
2024-01-22,21.61,21.79,21.31,21.77,61206
2024-01-19,21.69,21.82,21.54,21.82,88961
2024-01-18,21.8,21.8,21.59,21.68,77605
2024-01-17,22.01,22.01,21.62,21.72,47904
2024-01-16,22.88,22.88,22.23,22.29,90010
2024-01-12,23.4,23.71,23.22,23.37,227913
2024-01-11,22.97,23.03,22.52,22.78,60734
2024-01-10,23.08,23.09,22.81,23.0,40312
2024-01-09,23.45,23.45,22.93,23.02,41545
2024-01-08,23.31,23.67,23.1,23.49,51108
2024-01-05,23.46,23.97,23.38,23.51,33923
2024-01-04,23.43,23.63,23.28,23.5,42814
2024-01-03,23.58,23.66,23.31,23.46,70793
2024-01-02,24.58,24.76,24.1,24.13,142799
2023-12-29,24.68,24.71,24.43,24.58,92101
2023-12-28,25.23,25.32,24.64,24.65,74860
2023-12-27,25.3,25.53,25.2,25.38,56710
2023-12-26,25.07,25.1,24.92,25.01,44106
2023-12-22,25.33,25.6,25.02,25.09,88864
2023-12-21,24.89,24.96,24.71,24.8,125753
2023-12-20,25.05,25.22,24.43,24.43,82395
2023-12-19,24.84,25.5,24.8,25.32,126711
2023-12-18,24.55,24.66,24.33,24.59,92260
2023-12-15,24.46,24.74,24.33,24.51,346697
2023-12-14,24.55,25.11,24.4,24.63,220541
2023-12-13,22.74,24.16,22.64,24.16,284736
2023-12-12,23.28,23.28,22.63,22.69,331285
2023-12-11,23.19,23.32,23.0,23.24,36605
2023-12-08,23.51,23.78,23.26,23.53,78077
2023-12-07,24.3,24.3,23.82,23.94,41106
2023-12-06,24.47,24.49,24.11,24.2,68156
2023-12-05,24.3,24.37,24.0,24.2,95328
2023-12-04,24.63,24.78,24.34,24.57,178098
2023-12-01,24.52,25.16,24.52,25.07,271500
2023-11-30,24.5,24.65,24.31,24.64,99900
2023-11-29,24.52,24.64,24.18,24.55,87500
2023-11-28,23.5,24.46,23.38,24.45,213800
2023-11-27,23.05,23.39,23.04,23.28,54500
2023-11-24,22.65,22.93,22.65,22.89,32000
2023-11-22,22.72,22.85,22.59,22.74,53600
2023-11-21,22.45,22.98,22.45,22.71,66300
2023-11-20,22.0,22.21,21.8,22.14,57200
2023-11-17,22.3,22.3,22.05,22.11,46600
2023-11-16,21.93,22.55,21.89,22.27,86500
2023-11-15,22.17,22.17,21.77,21.95,38800
2023-11-14,21.57,22.16,21.57,22.04,62000
2023-11-13,21.0,21.3,20.9,21.05,57100
2023-11-10,21.25,21.31,21.03,21.17,50600
2023-11-09,21.6,21.89,21.37,21.45,35700
2023-11-08,22.03,22.14,21.42,21.57,39700
2023-11-07,22.46,22.48,22.0,22.31,27900
2023-11-06,23.03,23.13,22.81,22.84,79700
2023-11-03,22.35,23.3,22.34,23.13,66800
2023-11-02,22.2,22.2,21.9,22.12,65000
2023-11-01,22.03,22.12,21.64,22.04,72800
2023-10-31,22.45,22.5,21.84,22.01,34600
2023-10-30,22.84,22.9,22.47,22.5,41900
2023-10-27,22.33,22.7,22.05,22.7,65200
2023-10-26,22.3,22.41,21.85,22.22,325400
2023-10-25,22.5,22.72,22.23,22.3,50000
2023-10-24,22.46,22.78,22.46,22.64,38000
2023-10-23,22.94,22.94,22.35,22.76,35200
2023-10-20,22.95,23.29,22.92,22.98,46500
