date,open,high,low,close,volume
2024-03-28,63.53,63.9,63.225,63.74,3059234
2024-03-27,62.42,63.49,62.37,63.46,2217128
2024-03-26,63.03,63.07,62.15,62.17,2938202
2024-03-25,63.78,64.18,63.37,63.41,2368151
2024-03-22,63.4,63.55,63.0,63.0,2508246
2024-03-21,64.44,64.7,64.12,64.13,2504062
2024-03-20,62.93,64.02,62.84,63.87,1940527
2024-03-19,62.94,63.15,62.71,62.81,3095020
2024-03-18,62.96,63.04,62.25,62.27,2450807
2024-03-15,61.78,62.35,61.67,62.18,3743718
2024-03-14,62.64,62.75,61.68,62.05,3710886
2024-03-13,62.19,63.48,62.05,63.17,4825247
2024-03-12,63.55,63.56,62.58,62.72,4677661
2024-03-11,61.08,62.05,61.05,62.0,4636424
2024-03-08,63.41,63.48,62.58,62.69,3068259
2024-03-07,64.11,64.33,63.61,63.67,3408608
2024-03-06,65.2,65.49,64.83,64.85,2617918
2024-03-05,64.06,64.29,63.67,63.8,2912674
2024-03-04,64.57,64.94,64.49,64.85,2183663
2024-03-01,64.6,65.3,64.2,65.14,2482476
2024-02-29,64.81,65.03,64.28,64.53,2073211
2024-02-28,64.0,64.2,63.88,63.96,2158695
2024-02-27,65.34,65.48,64.65,64.98,3071321
2024-02-26,64.59,64.72,64.11,64.65,3413989
2024-02-23,66.22,66.49,65.83,65.98,2164395
2024-02-22,65.66,65.89,65.4,65.69,2931769
2024-02-21,65.57,65.88,64.86,65.48,2883350
2024-02-20,67.07,67.12,65.76,65.92,4613314
2024-02-16,69.42,69.91,69.04,69.12,3888407
2024-02-15,67.02,67.72,66.97,67.54,2668947
2024-02-14,66.85,67.13,66.71,67.08,1511346
2024-02-13,67.56,67.62,66.26,66.65,2617962
2024-02-12,67.83,68.29,67.74,68.0,1969168
2024-02-09,67.93,67.99,67.42,67.92,1784153
2024-02-08,68.02,68.32,67.72,68.11,2270527
2024-02-07,68.16,68.53,67.91,68.52,2188579
2024-02-06,67.79,68.44,67.79,68.32,2584390
2024-02-05,67.51,67.79,67.04,67.5,2714220
2024-02-02,68.87,69.04,68.46,68.48,2708854
2024-02-01,69.48,70.19,69.33,70.12,2094637
2024-01-31,70.22,70.79,69.27,69.27,2920223
2024-01-30,70.44,70.56,69.68,70.2,3245028
2024-01-29,70.75,71.09,70.3,71.05,2272871
2024-01-26,71.07,71.11,70.68,70.77,2157594
2024-01-25,69.8,70.11,69.43,70.1,3399036
2024-01-24,70.77,70.84,69.55,69.55,4866795
2024-01-23,68.61,69.37,68.44,68.74,3084837
2024-01-22,67.18,67.69,67.09,67.28,3576325
2024-01-19,68.87,68.98,68.24,68.75,3346683
2024-01-18,69.39,69.4,68.68,69.17,2904284
2024-01-17,68.03,68.41,67.86,68.2,2553534
2024-01-16,69.94,69.94,68.89,69.09,3565358
2024-01-12,70.71,70.83,70.06,70.18,1629835
2024-01-11,70.38,70.49,69.46,70.06,2225101
2024-01-10,70.52,70.64,70.15,70.31,2093158
2024-01-09,71.5,71.58,70.77,70.86,2660886
2024-01-08,72.27,72.9,71.93,72.84,2417350
2024-01-05,72.39,73.3,72.34,72.64,1759223
2024-01-04,73.13,73.39,72.93,73.04,1514123
2024-01-03,73.11,73.84,72.8,73.55,3408942
2024-01-02,74.0,74.72,73.97,74.26,3051857
2023-12-29,74.11,74.49,73.93,74.46,1462259
2023-12-28,74.64,75.09,74.5,74.54,2430515
2023-12-27,74.47,74.84,74.32,74.77,2050822
2023-12-26,74.0,74.37,74.0,74.18,1215277
2023-12-22,74.18,74.31,73.74,73.83,1831689
2023-12-21,73.92,74.37,73.46,74.0,2207255
2023-12-20,73.3,73.64,72.45,72.46,2291415
2023-12-19,73.51,74.08,73.43,73.79,2118269
2023-12-18,73.35,73.48,72.82,72.83,2647972
2023-12-15,72.62,73.19,72.28,72.45,5530309
2023-12-14,72.0,72.52,71.44,72.18,4202221
2023-12-13,69.46,70.55,68.94,70.46,2266906
2023-12-12,69.83,69.83,69.04,69.44,2703326
2023-12-11,69.07,69.45,68.94,69.15,2840347
2023-12-08,69.84,70.61,69.84,70.17,3047530
2023-12-07,70.16,70.85,69.91,70.44,4074237
2023-12-06,70.05,70.19,68.84,68.99,3096390
2023-12-05,68.73,68.82,68.07,68.49,2297233
2023-12-04,69.43,69.65,68.69,69.05,3165535
2023-12-01,70.41,71.51,70.22,71.16,4082344
2023-11-30,69.02,69.12,68.69,69.09,1819901
2023-11-29,69.6,69.63,68.68,68.87,2099112
2023-11-28,68.96,69.45,68.75,69.43,1987019
2023-11-27,69.38,69.43,69.01,69.03,2575158
2023-11-24,69.28,69.75,69.23,69.72,1574989
2023-11-22,69.72,69.87,69.08,69.85,2983026
