date,open,high,low,close,volume
2024-03-28,65.86,66.65,64.82,65.16,2741643
2024-03-27,65.19,65.61,64.17,65.58,2645963
2024-03-26,65.13,65.8,64.03,64.65,3197037
2024-03-25,63.97,64.96,63.39,64.64,2971047
2024-03-22,63.88,64.3,62.74,63.58,3336275
2024-03-21,65.15,65.49,63.82,63.83,3915840
2024-03-20,64.18,65.57,63.46,64.95,4677904
2024-03-19,64.25,66.12,63.71,64.54,5830811
2024-03-18,64.0,64.26,62.82,63.37,3746335
2024-03-15,64.42,65.24,63.78,63.99,3755722
2024-03-14,65.17,66.75,63.46,64.66,4912518
2024-03-13,63.99,66.05,63.75,64.47,3290603
2024-03-12,64.55,65.17,62.97,64.13,3725435
2024-03-11,64.27,65.55,63.83,64.41,3960468
2024-03-08,63.64,65.78,63.34,64.5,5397388
2024-03-07,62.75,63.25,61.35,63.07,4762596
2024-03-06,62.73,63.3,61.3,62.67,5141341
2024-03-05,62.35,64.73,62.04,62.79,5956280
2024-03-04,63.2,63.77,61.1,63.02,6593697
2024-03-01,63.41,63.82,62.62,63.35,4729703
2024-02-29,64.74,65.04,62.81,63.18,5618226
2024-02-28,63.0,64.77,62.75,63.71,5206567
2024-02-27,62.94,64.09,61.48,63.83,8088283
2024-02-26,64.45,65.86,63.63,64.35,6193910
2024-02-23,63.19,65.2,62.85,64.48,8515095
2024-02-22,65.06,65.3,62.26,63.29,13240518
2024-02-21,66.58,68.01,63.57,63.9,12825267
2024-02-20,68.03,68.38,66.0,67.25,19209884
2024-02-16,76.97,78.61,71.0,72.0,40211806
2024-02-15,91.75,95.17,91.07,94.5,13249826
2024-02-14,90.76,91.9,87.3,91.24,6883411
2024-02-13,94.14,95.88,87.6,89.94,10965612
2024-02-12,96.0,99.8,96.0,98.57,5782462
2024-02-09,95.45,96.88,93.76,95.8,3980247
2024-02-08,95.75,98.54,93.09,94.7,5812333
2024-02-07,93.5,96.06,91.87,94.49,5037271
2024-02-06,89.01,93.54,88.63,93.48,6737965
2024-02-05,90.0,90.52,86.75,87.75,4352615
2024-02-02,89.06,91.21,87.9,91.03,3622055
2024-02-01,88.91,90.39,87.22,88.65,2883268
2024-01-31,90.0,92.26,88.03,88.06,4019130
2024-01-30,92.4,92.62,89.87,90.92,3722130
2024-01-29,89.16,93.33,89.0,93.27,4556013
2024-01-26,89.53,91.59,88.55,89.0,3280478
2024-01-25,89.11,90.96,87.95,88.83,4380238
2024-01-24,93.26,94.76,88.17,88.23,6665731
2024-01-23,89.95,90.99,88.56,90.97,5154365
2024-01-22,88.03,91.56,86.67,88.46,5885287
2024-01-19,85.77,87.1,83.6,87.07,5833791
2024-01-18,85.07,85.26,82.45,84.06,4361025
2024-01-17,83.23,84.04,81.8,84.01,4642031
2024-01-16,85.07,87.15,84.23,84.79,4592825
2024-01-12,86.44,87.35,85.25,86.05,4720255
2024-01-11,89.26,90.0,85.57,86.65,6816467
2024-01-10,91.59,91.64,88.4,89.69,5716942
2024-01-09,92.38,93.45,90.36,91.6,4711946
2024-01-08,89.86,94.9,89.86,93.95,7044650
2024-01-05,87.0,91.02,86.69,89.29,5178516
2024-01-04,86.79,89.79,85.71,87.91,5167418
2024-01-03,87.61,88.39,85.87,86.61,4498982
2024-01-02,90.55,90.67,88.12,89.0,4729851
2023-12-29,93.65,94.0,91.09,91.66,4057275
2023-12-28,93.63,95.1,93.11,94.1,3780051
2023-12-27,95.2,96.07,92.64,94.23,5462810
2023-12-26,91.65,95.4,91.17,94.9,5771699
2023-12-22,92.9,95.37,90.05,91.34,8522619
2023-12-21,90.73,92.08,89.52,92.04,5068529
2023-12-20,93.72,93.98,88.71,89.11,7732202
2023-12-19,94.3,96.4,93.77,94.42,4833250
2023-12-18,93.3,96.28,93.19,93.49,6679969
2023-12-15,100.0,100.18,95.54,95.93,9173662
2023-12-14,103.98,108.84,100.95,102.88,7486684
2023-12-13,100.88,102.91,96.29,101.68,7001989
2023-12-12,103.34,103.6,100.03,100.98,3589873
2023-12-11,103.36,103.81,101.53,102.97,3249215
2023-12-08,101.0,104.16,100.12,103.36,4001193
2023-12-07,102.5,103.71,100.58,100.68,3877022
2023-12-06,106.66,106.73,102.07,102.36,4281677
2023-12-05,103.35,105.69,102.63,105.19,3917899
2023-12-04,101.8,106.65,101.47,104.48,5267138
2023-12-01,103.59,105.55,102.71,103.54,6262637
2023-11-30,107.67,107.81,102.35,104.2,7669694
2023-11-29,107.67,108.3983,105.65,106.75,7047884
2023-11-28,102.44,107.06,102.23,106.87,12162815
2023-11-27,95.95,103.5699,95.8,102.98,16319086
2023-11-24,94.78,96.0,93.87,94.93,2380647
2023-11-22,94.3,95.61,92.55,94.78,3940104
2023-11-21,93.76,94.3199,91.96,93.6,4615783
2023-11-20,92.9,96.48,92.69,94.99,5943527
2023-11-17,89.13,93.0,88.08,92.97,6496608
2023-11-16,90.14,90.3,87.91,89.5,4731049
2023-11-15,88.59,93.2,87.59,91.1,8351147
2023-11-14,87.6,88.78,86.82,88.1,6963419
2023-11-13,80.74,84.5072,79.5,83.97,7326376
2023-11-10,80.54,82.84,79.33,81.31,6848332
2023-11-09,83.95,86.4,81.17,81.58,7504681
2023-11-08,83.44,83.5,80.67,82.84,6476987
2023-11-07,83.99,85.381,82.43,83.43,8420976
2023-11-06,84.22,85.43,80.9201,83.3,13716561
2023-11-03,79.45,86.0899,79.34,84.75,28115178
2023-11-02,70.86,79.12,69.18,78.05,40334814
2023-11-01,59.14,59.89,57.32,59.7,12571188
2023-10-31,57.27,59.69,56.46,59.57,7088159
2023-10-30,56.88,57.25,55.0197,56.35,4378198
2023-10-27,56.88,57.46,56.0088,56.35,3997223
2023-10-26,58.25,58.655,55.68,56.41,6329902
2023-10-25,62.75,64.24,58.155,58.5,6670889
2023-10-24,61.67,63.07,60.62,61.42,5607690
2023-10-23,59.58,62.035,58.9,61.18,6281168
2023-10-20,62.4,62.63,59.66,59.8,5242376
2023-10-19,64.05,64.8,62.12,62.48,6142673
2023-10-18,66.6,66.7999,62.02,62.1,10581551
2023-10-17,66.09,68.89,66.05,68.43,4106699
2023-10-16,66.34,67.92,65.2536,67.15,4409377
2023-10-13,67.33,67.99,65.33,66.07,4777863
2023-10-12,71.38,71.46,67.61,67.77,5520789
2023-10-11,72.98,73.89,71.21,71.36,4158068
2023-10-10,72.0,75.45,72.0,72.93,4817238
2023-10-09,70.69,72.04,69.3407,71.72,3386016
2023-10-06,68.26,72.14,68.22,71.83,4698616
2023-10-05,69.51,70.54,67.78,70.04,4836640
2023-10-04,68.84,70.45,67.7,70.17,4608948
2023-10-03,69.5,71.2706,68.2,68.65,4571314
2023-10-02,70.21,71.99,69.15,70.5,4179059
2023-09-29,69.62,70.93,68.484,70.59,6355839
2023-09-28,68.15,68.77,66.66,68.08,4473941
2023-09-27,68.23,69.3,67.01,67.64,3868537
2023-09-26,68.31,69.2075,67.65,67.87,4249300
2023-09-25,68.86,71.5,68.1601,68.55,4967126
2023-09-22,73.0,73.2,69.1701,69.27,5890092
2023-09-21,70.01,73.3299,70.0,71.63,7975620
2023-09-20,74.35,74.905,71.46,71.49,4171145
2023-09-19,74.09,74.6508,71.96,73.81,6020816
2023-09-18,75.88,76.0199,74.2698,74.39,4815667
2023-09-15,77.7,78.2099,75.6801,76.26,4941058
2023-09-14,79.14,79.3299,77.45,77.8,5151456
2023-09-13,81.28,81.7,78.22,78.44,5896710
2023-09-12,83.66,85.7675,81.23,81.3,7552791
2023-09-11,84.58,88.42,83.6,84.25,8180770
2023-09-08,83.28,86.45,82.1,83.47,8516303
2023-09-07,84.63,86.96,83.04,83.62,10411028
2023-09-06,92.89,95.84,83.59,86.19,31718742
2023-09-05,80.58,84.16,80.52,83.73,6551067
2023-09-01,81.83,82.57,77.8,81.72,7170702
2023-08-31,81.35,82.47,80.1,81.2,4459070
2023-08-30,80.0,81.19,78.64,81.02,4484197
2023-08-29,76.73,80.31,76.18,80.25,4602144
2023-08-28,77.67,77.82,76.05,76.73,2777322
2023-08-25,75.82,77.9,75.42,76.95,3236854
2023-08-24,80.38,80.998,75.12,76.15,6365153
2023-08-23,78.52,80.8599,77.81,80.27,4369184
2023-08-22,78.7,79.4799,76.3001,78.66,3709009
2023-08-21,79.1,79.9872,77.35,78.19,4347382
2023-08-18,76.0,80.82,75.65,79.3,7287914
2023-08-17,80.83,81.1,77.13,77.23,6443049
2023-08-16,82.02,82.3499,78.66,80.61,7040378
2023-08-15,81.5,84.4399,80.23,82.69,7246612
2023-08-14,78.35,82.29,78.28,82.26,5496899
2023-08-11,78.28,80.25,77.9063,79.26,5076932
2023-08-10,82.67,83.5,78.8,78.83,7163334
2023-08-09,87.12,87.47,81.5,81.64,6802370
2023-08-08,86.5,87.2,84.41,86.54,6004142
2023-08-07,86.9,88.56,85.28,88.4,6588805
2023-08-04,88.59,89.15,85.81,86.35,7831780
2023-08-03,88.89,91.25,87.9,88.47,9237124
2023-08-02,95.18,96.35,90.41,91.25,12217199
2023-08-01,95.51,98.44,93.7901,97.49,17967794
2023-07-31,91.7,96.95,90.99,96.27,36249490
2023-07-28,74.9788,89.7099,74.88,89.61,61301768
2023-07-27,73.53,73.8,67.7,68.19,14177698
2023-07-26,70.3,72.99,70.0,71.47,5801886
2023-07-25,71.99,72.64,70.38,70.4,4927235
2023-07-24,73.61,74.2025,71.61,71.86,4157686
2023-07-21,74.53,75.5,73.36,73.5,7194684
2023-07-20,75.35,75.76,72.67,73.59,7490118
