date,open,high,low,close,volume
2024-03-28,97.69,98.08,97.47,97.53,8255931
2024-03-27,96.43,97.5,96.33,97.45,7267849
2024-03-26,95.63,96.55,95.58,96.06,5474493
2024-03-25,95.71,96.24,95.27,95.63,5229440
2024-03-22,94.19,95.83,94.19,95.54,6801997
2024-03-21,95.0,95.49,94.08,94.26,6477495
2024-03-20,95.0,95.52,94.34,94.85,7854202
2024-03-19,94.45,95.39,94.03,94.86,7998758
2024-03-18,92.84,93.92,92.35,93.46,7075354
2024-03-15,91.05,93.07,91.05,92.93,35743611
2024-03-14,92.06,93.0,91.48,91.76,12161421
2024-03-13,90.07,90.72,89.82,90.56,8664639
2024-03-12,90.87,91.06,89.44,89.95,9439825
2024-03-11,90.19,91.83,90.19,91.4,7273179
2024-03-08,90.28,90.91,90.14,90.88,5727578
2024-03-07,90.53,91.24,90.03,90.55,6778571
2024-03-06,89.86,90.75,89.74,90.26,5563776
2024-03-05,89.71,90.86,89.6,90.06,6747598
2024-03-04,90.09,90.14,89.14,89.91,6926119
2024-03-01,89.72,90.04,88.95,89.8,13566588
2024-02-29,90.41,90.56,89.25,89.67,5874755
2024-02-28,90.41,91.25,89.54,89.92,5626184
2024-02-27,90.03,90.48,89.45,90.42,4853902
2024-02-26,90.06,90.85,89.93,90.02,5293524
2024-02-23,89.5,90.49,89.29,90.01,5809998
2024-02-22,89.72,89.83,88.9,89.53,7600142
2024-02-21,90.97,91.45,90.01,90.21,13187606
2024-02-20,91.5,92.29,90.58,90.98,6023727
2024-02-16,91.35,92.09,90.95,91.01,4949835
2024-02-15,91.41,92.25,91.3,91.79,5267320
2024-02-14,90.96,91.6,90.86,91.39,6677948
2024-02-13,91.2,91.72,89.86,90.59,6039818
2024-02-12,90.51,91.91,90.23,91.14,5483718
2024-02-09,91.13,91.61,90.33,90.51,5948143
2024-02-08,91.85,92.39,90.93,91.04,6197734
2024-02-07,92.58,92.81,91.82,91.93,4625195
2024-02-06,91.45,92.67,91.19,92.28,4718194
2024-02-05,91.26,92.65,90.89,92.24,6764610
2024-02-02,92.24,92.7,91.45,91.98,6067767
2024-02-01,91.7,92.18,90.76,92.17,13827110
2024-01-31,90.86,91.86,90.69,91.12,5560704
2024-01-30,90.16,91.09,90.06,90.6,9073470
2024-01-29,90.44,90.68,89.7,90.08,8488668
2024-01-26,90.69,91.22,90.14,90.41,5987388
2024-01-25,90.25,91.11,89.58,90.94,10584566
2024-01-24,89.63,90.05,88.7,89.49,12872302
2024-01-23,88.23,92.38,87.96,89.55,19434790
2024-01-22,85.81,86.18,85.01,85.02,14052785
2024-01-19,85.59,85.8,84.43,85.53,7509583
2024-01-18,85.05,85.84,84.8,85.47,6594835
2024-01-17,85.43,86.81,84.92,85.05,7669559
2024-01-16,86.11,86.28,85.04,85.5,9568211
2024-01-12,86.56,86.73,85.99,86.33,5277301
2024-01-11,85.91,86.01,84.73,85.32,5860118
2024-01-10,85.8,86.46,85.66,86.08,5706538
2024-01-09,85.76,85.98,84.97,85.8,5400545
2024-01-08,84.91,86.18,84.72,85.84,7625708
2024-01-05,85.76,85.76,84.86,85.38,6796258
2024-01-04,85.99,86.59,85.34,85.41,6656514
2024-01-03,85.48,86.9,85.35,85.61,9957505
2024-01-02,84.05,86.02,83.96,85.22,10455607
2023-12-29,84.21,84.41,83.78,84.14,4624795
2023-12-28,84.17,84.61,84.09,84.17,4622738
2023-12-27,83.9,84.47,83.7,84.17,5440600
2023-12-26,83.15,84.3,83.08,84.05,4442636
2023-12-22,82.09,83.86,82.04,83.23,9769464
2023-12-21,82.04,82.99,81.37,82.01,7732807
2023-12-20,82.2,82.9,81.56,81.64,6961766
2023-12-19,80.92,82.66,80.92,82.62,9912628
2023-12-18,80.36,81.49,80.36,80.69,7701087
2023-12-15,81.74,81.99,79.67,80.28,19196563
2023-12-14,83.87,84.09,81.41,81.86,11124660
2023-12-13,81.19,83.4,80.52,83.22,8057921
2023-12-12,81.21,81.58,80.91,81.04,6811235
2023-12-11,81.33,82.29,81.33,81.89,5897291
2023-12-08,81.69,82.1,81.16,81.32,5535033
2023-12-07,83.0,83.15,81.43,81.5,5443945
2023-12-06,82.62,83.43,82.33,82.71,6125832
2023-12-05,82.93,83.35,82.66,82.69,5945719
2023-12-04,82.07,83.19,81.94,83.13,5525261
2023-12-01,81.48,82.41,81.37,82.32,5486200
2023-11-30,81.14,81.92,81.05,81.48,8366100
2023-11-29,80.22,81.33,80.12,80.95,6852100
2023-11-28,79.99,80.79,79.57,80.19,7094800
2023-11-27,79.76,79.99,79.13,79.47,9378400
2023-11-24,79.82,80.09,79.43,79.98,2346300
2023-11-22,78.01,79.87,78.0,79.82,7024900
2023-11-21,78.93,79.1,78.11,78.15,7125000
2023-11-20,79.56,79.82,78.99,79.17,8359300
2023-11-17,80.64,80.68,79.42,79.68,7343900
2023-11-16,80.47,80.83,79.93,80.23,7578700
2023-11-15,80.51,81.25,79.78,80.63,10757800
2023-11-14,82.18,82.25,80.61,80.69,13128900
2023-11-13,82.26,82.81,81.6,82.03,7740300
2023-11-10,82.76,82.86,81.78,82.22,10351200
2023-11-09,83.66,83.85,82.14,82.43,9638100
2023-11-08,82.85,83.28,82.51,83.2,9844700
2023-11-07,82.4,82.69,82.13,82.67,6352900
2023-11-06,82.7,82.95,82.06,82.4,5950700
2023-11-03,83.17,83.86,82.67,82.72,21268600
2023-11-02,82.35,83.2,82.23,82.78,15755700
2023-11-01,82.0,82.8,81.33,82.15,20200200
2023-10-31,78.85,81.55,78.73,81.39,18663800
2023-10-30,79.07,79.8,77.77,78.57,23380600
