date,open,high,low,close,volume
2024-03-28,12.93,13.59,12.71,13.18,54189214
2024-03-27,11.6,13.22,11.57,13.1,26530758
2024-03-26,11.07,11.54,11.03,11.28,8376046
2024-03-25,11.33,11.49,10.81,10.89,8378842
2024-03-22,11.69,11.9,11.19,11.35,8683178
2024-03-21,11.62,12.58,11.55,11.76,17231051
2024-03-20,10.26,11.66,10.12,11.48,15602535
2024-03-19,10.05,10.51,10.04,10.39,10078880
2024-03-18,9.93,10.52,9.59,10.26,12249308
2024-03-15,9.47,9.91,9.37,9.89,15871922
2024-03-14,9.93,10.02,9.34,9.51,19733200
2024-03-13,10.65,10.7,9.91,9.97,17199562
2024-03-12,11.9,11.98,10.7,10.71,17323121
2024-03-11,12.46,12.81,11.9,12.02,9873261
2024-03-08,12.65,13.04,12.39,12.56,13659695
2024-03-07,12.4,12.58,12.12,12.33,9432858
2024-03-06,12.32,12.42,11.61,12.24,14557397
2024-03-05,11.65,12.32,11.49,11.99,11560289
2024-03-04,12.14,12.2,11.6,11.96,11186867
2024-03-01,12.03,12.5,11.65,12.18,12480872
2024-02-29,12.08,12.66,11.87,12.04,14226606
2024-02-28,11.7,12.4,11.57,11.8,15755951
2024-02-27,11.75,11.96,11.28,11.88,20150302
2024-02-26,11.77,12.23,11.16,11.38,20360799
2024-02-23,12.41,12.65,11.78,11.9,28395548
2024-02-22,14.87,15.04,12.59,12.78,43417637
2024-02-21,15.32,15.84,15.21,15.58,11098207
2024-02-20,15.97,16.17,15.52,15.89,7779204
2024-02-16,16.47,16.84,16.14,16.42,8043802
2024-02-15,17.6,17.9,16.62,17.0,12309867
2024-02-14,15.81,16.91,15.52,16.83,11786326
2024-02-13,15.53,15.89,14.87,15.23,14939288
2024-02-12,15.87,17.3,15.7,16.98,12721776
2024-02-09,15.75,16.09,15.39,15.82,13114966
2024-02-08,15.26,15.75,15.09,15.44,12148914
2024-02-07,15.36,15.58,14.46,15.31,14272634
2024-02-06,13.6,14.49,13.34,14.47,14902016
2024-02-05,13.74,13.85,12.95,13.63,13649334
2024-02-02,14.3,14.46,13.52,14.34,17096850
2024-02-01,15.2,15.94,14.19,14.9,18538740
2024-01-31,14.84,16.25,14.4,14.48,23264000
2024-01-30,14.72,14.92,14.35,14.71,9980222
2024-01-29,14.34,15.0,13.95,14.98,10017695
2024-01-26,14.53,15.03,14.23,14.32,11538974
2024-01-25,13.84,14.45,13.13,14.33,14883277
2024-01-24,14.74,15.24,13.47,13.54,12095976
2024-01-23,14.51,14.81,13.72,14.21,16265583
2024-01-22,13.43,14.65,13.29,13.77,16797659
2024-01-19,13.12,13.27,12.29,13.17,15051031
2024-01-18,13.77,13.84,13.19,13.21,10975270
2024-01-17,13.56,14.09,13.46,13.62,12158907
2024-01-16,14.81,15.03,14.18,14.21,12948388
2024-01-12,16.04,16.52,15.0,15.1,13576860
2024-01-11,16.08,16.09,15.19,15.77,14377049
2024-01-10,16.31,16.36,15.6,16.31,9880558
2024-01-09,16.23,16.52,15.71,16.3,9477410
2024-01-08,16.07,16.89,15.86,16.64,11682633
2024-01-05,16.55,17.38,16.06,16.16,15325082
2024-01-04,18.2,18.2,17.02,17.06,16233215
2024-01-03,18.63,18.77,17.16,18.44,16960982
2024-01-02,19.09,20.07,18.88,19.46,10876072
2023-12-29,20.23,20.38,19.59,19.63,8978357
2023-12-28,20.18,20.59,20.03,20.32,8886085
2023-12-27,20.24,20.68,19.89,20.32,11733502
2023-12-26,19.36,20.16,19.22,19.95,9832115
2023-12-22,19.5,19.98,19.03,19.26,13727634
2023-12-21,18.71,19.55,18.63,19.39,12871680
2023-12-20,19.48,19.78,18.07,18.13,20227549
2023-12-19,19.15,19.95,18.72,19.54,24866593
2023-12-18,18.18,18.61,17.24,18.03,18422440
2023-12-15,18.46,18.98,17.78,18.63,28063365
2023-12-14,16.25,18.54,16.25,17.94,43830261
2023-12-13,12.39,14.99,12.21,14.96,18590232
2023-12-12,13.12,13.21,12.23,12.5,10361623
2023-12-11,12.82,13.69,12.77,13.35,10736044
2023-12-08,13.72,14.03,12.64,12.89,16527773
2023-12-07,13.9,14.28,13.74,13.87,10529043
2023-12-06,14.09,15.13,13.8,13.89,17258943
2023-12-05,14.08,14.43,13.78,13.94,10292120
2023-12-04,14.3,15.06,14.25,14.42,15446791
2023-12-01,12.74,14.37,12.59,14.34,14674389
2023-11-30,12.81,13.46,12.5254,12.9,17023131
2023-11-29,12.37,13.175,12.32,12.76,20432882
2023-11-28,11.09,11.95,10.795,11.92,12404178
2023-11-27,11.35,11.37,10.7,11.15,11382876
2023-11-24,11.3,11.53,11.08,11.31,4027295
2023-11-22,11.79,11.92,11.27,11.41,6886099
2023-11-21,11.83,11.89,11.37,11.57,7041046
2023-11-20,11.705,12.03,11.28,11.91,10144239
2023-11-17,11.39,11.69,10.83,11.67,9970517
2023-11-16,11.41,11.62,10.8322,11.19,11199647
2023-11-15,11.0,12.07,11.0,11.59,17936718
2023-11-14,10.1,11.06,10.05,10.98,24617519
2023-11-13,9.31,9.59,9.025,9.23,9657876
2023-11-10,9.95,10.0,8.825,9.44,15775591
2023-11-09,10.64,10.7,9.95,10.04,8781620
2023-11-08,10.63,10.63,10.05,10.45,9861139
2023-11-07,10.23,10.7,9.9892,10.69,8892693
2023-11-06,10.93,10.96,10.035,10.29,10703206
2023-11-03,11.15,11.67,10.68,10.84,17901964
2023-11-02,9.2,10.59,9.16,10.45,22116622
2023-11-01,9.64,9.68,9.16,9.49,13153429
2023-10-31,9.07,9.72,9.0,9.65,11769322
2023-10-30,8.96,9.25,8.46,8.99,10023744
2023-10-27,9.45,9.52,8.74,8.84,13881860
2023-10-26,9.12,9.9198,9.06,9.71,13853798
2023-10-25,9.43,9.44,8.4303,8.85,25134204
2023-10-24,10.14,10.6,9.6,9.67,14653960
2023-10-23,9.66,10.4,9.395,9.88,14214329
2023-10-20,9.73,10.345,9.55,9.85,20656084
2023-10-19,11.6,11.6,10.51,10.58,15639453
2023-10-18,11.95,11.95,11.25,11.56,10137835
2023-10-17,11.6,12.485,11.51,12.18,10617469
2023-10-16,11.54,12.08,11.3026,11.93,11195301
2023-10-13,11.85,12.05,11.37,11.52,10577782
2023-10-12,12.36,12.36,11.5,11.8,12237918
2023-10-11,12.11,12.44,11.88,12.3,13527914
2023-10-10,10.51,11.99,10.4339,11.93,20317406
2023-10-09,10.21,10.54,9.92,10.5,10470865
2023-10-06,9.7184,10.65,9.6,10.45,13461677
2023-10-05,10.3,10.455,9.835,10.01,13143142
2023-10-04,10.44,10.6,9.7,10.54,18497253
2023-10-03,10.995,11.1,10.32,10.66,14889838
2023-10-02,12.48,12.49,11.16,11.24,13715807
2023-09-29,12.59,13.1,12.22,12.56,12188769
2023-09-28,12.45,12.6699,11.5025,12.3,15272865
2023-09-27,12.73,12.95,12.195,12.41,8130657
2023-09-26,12.5,12.83,12.35,12.55,8411452
2023-09-25,12.72,13.51,12.59,12.75,9112758
2023-09-22,13.78,13.88,12.8,12.89,9977070
2023-09-21,14.01,14.01,13.28,13.515,9654849
2023-09-20,14.51,14.745,14.095,14.26,5399621
2023-09-19,14.0,14.73,13.93,14.4,6066956
2023-09-18,15.09,15.09,13.95,14.1,8097529
2023-09-15,15.42,15.74,14.91,15.06,8689918
2023-09-14,14.54,15.67,14.47,15.5,11871490
2023-09-13,14.67,14.75,14.03,14.16,7475477
2023-09-12,13.61,14.685,13.46,14.63,7461001
2023-09-11,14.03,14.2,13.53,13.72,6383170
2023-09-08,14.31,14.49,13.86,13.99,7700280
2023-09-07,14.55,14.84,13.985,14.48,8536274
2023-09-06,15.71,15.8149,14.985,15.11,5315143
2023-09-05,15.51,15.8976,15.29,15.51,4903104
2023-09-01,15.85,16.19,15.66,15.81,6069050
2023-08-31,15.49,15.98,15.435,15.63,7682094
2023-08-30,15.64,16.15,15.3,15.43,13358276
2023-08-29,14.06,15.44,13.82,15.16,9905062
2023-08-28,14.35,14.45,13.84,13.97,7432181
2023-08-25,13.63,14.108,13.51,13.91,6105937
2023-08-24,13.98,14.0983,13.395,13.57,7821894
2023-08-23,13.62,14.16,13.475,14.01,7200934
2023-08-22,13.98,14.1803,13.3,13.67,10576727
2023-08-21,14.31,14.35,13.59,13.8,10202677
2023-08-18,14.31,15.03,14.17,14.21,9144428
2023-08-17,14.85,15.04,14.45,14.67,10124582
2023-08-16,15.6,15.645,14.86,14.88,9205985
2023-08-15,16.43,16.59,15.69,15.77,8439119
2023-08-14,16.4,17.115,15.9,16.77,8001824
2023-08-11,16.74,17.14,16.62,16.64,7512161
2023-08-10,18.0,18.52,16.93,16.97,10258720
2023-08-09,17.4,18.245,17.3,17.99,8381360
2023-08-08,17.07,17.46,16.55,17.43,10812973
2023-08-07,17.69,17.93,17.0622,17.55,9335934
2023-08-04,19.33,19.3967,17.2525,17.53,16648641
2023-08-03,20.05,22.1599,19.05,19.2,27540659
2023-08-02,18.4,18.56,17.71,17.84,10423848
2023-08-01,18.94,19.34,18.525,19.15,6755721
2023-07-31,18.47,19.15,18.35,18.98,8384284
2023-07-28,18.09,18.87,17.96,18.33,10178156
2023-07-27,20.21,20.25,18.13,18.34,13100155
2023-07-26,19.27,20.3798,19.1,20.16,11288386
2023-07-25,20.71,21.03,20.29,20.3,5363929
2023-07-24,21.54,21.68,20.655,20.71,6128216
2023-07-21,21.97,21.98,20.87,21.34,7292760
2023-07-20,22.08,22.14,21.12,21.65,8017661
2023-07-19,22.6,23.365,22.2338,22.47,8620416
2023-07-18,22.2,23.85,22.11,22.14,18583876
2023-07-17,19.94,22.14,19.75,21.83,14027634
2023-07-14,19.93,20.125,19.405,19.48,6210069
2023-07-13,19.29,19.925,19.19,19.89,8742804
2023-07-12,19.61,19.93,19.045,19.16,13571006
2023-07-11,17.94,18.82,17.56,18.8,9244358
2023-07-10,16.75,17.8,16.5,17.8,8072900
2023-07-07,16.51,17.33,16.5,16.8,7982841
2023-07-06,17.41,17.57,16.0,16.51,11970405
2023-07-05,17.69,18.375,17.4,17.99,6242115
2023-07-03,18.0,18.78,17.82,17.88,5040123
2023-06-30,17.83,18.0,17.23,17.86,9342868
2023-06-29,18.5,18.955,17.41,17.57,9895609
2023-06-28,18.21,19.03,17.96,18.44,7090609
2023-06-27,17.99,18.44,17.48,18.4,5149346
2023-06-26,17.39,18.27,17.22,17.7,5923228
2023-06-23,17.57,17.8,17.15,17.21,8895614
2023-06-22,18.46,18.46,17.49,17.96,9025758
2023-06-21,18.6,18.93,18.26,18.65,7097051
2023-06-20,19.26,19.39,18.3001,18.8,7753424
2023-06-16,20.27,20.39,19.02,19.34,9381170
2023-06-15,19.5,20.405,19.36,20.08,6937638
2023-06-14,20.85,20.98,19.49,19.88,8100524
2023-06-13,19.975,21.04,19.94,20.71,9256869
2023-06-12,18.74,19.68,18.27,19.61,7539733
2023-06-09,19.33,19.89,18.74,18.75,6442657
2023-06-08,19.6,19.6899,18.83,19.21,5194288
2023-06-07,19.51,19.9,19.1,19.31,7668021
2023-06-06,18.42,19.455,18.19,19.14,6839569
2023-06-05,18.63,18.92,18.04,18.49,5756082
2023-06-02,18.98,19.16,18.405,18.7,7808547
2023-06-01,17.81,18.9872,17.65,18.48,11093188
2023-05-31,17.75,17.97,16.91,17.64,9543422
2023-05-30,17.25,18.219,17.18,17.95,9127969
2023-05-26,16.69,16.915,15.97,16.83,6919964
2023-05-25,16.51,16.895,16.13,16.66,6767476
2023-05-24,16.49,16.72,15.83,16.51,7674137
2023-05-23,15.79,17.63,15.71,16.64,14599017
2023-05-22,14.68,15.9,14.65,15.84,9859096
2023-05-19,15.82,15.91,14.55,14.63,12558187
2023-05-18,16.13,16.15,15.3,15.67,9031001
2023-05-17,15.28,16.42,15.11,16.23,12408973
2023-05-16,16.31,16.4,15.29,15.32,10835948
2023-05-15,16.28,17.09,15.99,16.62,8832379
2023-05-12,17.01,17.975,16.08,16.45,14589531
2023-05-11,17.1,17.42,16.45,16.74,8466230
2023-05-10,17.21,17.6299,16.84,17.32,9151171
2023-05-09,16.91,16.97,16.33,16.81,11099839
2023-05-08,17.82,17.92,17.115,17.19,8195335
2023-05-05,17.19,17.83,16.16,17.65,14636031
2023-05-04,18.74,19.27,16.35,16.91,21278245
2023-05-03,19.47,20.785,19.065,20.05,10984123
2023-05-02,20.3,20.3,19.035,19.43,10278019
2023-05-01,20.95,21.21,20.09,20.51,7874552
2023-04-28,21.265,21.3,20.14,21.04,9730045
2023-04-27,20.2,21.695,20.1799,21.35,11285364
2023-04-26,20.52,20.69,19.17,19.41,11034980
2023-04-25,21.37,22.22,21.21,21.33,7232606
2023-04-24,21.15,21.89,20.85,21.78,8226609
2023-04-21,20.91,21.87,20.4815,21.14,10719691
2023-04-20,19.48,20.925,19.36,20.89,10515050
2023-04-19,19.88,20.1298,19.45,19.78,6143480
2023-04-18,21.37,21.39,20.05,20.29,9336640
2023-04-17,19.59,20.85,19.5,20.56,9566544
2023-04-14,20.09,20.09,18.9701,19.44,6355587
2023-04-13,19.41,20.44,19.14,20.05,7543951
2023-04-12,20.24,20.49,19.225,19.36,6216164
2023-04-11,19.18,19.965,18.985,19.8,6740635
2023-04-10,18.455,19.25,18.3,19.22,6230685
2023-04-06,19.0,19.0,18.27,18.58,8525939
2023-04-05,19.89,20.245,18.471,19.01,9954087
2023-04-04,20.04,20.32,19.52,19.99,6386550
2023-04-03,20.59,21.07,19.7,19.96,8684563
2023-03-31,19.09,20.6,19.02,20.15,13408089
2023-03-30,19.05,19.78,18.7146,18.85,10613273
2023-03-29,17.9,18.935,17.32,18.64,11773647
2023-03-28,17.87,17.9987,17.4,17.54,6233552
2023-03-27,18.27,18.35,17.31,17.85,8691206
2023-03-24,17.36,18.04,17.13,17.94,10357729
2023-03-23,18.18,19.4565,17.3,17.63,16350269
