date,open,high,low,close,volume
2024-03-28,93.55,94.38,93.55,94.22,114684
2024-03-27,91.72,93.37,91.72,93.34,262855
2024-03-26,91.53,91.53,90.77,90.85,226706
2024-03-25,91.95,92.37,91.22,91.22,286487
2024-03-22,93.18,93.46,91.89,91.94,409460
2024-03-21,93.0,93.6,92.58,93.24,341450
2024-03-20,91.33,92.88,91.0,92.64,233080
2024-03-19,92.03,92.34,91.41,92.06,4425554
2024-03-18,92.13,92.54,91.88,92.08,642001
2024-03-15,92.06,92.91,91.93,92.59,226102
2024-03-14,93.96,93.96,91.96,92.75,101735
2024-03-13,94.66,95.09,94.01,94.18,82803
2024-03-12,94.9,95.04,94.04,94.74,126097
2024-03-11,95.2,95.74,94.51,94.79,182573
2024-03-08,94.8,95.62,94.8,95.32,119142
2024-03-07,94.68,94.77,93.79,94.37,202650
2024-03-06,94.36,94.58,93.73,94.24,120290
2024-03-05,94.59,94.95,93.32,93.77,730174
2024-03-04,93.81,95.0,93.05,94.96,872847
2024-03-01,92.85,94.06,91.9,93.94,258225
2024-02-29,93.06,93.49,92.66,92.97,1240017
2024-02-28,91.53,93.25,91.4,92.54,138067
2024-02-27,92.32,92.64,91.82,91.97,197141
2024-02-26,92.63,92.87,91.58,91.69,229197
2024-02-23,93.13,93.22,92.61,92.61,572805
2024-02-22,93.32,93.44,92.85,93.01,111725
2024-02-21,92.47,93.14,92.24,93.06,290035
2024-02-20,91.97,92.64,91.69,92.25,206575
2024-02-16,92.32,93.03,91.87,92.53,156914
2024-02-15,91.56,93.35,91.56,93.27,126910
2024-02-14,90.76,91.65,90.38,90.99,87372
2024-02-13,89.95,90.4,89.1,90.4,107299
2024-02-12,92.24,92.76,91.9,92.09,226569
2024-02-09,92.14,92.4,91.3,92.18,139242
2024-02-08,91.05,92.42,91.05,92.13,323250
2024-02-07,91.61,91.76,90.71,91.21,164689
2024-02-06,90.37,91.54,90.01,91.41,251250
2024-02-05,90.75,90.93,89.94,90.16,199316
2024-02-02,92.17,92.47,90.42,91.86,293617
2024-02-01,91.42,92.9,90.6,92.9,1062511
2024-01-31,92.48,93.13,91.08,91.35,1269440
