date,open,high,low,close,volume
2024-03-28,104.99,107.13,104.78,106.52,1126990
2024-03-27,102.45,104.53,102.0,104.32,1030300
2024-03-26,104.51,104.6,101.86,102.1,898432
2024-03-25,105.1,106.92,103.87,103.89,1052037
2024-03-22,103.91,105.26,103.09,104.36,1660938
2024-03-21,104.13,104.15,102.45,103.55,1069281
2024-03-20,99.48,103.75,98.71,103.24,1262266
2024-03-19,100.46,100.82,98.9,99.8,1501442
2024-03-18,103.8,104.83,102.2,102.6,1978547
2024-03-15,99.2,103.58,98.83,103.0,3639354
2024-03-14,96.76,98.2,95.65,97.18,2270568
2024-03-13,89.9,97.5,89.9,96.3,3358694
2024-03-12,87.0,87.6,86.28,87.5,776560
2024-03-11,85.82,86.89,85.27,86.45,1225301
2024-03-08,85.28,86.53,84.88,86.28,1582895
2024-03-07,83.84,86.23,83.22,84.74,1318398
2024-03-06,81.95,82.53,81.12,81.39,884403
2024-03-05,81.29,81.61,79.59,80.03,808645
2024-03-04,80.66,81.82,79.33,81.79,760361
2024-03-01,81.3,81.86,80.32,80.66,685946
2024-02-29,80.42,81.05,80.17,80.86,1080830
2024-02-28,79.91,80.24,78.82,78.89,536906
2024-02-27,80.78,80.96,79.85,80.8,682825
2024-02-26,80.62,80.62,79.2,79.94,707322
2024-02-23,83.29,83.42,81.77,82.03,596759
2024-02-22,83.45,83.83,82.48,83.14,712150
2024-02-21,82.54,83.54,82.43,83.37,645411
2024-02-20,82.84,83.14,81.93,82.36,581563
2024-02-16,84.05,85.62,83.5,83.69,900115
2024-02-15,80.68,83.08,80.57,82.97,968700
2024-02-14,78.65,80.17,78.53,80.12,639192
2024-02-13,78.75,79.07,77.42,78.03,1010050
2024-02-12,79.59,80.66,79.31,80.28,654589
2024-02-09,80.59,80.94,79.62,80.16,988876
2024-02-08,81.5,81.62,79.88,80.94,795807
2024-02-07,82.13,82.19,80.54,82.03,702425
2024-02-06,80.54,82.4,80.5,82.21,1004860
2024-02-05,80.0,80.0,78.46,79.69,1254433
2024-02-02,81.6,82.71,80.35,81.73,1302415
2024-02-01,82.67,83.82,82.45,83.79,1005298
2024-01-31,83.28,84.45,82.07,82.1,1039092
2024-01-30,82.51,83.3,82.0,82.79,893318
2024-01-29,83.42,84.02,82.6,83.66,772916
2024-01-26,84.38,85.14,82.78,83.2,768967
2024-01-25,83.83,84.29,82.8,83.82,1109936
2024-01-24,84.8,85.18,83.11,83.25,901857
2024-01-23,81.5,82.81,81.29,81.96,1269253
2024-01-22,79.98,81.42,79.74,80.42,1161609
2024-01-19,78.81,81.13,78.25,81.09,1305305
2024-01-18,78.9,78.92,77.63,78.81,779579
2024-01-17,78.09,78.72,77.14,78.48,918750
2024-01-16,81.75,81.91,79.67,79.68,1316769
2024-01-12,83.8,84.21,82.81,83.14,630356
2024-01-11,84.05,84.09,82.21,83.04,725189
2024-01-10,84.03,84.28,83.22,83.31,680205
2024-01-09,84.42,84.86,83.87,84.28,936723
2024-01-08,82.93,85.5,82.59,85.49,733755
2024-01-05,83.54,85.0,83.17,83.58,693427
2024-01-04,83.51,84.15,83.12,83.81,737825
2024-01-03,82.37,84.36,81.18,83.89,1230351
2024-01-02,85.28,86.17,84.1,84.66,1152729
2023-12-29,85.99,86.57,84.45,86.07,784986
2023-12-28,87.76,88.4,87.33,87.33,674470
2023-12-27,87.61,88.34,87.37,88.2,775406
2023-12-26,87.96,88.26,87.09,87.3,605130
2023-12-22,86.97,87.76,86.35,87.6,1265784
2023-12-21,84.88,86.2,84.13,85.99,958300
2023-12-20,84.11,84.83,83.22,83.3,1300694
2023-12-19,84.25,85.16,83.81,84.96,834584
2023-12-18,82.5,83.9,82.5,82.82,1248948
2023-12-15,81.1,82.67,80.44,82.28,2193550
2023-12-14,78.99,81.79,78.98,81.71,1782062
2023-12-13,74.68,77.73,73.78,77.35,1067538
2023-12-12,74.86,75.22,74.26,74.83,733009
2023-12-11,74.04,75.25,73.18,75.13,846079
2023-12-08,72.13,76.1,71.76,75.45,1484903
2023-12-07,71.7,72.1,70.92,71.67,936674
2023-12-06,72.29,72.61,70.96,71.27,777092
2023-12-05,72.91,72.91,71.48,71.59,1017831
