date,open,high,low,close,volume
2024-03-28,25.18,25.31,25.17,25.25,998338
2024-03-27,25.08,25.13,25.03,25.13,954290
2024-03-26,25.15,25.16,25.07,25.08,795598
2024-03-25,25.08,25.15,25.08,25.1,1015068
2024-03-22,25.15,25.17,25.08,25.13,1016057
2024-03-21,25.36,25.41,25.26,25.26,1473895
2024-03-20,25.09,25.3,25.04,25.27,1225170
2024-03-19,25.05,25.11,24.95,25.08,1097517
2024-03-18,25.28,25.31,25.16,25.18,787679
2024-03-15,25.2,25.24,25.13,25.15,1326670
2024-03-14,25.38,25.38,25.17,25.23,1140113
2024-03-13,25.33,25.39,25.3,25.35,1058084
2024-03-12,25.44,25.47,25.3,25.45,941921
2024-03-11,25.2,25.3,25.19,25.21,911548
2024-03-08,25.26,25.32,25.14,25.14,1782266
2024-03-07,25.11,25.22,25.04,25.19,844227
2024-03-06,25.06,25.16,25.03,25.08,1071995
2024-03-05,24.8,24.86,24.68,24.73,1297973
2024-03-04,25.0,25.0,24.86,24.87,1663321
2024-03-01,24.87,25.03,24.82,25.0,1018378
2024-02-29,24.76,24.78,24.65,24.67,1080522
2024-02-28,24.8,24.8,24.6,24.64,1105735
2024-02-27,25.03,25.06,25.0,25.03,976908
2024-02-26,24.94,24.98,24.91,24.94,891216
2024-02-23,25.05,25.05,24.93,25.01,1555532
2024-02-22,25.0,25.04,24.91,25.02,1339980
2024-02-21,24.81,24.88,24.73,24.79,965858
2024-02-20,24.8,24.89,24.7,24.78,1110991
2024-02-16,24.67,24.79,24.67,24.7,1228264
2024-02-15,24.52,24.61,24.52,24.61,877212
2024-02-14,24.4,24.48,24.36,24.47,904930
2024-02-13,24.22,24.36,24.02,24.11,1274209
2024-02-12,24.41,24.65,24.39,24.53,1155842
2024-02-09,24.31,24.44,24.21,24.41,991267
2024-02-08,24.35,24.39,24.25,24.3,1479127
2024-02-07,24.37,24.52,24.37,24.48,1068437
2024-02-06,24.28,24.51,24.26,24.51,1555782
2024-02-05,23.78,23.94,23.77,23.91,1482606
2024-02-02,23.8,23.86,23.73,23.83,1242131
2024-02-01,23.93,24.02,23.87,24.0,1504721
2024-01-31,23.88,24.05,23.79,23.85,2464308
2024-01-30,23.86,23.95,23.84,23.95,1215055
2024-01-29,24.21,24.22,24.03,24.17,1299978
2024-01-26,24.1,24.23,24.1,24.17,1238900
2024-01-25,24.2,24.25,24.08,24.17,1126225
2024-01-24,24.21,24.25,24.08,24.12,1704109
2024-01-23,23.72,23.83,23.68,23.81,1988759
2024-01-22,23.56,23.69,23.55,23.63,1402046
2024-01-19,23.63,23.84,23.57,23.83,1559973
2024-01-18,23.58,23.65,23.52,23.61,1312270
2024-01-17,23.34,23.49,23.33,23.47,2722412
2024-01-16,23.99,24.0,23.75,23.78,2125540
2024-01-12,24.38,24.47,24.28,24.31,2469902
2024-01-11,24.19,24.27,24.04,24.21,1864058
