date,open,high,low,close,volume
2024-03-28,20.22,20.37,20.22,20.31,2290618
2024-03-27,19.82,20.17,19.82,20.17,3114102
2024-03-26,19.77,19.8,19.64,19.64,2667893
2024-03-25,19.87,19.95,19.74,19.76,2821089
2024-03-22,20.09,20.14,19.82,19.85,2470724
2024-03-21,20.04,20.18,19.96,20.07,4036610
2024-03-20,19.75,20.02,19.65,20.0,4044481
2024-03-19,19.94,20.02,19.83,19.98,2445775
2024-03-18,19.98,20.06,19.92,19.95,3656352
2024-03-15,19.82,20.04,19.8,19.95,4346119
2024-03-14,20.23,20.27,19.84,20.01,2383660
2024-03-13,20.4,20.52,20.26,20.33,2432057
2024-03-12,20.44,20.52,20.27,20.42,1762969
2024-03-11,20.56,20.66,20.41,20.5,2028045
2024-03-08,20.53,20.65,20.49,20.56,1963610
2024-03-07,20.43,20.48,20.25,20.35,3956640
2024-03-06,20.38,20.41,20.23,20.34,1932769
2024-03-05,20.39,20.53,20.16,20.25,2190047
2024-03-04,20.19,20.49,20.08,20.49,2842583
2024-03-01,20.01,20.26,19.8,20.25,3872091
2024-02-29,20.01,20.15,19.96,20.04,4665420
2024-02-28,19.58,20.0,19.56,19.88,2185928
2024-02-27,19.79,19.86,19.62,19.68,2908544
2024-02-26,19.85,19.94,19.63,19.65,2960531
2024-02-23,19.94,20.01,19.85,19.88,2749384
2024-02-22,19.91,19.98,19.84,19.92,2188655
2024-02-21,19.78,19.9,19.73,19.88,2555336
2024-02-20,19.67,19.83,19.58,19.76,3422154
2024-02-16,19.71,19.88,19.59,19.78,3930580
2024-02-15,19.67,19.96,19.67,19.94,2868659
2024-02-14,19.48,19.64,19.38,19.53,3492792
2024-02-13,19.33,19.4,19.12,19.4,4292112
2024-02-12,19.83,19.94,19.73,19.78,3542463
2024-02-09,19.77,19.83,19.58,19.81,2844920
2024-02-08,19.57,19.83,19.55,19.78,3072200
2024-02-07,19.67,19.73,19.5,19.61,5208943
2024-02-06,19.42,19.68,19.34,19.66,3010257
2024-02-05,19.51,19.54,19.33,19.39,3520364
2024-02-02,19.81,19.91,19.46,19.76,4820669
2024-02-01,19.64,20.05,19.55,20.05,4015244
2024-01-31,19.92,20.06,19.62,19.69,4151761
2024-01-30,19.94,20.02,19.8,19.86,1926320
2024-01-29,19.91,20.07,19.86,20.04,3166908
2024-01-26,20.02,20.07,19.87,19.89,6817208
2024-01-25,19.98,20.09,19.89,19.99,3335436
2024-01-24,20.24,20.25,19.73,19.75,5316464
2024-01-23,20.25,20.31,19.97,20.05,2458135
2024-01-22,20.17,20.37,20.09,20.19,5132177
2024-01-19,19.91,20.16,19.76,20.09,2638823
2024-01-18,20.01,20.08,19.71,19.84,2375807
2024-01-17,20.13,20.35,19.78,19.99,5652286
2024-01-16,20.4,20.5,20.3,20.38,2974145
2024-01-12,20.58,20.64,20.4,20.53,1937478
2024-01-11,20.48,20.51,20.28,20.36,3349577
2024-01-10,20.55,20.66,20.49,20.57,2192411
2024-01-09,20.5,20.61,20.37,20.52,3485616
2024-01-08,20.35,20.69,20.32,20.67,2690230
2024-01-05,20.28,20.55,20.16,20.38,1679894
2024-01-04,20.41,20.56,20.31,20.41,1893651
2024-01-03,20.74,20.74,20.41,20.45,2857578
2024-01-02,20.63,20.95,20.58,20.93,2959013
2023-12-29,20.82,20.9,20.69,20.71,3286270
2023-12-28,20.76,20.95,20.76,20.95,1860225
2023-12-27,20.72,20.83,20.64,20.81,2695418
2023-12-26,20.56,20.77,20.53,20.72,1431728
2023-12-22,20.57,20.72,20.46,20.56,2895346
2023-12-21,20.46,20.53,20.26,20.48,2493525
2023-12-20,20.54,20.72,20.3,20.32,3289885
2023-12-19,20.47,20.61,20.47,20.56,2335152
2023-12-18,20.55,20.58,20.38,20.41,3047464
2023-12-15,20.68,20.71,20.3,20.45,4868156
2023-12-14,20.55,20.88,20.55,20.75,3655711
2023-12-13,19.51,20.27,19.45,20.19,3643256
2023-12-12,19.47,19.54,19.36,19.47,2597526
2023-12-11,19.38,19.52,19.35,19.49,1929706
2023-12-08,19.39,19.49,19.23,19.44,1937314
2023-12-07,19.4,19.54,19.34,19.48,2177943
2023-12-06,19.57,19.71,19.4,19.41,2965491
2023-12-05,19.76,19.76,19.61,19.69,3437679
2023-12-04,19.57,19.83,19.55,19.83,3916170
2023-12-01,19.21,19.69,19.17,19.68,4547476
2023-11-30,19.06,19.25,18.99,19.21,3796080
2023-11-29,19.09,19.25,19.04,19.06,2631636
2023-11-28,18.75,18.96,18.68,18.94,2855982
2023-11-27,18.75,18.93,18.68,18.83,2460291
2023-11-24,18.66,18.76,18.56,18.75,1255012
2023-11-22,18.76,18.83,18.61,18.69,2781606
2023-11-21,18.65,18.69,18.57,18.62,3155627
2023-11-20,18.54,18.74,18.42,18.74,3483047
2023-11-17,18.75,18.79,18.53,18.59,3020421
2023-11-16,18.67,18.73,18.57,18.61,3455847
2023-11-15,18.55,18.81,18.55,18.65,5540352
2023-11-14,18.19,18.76,18.19,18.59,4368687
2023-11-13,17.66,17.72,17.54,17.63,4790710
2023-11-10,17.73,17.83,17.59,17.79,5857993
2023-11-09,17.96,17.99,17.6,17.62,4045961
2023-11-08,17.89,17.97,17.83,17.91,3512859
2023-11-07,17.98,18.02,17.81,17.83,3644342
2023-11-06,18.22,18.23,17.91,18.02,5099382
2023-11-03,18.13,18.52,18.13,18.25,4294657
2023-11-02,17.57,17.94,17.57,17.89,4021090
2023-11-01,17.2,17.31,17.11,17.29,4970522
2023-10-31,17.01,17.21,16.86,17.21,5630663
2023-10-30,16.89,17.02,16.63,16.9,4001863
2023-10-27,17.12,17.12,16.74,16.79,5833091
2023-10-26,16.83,17.19,16.83,17.08,4809466
2023-10-25,16.98,17.02,16.73,16.76,4799857
2023-10-24,16.97,17.14,16.97,17.1,3133959
2023-10-23,16.9,17.12,16.84,16.9,4127300
2023-10-20,17.2,17.32,17.04,17.06,3159729
2023-10-19,17.41,17.57,17.13,17.16,3861702
2023-10-18,17.8,17.86,17.56,17.56,3287473
2023-10-17,17.81,18.18,17.78,17.94,2642380
2023-10-16,17.84,18.01,17.68,17.96,2728201
2023-10-13,17.88,17.91,17.66,17.76,3540366
