date,open,high,low,close,volume
2024-03-28,48.21,48.23,48.2,48.21,992314
2024-03-27,48.24,48.26,48.23,48.25,912547
2024-03-26,48.19,48.21,48.18,48.2,560668
2024-03-25,48.21,48.22,48.18,48.19,731844
2024-03-22,48.22,48.22,48.21,48.22,831853
2024-03-21,48.19,48.2,48.17,48.17,863754
2024-03-20,48.1,48.18,48.1,48.16,782964
2024-03-19,48.09,48.11,48.08,48.1,665277
2024-03-18,48.06,48.07,48.04,48.05,681200
2024-03-15,48.06,48.07,48.05,48.05,877033
2024-03-14,48.11,48.11,48.08,48.08,735928
2024-03-13,48.15,48.15,48.12,48.12,817199
2024-03-12,48.16,48.18,48.14,48.14,1167148
2024-03-11,48.21,48.22,48.19,48.2,1286572
2024-03-08,48.27,48.27,48.22,48.23,1090987
2024-03-07,48.19,48.21,48.17,48.21,1256654
2024-03-06,48.17,48.19,48.13,48.13,1644374
2024-03-05,48.14,48.17,48.12,48.15,1374699
2024-03-04,48.1,48.13,48.09,48.09,1508080
2024-03-01,48.07,48.16,48.04,48.14,2531790
2024-02-29,48.24,48.26,48.23,48.24,1939766
2024-02-28,48.19,48.22,48.18,48.22,1971073
2024-02-27,48.17,48.19,48.15,48.16,2265260
2024-02-26,48.19,48.19,48.15,48.16,5336913
2024-02-23,48.17,48.2,48.16,48.18,5721860
2024-02-22,48.17,48.2,48.15,48.17,5777404
2024-02-21,48.24,48.25,48.17,48.19,4362480
2024-02-20,48.23,48.25,48.22,48.23,4132167
2024-02-16,48.16,48.19,48.15,48.18,1797326
2024-02-15,48.26,48.27,48.22,48.24,718270
2024-02-14,48.16,48.22,48.16,48.19,5456956
2024-02-13,48.18,48.2,48.12,48.13,5814236
2024-02-12,48.29,48.31,48.28,48.29,1053592
2024-02-09,48.27,48.29,48.27,48.27,1143111
2024-02-08,48.3,48.32,48.29,48.3,1817253
2024-02-07,48.32,48.36,48.3,48.3,2392113
2024-02-06,48.28,48.34,48.27,48.33,1355723
2024-02-05,48.29,48.3,48.24,48.24,1922059
2024-02-02,48.35,48.37,48.31,48.34,1826167
2024-02-01,48.5,48.55,48.46,48.5,1703185
2024-01-31,48.58,48.65,48.57,48.63,3067660
2024-01-30,48.55,48.56,48.48,48.51,1280087
2024-01-29,48.51,48.55,48.51,48.53,1701830
2024-01-26,48.51,48.51,48.48,48.48,1500456
2024-01-25,48.5,48.53,48.48,48.52,2045415
2024-01-24,48.51,48.52,48.43,48.43,1409577
2024-01-23,48.44,48.47,48.43,48.45,2124255
2024-01-22,48.45,48.47,48.45,48.45,1119558
2024-01-19,48.43,48.46,48.41,48.43,2015543
2024-01-18,48.47,48.49,48.45,48.47,1460782
2024-01-17,48.47,48.47,48.43,48.46,1559711
2024-01-16,48.59,48.61,48.52,48.56,1783551
2024-01-12,48.61,48.64,48.59,48.62,2035321
2024-01-11,48.44,48.53,48.44,48.53,2114017
2024-01-10,48.43,48.44,48.4,48.41,1414427
2024-01-09,48.39,48.43,48.38,48.41,2237412
2024-01-08,48.38,48.45,48.37,48.4,2563803
2024-01-05,48.33,48.43,48.33,48.36,2822113
2024-01-04,48.37,48.39,48.35,48.37,2451100
2024-01-03,48.37,48.41,48.34,48.4,1362705
2024-01-02,48.39,48.4,48.38,48.39,1863591
2023-12-29,48.41,48.46,48.4,48.45,1379427
2023-12-28,48.44,48.44,48.41,48.43,1466902
2023-12-27,48.39,48.43,48.38,48.43,1450321
2023-12-26,48.35,48.39,48.35,48.37,1298130
2023-12-22,48.38,48.4,48.36,48.38,1015754
2023-12-21,48.39,48.41,48.35,48.37,1381309
2023-12-20,48.3,48.34,48.28,48.33,1167398
2023-12-19,48.24,48.27,48.24,48.26,1278922
2023-12-18,48.26,48.26,48.22,48.24,1700155
2023-12-15,48.26,48.28,48.23,48.23,2209881
2023-12-14,48.43,48.49,48.43,48.45,1521835
2023-12-13,48.16,48.37,48.14,48.35,2014431
2023-12-12,48.12,48.14,48.1,48.1,1251802
2023-12-11,48.08,48.12,48.07,48.11,1722497
2023-12-08,48.13,48.17,48.09,48.11,1659313
2023-12-07,48.21,48.24,48.2,48.21,1404051
2023-12-06,48.19,48.21,48.17,48.19,1327214
2023-12-05,48.15,48.21,48.14,48.18,1500894
2023-12-04,48.15,48.17,48.11,48.13,2303068
2023-12-01,48.06,48.21,48.06,48.19,2859100
2023-11-30,48.25,48.26,48.22,48.23,1351100
2023-11-29,48.25,48.3,48.24,48.26,1680200
2023-11-28,48.09,48.19,48.08,48.18,2791500
2023-11-27,48.06,48.09,48.05,48.07,1621000
2023-11-24,48.03,48.05,48.02,48.03,813500
2023-11-22,48.08,48.09,48.03,48.06,1155600
2023-11-21,48.06,48.08,48.04,48.05,1452000
2023-11-20,48.03,48.04,48.01,48.02,1191200
2023-11-17,48.04,48.05,48.01,48.03,1340500
2023-11-16,48.05,48.08,48.05,48.05,1766500
2023-11-15,48.0,48.0,47.96,47.97,4351200
2023-11-14,48.02,48.06,48.01,48.05,1393100
2023-11-13,47.83,47.87,47.82,47.86,1301500
2023-11-10,47.9,47.9,47.83,47.86,2523100
2023-11-09,47.92,47.93,47.84,47.84,1139200
2023-11-08,47.92,47.94,47.91,47.91,1872600
2023-11-07,47.91,47.95,47.89,47.92,1422800
2023-11-06,47.93,47.93,47.89,47.89,2369800
2023-11-03,47.97,48.0,47.92,47.96,1332800
2023-11-02,47.88,47.9,47.83,47.83,1748300
2023-11-01,47.75,47.86,47.73,47.83,2301400
2023-10-31,47.89,47.91,47.89,47.89,1584300
2023-10-30,47.9,47.92,47.89,47.91,2108100
2023-10-27,47.91,47.94,47.9,47.93,1787100
2023-10-26,47.85,47.92,47.85,47.9,1007000
2023-10-25,47.84,47.84,47.8,47.81,1588200
2023-10-24,47.87,47.88,47.82,47.86,2192700
2023-10-23,47.84,47.88,47.82,47.88,1360700
2023-10-20,47.82,47.86,47.81,47.84,2047600
2023-10-19,47.71,47.77,47.71,47.76,1776300
2023-10-18,47.72,47.73,47.68,47.7,3689900
2023-10-17,47.75,47.75,47.69,47.71,4941200
2023-10-16,47.82,47.82,47.79,47.79,1115800
