date,open,high,low,close,volume
2024-03-28,69.6,71.73,68.9,70.98,1399720
2024-03-27,64.71,70.39,64.28,69.69,2301953
2024-03-26,64.49,65.98,63.39,63.43,1524535
2024-03-25,64.32,65.5,63.63,64.02,1751734
2024-03-22,65.72,66.28,64.11,64.7,1691939
2024-03-21,66.21,69.27,66.14,66.73,1910523
2024-03-20,61.87,65.88,61.3,65.45,1818503
2024-03-19,61.52,63.1,61.08,62.25,1411821
2024-03-18,62.33,64.25,60.44,62.7,2191748
2024-03-15,63.75,64.34,61.41,61.56,4197846
2024-03-14,67.79,68.47,63.76,64.57,2377364
2024-03-13,71.42,72.33,67.4,67.85,2044370
2024-03-12,74.52,74.76,71.65,72.14,1572759
2024-03-11,75.11,77.52,73.66,74.49,1398010
2024-03-08,76.67,78.41,74.92,75.72,1922328
2024-03-07,71.38,75.27,70.56,75.26,1817756
2024-03-06,69.14,70.81,67.1,70.36,1837148
2024-03-05,66.89,68.68,66.02,67.61,2055340
2024-03-04,67.79,68.09,65.21,67.06,1990537
2024-03-01,67.57,69.08,65.86,67.88,1400841
2024-02-29,67.81,70.72,66.7,67.17,2542579
2024-02-28,68.51,69.05,65.39,65.56,2448219
2024-02-27,68.32,69.5,67.2,69.34,1554519
2024-02-26,67.24,68.44,66.29,67.08,1788818
2024-02-23,69.69,69.84,65.55,67.35,3266953
2024-02-22,74.15,76.69,69.8,69.93,4454647
2024-02-21,70.01,75.59,70.0,74.14,8466000
2024-02-20,83.06,84.69,81.82,84.42,4729050
2024-02-16,84.41,87.13,83.8,85.06,1671131
2024-02-15,85.29,87.98,84.41,86.94,2408446
2024-02-14,78.17,82.95,76.56,82.61,2268330
2024-02-13,76.22,80.34,75.63,76.55,2434867
2024-02-12,78.5,85.1,78.0,83.3,2409923
2024-02-09,76.21,79.3,75.81,77.76,1530572
2024-02-08,75.83,77.56,74.26,75.51,1868134
2024-02-07,77.31,79.61,71.16,76.18,5542566
2024-02-06,66.21,68.54,64.31,67.38,2562381
2024-02-05,66.28,66.28,63.71,65.67,2863160
2024-02-02,66.9,68.3,64.58,68.0,1872494
2024-02-01,67.85,70.77,66.9,69.27,2932606
2024-01-31,69.14,72.57,66.45,66.5,3498588
2024-01-30,70.36,72.19,69.0,69.16,1939976
2024-01-29,68.3,71.32,67.17,71.25,2152274
2024-01-26,71.3,71.46,68.83,68.84,1556998
2024-01-25,70.6,70.76,65.62,70.44,3769993
2024-01-24,73.57,73.76,69.87,70.2,2220719
2024-01-23,74.64,75.58,70.43,71.84,2524693
2024-01-22,71.99,76.93,70.33,71.85,3726119
2024-01-19,69.39,69.43,66.53,69.11,2532993
2024-01-18,69.47,70.29,67.3,69.27,2559595
2024-01-17,68.78,70.91,67.55,68.22,4174990
2024-01-16,73.28,74.97,72.42,72.83,2904418
2024-01-12,79.12,79.9,74.02,74.24,2557351
2024-01-11,80.16,80.26,75.41,77.62,3121317
2024-01-10,77.8,81.21,75.9,81.01,3485834
2024-01-09,77.02,78.85,75.63,77.22,2698370
2024-01-08,80.28,80.34,78.06,78.54,3053544
2024-01-05,81.78,84.06,79.44,79.58,2608834
2024-01-04,85.97,85.98,82.56,82.8,2389680
2024-01-03,89.75,89.75,84.35,86.44,3078351
2024-01-02,93.0,97.27,91.46,91.7,1889289
2023-12-29,96.51,97.15,93.53,93.6,1801583
2023-12-28,95.79,97.2,94.77,96.73,1748309
2023-12-27,97.59,97.64,95.18,96.43,1402456
2023-12-26,96.86,98.5,95.52,96.96,1869426
2023-12-22,98.0,98.11,93.98,96.03,2377972
2023-12-21,96.61,100.5,94.86,97.08,3040897
2023-12-20,101.11,102.62,94.67,94.85,3941418
2023-12-19,93.5,103.15,93.5,102.24,4710667
2023-12-18,92.55,97.28,91.5,93.48,4269907
2023-12-15,97.5,99.61,93.7,97.12,16630905
2023-12-14,86.21,98.16,86.15,96.32,7225239
2023-12-13,71.51,82.78,71.15,82.61,4231789
2023-12-12,79.06,79.28,73.05,76.18,3567249
2023-12-11,78.22,80.89,78.0,79.65,1846943
2023-12-08,79.99,81.4,76.4,78.4,2643695
2023-12-07,81.03,82.3,79.43,80.19,1850831
2023-12-06,82.7,84.46,80.44,80.67,2291762
2023-12-05,82.48,85.31,81.61,81.9,2854082
2023-12-04,82.48,85.71,82.02,83.6,2816877
