date,open,high,low,close,volume
2024-03-28,21.11,21.27,21.05,21.24,3096633
2024-03-27,20.89,20.98,20.89,20.96,3232999
2024-03-26,20.93,20.94,20.76,20.81,3080360
2024-03-25,20.78,20.85,20.75,20.76,1890563
2024-03-22,20.78,20.84,20.62,20.69,3957071
2024-03-21,21.06,21.06,20.71,20.86,3476298
2024-03-20,20.57,20.92,20.56,20.86,4197818
2024-03-19,20.62,20.63,20.55,20.62,2436966
2024-03-18,20.62,20.67,20.6,20.64,2588536
2024-03-15,20.63,20.71,20.6,20.63,3377000
2024-03-14,20.68,20.7,20.58,20.69,4583462
2024-03-13,20.68,20.84,20.68,20.76,2834039
2024-03-12,20.7,20.71,20.56,20.62,5396127
2024-03-11,20.83,20.9,20.8,20.85,3945342
2024-03-08,20.74,20.99,20.69,20.82,2973447
2024-03-07,20.59,20.66,20.54,20.64,3383809
2024-03-06,20.44,20.58,20.39,20.53,3447456
2024-03-05,20.38,20.46,20.3,20.36,3116088
2024-03-04,20.04,20.27,20.02,20.24,3075452
2024-03-01,19.64,19.97,19.55,19.91,2566895
2024-02-29,19.57,19.61,19.53,19.53,1973207
2024-02-28,19.44,19.46,19.41,19.45,1599715
2024-02-27,19.46,19.48,19.4,19.4,2074361
2024-02-26,19.38,19.45,19.36,19.44,2149106
2024-02-23,19.36,19.52,19.35,19.47,2734628
2024-02-22,19.36,19.37,19.31,19.36,1883527
2024-02-21,19.39,19.41,19.32,19.35,3003047
2024-02-20,19.4,19.41,19.34,19.36,1700780
2024-02-16,19.11,19.27,19.08,19.23,2205158
2024-02-15,19.15,19.2,19.1,19.17,2221225
2024-02-14,19.01,19.09,18.97,19.03,2124789
2024-02-13,19.13,19.13,19.02,19.04,2551807
2024-02-12,19.27,19.33,19.23,19.32,2457538
2024-02-09,19.35,19.38,19.31,19.35,2027492
2024-02-08,19.39,19.46,19.38,19.43,2406740
2024-02-07,19.45,19.55,19.44,19.45,3036574
2024-02-06,19.39,19.5,19.38,19.46,2763748
2024-02-05,19.3,19.39,19.27,19.37,2840670
2024-02-02,19.42,19.5,19.39,19.46,3317176
2024-02-01,19.58,19.75,19.52,19.65,4157242
2024-01-31,19.54,19.66,19.42,19.45,4355304
2024-01-30,19.58,19.6,19.41,19.46,2097324
2024-01-29,19.43,19.45,19.32,19.43,2515446
2024-01-26,19.32,19.33,19.27,19.31,2630993
2024-01-25,19.33,19.37,19.25,19.31,2450630
2024-01-24,19.43,19.44,19.23,19.23,2574416
2024-01-23,19.35,19.42,19.33,19.39,2233665
2024-01-22,19.33,19.38,19.28,19.31,2706178
2024-01-19,19.42,19.43,19.35,19.39,2769723
2024-01-18,19.23,19.34,19.23,19.33,2583628
2024-01-17,19.34,19.34,19.14,19.17,3345116
2024-01-16,19.52,19.53,19.35,19.39,2947830
2024-01-12,19.67,19.72,19.52,19.57,2566777
2024-01-11,19.4,19.46,19.25,19.38,3715929
2024-01-10,19.41,19.45,19.32,19.34,2120118
2024-01-09,19.48,19.48,19.37,19.4,2906163
2024-01-08,19.31,19.48,19.3,19.39,3244737
2024-01-05,19.57,19.73,19.51,19.53,4006922
2024-01-04,19.5,19.58,19.47,19.54,2996154
2024-01-03,19.49,19.59,19.42,19.52,5440884
2024-01-02,19.75,19.8,19.67,19.68,4478414
2023-12-29,19.71,19.78,19.69,19.74,3055761
2023-12-28,19.81,19.9,19.75,19.76,1975043
2023-12-27,19.78,19.94,19.77,19.87,2130114
2023-12-26,19.7,19.78,19.65,19.77,1527018
2023-12-22,19.76,19.8,19.61,19.64,2134262
2023-12-21,19.53,19.57,19.47,19.55,1789726
2023-12-20,19.48,19.5,19.4,19.4,1838893
2023-12-19,19.42,19.58,19.41,19.52,1408428
2023-12-18,19.35,19.45,19.32,19.37,1720435
2023-12-15,19.46,19.5,19.27,19.29,2206938
2023-12-14,19.48,19.59,19.4,19.48,2269442
2023-12-13,18.96,19.36,18.92,19.35,3301007
2023-12-12,18.97,18.99,18.91,18.93,1505433
2023-12-11,19.03,19.04,18.9,18.95,1962675
2023-12-08,19.18,19.27,19.08,19.16,2431054
2023-12-07,19.44,19.46,19.32,19.41,2393713
2023-12-06,19.43,19.45,19.35,19.39,2083737
2023-12-05,19.35,19.38,19.23,19.32,1696968
2023-12-04,19.57,19.64,19.33,19.39,3723220
2023-12-01,19.47,19.85,19.47,19.81,3175879
2023-11-30,19.5,19.526,19.43,19.47,2074148
2023-11-29,19.5,19.6,19.5,19.56,2308608
2023-11-28,19.38,19.54,19.3499,19.52,2695845
2023-11-27,19.24,19.27,19.189,19.26,2046493
2023-11-24,19.13,19.1642,19.1,19.15,982993
2023-11-22,19.12,19.16,19.01,19.04,1184462
2023-11-21,19.14,19.2,19.095,19.12,2652232
2023-11-20,18.8,18.93,18.8,18.92,2146294
