date,open,high,low,close,volume
2024-03-28,47.4,47.48,47.4,47.44,215569
2024-03-27,47.49,47.53,47.46,47.49,201317
2024-03-26,47.55,47.55,47.47,47.51,186834
2024-03-25,47.55,47.55,47.48,47.52,186809
2024-03-22,47.5,47.61,47.5,47.6,264474
2024-03-21,47.54,47.59,47.51,47.51,222826
2024-03-20,47.61,47.62,47.52,47.61,193320
2024-03-19,47.6,47.62,47.55,47.6,198788
2024-03-18,47.56,47.58,47.54,47.57,174914
2024-03-15,47.61,47.61,47.53,47.58,214953
2024-03-14,47.63,47.63,47.59,47.6,265811
2024-03-13,47.68,47.78,47.65,47.66,162244
2024-03-12,47.68,47.69,47.62,47.65,318349
2024-03-11,47.68,47.75,47.64,47.67,195755
2024-03-08,47.66,47.74,47.66,47.69,225335
2024-03-07,47.69,47.7,47.64,47.7,227428
2024-03-06,47.65,47.68,47.58,47.63,318763
2024-03-05,47.64,47.68,47.62,47.65,213162
2024-03-04,47.63,47.63,47.56,47.62,265237
2024-03-01,47.61,47.69,47.57,47.63,265575
2024-02-29,47.64,47.72,47.59,47.66,207130
2024-02-28,47.63,47.69,47.61,47.63,413655
2024-02-27,47.65,47.72,47.62,47.62,264586
2024-02-26,47.74,47.74,47.59,47.7,267255
2024-02-23,47.66,47.76,47.66,47.69,189886
2024-02-22,47.67,47.69,47.64,47.65,313219
2024-02-21,47.66,47.68,47.64,47.67,237564
2024-02-20,47.67,47.69,47.64,47.66,251631
2024-02-16,47.6,47.67,47.55,47.55,201020
2024-02-15,47.63,47.67,47.56,47.67,310802
2024-02-14,47.5,47.64,47.5,47.62,285273
2024-02-13,47.55,47.56,47.48,47.48,1459159
2024-02-12,47.61,47.68,47.61,47.64,244408
2024-02-09,47.6,47.63,47.56,47.56,282628
2024-02-08,47.61,47.66,47.57,47.6,258913
2024-02-07,47.59,47.65,47.5,47.61,297157
2024-02-06,47.58,47.68,47.53,47.66,251311
2024-02-05,47.68,47.68,47.53,47.56,444688
2024-02-02,47.65,47.72,47.63,47.66,249205
2024-02-01,47.69,47.82,47.69,47.79,731546
2024-01-31,47.64,47.74,47.61,47.67,318447
2024-01-30,47.65,47.65,47.55,47.58,256729
2024-01-29,47.56,47.67,47.56,47.59,303534
2024-01-26,47.53,47.62,47.49,47.52,899016
2024-01-25,47.54,47.62,47.51,47.61,742021
2024-01-24,47.53,47.56,47.49,47.5,245089
2024-01-23,47.52,47.55,47.47,47.49,450502
2024-01-22,47.53,47.57,47.51,47.57,421356
2024-01-19,47.48,47.54,47.45,47.54,327272
2024-01-18,47.59,47.59,47.5,47.55,300236
2024-01-17,47.58,47.6,47.54,47.59,317465
2024-01-16,47.66,47.67,47.58,47.58,700593
2024-01-12,47.69,47.74,47.64,47.71,654338
2024-01-11,47.68,47.71,47.64,47.71,287486
2024-01-10,47.79,47.79,47.66,47.68,274223
2024-01-09,47.84,47.85,47.73,47.73,254611
2024-01-08,47.77,47.87,47.77,47.82,1600281
2024-01-05,47.75,47.82,47.75,47.77,406864
2024-01-04,47.84,47.84,47.78,47.8,249744
2024-01-03,47.8,47.9,47.8,47.9,542261
2024-01-02,47.78,47.84,47.76,47.79,523124
2023-12-29,47.8,47.87,47.79,47.79,394347
2023-12-28,47.87,47.87,47.78,47.83,375605
2023-12-27,47.84,47.87,47.79,47.85,266088
2023-12-26,47.76,47.84,47.76,47.77,371830
2023-12-22,47.82,47.83,47.76,47.79,393423
2023-12-21,47.79,47.81,47.76,47.76,294568
2023-12-20,47.79,47.85,47.75,47.85,561279
2023-12-19,47.69,47.76,47.69,47.72,496347
2023-12-18,47.72,47.77,47.67,47.71,423210
2023-12-15,47.81,47.89,47.76,47.8,581120
2023-12-14,47.75,47.82,47.74,47.8,375977
2023-12-13,47.55,47.74,47.54,47.7,442371
2023-12-12,47.56,47.58,47.52,47.52,338252
2023-12-11,47.57,47.57,47.51,47.57,486319
2023-12-08,47.53,47.57,47.51,47.53,379028
2023-12-07,47.57,47.62,47.53,47.62,307292
2023-12-06,47.5,47.58,47.5,47.56,284940
2023-12-05,47.48,47.54,47.45,47.54,370079
2023-12-04,47.47,47.47,47.39,47.46,887002
2023-12-01,47.38,47.5,47.3,47.5,398800
2023-11-30,47.36,47.43,47.36,47.38,499700
2023-11-29,47.31,47.45,47.3,47.45,334600
2023-11-28,47.2,47.25,47.15,47.23,390800
2023-11-27,47.15,47.16,47.08,47.08,593800
2023-11-24,47.09,47.14,47.06,47.14,129800
2023-11-22,47.14,47.14,47.07,47.09,310400
2023-11-21,47.09,47.09,47.03,47.03,364500
2023-11-20,47.0,47.1,47.0,47.09,397300
2023-11-17,47.02,47.03,46.96,47.03,314200
2023-11-16,46.95,47.04,46.92,47.0,436000
2023-11-15,46.92,46.92,46.83,46.9,498300
2023-11-14,46.92,46.97,46.79,46.97,430300
2023-11-13,46.79,46.85,46.74,46.85,484200
2023-11-10,46.75,46.76,46.67,46.76,384500
2023-11-09,46.74,46.76,46.66,46.68,374800
2023-11-08,46.69,46.76,46.64,46.76,419000
2023-11-07,46.65,46.68,46.6,46.66,823800
2023-11-06,46.57,46.57,46.53,46.55,404900
2023-11-03,46.57,46.63,46.47,46.5,959500
2023-11-02,46.32,46.46,46.29,46.4,603600
2023-11-01,46.18,46.31,46.1,46.29,715800
2023-10-31,46.21,46.27,46.17,46.24,503800
2023-10-30,46.2,46.26,46.12,46.12,1168400
2023-10-27,46.21,46.25,46.14,46.2,397300
2023-10-26,46.22,46.25,46.14,46.23,547200
2023-10-25,46.18,46.22,46.15,46.15,673100
2023-10-24,46.23,46.24,46.15,46.21,534300
2023-10-23,46.14,46.23,46.14,46.2,617700
2023-10-20,46.13,46.25,46.13,46.14,830500
2023-10-19,46.24,46.24,46.1,46.16,1320200
2023-10-18,46.24,46.3,46.2,46.23,436600
2023-10-17,46.32,46.32,46.22,46.28,1735400
2023-10-16,46.35,46.36,46.29,46.36,666400
2023-10-13,46.33,46.42,46.32,46.42,323900
2023-10-12,46.37,46.45,46.32,46.35,936200
2023-10-11,46.38,46.49,46.32,46.43,1157500
2023-10-10,46.23,46.35,46.22,46.35,493700
2023-10-09,46.19,46.27,46.16,46.25,412400
2023-10-06,46.11,46.16,46.06,46.14,319900
2023-10-05,46.16,46.25,46.16,46.25,337500
2023-10-04,46.16,46.23,46.12,46.16,685900
2023-10-03,46.09,46.26,46.09,46.15,741500
2023-10-02,46.16,46.24,46.12,46.12,733900
2023-09-29,46.27,46.37,46.23,46.23,1588800
2023-09-28,46.26,46.34,46.19,46.19,545700
2023-09-27,46.42,46.45,46.27,46.3,391600
2023-09-26,46.43,46.47,46.37,46.37,597700
2023-09-25,46.52,46.54,46.39,46.39,409100
2023-09-22,46.58,46.66,46.53,46.58,319400
2023-09-21,46.66,46.68,46.56,46.56,427100
2023-09-20,46.74,46.8,46.7,46.7,456400
2023-09-19,46.76,46.76,46.73,46.75,197700
2023-09-18,46.79,46.83,46.75,46.76,272800
2023-09-15,46.78,46.79,46.74,46.76,239900
2023-09-14,46.78,46.81,46.75,46.8,223100
2023-09-13,46.76,46.83,46.76,46.79,218000
2023-09-12,46.82,46.82,46.75,46.78,482700
2023-09-11,46.8,46.83,46.8,46.8,195100
2023-09-08,46.82,46.85,46.76,46.8,192700
2023-09-07,46.79,46.82,46.75,46.82,491300
2023-09-06,46.81,46.84,46.74,46.75,278800
2023-09-05,46.8,46.81,46.75,46.76,467200
2023-09-01,46.83,46.91,46.75,46.8,309200
2023-08-31,46.82,46.88,46.79,46.84,300000
2023-08-30,46.84,46.85,46.77,46.8,238700
2023-08-29,46.76,46.87,46.64,46.83,574900
2023-08-28,46.77,46.82,46.73,46.82,521900
2023-08-25,46.76,46.78,46.68,46.78,189600
2023-08-24,46.73,46.78,46.69,46.72,268700
2023-08-23,46.73,46.8,46.73,46.76,310900
2023-08-22,46.74,46.79,46.74,46.76,494400
2023-08-21,46.77,46.82,46.72,46.74,551600
2023-08-18,46.81,46.85,46.76,46.84,217800
2023-08-17,46.85,46.85,46.74,46.82,261500
2023-08-16,46.88,46.91,46.6,46.81,283000
2023-08-15,46.84,46.91,46.82,46.87,401600
2023-08-14,46.88,46.88,46.8,46.85,245900
2023-08-11,46.8,46.85,46.77,46.83,522800
2023-08-10,46.88,46.92,46.81,46.85,344600
2023-08-09,46.81,46.88,46.61,46.87,620700
2023-08-08,46.8,46.87,46.76,46.78,331600
2023-08-07,46.76,46.82,46.74,46.8,542400
2023-08-04,46.76,46.82,46.6,46.82,291800
2023-08-03,46.71,46.76,46.68,46.75,447700
2023-08-02,46.86,46.88,46.8,46.83,360100
2023-08-01,46.91,47.04,46.87,46.91,478100
2023-07-31,47.01,47.03,46.95,46.98,306500
2023-07-28,47.04,47.1,46.98,47.03,568900
2023-07-27,47.1,47.12,47.04,47.04,598000
2023-07-26,47.15,47.17,47.05,47.1,1293700
2023-07-25,47.16,47.22,47.09,47.22,539200
2023-07-24,47.16,47.23,47.15,47.22,219500
2023-07-21,47.19,47.22,47.14,47.16,519700
2023-07-20,47.17,47.24,47.12,47.15,1441000
2023-07-19,47.13,47.18,47.12,47.18,1791700
2023-07-18,47.1,47.18,47.07,47.09,636200
2023-07-17,47.07,47.12,47.07,47.12,214200
2023-07-14,47.08,47.11,47.01,47.11,311400
2023-07-13,47.04,47.09,47.04,47.08,430100
2023-07-12,46.99,47.04,46.95,46.96,354500
2023-07-11,46.96,47.0,46.92,47.0,295700
2023-07-10,46.91,46.98,46.91,46.92,299300
2023-07-07,46.94,46.96,46.91,46.95,193600
2023-07-06,46.96,46.97,46.86,46.94,333900
2023-07-05,46.98,47.01,46.93,46.94,413700
2023-07-03,46.99,46.99,46.94,46.94,160300
2023-06-30,46.97,47.05,46.97,47.05,199300
2023-06-29,47.03,47.04,46.94,46.97,386500
2023-06-28,47.01,47.1,47.0,47.1,329300
2023-06-27,47.05,47.07,46.97,46.99,931000
2023-06-26,47.01,47.01,46.98,46.99,463200
2023-06-23,47.04,47.04,46.93,47.04,787600
