date,open,high,low,close,volume
2024-03-28,78.8,79.19,77.0,77.17,4156329
2024-03-27,79.35,79.38,77.46,78.62,4399727
2024-03-26,79.04,79.75,77.75,78.53,4442210
2024-03-25,78.1,79.56,77.74,78.42,4596006
2024-03-22,78.89,80.37,78.38,78.72,4561270
2024-03-21,81.66,83.39,79.56,79.59,11345850
2024-03-20,77.53,81.62,77.29,81.33,6793695
2024-03-19,76.73,78.53,75.3,77.53,5736507
2024-03-18,78.0,78.0,76.26,77.52,5440735
2024-03-15,78.23,79.07,76.76,77.15,5821640
2024-03-14,78.53,79.8,77.36,78.42,7244176
2024-03-13,76.19,79.4,76.1,78.68,10975309
2024-03-12,75.95,76.69,74.58,76.36,5667076
2024-03-11,75.6,76.29,74.44,74.97,5191226
2024-03-08,76.08,79.58,76.08,76.16,10444348
2024-03-07,74.26,75.96,73.2,75.33,7592502
2024-03-06,74.18,74.85,72.92,74.01,5757307
2024-03-05,74.8,74.93,72.64,73.47,8691164
2024-03-04,76.47,76.53,73.99,75.77,7394983
2024-03-01,77.11,78.66,76.31,76.59,7800949
2024-02-29,76.27,77.14,75.03,76.37,6693422
2024-02-28,75.56,76.19,74.73,75.56,5208536
2024-02-27,77.56,77.63,75.9,76.63,7449297
2024-02-26,76.31,78.25,76.21,77.56,8935157
2024-02-23,75.05,76.8,73.85,76.24,10235565
2024-02-22,78.28,78.83,74.87,75.03,11326774
2024-02-21,77.0,78.06,74.67,75.59,10553404
2024-02-20,79.95,80.58,77.72,78.62,10349288
2024-02-16,82.25,83.67,80.35,81.29,13711902
2024-02-15,80.24,84.05,79.6,84.0,15483180
2024-02-14,79.11,80.7,77.48,80.67,18016714
2024-02-13,77.8,83.49,77.01,77.18,40164862
2024-02-12,91.4,91.57,88.98,89.12,17188824
2024-02-09,90.0,91.21,88.92,90.72,11356926
2024-02-08,85.03,91.44,84.9,87.87,20834827
2024-02-07,82.1,85.46,81.8,85.17,13242633
2024-02-06,81.4,82.04,79.77,81.56,5563356
2024-02-05,82.44,82.8,80.03,81.4,8558325
2024-02-02,81.0,83.03,79.33,82.93,17659228
2024-02-01,79.37,79.58,75.82,76.72,14190042
2024-01-31,81.3,82.22,79.96,80.07,6749734
2024-01-30,82.78,83.25,81.68,82.33,5528977
2024-01-29,81.74,83.58,81.47,83.54,6478990
2024-01-26,80.51,82.84,80.47,81.55,6839166
2024-01-25,81.27,81.7,79.14,80.49,6926814
2024-01-24,82.28,83.36,80.67,80.73,7675839
2024-01-23,80.7,81.62,79.53,81.14,5700500
2024-01-22,80.91,82.83,79.69,80.26,9011689
2024-01-19,77.31,80.18,76.31,80.01,10263810
2024-01-18,80.0,81.01,77.21,77.52,11221153
2024-01-17,80.03,80.44,77.53,80.32,15898412
2024-01-16,80.28,82.14,79.62,81.32,11659684
2024-01-12,81.11,83.19,81.0,81.4,9264908
2024-01-11,81.15,82.65,79.13,81.3,10641163
2024-01-10,80.69,81.3,79.37,81.1,9866725
2024-01-09,77.25,80.24,76.92,80.11,10835013
2024-01-08,74.78,77.9,74.72,77.69,8231984
2024-01-05,73.32,75.95,73.0,74.51,9834419
2024-01-04,71.63,74.02,70.61,73.42,11927380
2024-01-03,72.08,72.99,71.18,71.82,9649943
2024-01-02,76.44,76.63,72.91,73.83,13134768
2023-12-29,79.12,79.73,77.25,77.9,9527249
2023-12-28,78.29,79.2,77.48,79.11,7608364
2023-12-27,78.19,78.68,77.34,78.34,6050168
2023-12-26,76.83,78.47,76.44,78.21,5251790
2023-12-22,76.45,77.17,76.16,76.83,6078077
2023-12-21,76.7,77.3,75.5,76.14,7496327
2023-12-20,78.1,78.7,75.15,75.42,9983333
2023-12-19,77.2,79.99,77.18,78.35,12464507
2023-12-18,75.75,77.47,75.63,77.13,9501628
2023-12-15,77.71,77.95,76.35,76.82,10430262
2023-12-14,75.31,77.64,74.85,77.54,13242150
2023-12-13,72.53,74.09,71.15,73.86,10910200
2023-12-12,72.0,72.63,71.07,72.5,6415940
2023-12-11,72.43,73.63,72.18,72.81,7101383
2023-12-08,71.26,73.02,71.24,72.52,7457627
2023-12-07,70.86,72.28,70.04,71.86,8471153
2023-12-06,73.77,74.18,71.07,71.14,13428634
2023-12-05,71.8,75.47,71.15,74.72,15767958
2023-12-04,73.0,73.66,71.37,72.52,9569214
2023-12-01,72.5,73.99,71.74,73.86,8853656
2023-11-30,73.36,73.84,72.12,72.82,7322282
2023-11-29,74.34,75.06,73.0,73.33,9815598
2023-11-28,72.42,74.22,72.2,73.51,12631964
2023-11-27,71.81,74.47,71.079,73.79,24288929
2023-11-24,70.5,71.2099,70.23,70.35,5062840
2023-11-22,70.26,71.58,69.15,70.96,10226470
2023-11-21,69.0,69.91,68.1617,69.73,8209063
2023-11-20,67.73,70.16,67.73,69.51,10306398
2023-11-17,66.93,68.89,66.8,68.34,9335485
2023-11-16,67.06,68.2548,66.69,67.28,9160914
2023-11-15,65.82,68.35,65.76,67.85,13514512
2023-11-14,64.26,66.1699,63.98,65.52,13168383
2023-11-13,61.23,62.41,60.24,62.34,8784130
2023-11-10,60.27,61.63,59.89,61.34,9290107
2023-11-09,62.52,63.34,60.335,60.37,13118326
2023-11-08,61.87,63.09,60.704,62.74,11987631
2023-11-07,60.7,62.34,60.025,61.69,11180398
2023-11-06,61.59,61.78,59.71,60.43,13284932
