date,open,high,low,close,volume
2024-03-28,110.53,110.54,110.53,110.54,2490769
2024-03-27,110.52,110.53,110.52,110.53,1826905
2024-03-26,110.46,110.46,110.45,110.46,1203038
2024-03-25,110.45,110.45,110.43,110.44,3515830
2024-03-22,110.43,110.44,110.43,110.44,1356610
2024-03-21,110.41,110.42,110.41,110.41,2078937
2024-03-20,110.35,110.37,110.35,110.37,2372237
2024-03-19,110.33,110.34,110.33,110.34,1860696
2024-03-18,110.32,110.33,110.32,110.33,2056948
2024-03-15,110.31,110.32,110.3,110.32,1723347
2024-03-14,110.3,110.3,110.29,110.3,2071782
2024-03-13,110.25,110.26,110.25,110.25,1552181
2024-03-12,110.24,110.24,110.23,110.24,1443805
2024-03-11,110.23,110.23,110.22,110.22,1731850
2024-03-08,110.23,110.23,110.21,110.21,2194958
2024-03-07,110.2,110.2,110.19,110.2,2023248
2024-03-06,110.16,110.16,110.15,110.16,1889781
2024-03-05,110.14,110.14,110.13,110.14,2585345
2024-03-04,110.12,110.13,110.11,110.12,2742257
2024-03-01,110.11,110.11,110.1,110.11,3757540
2024-02-29,110.52,110.53,110.52,110.53,3311034
2024-02-28,110.47,110.48,110.47,110.47,2040772
2024-02-27,110.46,110.47,110.46,110.46,1576644
2024-02-26,110.45,110.46,110.44,110.44,1684698
2024-02-23,110.44,110.45,110.43,110.44,3266374
2024-02-22,110.43,110.44,110.42,110.42,2546546
2024-02-21,110.38,110.39,110.38,110.38,1647109
2024-02-20,110.37,110.38,110.37,110.37,1756633
2024-02-16,110.34,110.35,110.34,110.35,1551338
2024-02-15,110.35,110.36,110.34,110.35,1816593
2024-02-14,110.28,110.29,110.27,110.29,1773636
2024-02-13,110.27,110.27,110.25,110.25,2706680
2024-02-12,110.27,110.28,110.26,110.27,1967412
2024-02-09,110.26,110.26,110.25,110.26,2605375
2024-02-08,110.24,110.25,110.23,110.25,1722475
2024-02-07,110.2,110.2,110.19,110.2,1388088
2024-02-06,110.17,110.19,110.17,110.18,2110803
2024-02-05,110.16,110.16,110.15,110.15,2435504
2024-02-02,110.15,110.16,110.14,110.14,2814698
2024-02-01,110.17,110.17,110.16,110.17,3815564
2024-01-31,110.57,110.59,110.57,110.57,3478011
2024-01-30,110.56,110.56,110.54,110.54,1802971
2024-01-29,110.53,110.54,110.53,110.53,1638132
2024-01-26,110.52,110.53,110.52,110.52,1729236
2024-01-25,110.5,110.51,110.5,110.51,2982528
2024-01-24,110.46,110.47,110.45,110.45,2404002
2024-01-23,110.44,110.45,110.44,110.44,2189722
2024-01-22,110.44,110.44,110.42,110.44,3950584
2024-01-19,110.42,110.42,110.4,110.42,3890017
2024-01-18,110.39,110.41,110.39,110.39,2113515
2024-01-17,110.35,110.36,110.35,110.36,2662409
2024-01-16,110.35,110.36,110.34,110.34,2360564
2024-01-12,110.34,110.34,110.33,110.34,1531126
2024-01-11,110.31,110.31,110.3,110.31,1688014
2024-01-10,110.24,110.25,110.24,110.24,1740443
2024-01-09,110.23,110.24,110.22,110.22,1624966
2024-01-08,110.21,110.22,110.21,110.21,2264854
2024-01-05,110.19,110.21,110.18,110.19,2078119
2024-01-04,110.18,110.19,110.18,110.18,1616088
2024-01-03,110.14,110.14,110.13,110.13,2320563
2024-01-02,110.13,110.13,110.12,110.12,2636897
2023-12-29,110.11,110.13,110.1,110.13,1851574
2023-12-28,110.09,110.1,110.09,110.1,1714560
2023-12-27,110.03,110.05,110.03,110.03,1892123
2023-12-26,110.01,110.03,110.01,110.03,1930802
2023-12-22,110.0,110.01,110.0,110.01,2083827
2023-12-21,109.98,109.99,109.98,109.99,2516052
2023-12-20,109.92,109.93,109.91,109.92,3083447
2023-12-19,109.89,109.9,109.89,109.89,7442031
2023-12-18,109.88,109.89,109.87,109.89,2280833
2023-12-15,109.86,109.87,109.86,109.87,2705296
2023-12-14,109.86,109.87,109.85,109.86,3413480
2023-12-13,110.28,110.31,110.28,110.31,2361472
2023-12-12,110.26,110.27,110.26,110.27,1542122
2023-12-11,110.26,110.26,110.24,110.24,2079668
2023-12-08,110.25,110.25,110.24,110.24,1789596
2023-12-07,110.23,110.24,110.23,110.24,1660462
2023-12-06,110.19,110.19,110.18,110.19,2971537
2023-12-05,110.17,110.17,110.16,110.17,2561495
2023-12-04,110.16,110.16,110.14,110.15,3353782
2023-12-01,110.12,110.14,110.12,110.14,3956700
2023-11-30,110.59,110.6,110.58,110.59,4696300
2023-11-29,110.54,110.55,110.54,110.55,2579400
2023-11-28,110.51,110.53,110.51,110.53,2128100
2023-11-27,110.5,110.51,110.49,110.5,2078900
2023-11-24,110.48,110.49,110.47,110.48,1088500
2023-11-22,110.47,110.47,110.46,110.47,1466100
2023-11-21,110.42,110.43,110.41,110.43,2160100
2023-11-20,110.39,110.4,110.38,110.39,3046900
2023-11-17,110.38,110.39,110.37,110.38,2997500
2023-11-16,110.36,110.37,110.35,110.37,3288800
2023-11-15,110.3,110.32,110.3,110.31,3029000
2023-11-14,110.28,110.3,110.28,110.3,3791000
2023-11-13,110.26,110.26,110.25,110.26,3531500
2023-11-10,110.24,110.25,110.24,110.25,2431100
2023-11-09,110.23,110.24,110.22,110.22,2394300
2023-11-08,110.19,110.19,110.18,110.18,2275700
