date,open,high,low,close,volume
2024-03-28,81.77,81.79,81.74,81.78,5691826
2024-03-27,81.8,81.85,81.8,81.83,2585327
2024-03-26,81.72,81.75,81.7,81.74,2183509
2024-03-25,81.75,81.76,81.72,81.72,3700589
2024-03-22,81.76,81.78,81.76,81.76,2037984
2024-03-21,81.72,81.74,81.69,81.7,3708535
2024-03-20,81.58,81.71,81.57,81.7,4768959
2024-03-19,81.56,81.58,81.54,81.57,1821665
2024-03-18,81.51,81.51,81.47,81.5,1971783
2024-03-15,81.51,81.53,81.49,81.49,3045533
2024-03-14,81.58,81.59,81.54,81.54,4084968
2024-03-13,81.65,81.66,81.61,81.61,2223318
2024-03-12,81.69,81.7,81.64,81.65,2260910
2024-03-11,81.76,81.77,81.72,81.73,3509641
2024-03-08,81.85,81.86,81.78,81.8,2387679
2024-03-07,81.73,81.76,81.7,81.76,2987781
2024-03-06,81.69,81.72,81.64,81.66,5338731
2024-03-05,81.64,81.69,81.61,81.64,4102851
2024-03-04,81.59,81.62,81.55,81.58,2416324
2024-03-01,81.54,81.68,81.49,81.66,4883057
2024-02-29,81.74,81.78,81.72,81.74,8834044
2024-02-28,81.66,81.7,81.65,81.69,3239528
2024-02-27,81.63,81.65,81.59,81.61,3432551
2024-02-26,81.65,81.66,81.59,81.61,4547223
2024-02-23,81.62,81.68,81.61,81.67,3869312
2024-02-22,81.64,81.69,81.6,81.63,15501449
2024-02-21,81.75,81.75,81.64,81.64,8591059
2024-02-20,81.74,81.77,81.71,81.71,6172806
2024-02-16,81.61,81.66,81.6,81.66,7850424
2024-02-15,81.78,81.8,81.72,81.76,3772550
2024-02-14,81.62,81.71,81.61,81.68,5431558
2024-02-13,81.65,81.67,81.55,81.56,5284927
2024-02-12,81.84,81.85,81.81,81.82,2730544
2024-02-09,81.79,81.82,81.79,81.81,2523893
2024-02-08,81.86,81.88,81.83,81.84,2233524
2024-02-07,81.87,81.95,81.85,81.86,3044093
2024-02-06,81.8,81.92,81.8,81.89,3603413
2024-02-05,81.83,81.84,81.76,81.76,5968536
2024-02-02,81.93,81.97,81.87,81.92,8260702
2024-02-01,82.18,82.26,82.11,82.18,8288149
2024-01-31,82.27,82.39,82.22,82.3,7413106
2024-01-30,82.22,82.23,82.1,82.15,2345785
2024-01-29,82.16,82.21,82.16,82.2,3344748
2024-01-26,82.14,82.14,82.1,82.12,4654793
2024-01-25,82.12,82.19,82.11,82.17,5493172
2024-01-24,82.15,82.16,82.02,82.02,4708474
2024-01-23,82.04,82.07,82.02,82.06,3355601
2024-01-22,82.06,82.09,82.05,82.07,4607562
2024-01-19,82.03,82.06,81.99,82.03,5469265
2024-01-18,82.1,82.11,82.06,82.09,4490326
