date,open,high,low,close,volume
2024-03-28,23.5,23.86,23.45,23.81,780014
2024-03-27,23.39,23.59,23.38,23.56,641711
2024-03-26,23.65,23.65,23.33,23.37,831677
2024-03-25,23.63,23.78,23.6,23.63,530350
2024-03-22,23.71,23.88,23.57,23.62,734578
2024-03-21,24.21,24.23,23.59,23.68,1407333
2024-03-20,23.79,24.53,23.75,24.38,1504917
2024-03-19,23.87,23.9,23.67,23.85,842721
2024-03-18,24.2,24.21,23.91,23.98,619901
2024-03-15,24.12,24.35,24.04,24.1,859859
2024-03-14,23.97,24.01,23.68,23.77,665141
2024-03-13,23.36,23.93,23.29,23.85,910138
2024-03-12,23.23,23.26,22.98,23.11,559844
2024-03-11,23.36,23.47,23.27,23.38,834909
2024-03-08,23.26,23.49,23.14,23.26,882862
2024-03-07,23.18,23.45,23.16,23.29,858265
2024-03-06,22.87,23.26,22.87,23.12,1143918
2024-03-05,22.97,23.08,22.65,22.67,1079775
2024-03-04,22.41,22.91,22.38,22.87,1096110
2024-03-01,21.74,22.27,21.59,22.15,1645490
2024-02-29,21.7,21.75,21.57,21.71,517243
2024-02-28,21.46,21.5,21.39,21.49,393087
2024-02-27,21.7,21.7,21.46,21.53,599314
2024-02-26,21.57,21.64,21.49,21.56,572554
2024-02-23,21.76,22.02,21.66,21.98,766161
2024-02-22,21.88,21.94,21.77,21.78,603661
2024-02-21,22.08,22.08,21.8,21.94,641404
2024-02-20,22.15,22.18,22.0,22.03,557501
2024-02-16,22.04,22.49,21.88,22.39,1110517
2024-02-15,21.81,22.05,21.81,21.94,968772
2024-02-14,21.18,21.5,21.15,21.38,752049
2024-02-13,21.39,21.39,21.05,21.12,1032218
2024-02-12,21.58,21.8,21.55,21.72,550515
2024-02-09,21.52,21.67,21.41,21.65,501570
2024-02-08,21.37,21.66,21.33,21.6,699603
2024-02-07,21.39,21.49,21.26,21.26,522852
2024-02-06,21.37,21.53,21.34,21.48,525030
2024-02-05,21.37,21.49,21.32,21.4,661585
2024-02-02,21.55,21.75,21.45,21.71,1252136
2024-02-01,21.9,22.26,21.83,22.19,1020152
2024-01-31,22.18,22.33,21.81,21.86,1030821
2024-01-30,22.27,22.31,21.96,22.19,545198
2024-01-29,22.0,22.23,21.81,22.2,675948
2024-01-26,21.77,21.89,21.74,21.84,911345
2024-01-25,21.93,22.04,21.76,21.91,1532678
2024-01-24,21.95,21.97,21.65,21.69,1042077
2024-01-23,21.38,21.5,21.34,21.5,556750
2024-01-22,21.04,21.35,21.0,21.13,733711
2024-01-19,21.73,21.73,21.51,21.62,561295
2024-01-18,21.51,21.79,21.48,21.77,452764
2024-01-17,21.72,21.75,21.55,21.59,1033320
2024-01-16,22.11,22.14,21.89,21.95,720670
2024-01-12,22.36,22.53,22.08,22.18,713897
2024-01-11,21.92,22.04,21.52,21.78,900016
2024-01-10,21.87,21.97,21.8,21.9,745466
2024-01-09,22.22,22.22,21.92,21.98,621532
2024-01-08,22.03,22.22,21.98,22.09,582546
2024-01-05,22.1,22.52,22.02,22.18,1042834
2024-01-04,21.89,22.07,21.73,22.05,815316
2024-01-03,22.04,22.19,21.87,22.03,1216643
2024-01-02,22.91,23.0,22.64,22.64,716137
2023-12-29,22.62,22.96,22.57,22.77,932221
2023-12-28,23.19,23.26,22.97,23.0,528490
2023-12-27,23.11,23.42,23.11,23.25,801975
2023-12-26,23.22,23.24,23.04,23.24,354174
2023-12-22,23.46,23.56,23.07,23.12,684337
2023-12-21,23.32,23.44,23.22,23.35,785506
2023-12-20,23.3,23.33,23.05,23.05,527660
2023-12-19,22.91,23.15,22.9,23.03,538906
2023-12-18,22.86,22.88,22.66,22.79,437133
2023-12-15,22.98,23.03,22.75,22.83,767086
2023-12-14,23.02,23.19,23.0,23.17,976928
2023-12-13,21.72,22.77,21.56,22.75,1885697
2023-12-12,21.92,21.93,21.73,21.8,647618
2023-12-11,21.92,21.95,21.76,21.86,624818
2023-12-08,22.34,22.54,21.98,22.05,1510377
2023-12-07,22.9,22.9,22.6,22.8,691825
2023-12-06,23.19,23.21,22.87,22.92,781518
2023-12-05,23.32,23.4,22.96,23.13,906100
2023-12-04,23.81,23.96,23.39,23.49,1429383
2023-12-01,24.15,24.44,24.11,24.38,1468269
2023-11-30,24.03,24.21,23.91,24.18,666708
2023-11-29,24.01,24.19,23.87,23.93,744567
2023-11-28,23.71,23.98,23.63,23.98,718903
2023-11-27,23.7,23.74,23.54,23.6,654219
2023-11-24,23.02,23.305,23.01,23.29,355038
2023-11-22,22.69,22.805,22.56,22.65,434885
2023-11-21,22.87,23.0,22.74,22.76,475678
2023-11-20,22.41,22.58,22.37,22.47,456017
2023-11-17,22.78,22.85,22.67,22.73,364488
2023-11-16,22.88,23.05,22.73,22.74,809782
2023-11-15,22.34,22.5,22.22,22.43,500751
2023-11-14,21.87,22.2,21.84,22.13,563722
2023-11-13,21.1,21.42,21.02,21.37,343633
2023-11-10,21.47,21.53,21.2641,21.27,461187
2023-11-09,21.7,22.03,21.6,21.64,655580
2023-11-08,21.75,21.88,21.56,21.59,619605
2023-11-07,21.67,21.695,21.52,21.67,538826
2023-11-06,22.18,22.1909,22.03,22.05,394955
2023-11-03,21.98,22.3204,21.94,22.19,850292
