date,open,high,low,close,volume
2024-03-28,11.4,11.68,11.35,11.48,14961371
2024-03-27,11.38,11.47,11.24,11.45,13357974
2024-03-26,11.4,11.75,11.31,11.31,20825692
2024-03-25,11.38,11.52,11.24,11.26,20246938
2024-03-22,11.15,11.43,11.06,11.4,25195772
2024-03-21,11.26,11.51,11.13,11.16,22605057
2024-03-20,11.03,11.38,10.97,11.2,28666791
2024-03-19,10.96,11.17,10.78,11.05,25976825
2024-03-18,11.24,11.33,10.93,11.06,28446181
2024-03-15,11.44,11.57,11.09,11.19,26649901
2024-03-14,11.86,11.89,11.34,11.39,21971798
2024-03-13,11.71,12.35,11.69,11.9,29908928
2024-03-12,11.95,12.13,11.7,11.77,17197055
2024-03-11,12.25,12.26,11.8,11.87,23993620
2024-03-08,12.0,12.65,11.99,12.39,43593463
2024-03-07,11.45,12.02,11.45,11.85,45365259
2024-03-06,11.6,11.63,11.11,11.16,27088255
2024-03-05,10.85,11.65,10.75,11.43,42821196
2024-03-04,11.26,11.27,10.7,11.03,21544939
2024-03-01,11.05,11.28,11.0,11.25,20749826
2024-02-29,11.05,11.2,10.94,11.02,19719296
2024-02-28,10.75,11.14,10.75,11.0,17656008
2024-02-27,10.8,11.05,10.75,10.9,18059774
2024-02-26,10.66,10.87,10.58,10.72,19388195
2024-02-23,10.75,10.89,10.49,10.8,22975441
2024-02-22,10.85,11.04,10.72,10.73,46990035
2024-02-21,10.83,10.96,10.69,10.74,25625983
2024-02-20,11.0,11.14,10.87,10.95,37406099
2024-02-16,11.34,11.44,10.99,11.17,43404147
2024-02-15,11.42,11.8,11.38,11.6,24335852
2024-02-14,11.34,11.45,11.18,11.4,24167931
2024-02-13,11.24,11.62,11.02,11.14,40428105
2024-02-12,11.28,12.08,11.2,11.64,65823298
2024-02-09,11.26,11.28,10.93,11.11,54218116
2024-02-08,11.29,11.5,10.82,11.1,87847261
2024-02-07,12.03,12.39,11.08,11.41,185977645
2024-02-06,16.78,17.5,16.77,17.45,92636378
2024-02-05,17.2,17.5,16.3,16.75,37737679
2024-02-02,16.68,17.11,16.11,17.05,35712570
2024-02-01,16.09,16.11,15.77,15.87,16179134
2024-01-31,16.03,16.6,15.82,15.89,14822076
2024-01-30,16.7,16.85,16.33,16.47,36009370
2024-01-29,16.3,16.9,16.1,16.89,18698264
2024-01-26,16.98,16.99,16.24,16.25,27636353
2024-01-25,16.47,16.51,16.2,16.29,14223020
2024-01-24,16.67,16.72,16.22,16.32,17403943
2024-01-23,16.64,16.64,16.17,16.33,17034476
2024-01-22,16.59,17.14,16.45,16.61,19540623
2024-01-19,16.4,16.57,16.17,16.42,15300280
2024-01-18,15.63,16.27,15.5,16.21,21257560
2024-01-17,15.53,15.59,15.18,15.5,20971523
2024-01-16,16.21,16.21,15.43,15.54,35778120
2024-01-12,17.0,17.01,16.37,16.43,19056420
2024-01-11,17.3,17.62,16.81,17.09,22803644
2024-01-10,17.18,17.45,16.82,17.37,19372639
2024-01-09,17.38,17.75,16.97,17.05,35649029
2024-01-08,16.67,17.33,16.46,17.31,20267486
2024-01-05,16.12,16.68,16.1,16.55,21581021
2024-01-04,15.75,16.28,15.69,16.2,15922935
2024-01-03,15.52,16.04,15.27,15.78,28496087
2024-01-02,16.52,16.56,15.93,16.14,29687041
2023-12-29,17.03,17.21,16.83,16.93,16693464
2023-12-28,16.92,17.2,16.82,17.05,13845160
2023-12-27,16.73,16.99,16.68,16.95,15975366
2023-12-26,17.06,17.1,16.68,16.78,13944254
2023-12-22,17.2,17.32,16.89,17.05,21576677
2023-12-21,16.94,17.29,16.7,17.23,34281572
2023-12-20,16.98,17.3,16.59,16.6,28279678
2023-12-19,16.54,17.26,16.17,17.18,52580594
2023-12-18,17.44,17.9,16.8,17.02,49763573
2023-12-15,17.04,17.22,16.53,16.92,35572627
2023-12-14,16.67,17.23,16.57,16.94,39763749
2023-12-13,16.0,16.54,15.84,16.45,26639282
2023-12-12,15.63,16.06,15.45,15.85,27396345
2023-12-11,15.82,15.95,15.52,15.75,32187067
2023-12-08,14.7,15.31,14.68,15.09,20718265
2023-12-07,14.74,14.85,14.54,14.76,15148786
2023-12-06,14.83,15.36,14.77,14.77,27154523
2023-12-05,14.16,14.66,14.11,14.6,18141110
2023-12-04,14.06,14.38,13.97,14.3,21274367
2023-12-01,13.75,14.24,13.615,14.14,23416250
2023-11-30,13.49,14.23,13.485,13.83,51167402
2023-11-29,12.94,13.085,12.82,12.98,15299958
2023-11-28,12.605,12.87,12.58,12.84,14906997
2023-11-27,12.41,12.8,12.41,12.68,16203023
2023-11-24,12.24,12.56,12.24,12.52,10797731
2023-11-22,12.17,12.32,12.03,12.31,10119851
2023-11-21,11.98,12.15,11.89,12.06,10266426
2023-11-20,11.88,12.3,11.87,12.15,14560749
2023-11-17,11.91,11.995,11.5,11.89,22116402
2023-11-16,12.13,12.34,11.8,12.07,22943636
2023-11-15,12.12,12.32,11.94,12.2,21312715
2023-11-14,12.05,12.425,12.04,12.15,38147375
2023-11-13,11.33,11.435,11.15,11.3,12118745
2023-11-10,10.95,11.37,10.92,11.32,19159965
2023-11-09,11.22,11.73,11.18,11.24,26971492
2023-11-08,11.04,11.25,10.8603,11.23,21448623
2023-11-07,10.72,11.02,10.68,10.96,15836857
2023-11-06,10.74,10.87,10.62,10.73,18754926
2023-11-03,10.52,10.915,10.52,10.72,22863055
2023-11-02,10.14,10.59,10.1,10.43,30659333
2023-11-01,9.95,10.0799,9.81,9.99,19548138
2023-10-31,9.79,10.055,9.6,10.01,28796700
2023-10-30,9.34,9.81,9.29,9.7,25083330
2023-10-27,9.33,9.55,9.18,9.3,24606549
2023-10-26,9.11,9.52,8.91,9.3,42454185
2023-10-25,10.37,10.87,9.1,9.19,94403233
2023-10-24,9.63,9.98,9.58,9.71,71921441
2023-10-23,9.35,9.88,9.3,9.49,37569211
2023-10-20,9.6,9.67,9.31,9.44,29382635
2023-10-19,9.55,9.87,9.46,9.65,21177197
