date,open,high,low,close,volume
2024-03-28,164.02,165.89,161.0,161.6,10061984
2024-03-27,159.6,160.63,157.7,160.04,4698138
2024-03-26,159.38,160.97,157.64,158.02,4069083
2024-03-25,157.79,159.1,157.25,158.14,3108718
2024-03-22,158.39,160.3,157.0,159.03,4085102
2024-03-21,166.0,168.68,157.21,158.39,11393371
2024-03-20,158.05,164.31,158.05,163.04,7596629
2024-03-19,152.11,157.84,151.49,157.7,6644858
2024-03-18,157.52,158.26,155.55,156.31,7127229
2024-03-15,158.78,160.24,156.62,156.97,8280637
2024-03-14,162.02,162.5,157.8,158.92,5999111
2024-03-13,161.27,166.84,160.7,162.31,5866709
2024-03-12,162.94,163.77,159.7,161.95,7386921
2024-03-11,161.42,162.98,160.4,162.29,6026073
2024-03-08,169.29,169.84,161.63,162.4,9368999
2024-03-07,167.0,169.16,163.71,168.44,9049602
2024-03-06,170.0,171.36,163.37,167.0,12733359
2024-03-05,175.03,175.33,166.32,167.75,14716891
2024-03-04,185.89,186.55,175.3,177.93,16342261
2024-03-01,191.26,194.2,186.14,186.72,17265859
2024-02-29,181.17,190.45,180.68,188.28,42311351
2024-02-28,230.75,233.88,226.56,230.0,19406239
2024-02-27,233.0,235.66,231.09,234.03,4810315
2024-02-26,229.33,233.36,226.65,230.93,4820595
2024-02-23,234.28,234.83,227.04,229.34,4527953
2024-02-22,224.14,227.68,219.52,225.62,5847729
2024-02-21,215.0,217.2,211.68,216.21,3596578
2024-02-20,226.03,226.69,215.59,220.08,6028646
2024-02-16,230.65,234.82,228.6,230.31,3604068
2024-02-15,235.0,236.33,229.1,232.4,3617604
2024-02-14,230.0,236.24,227.18,236.0,3741915
2024-02-13,223.06,231.02,220.5,227.57,4851114
2024-02-12,231.0,237.72,229.07,232.16,5383662
2024-02-09,228.3,235.0,228.13,233.28,8263401
2024-02-08,219.3,226.29,218.3,222.9,6119851
2024-02-07,214.01,219.4,212.75,218.23,3920972
2024-02-06,217.5,218.5,208.51,213.68,5159941
2024-02-05,217.11,220.67,210.54,215.6,5552565
2024-02-02,208.64,219.74,204.05,218.76,11911518
2024-02-01,197.0,200.33,195.34,199.94,3260591
2024-01-31,201.5,203.29,194.87,195.64,6296755
2024-01-30,208.64,209.98,204.81,206.25,4415381
2024-01-29,201.91,210.26,201.4,209.54,5288749
2024-01-26,203.75,205.49,201.2,202.51,3799060
2024-01-25,205.36,209.47,202.75,206.01,4804154
2024-01-24,209.18,211.65,203.49,203.81,8127759
2024-01-23,200.0,205.97,197.59,205.58,8763276
2024-01-22,196.75,202.32,196.51,199.08,6471888
2024-01-19,187.59,193.14,186.72,193.12,4523267
2024-01-18,190.77,191.54,184.39,186.61,4989985
2024-01-17,185.77,188.14,182.53,188.12,3756668
2024-01-16,190.0,191.21,186.57,188.02,4833391
2024-01-12,190.0,196.08,189.22,191.26,4982352
2024-01-11,199.2,201.6,195.53,195.62,5012565
2024-01-10,197.28,200.54,194.65,197.4,4179593
2024-01-09,195.65,198.27,194.75,196.9,3153581
2024-01-08,190.77,196.9,190.77,196.35,4562048
2024-01-05,184.57,191.41,184.57,189.12,5269755
2024-01-04,182.29,187.15,180.95,183.72,4270281
2024-01-03,185.0,187.35,183.01,184.21,4292018
2024-01-02,195.0,196.23,187.53,189.12,5173265
2023-12-29,200.0,201.88,198.34,199.0,3598227
2023-12-28,198.78,201.74,197.7,201.23,3823822
2023-12-27,200.0,200.97,197.04,198.71,4957172
2023-12-26,195.9,199.32,193.8,198.56,3639359
2023-12-22,197.02,198.02,194.1,195.67,2448826
2023-12-21,195.5,196.95,193.74,196.79,4213726
2023-12-20,198.12,199.74,194.13,194.28,3222933
2023-12-19,200.0,200.87,198.34,199.02,2963399
2023-12-18,198.1,200.01,196.55,198.97,3461687
2023-12-15,198.0,200.85,197.1,199.01,6241938
2023-12-14,198.57,202.83,196.11,200.86,7937720
2023-12-13,195.0,197.43,191.26,196.55,5331339
2023-12-12,190.84,194.21,189.69,193.49,3825737
2023-12-11,188.51,196.66,187.77,192.99,7350847
2023-12-08,187.0,191.64,185.8,190.67,5294921
2023-12-07,184.61,188.78,183.03,187.31,4824379
2023-12-06,187.41,190.62,184.4,184.47,5358674
2023-12-05,186.53,188.52,184.08,186.16,4060490
2023-12-04,184.81,191.0,183.61,188.3,8530965
2023-12-01,185.25,188.56,180.8,185.97,10315162
2023-11-30,188.0,192.66,180.27,187.68,22593509
2023-11-29,175.02,177.5999,174.35,175.32,10297419
2023-11-28,170.0,172.18,167.91,171.55,3820399
2023-11-27,171.0,172.675,170.05,170.3,4214149
2023-11-24,168.04,171.48,167.49,171.16,1738385
2023-11-22,168.9,171.22,167.3,168.92,3015395
2023-11-21,164.93,168.105,164.29,166.67,2834590
2023-11-20,162.0,168.815,162.0,166.73,3755270
2023-11-17,160.71,162.7325,160.33,161.85,1896456
2023-11-16,162.94,163.0,159.51,160.97,3358519
2023-11-15,166.57,169.19,162.84,163.03,4150023
2023-11-14,164.5,166.28,163.16,165.86,5141766
2023-11-13,160.04,161.1499,157.28,158.7,3286665
