date,open,high,low,close,volume
2024-03-30,192.22606,200.0,190.85,196.06,3489532416
2024-03-29,186.34,189.45,180.92,187.33,562511901
2024-03-28,186.23,189.73,180.59,187.28,2849985280
2024-03-27,190.48,192.77,180.0,186.24,3844985014
2024-03-26,189.04,198.03,184.56,190.45,3520179571
2024-03-25,183.87,194.63,180.96,188.99,4066489821
2024-03-24,172.67,186.87,171.32,183.89,2661231893
2024-03-23,175.24,180.0,169.85,172.7,2711581881
2024-03-22,179.41,182.18,167.58,175.24,4150938142
2024-03-21,191.77,196.0,175.5,179.4,5613811275
2024-03-20,169.76,193.35,160.67,191.95,8673957460
2024-03-19,195.9,198.7,165.15,169.76,11658593922
2024-03-18,201.7,210.0,193.6,195.96,11137647410
2024-03-17,181.98,204.59,178.55,201.69,10876218562
2024-03-16,184.0,197.86,176.71,181.99,11794134069
2024-03-15,176.5,189.0,164.44,183.91,14093348410
2024-03-14,163.95,178.35,157.88,176.69,8399967972
2024-03-13,150.86,167.0,148.73,163.95,5917471836
2024-03-12,148.91,155.0,141.05,151.06,6413617983
2024-03-11,144.58,150.18,136.64,148.9,5383624184
2024-03-10,144.58,148.78,140.34,144.56,3407621981
2024-03-09,145.12,149.49,143.58,144.58,2946261381
2024-03-08,144.05,153.0,141.2,145.12,5474659974
2024-03-07,130.91,150.0,130.64,144.06,7111178325
2024-03-06,125.48,134.99,120.08,130.91,5146680159
2024-03-05,133.48,143.0,106.33,125.55,8980294607
2024-03-04,130.22,135.02,127.44,133.49,4429758300
2024-03-03,130.09,132.32,124.27,130.22,2875614168
2024-03-02,129.55,131.8,127.17,130.22,2741772676
2024-03-01,125.77,137.99,125.68,129.53,4743077738
2024-02-29,119.0,134.75,117.12,125.73,6950123902
2024-02-28,108.44,119.0,105.0,119.0,5029492553
2024-02-27,110.0,112.7,105.17,108.41,2723995106
2024-02-26,103.47,110.85,100.3,110.0,2334408023
2024-02-25,104.0,104.54,102.01,103.47,909662462
2024-02-24,99.89,104.92,98.46,104.01,1083637514
2024-02-23,101.68,103.07,98.516,99.91,1483285120
2024-02-22,105.05,107.11,101.42,101.69,1830636004
2024-02-21,108.39,108.42,100.15,105.05,2246861647
2024-02-20,111.57,112.14,103.0,108.32,2656976089
