date,open,high,low,close,volume
2024-03-28,71.02,71.91,70.8,71.74,4714953
2024-03-27,69.64,71.07,69.6,71.05,4328426
2024-03-26,69.55,69.72,69.15,69.27,4360519
2024-03-25,69.9,70.1,69.52,69.76,2065233
2024-03-22,70.29,70.52,69.79,69.8,3137925
2024-03-21,70.44,70.8,69.87,69.9,2864913
2024-03-20,70.12,70.66,69.89,70.23,4251099
2024-03-19,69.63,70.33,69.02,70.21,3848621
2024-03-18,69.18,69.62,68.99,69.42,2688945
2024-03-15,68.96,69.77,68.7,69.09,8653726
2024-03-14,69.65,69.93,68.8,69.38,4212522
2024-03-13,69.84,70.43,69.8,69.94,5086286
2024-03-12,69.44,70.1,69.03,69.35,3255436
2024-03-11,68.92,69.88,68.69,69.78,3490944
2024-03-08,69.33,69.51,68.56,69.01,3705337
2024-03-07,69.2,69.42,68.76,69.25,4896043
2024-03-06,68.47,68.92,67.98,68.58,4629252
2024-03-05,68.5,69.26,67.55,67.98,4542809
2024-03-04,66.87,68.29,66.62,68.2,4285959
2024-03-01,67.03,67.12,65.99,66.86,4748338
2024-02-29,67.12,67.64,66.8,67.25,8578069
2024-02-28,66.46,66.82,66.2,66.81,5211714
2024-02-27,66.4,66.74,66.08,66.46,4146943
2024-02-26,67.41,67.5,66.24,66.25,4059987
2024-02-23,67.32,68.06,67.22,67.69,3222217
2024-02-22,67.17,67.58,66.54,67.28,3530365
2024-02-21,67.44,67.85,67.11,67.73,4256507
2024-02-20,66.62,68.34,66.43,67.04,6385835
2024-02-16,65.99,66.64,65.8,66.48,8509100
2024-02-15,67.05,68.2,66.08,66.83,10332859
2024-02-14,67.46,67.89,67.23,67.81,4146868
2024-02-13,68.0,68.56,66.49,67.51,5357510
2024-02-12,66.94,68.33,66.63,68.31,4782779
2024-02-09,66.63,67.2,66.51,66.91,3792780
2024-02-08,66.61,67.03,66.36,66.94,3811257
2024-02-07,67.54,67.77,66.8,66.95,4406230
2024-02-06,67.08,67.68,66.94,67.4,3471650
2024-02-05,68.3,68.34,67.07,67.18,5015357
2024-02-02,69.82,69.96,67.96,68.65,5652105
2024-02-01,69.1,70.53,68.8,70.5,4554429
2024-01-31,70.0,70.33,69.07,69.52,8371572
2024-01-30,69.11,69.58,68.71,69.25,4578676
2024-01-29,69.15,69.29,68.68,69.19,4673814
2024-01-26,69.24,69.44,68.59,69.11,5987633
2024-01-25,68.84,69.26,68.29,69.24,3897979
2024-01-24,69.22,69.41,67.7,68.2,6257728
2024-01-23,68.76,68.95,68.47,68.83,5660334
2024-01-22,68.94,69.35,68.09,68.82,3670714
2024-01-19,68.91,69.33,68.45,68.95,5003322
2024-01-18,69.31,69.47,68.45,68.77,3797327
2024-01-17,70.0,70.89,69.11,69.63,3775937
2024-01-16,71.1,71.1,70.18,70.32,3515190
2024-01-12,71.05,71.57,70.81,71.42,3184045
2024-01-11,72.0,72.0,70.42,70.58,3407608
2024-01-10,71.99,71.99,71.35,71.83,2563178
2024-01-09,71.7,72.01,71.34,71.87,3073677
2024-01-08,71.5,72.18,71.18,72.16,3296530
2024-01-05,71.74,71.85,70.71,71.61,5670223
2024-01-04,72.31,72.54,71.58,71.71,3442532
2024-01-03,71.0,72.3,70.99,72.24,6290541
2024-01-02,69.67,70.96,69.6,70.85,3955237
2023-12-29,69.85,70.26,69.63,70.12,2895497
2023-12-28,69.36,70.32,69.28,70.16,2790526
2023-12-27,69.22,69.67,69.01,69.41,2771861
2023-12-26,69.3,69.85,69.18,69.45,2130984
2023-12-22,69.8,70.2,69.33,69.44,3013477
2023-12-21,69.92,70.16,68.71,69.37,4146784
2023-12-20,71.22,71.44,69.67,69.69,4363885
2023-12-19,71.15,71.95,71.03,71.26,3733486
2023-12-18,70.67,71.68,70.66,71.42,5131933
2023-12-15,70.84,70.98,70.03,70.86,12327583
2023-12-14,73.23,73.42,71.33,71.5,6377341
2023-12-13,70.56,73.1,70.1,73.08,5762854
2023-12-12,71.49,71.49,70.13,70.47,4375981
2023-12-11,71.23,71.56,70.84,71.36,4000841
2023-12-08,71.69,72.19,70.94,71.5,2711242
2023-12-07,72.47,72.55,71.56,71.65,3575924
2023-12-06,71.1,72.3,71.1,72.26,4829510
2023-12-05,71.38,71.46,70.79,70.93,3635548
2023-12-04,71.25,71.79,71.16,71.28,4205926
2023-12-01,70.91,71.53,70.4,71.52,3996100
2023-11-30,70.34,71.28,70.22,70.98,8114700
2023-11-29,70.58,70.97,69.91,70.23,4201800
2023-11-28,70.28,71.15,69.93,70.49,4804700
2023-11-27,69.63,70.41,69.44,70.26,3794300
2023-11-24,69.68,69.82,69.31,69.61,1119300
2023-11-22,69.93,69.94,69.21,69.59,2753000
2023-11-21,69.63,69.89,68.83,69.65,3251400
2023-11-20,69.65,69.65,68.63,69.44,3353000
2023-11-17,69.99,70.05,69.29,69.77,4594500
2023-11-16,69.39,70.35,69.26,70.27,4517100
2023-11-15,69.08,69.81,68.68,68.77,3392300
2023-11-14,68.24,69.29,68.13,69.21,5711500
2023-11-13,67.95,68.2,67.19,67.34,5187100
2023-11-10,68.39,68.44,67.7,68.1,5902500
2023-11-09,68.81,69.19,67.95,68.04,5923300
2023-11-08,68.45,68.67,67.52,68.6,4665700
2023-11-07,69.36,69.48,68.55,68.72,5092600
2023-11-06,70.41,70.72,69.22,69.23,5497000
2023-11-03,70.56,71.33,70.37,70.39,5554400
2023-11-02,67.38,70.56,67.38,70.12,5970700
2023-11-01,67.64,68.81,67.13,68.43,4880600
2023-10-31,67.01,67.6,66.7,67.3,4856500
2023-10-30,66.86,67.32,66.61,66.79,3945800
2023-10-27,66.8,67.59,66.12,66.53,4214300
2023-10-26,66.63,67.64,66.54,67.16,4655100
2023-10-25,66.12,66.74,65.82,66.61,3781700
2023-10-24,66.06,66.64,65.89,66.45,3782100
2023-10-23,65.08,66.23,64.53,65.43,3700200
2023-10-20,66.19,67.11,65.7,65.73,4195000
2023-10-19,66.6,67.34,66.24,66.44,4067000
2023-10-18,67.1,67.52,66.41,66.6,3545000
2023-10-17,67.11,67.55,66.55,67.11,4596300
2023-10-16,67.07,67.72,66.58,67.5,4242000
2023-10-13,66.35,66.86,66.0,66.55,3368600
2023-10-12,66.92,67.15,65.25,65.7,4192400
2023-10-11,66.8,67.28,66.28,67.1,3908100
2023-10-10,66.0,66.56,65.68,66.44,4253000
2023-10-09,65.0,65.93,64.88,65.91,3845600
2023-10-06,63.49,65.14,62.26,64.97,5158400
2023-10-05,64.43,65.07,63.72,64.59,5269100
2023-10-04,64.3,64.73,63.36,64.62,5147200
2023-10-03,62.3,64.38,61.56,64.03,8589500
