date,open,high,low,close,volume
2024-03-28,1.44,1.52,1.44,1.48,8277861
2024-03-27,1.39,1.47,1.36,1.46,9057837
2024-03-26,1.36,1.43,1.35,1.39,7402164
2024-03-25,1.39,1.42,1.33,1.35,8652595
2024-03-22,1.42,1.42,1.37,1.38,7343358
2024-03-21,1.44,1.49,1.41,1.43,6800640
2024-03-20,1.45,1.45,1.37,1.43,15551225
2024-03-19,1.51,1.53,1.38,1.4,16552110
2024-03-18,1.69,1.69,1.49,1.5,20510122
2024-03-15,1.64,1.73,1.63,1.66,26530665
2024-03-14,1.69,1.69,1.62,1.63,7884173
2024-03-13,1.65,1.74,1.64,1.7,7516858
2024-03-12,1.73,1.73,1.65,1.67,9332414
2024-03-11,1.73,1.82,1.72,1.73,7153606
2024-03-08,1.73,1.83,1.71,1.72,9230246
2024-03-07,1.65,1.75,1.63,1.72,10523315
2024-03-06,1.64,1.69,1.59,1.63,9887434
2024-03-05,1.61,1.66,1.58,1.6,7613457
2024-03-04,1.71,1.71,1.58,1.61,12449032
2024-03-01,1.74,1.77,1.68,1.69,9214525
2024-02-29,1.8,1.81,1.72,1.74,7028504
2024-02-28,1.81,1.85,1.7,1.75,11474354
2024-02-27,1.77,1.95,1.77,1.9,15310524
2024-02-26,1.69,1.78,1.64,1.78,8378741
2024-02-23,1.7,1.73,1.61,1.65,9223268
2024-02-22,1.79,1.81,1.65,1.67,11230041
2024-02-21,1.79,1.8,1.74,1.76,6460055
2024-02-20,1.84,1.88,1.79,1.81,6619847
2024-02-16,1.88,1.91,1.84,1.85,6947759
2024-02-15,1.93,1.98,1.86,1.92,8410417
2024-02-14,1.75,1.96,1.75,1.95,8591716
2024-02-13,1.78,1.8,1.68,1.72,10356411
2024-02-12,1.79,1.92,1.76,1.87,9544789
2024-02-09,1.78,1.81,1.72,1.79,6325553
2024-02-08,1.79,1.81,1.75,1.76,5208309
2024-02-07,1.82,1.82,1.74,1.77,6268891
2024-02-06,1.65,1.81,1.65,1.81,9345087
2024-02-05,1.76,1.76,1.65,1.66,7473350
2024-02-02,1.76,1.77,1.7,1.74,8077524
2024-02-01,1.83,1.87,1.72,1.79,8828054
2024-01-31,1.81,1.92,1.75,1.78,10926433
2024-01-30,1.92,1.92,1.79,1.79,9885553
2024-01-29,1.9,1.93,1.84,1.92,6305700
2024-01-26,1.96,2.05,1.88,1.89,8905440
2024-01-25,2.01,2.06,1.95,1.95,7374295
2024-01-24,2.12,2.16,2.0,2.01,6048088
2024-01-23,2.1,2.16,2.06,2.09,6841589
2024-01-22,1.94,2.08,1.94,2.05,8390292
2024-01-19,1.96,1.96,1.82,1.92,9590546
2024-01-18,2.0,2.02,1.9,1.94,6972790
2024-01-17,1.9,1.97,1.87,1.96,8085803
2024-01-16,2.08,2.11,1.95,1.95,9741527
2024-01-12,2.17,2.25,2.09,2.11,7745254
2024-01-11,2.27,2.28,2.07,2.17,9862460
2024-01-10,2.4,2.43,2.28,2.3,7729995
2024-01-09,2.27,2.32,2.24,2.28,6622111
2024-01-08,2.28,2.4,2.2,2.35,8942456
2024-01-05,2.33,2.39,2.27,2.33,5742867
2024-01-04,2.32,2.4,2.27,2.34,6714017
2024-01-03,2.29,2.32,2.22,2.31,9035343
2024-01-02,2.39,2.54,2.35,2.37,8767804
2023-12-29,2.55,2.57,2.37,2.45,11344098
2023-12-28,2.67,2.69,2.51,2.54,10509482
2023-12-27,2.66,2.73,2.6,2.7,11590777
2023-12-26,2.61,2.69,2.55,2.65,9948383
2023-12-22,2.47,2.65,2.4,2.6,11568689
2023-12-21,2.48,2.51,2.4,2.47,6550764
2023-12-20,2.58,2.61,2.35,2.36,12369968
2023-12-19,2.48,2.65,2.48,2.64,10969295
2023-12-18,2.48,2.56,2.41,2.47,9860855
2023-12-15,2.6,2.65,2.46,2.51,32329906
2023-12-14,2.48,2.72,2.48,2.56,22809429
2023-12-13,2.22,2.46,2.16,2.45,15711873
2023-12-12,2.34,2.34,2.17,2.23,8426959
2023-12-11,2.25,2.36,2.24,2.32,10657995
2023-12-08,2.21,2.34,2.16,2.33,14213236
2023-12-07,2.02,2.24,1.99,2.23,16445173
2023-12-06,1.94,2.14,1.93,2.02,18820750
2023-12-05,1.91,1.93,1.84,1.91,9874867
2023-12-04,1.98,2.13,1.92,1.93,28098603
2023-12-01,2.19,2.35,2.17,2.34,11259913
2023-11-30,2.23,2.28,2.14,2.23,10559680
2023-11-29,2.15,2.26,2.12,2.2,10875523
2023-11-28,2.04,2.14,1.98,2.12,9996317
2023-11-27,2.07,2.09,1.98,2.07,8956498
2023-11-24,1.91,2.11,1.89,2.1,6488349
2023-11-22,2.02,2.08,1.92,1.99,11190006
2023-11-21,2.22,2.22,2.06,2.13,7985218
2023-11-20,2.24,2.3,2.2,2.25,9133413
2023-11-17,2.11,2.21,2.07,2.19,9462202
2023-11-16,2.16,2.19,2.0,2.08,9320591
2023-11-15,2.18,2.36,2.17,2.19,18378152
2023-11-14,1.98,2.13,1.97,2.13,16687160
2023-11-13,1.77,1.92,1.71,1.89,10453473
2023-11-10,1.89,1.91,1.77,1.79,12075212
2023-11-09,1.81,2.08,1.76,1.86,37491031
2023-11-08,1.69,1.7,1.54,1.56,11611355
2023-11-07,1.68,1.77,1.67,1.74,8969776
2023-11-06,1.84,1.86,1.65,1.69,10290123
2023-11-03,1.72,1.88,1.71,1.85,14698910
2023-11-02,1.54,1.72,1.54,1.7,14683447
2023-11-01,1.48,1.51,1.43,1.49,5354904
2023-10-31,1.44,1.5,1.43,1.48,6296005
2023-10-30,1.43,1.48,1.38,1.44,6931424
2023-10-27,1.53,1.54,1.38,1.38,7503003
2023-10-26,1.42,1.52,1.39,1.48,10607478
2023-10-25,1.54,1.54,1.41,1.42,10441281
2023-10-24,1.6,1.64,1.52,1.53,9483448
2023-10-23,1.63,1.68,1.54,1.54,8177336
2023-10-20,1.72,1.75,1.61,1.64,11704218
2023-10-19,1.69,1.78,1.67,1.75,7120437
2023-10-18,1.78,1.82,1.68,1.71,7300709
2023-10-17,1.72,1.85,1.7,1.83,9444437
2023-10-16,1.63,1.77,1.59,1.75,9570762
2023-10-13,1.57,1.64,1.53,1.64,9206505
2023-10-12,1.66,1.68,1.55,1.55,8522076
2023-10-11,1.73,1.79,1.62,1.65,9474209
2023-10-10,1.58,1.79,1.55,1.7,16035274
2023-10-09,1.63,1.67,1.53,1.53,8767457
2023-10-06,1.6,1.7,1.58,1.68,6441600
2023-10-05,1.6,1.67,1.58,1.62,6513936
2023-10-04,1.66,1.67,1.6,1.62,5975541
2023-10-03,1.7,1.72,1.64,1.66,6670088
2023-10-02,1.83,1.84,1.74,1.77,7154012
2023-09-29,1.75,1.82,1.72,1.8,6484709
2023-09-28,1.66,1.77,1.63,1.72,7384997
2023-09-27,1.66,1.69,1.57,1.65,8058154
2023-09-26,1.66,1.76,1.63,1.63,8844812
2023-09-25,1.69,1.72,1.63,1.68,9038488
2023-09-22,1.84,1.88,1.7,1.71,11185328
2023-09-21,1.87,1.9,1.79,1.81,10172598
2023-09-20,2.01,2.02,1.91,1.91,10377471
2023-09-19,1.88,2.02,1.87,2.01,12745877
2023-09-18,2.04,2.04,1.83,1.87,13841018
2023-09-15,2.02,2.09,1.99,2.05,47524431
2023-09-14,1.9,2.07,1.86,1.99,19792369
2023-09-13,2.03,2.07,1.88,1.91,23314150
2023-09-12,2.04,2.12,2.0,2.05,14995669
2023-09-11,2.3,2.31,2.05,2.06,26297293
2023-09-08,2.36,2.36,2.22,2.29,12995861
2023-09-07,2.45,2.46,2.29,2.34,15779691
2023-09-06,2.57,2.62,2.48,2.48,9496901
2023-09-05,2.57,2.7,2.53,2.55,14743685
2023-09-01,2.55,2.61,2.52,2.58,8449977
2023-08-31,2.65,2.68,2.52,2.52,11912378
2023-08-30,2.71,2.71,2.6,2.65,7549138
2023-08-29,2.59,2.76,2.54,2.68,10810433
2023-08-28,2.59,2.62,2.53,2.59,8149672
2023-08-25,2.58,2.6,2.46,2.54,10524970
2023-08-24,2.76,2.76,2.48,2.58,14672962
2023-08-23,2.71,2.84,2.69,2.76,9651110
2023-08-22,2.84,2.89,2.63,2.75,12188562
2023-08-21,2.88,2.88,2.74,2.79,10211648
2023-08-18,2.67,2.94,2.64,2.85,21999295
2023-08-17,2.8,2.86,2.71,2.73,10848302
2023-08-16,2.81,2.92,2.62,2.77,19712789
2023-08-15,3.15,3.15,2.87,2.89,26350454
2023-08-14,3.22,3.25,3.08,3.15,12178827
2023-08-11,3.27,3.27,3.11,3.24,18109101
