date,open,high,low,close,volume
2024-03-28,28.94,28.94,28.92,28.92,4548971
2024-03-27,28.95,28.97,28.94,28.95,9255685
2024-03-26,28.91,28.93,28.91,28.92,812147
2024-03-25,28.94,28.94,28.91,28.91,587128
2024-03-22,28.93,28.94,28.93,28.94,923182
2024-03-21,28.91,28.92,28.9,28.91,860208
2024-03-20,28.87,28.91,28.86,28.9,1206014
2024-03-19,28.86,28.88,28.85,28.87,595448
2024-03-18,28.85,28.85,28.83,28.84,461381
2024-03-15,28.84,28.85,28.83,28.84,760065
2024-03-14,28.86,28.87,28.85,28.86,589173
2024-03-13,28.88,28.9,28.88,28.89,659677
2024-03-12,28.91,28.91,28.89,28.9,1009779
2024-03-11,28.93,28.94,28.92,28.92,762477
2024-03-08,28.96,28.97,28.93,28.95,2024678
2024-03-07,28.92,28.93,28.9,28.93,1735535
2024-03-06,28.91,28.92,28.88,28.88,1048385
2024-03-05,28.89,28.91,28.88,28.89,1027986
2024-03-04,28.87,28.88,28.85,28.85,2304506
2024-03-01,28.84,28.9,28.83,28.89,1345412
2024-02-29,28.93,28.95,28.93,28.93,1917459
2024-02-28,28.91,28.92,28.9,28.92,858308
2024-02-27,28.9,28.9,28.88,28.89,972342
2024-02-26,28.9,28.9,28.88,28.89,803930
2024-02-23,28.89,28.91,28.88,28.91,695874
2024-02-22,28.9,28.92,28.88,28.88,658429
2024-02-21,28.93,28.94,28.89,28.91,1750649
2024-02-20,28.93,28.94,28.92,28.92,1064087
2024-02-16,28.88,28.9,28.88,28.89,1028381
2024-02-15,28.95,28.95,28.92,28.94,10487253
2024-02-14,28.89,28.92,28.89,28.9,727993
2024-02-13,28.9,28.91,28.86,28.86,1014191
2024-02-12,28.96,28.97,28.95,28.96,681624
2024-02-09,28.95,28.96,28.94,28.95,942464
2024-02-08,28.98,28.99,28.96,28.97,646235
2024-02-07,28.98,29.01,28.97,28.97,1521989
2024-02-06,28.95,28.99,28.95,28.98,1057682
2024-02-05,28.95,28.97,28.93,28.93,1486138
2024-02-02,29.0,29.01,28.97,29.0,1313050
2024-02-01,29.08,29.12,29.06,29.08,1109102
2024-01-31,29.13,29.18,29.12,29.16,1365525
2024-01-30,29.11,29.12,29.07,29.09,1181604
2024-01-29,29.09,29.11,29.09,29.11,1163731
2024-01-26,29.08,29.09,29.07,29.08,1300093
2024-01-25,29.08,29.1,29.07,29.1,825957
2024-01-24,29.09,29.1,29.04,29.05,1284034
2024-01-23,29.05,29.06,29.04,29.05,1693442
2024-01-22,29.05,29.07,29.05,29.06,1285015
2024-01-19,29.05,29.06,29.03,29.05,789307
2024-01-18,29.07,29.08,29.06,29.07,1184233
2024-01-17,29.07,29.07,29.04,29.06,763953
2024-01-16,29.14,29.15,29.1,29.12,791593
2024-01-12,29.15,29.17,29.14,29.15,1609127
2024-01-11,29.04,29.1,29.04,29.1,947887
2024-01-10,29.04,29.05,29.02,29.03,1250270
2024-01-09,29.02,29.03,29.01,29.03,1002924
2024-01-08,29.01,29.05,29.0,29.01,1059573
2024-01-05,28.99,29.04,28.97,29.0,1070527
2024-01-04,29.01,29.01,28.99,29.0,1410684
2024-01-03,29.0,29.03,28.98,29.03,2040046
2024-01-02,29.01,29.03,29.01,29.01,2402147
2023-12-29,29.02,29.06,29.02,29.05,1845717
2023-12-28,29.04,29.05,29.03,29.04,511086
2023-12-27,29.02,29.05,29.01,29.05,1062137
2023-12-26,29.0,29.02,28.99,29.01,2589309
2023-12-22,29.02,29.02,29.0,29.01,754676
2023-12-21,29.02,29.03,28.99,29.01,1326827
2023-12-20,28.97,28.99,28.95,28.99,1491667
2023-12-19,28.92,28.94,28.92,28.94,1701837
2023-12-18,28.94,28.94,28.92,28.92,1534878
2023-12-15,29.04,29.06,29.02,29.03,1898491
2023-12-14,29.05,29.09,29.05,29.06,1270671
2023-12-13,28.89,29.02,28.88,29.01,1928412
2023-12-12,28.86,28.88,28.86,28.86,1093178
2023-12-11,28.84,28.87,28.83,28.87,990696
2023-12-08,28.88,28.89,28.85,28.87,931325
2023-12-07,28.92,28.94,28.92,28.93,960548
2023-12-06,28.92,28.92,28.9,28.9,1719071
2023-12-05,28.89,28.92,28.88,28.89,1653158
2023-12-04,28.88,28.9,28.86,28.88,1159369
2023-12-01,28.83,28.92,28.83,28.92,2332200
2023-11-30,28.94,28.95,28.92,28.93,1824100
2023-11-29,28.94,28.97,28.94,28.96,1275600
2023-11-28,28.84,28.91,28.84,28.91,15735200
2023-11-27,28.83,28.85,28.82,28.85,2962900
2023-11-24,28.81,28.82,28.8,28.8,915500
2023-11-22,28.84,28.84,28.81,28.82,1836500
2023-11-21,28.82,28.84,28.82,28.83,833100
2023-11-20,28.81,28.82,28.8,28.8,1202600
2023-11-17,28.82,28.82,28.8,28.81,1383300
2023-11-16,28.82,28.84,28.82,28.82,1455100
2023-11-15,28.79,28.8,28.76,28.77,1434800
2023-11-14,28.8,28.83,28.8,28.82,2160600
2023-11-13,28.68,28.72,28.68,28.72,1072900
2023-11-10,28.72,28.73,28.69,28.69,1682400
2023-11-09,28.74,28.75,28.7,28.7,1738000
2023-11-08,28.74,28.76,28.74,28.75,1551500
2023-11-07,28.74,28.76,28.73,28.74,1560400
2023-11-06,28.74,28.75,28.72,28.72,2327000
2023-11-03,28.76,28.79,28.74,28.78,1748300
2023-11-02,28.73,28.73,28.69,28.7,1439100
2023-11-01,28.64,28.71,28.63,28.69,2738800
2023-10-31,28.72,28.74,28.72,28.72,975300
2023-10-30,28.72,28.75,28.72,28.75,1353100
2023-10-27,28.74,28.76,28.73,28.76,1846700
2023-10-26,28.7,28.74,28.7,28.73,1060100
2023-10-25,28.69,28.7,28.68,28.69,9977200
2023-10-24,28.7,28.72,28.69,28.7,1685700
2023-10-23,28.68,28.72,28.68,28.71,983800
2023-10-20,28.67,28.71,28.67,28.7,1400700
2023-10-19,28.62,28.66,28.62,28.65,4835300
2023-10-18,28.61,28.63,28.6,28.61,1095000
2023-10-17,28.63,28.64,28.6,28.61,2723400
2023-10-16,28.67,28.68,28.66,28.66,5176200
2023-10-13,28.7,28.71,28.68,28.69,1263800
2023-10-12,28.69,28.69,28.66,28.68,3052400
2023-10-11,28.7,28.71,28.69,28.7,1050900
2023-10-10,28.71,28.73,28.7,28.7,3333300
2023-10-09,28.69,28.72,28.69,28.72,1656000
2023-10-06,28.64,28.65,28.62,28.64,2027500
2023-10-05,28.68,28.68,28.66,28.68,3252900
2023-10-04,28.62,28.65,28.6,28.65,2120500
2023-10-03,28.61,28.62,28.58,28.59,3012900
2023-10-02,28.61,28.62,28.6,28.61,1292300
2023-09-29,28.74,28.75,28.72,28.72,4687000
2023-09-28,28.7,28.72,28.68,28.71,8344700
2023-09-27,28.7,28.7,28.65,28.67,5417400
2023-09-26,28.69,28.71,28.67,28.71,7032700
2023-09-25,28.68,28.7,28.68,28.68,1499800
