date,open,high,low,close,volume
2024-03-28,2.81,3.06,2.81,3.0,5308735
2024-03-27,2.54,2.9,2.52,2.87,8520388
2024-03-26,2.65,2.69,2.49,2.49,6026711
2024-03-25,2.75,2.82,2.57,2.57,4307187
2024-03-22,2.99,2.99,2.75,2.75,3718447
2024-03-21,3.04,3.12,2.95,2.99,4706735
2024-03-20,2.71,3.06,2.68,2.98,5647161
2024-03-19,2.76,2.85,2.72,2.76,3784055
2024-03-18,2.82,2.86,2.64,2.82,5747843
2024-03-15,2.66,2.85,2.63,2.83,8883462
2024-03-14,2.64,2.69,2.52,2.67,6379456
2024-03-13,2.72,2.78,2.63,2.64,4961881
2024-03-12,2.95,2.95,2.74,2.75,7037864
2024-03-11,3.01,3.22,2.92,2.95,4539098
2024-03-08,2.97,3.14,2.94,3.03,7999295
2024-03-07,3.0,3.06,2.87,2.9,5050169
2024-03-06,3.11,3.16,2.98,2.98,6389243
2024-03-05,3.18,3.25,3.06,3.07,4309960
2024-03-04,3.19,3.3,3.03,3.25,6231745
2024-03-01,3.11,3.29,3.02,3.18,6722927
2024-02-29,3.27,3.69,3.01,3.11,11875780
2024-02-28,3.23,3.38,3.14,3.17,4590982
2024-02-27,3.1,3.37,2.98,3.28,9244838
2024-02-26,3.18,3.3,3.07,3.15,5175298
2024-02-23,3.17,3.27,3.13,3.18,6404497
2024-02-22,3.45,3.47,3.16,3.16,7677301
2024-02-21,3.35,3.48,3.25,3.43,5796382
2024-02-20,3.58,3.62,3.43,3.47,6977494
2024-02-16,3.82,4.17,3.61,3.62,12305731
2024-02-15,4.93,5.2,3.84,4.28,23475313
2024-02-14,3.89,4.32,3.72,4.26,8902804
2024-02-13,3.84,3.95,3.53,3.7,9153288
2024-02-12,3.6,4.33,3.54,4.16,13635837
2024-02-09,3.27,3.58,3.25,3.58,5590501
2024-02-08,3.23,3.36,3.19,3.23,3933774
2024-02-07,3.46,3.54,3.17,3.3,5691940
2024-02-06,3.11,3.25,3.06,3.25,4301933
2024-02-05,3.29,3.29,3.03,3.08,9052761
2024-02-02,3.56,3.56,3.4,3.43,7861614
2024-02-01,3.25,3.86,3.21,3.7,22585952
2024-01-31,3.08,3.4,3.0,3.03,7908122
2024-01-30,3.38,3.45,3.09,3.11,7919472
2024-01-29,3.23,3.45,3.1,3.44,4754726
2024-01-26,3.33,3.47,3.17,3.2,4658859
2024-01-25,3.27,3.29,3.06,3.28,4816651
2024-01-24,3.5,3.65,3.19,3.21,6479931
2024-01-23,3.36,3.59,3.31,3.55,9315854
2024-01-22,3.09,3.37,2.99,3.21,11568435
2024-01-19,2.81,3.07,2.74,3.03,10721205
2024-01-18,2.97,3.12,2.87,2.94,7329575
2024-01-17,2.86,2.98,2.81,2.94,8402443
2024-01-16,3.17,3.18,2.96,2.99,11898944
2024-01-12,3.52,3.7,3.23,3.25,12253615
2024-01-11,3.79,3.83,3.52,3.58,10463509
2024-01-10,3.9,3.94,3.77,3.89,4589724
2024-01-09,3.83,3.97,3.69,3.91,6028120
2024-01-08,3.92,4.01,3.78,3.88,6805212
2024-01-05,3.98,4.13,3.9,3.97,5267119
2024-01-04,4.46,4.46,4.01,4.05,7372065
2024-01-03,4.81,4.81,4.32,4.5,7041511
2024-01-02,4.77,5.33,4.73,4.88,6695457
2023-12-29,4.85,4.93,4.76,4.83,5059684
2023-12-28,4.93,5.0,4.82,4.91,4786468
2023-12-27,4.82,4.96,4.69,4.93,4993964
2023-12-26,4.5,4.89,4.5,4.79,6454988
2023-12-22,4.46,4.61,4.36,4.46,7629839
2023-12-21,4.54,4.64,4.21,4.48,10422109
2023-12-20,4.75,4.87,4.32,4.42,11081576
2023-12-19,4.24,4.77,4.22,4.77,19331953
2023-12-18,4.69,5.16,3.62,4.22,48033162
2023-12-15,6.13,6.37,5.93,6.14,13148447
2023-12-14,5.5,6.31,5.49,6.02,16060654
